,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,eTOI,eTOI/GP,eG/60,eA1/60,eA2/60,eP1/60,eP/60,eSh/60,exG/60,QoT TOI,QoC TOI,QoT GF%,QoC GF%,GF%Rel,GF%,GF,GA,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
0,Peter Abbandonato,C,ROU,19.728,191,72,103,49,175,224,489,14.532,0.395,0.578,0.312,0.97,1.285,2.79,20.882,0.338,1248.168,19.998,1.175,1.717,0.92,2.89,3.81,8.272,0.998,18.758,17.98,64.745,49.12,10.012,69.682,324,157,17,76,21.762,19,84,23.908,36,329,10.12,1384,2765,50.207
1,Antoine Morand,C,BAT/HAL,18.824,190,76,90,53,166,219,500,15.487,0.398,0.483,0.29,0.878,1.168,2.565,21.462,0.342,1126.455,18.21,1.302,1.595,0.958,2.905,3.858,8.45,1.122,19.048,17.693,64.465,48.168,15.49,71.678,324,148,23,107,20.575,24,89,28.588,29,304,10.022,1437,2683,53.845
2,Ivan Chekhovich,LW,BAC,18.947,182,93,69,50,162,212,650,14.482,0.555,0.432,0.308,0.99,1.29,3.79,25.597,0.425,1154.64,19.35,1.708,1.332,0.945,3.042,3.982,11.71,1.332,18.582,17.873,57.682,48.428,19.065,67.295,283,150,22,98,22.412,25,125,20.435,46,427,10.37,7,23,32.352
3,Vitalii Abramov,RW,GAT/VIC,18.858,122,91,89,28,180,208,460,19.855,0.75,0.74,0.225,1.485,1.72,3.775,41.585,0.68,1343.555,22.035,2.045,2.01,0.62,4.055,4.675,10.28,1.855,19.18,18.17,57.0,50.26,26.115,69.15,255,117,25,84,31.3,21,91,23.89,45,285,15.775,594,1030,58.625
4,Alex Barre-Boulet,C,BLB/DRU,19.821,130,82,68,47,150,197,533,15.075,0.635,0.525,0.36,1.15,1.515,4.1,36.7,0.56,1397.21,21.5,1.73,1.46,1.01,3.19,4.2,11.41,1.585,19.27,18.325,58.41,50.01,19.26,67.47,233,111,15,68,22.77,17,84,20.24,50,381,12.4,1150,2198,52.45
5,Mitchell Balmas,LW/RW,CHA/GAT/BAT/CAP,19.744,190,101,49,43,150,193,635,16.263,0.578,0.278,0.232,0.857,1.09,3.482,24.822,0.405,1195.755,19.625,1.738,0.845,0.728,2.582,3.308,10.605,1.235,19.0,17.925,57.608,49.932,17.425,66.738,297,146,18,65,27.18,20,101,21.308,63,469,13.382,509,1001,49.165
6,Jeremy McKenna,RW,MON,18.657,194,93,53,44,146,190,806,11.535,0.532,0.33,0.24,0.867,1.105,4.525,33.232,0.528,1272.048,20.148,1.542,0.918,0.698,2.458,3.155,13.175,1.53,18.712,17.978,51.2,51.08,17.85,57.418,267,202,24,106,25.712,22,108,20.102,47,592,7.783,225,478,44.51
7,Joel Teasdale,LW,BLB/ROU,18.766,182,88,60,34,148,182,556,15.795,0.532,0.352,0.175,0.885,1.06,3.327,30.798,0.518,1186.822,19.877,1.59,1.06,0.535,2.648,3.182,9.948,1.55,19.268,18.22,57.655,52.398,14.738,66.0,282,145,32,136,23.488,22,92,23.505,34,328,9.885,256,498,51.512
8,Jordan Martel,LW/RW,BAC,19.807,187,87,57,36,144,180,641,12.792,0.455,0.322,0.192,0.775,0.97,3.615,22.14,0.372,1062.462,17.623,1.547,1.1,0.65,2.645,3.295,12.39,1.268,18.205,17.672,55.25,48.705,17.882,66.66,251,129,21,70,26.398,20,86,21.8,46,485,9.348,10,43,23.74
9,Samuel Asselin,C,SHA/BAT/HAL,19.459,175,74,56,48,130,178,424,18.692,0.495,0.32,0.275,0.822,1.095,2.61,21.345,0.372,1122.092,19.192,1.518,1.012,0.862,2.532,3.395,8.047,1.142,18.188,17.842,59.273,49.927,9.58,64.08,262,158,37,109,31.938,19,73,26.5,18,242,8.368,1763,3124,56.0
