,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,G/GP,A1/GP,A2/GP,P1/GP,P/GP
183,Keaton Ellerby,D,M.J/KAM,18.859,69,2,11,13,13,26,0.03,0.16,0.19,0.19,0.38
184,Brennen Wray,C,RDR,19.532,71,7,9,10,16,26,0.1,0.13,0.14,0.23,0.37
185,Levko Koper,LW,SPO,16.945,69,12,9,5,21,26,0.17,0.13,0.07,0.3,0.38
186,Bretton Stamler,D,S.C/EDM,20.518,71,4,11,11,15,26,0.06,0.15,0.15,0.21,0.37
187,Justin Falk,D,SPO,18.927,72,4,8,14,12,26,0.06,0.11,0.19,0.17,0.36
188,Mike Wuchterl,LW,VAN/LET,19.768,70,14,8,4,22,26,0.2,0.11,0.06,0.31,0.37
189,Keith Voytechek,LW,M.J/POR,20.614,52,8,9,9,17,26,0.15,0.17,0.17,0.33,0.5
190,Ryan DePape,RW,REG/P.A,19.516,70,10,6,9,16,25,0.14,0.09,0.13,0.23,0.36
191,Jordan Bendfeld,D,M.H,19.598,72,6,5,14,11,25,0.08,0.07,0.19,0.15,0.35
192,Cameron Cepek,D,EDM,19.675,58,7,7,11,14,25,0.12,0.12,0.19,0.24,0.43
193,Sam Klassen,D,SAS,18.703,71,1,12,12,13,25,0.01,0.17,0.17,0.18,0.35
194,Craig Cunningham,C,VAN,17.005,67,11,10,4,21,25,0.16,0.15,0.06,0.31,0.37
195,Vitaly Karamnov,C,EVT,18.103,61,10,11,4,21,25,0.16,0.18,0.07,0.34,0.41
196,Jacob Dietrich,C,LET/POR,20.239,74,18,2,5,20,25,0.24,0.03,0.07,0.27,0.34
197,Tristan King,C,POR,16.855,69,9,11,5,20,25,0.13,0.16,0.07,0.29,0.36
198,Nathan Deck,D,P.A,17.473,68,5,12,7,17,24,0.07,0.18,0.1,0.25,0.35
199,Travis Toomey,C,SAS,17.495,72,12,5,7,17,24,0.17,0.07,0.1,0.24,0.33
200,Landon Ferraro,C,RDR,16.104,54,13,4,7,17,24,0.24,0.07,0.13,0.31,0.44
201,Trevor Glass,D,SPO/M.H,19.647,62,8,3,13,11,24,0.13,0.05,0.21,0.18,0.39
202,Radim Valchar,LW,POR,18.404,72,9,10,5,19,24,0.12,0.14,0.07,0.26,0.33
203,Tyler Shattock,RW,KAM,17.613,48,9,11,3,20,23,0.19,0.23,0.06,0.42,0.48
204,Chris Francis,C,POR,18.462,72,10,7,6,17,23,0.14,0.1,0.08,0.24,0.32
205,Tomas Karpov,C,M.J,18.519,70,9,8,6,17,23,0.13,0.11,0.09,0.24,0.33
206,Parker Stanfield,RW,P.G,17.238,67,14,4,5,18,23,0.21,0.06,0.07,0.27,0.34
207,Jordan Rowley,D,KAM,17.451,66,5,13,5,18,23,0.08,0.2,0.08,0.27,0.35
208,Chad Suer,D,M.J,17.224,65,2,9,12,11,23,0.03,0.14,0.18,0.17,0.35
209,Scott Jackson,D,SEA,20.608,58,6,9,8,15,23,0.1,0.16,0.14,0.26,0.4
210,Neal Prokop,LW,M.J,17.629,66,13,7,2,20,22,0.2,0.11,0.03,0.3,0.33
211,Milan Kytnar,C,KEL,18.325,62,9,5,8,14,22,0.15,0.08,0.13,0.23,0.35
212,Clayton Cumiskey,C,EDM,17.49,70,9,8,5,17,22,0.13,0.11,0.07,0.24,0.31
213,Giffen Nyren,D,M.J,18.41,69,7,10,5,17,22,0.1,0.14,0.07,0.25,0.32
214,Brandon Herrod,RW,P.A,16.011,64,7,8,7,15,22,0.11,0.12,0.11,0.23,0.34
215,Lukas Vartovnik,LW,EVT,18.522,72,11,6,5,17,22,0.15,0.08,0.07,0.24,0.31
216,Travis Hamonic,D,M.J,17.082,61,5,6,11,11,22,0.08,0.1,0.18,0.18,0.36
217,Luke Walker,RW,POR,17.569,70,9,8,4,17,21,0.13,0.11,0.06,0.24,0.3
218,Mitch Czibere,LW,VAN,18.579,67,6,7,8,13,21,0.09,0.1,0.12,0.19,0.31
219,Jan Eberle,LW,SEA,18.322,55,7,7,7,14,21,0.13,0.13,0.13,0.25,0.38
220,Petr Stoklasa,LW,TRI,18.41,68,6,8,7,14,21,0.09,0.12,0.1,0.21,0.31
221,Dale Hunt,RW,P.G,17.695,48,9,5,7,14,21,0.19,0.1,0.15,0.29,0.44
222,Colten Teubert,D,REG,17.523,66,7,9,5,16,21,0.11,0.14,0.08,0.24,0.32
223,Kevin King,LW,KTN,17.668,63,8,6,7,14,21,0.13,0.1,0.11,0.22,0.33
224,Mark Louis,D,BRN/RDR,20.411,68,5,11,5,16,21,0.07,0.16,0.07,0.24,0.31
225,Myles MacRae,C,KEL,19.592,64,10,8,3,18,21,0.16,0.12,0.05,0.28,0.33
226,Ryan Stanton,D,M.J,18.155,58,4,10,6,14,20,0.07,0.17,0.1,0.24,0.34
227,Brendan Rowinski,C,CGY,17.681,63,8,6,6,14,20,0.13,0.1,0.1,0.22,0.32
228,Matt Fraser,LW,KTN/RDR,17.323,68,9,8,3,17,20,0.13,0.12,0.04,0.25,0.29
229,Cullen Morin,D,RDR,18.215,58,1,10,9,11,20,0.02,0.17,0.16,0.19,0.34
230,Evan Fuller,C,M.J/P.G,19.206,56,8,5,7,13,20,0.14,0.09,0.12,0.23,0.36
231,Jordan Mistelbacher,RW,EVT,17.676,67,10,6,4,16,20,0.15,0.09,0.06,0.24,0.3
232,Jordie Deagle,LW,P.G,18.703,67,8,7,5,15,20,0.12,0.1,0.07,0.22,0.3
233,Seth Compton,C,SPO,19.425,71,13,3,4,16,20,0.18,0.04,0.06,0.23,0.28
234,Justin Maylan,C,M.J/P.G,16.652,51,7,8,5,15,20,0.14,0.16,0.1,0.29,0.39
235,Cale Jefferies,LW,BRN,18.692,69,5,10,5,15,20,0.07,0.14,0.07,0.22,0.29
236,Matt Schmermund,LW,POR,19.212,72,8,8,4,16,20,0.11,0.11,0.06,0.22,0.28
237,Brett Sonne,C,CGY,18.333,29,8,7,5,15,20,0.28,0.24,0.17,0.52,0.69
238,Jerrid Sauer,D,M.H,20.009,68,8,5,6,13,19,0.12,0.07,0.09,0.19,0.28
239,Chris Cloud,LW,VAN,18.897,65,8,5,6,13,19,0.12,0.08,0.09,0.2,0.29
240,Dallas Jackson,D,REG/RDR,18.459,59,5,7,7,12,19,0.08,0.12,0.12,0.2,0.32
241,Tyler Myers,D,KEL,17.618,65,6,3,10,9,19,0.09,0.05,0.15,0.14,0.29
242,Jeff Lee,LW,EDM,19.247,47,7,11,1,18,19,0.15,0.23,0.02,0.38,0.4
243,Daniel Iwanski,LW,LET,17.482,71,10,7,2,17,19,0.14,0.1,0.03,0.24,0.27
244,Cam Braes,C,LET,16.674,71,11,6,2,17,19,0.15,0.08,0.03,0.24,0.27
245,Zack Dailey,C,EVT,17.747,60,9,5,5,14,19,0.15,0.08,0.08,0.23,0.32
246,Patrik Magnusson,D,P.G,19.51,70,8,6,5,14,19,0.11,0.09,0.07,0.2,0.27
247,Rudolf Cerveny,LW,REG,18.024,61,10,8,1,18,19,0.16,0.13,0.02,0.3,0.31
248,Ryley Grantham,C,M.J,19.688,66,10,5,4,15,19,0.15,0.08,0.06,0.23,0.29
249,Teigan Zahn,D,SAS,17.695,69,4,11,4,15,19,0.06,0.16,0.06,0.22,0.28
250,Kalvin Sagert,D,P.G,20.652,72,4,11,4,15,19,0.06,0.15,0.06,0.21,0.26
251,Matt Delahey,D,REG,17.972,68,3,11,4,14,18,0.04,0.16,0.06,0.21,0.26
252,Cody Gross,C,REG/RDR,18.306,69,7,11,0,18,18,0.1,0.16,0.0,0.26,0.26
253,Jared Cowen,D,SPO,16.638,68,4,7,7,11,18,0.06,0.1,0.1,0.16,0.26
254,Brennan Sonne,LW,EVT/EDM/RDR,20.425,62,9,4,5,13,18,0.15,0.06,0.08,0.21,0.29
