,Name,GP,ROW,GF%,GF,GA,GD,SF%,SF,SA,SD,Sh%,Sv%,PDO
0,Vancouver Giants,216,146,65.778,809,433,376,62.565,7847,4709,3138,10.375,0.91,101.372
1,Calgary Hitmen,216,136,62.828,831,521,310,56.7,7093,5485,1608,11.942,0.908,102.8
2,Tri-City Americans,216,134,58.228,751,543,208,53.675,7015,6158,857,10.385,0.912,101.682
3,Medicine Hat Tigers,216,120,53.81,736,609,127,51.66,6569,5929,640,11.06,0.898,100.858
4,Brandon Wheat Kings,216,118,56.062,793,629,164,53.118,6849,6091,758,11.525,0.897,101.25
5,Spokane Chiefs,216,117,59.638,712,509,203,52.655,6906,6157,749,9.892,0.924,102.278
6,Kootenay Ice,216,113,52.395,703,613,90,53.145,7008,6322,686,9.54,0.902,99.742
7,Seattle Thunderbirds,216,110,52.415,668,582,86,52.225,6761,6133,628,9.495,0.904,99.875
8,Swift Current Broncos,216,106,51.998,691,652,39,48.908,6363,6669,-306,10.81,0.904,101.16
9,Lethbridge Hurricanes,216,102,51.772,715,658,57,50.67,6315,5952,363,11.012,0.894,100.362
10,Everett Silvertips,216,101,49.748,624,591,33,47.725,6131,6546,-415,9.755,0.912,100.862
11,Kelowna Rockets,216,98,53.302,662,625,37,52.41,6090,5924,166,10.688,0.898,100.438
12,Saskatoon Blades,216,95,51.415,629,644,-15,49.078,6059,6546,-487,10.558,0.905,101.038
13,Regina Pats,216,94,48.33,647,678,-31,49.752,6468,6398,70,9.978,0.896,99.572
14,Kamloops Blazers,216,88,47.228,672,744,-72,48.03,6076,6361,-285,11.055,0.887,99.74
15,Moose Jaw Warriors,216,73,42.06,633,824,-191,46.482,6249,6982,-733,9.978,0.879,97.798
16,Prince George Cougars,216,72,41.045,575,807,-232,45.482,5925,7139,-1214,9.17,0.889,98.05
17,Prince Albert Raiders,216,72,44.59,615,775,-160,45.262,5937,7201,-1264,10.252,0.895,99.708
18,Red Deer Rebels,216,66,41.765,511,701,-190,47.735,5905,6605,-700,8.29,0.895,97.755
19,Chilliwack Bruins,216,58,39.355,515,755,-240,44.35,5613,6867,-1254,8.753,0.894,98.088
20,Edmonton Oil Kings,144,46,41.995,348,479,-131,45.73,3868,4597,-729,8.84,0.9,98.77
21,Portland Winter Hawks,216,42,34.11,449,917,-468,42.34,5677,7953,-2276,7.92,0.888,96.72
