"#","Name","Pos","Team","Age","GP","G","A1","A2","P1","P","Sh","Sh%","G/GP","A1/GP","A2/GP","P1/GP","P/GP","Sh/GP","xG","xG/GP","eTOI","eTOI/GP","eG/60","eA1/60","eA2/60","eP1/60","eP/60","eSh/60","exG/60","QoT TOI","QoC TOI","QoT GF%","QoC GF%","GF%Rel","GF%","GF","GA","HD G","HD Sh","HD Sh%","MD G","MD Sh","MD Sh%","LD G","LD Sh","LD Sh%","FOW","FOT","FOW%"
"","Alex DeBrincat","RW","ER","18.744","63","47","24","12","71","83","232","20.26","0.75","0.38","0.19","1.13","1.32","3.68","39.52","0.63","1071.12","17.0","2.63","1.34","0.67","3.98","4.65","13.0","2.21","15.6","13.82","66.38","49.2","12.11","70.0","98","42","7","21","33.33","8","34","23.53","32","177","18.08","141","262","53.82"
"","Taylor Raddysh","RW","ER","18.574","58","27","30","20","57","77","159","16.98","0.47","0.52","0.34","0.98","1.33","2.74","20.84","0.36","929.49","16.03","1.74","1.94","1.29","3.68","4.97","10.26","1.35","15.85","13.78","65.91","48.71","15.72","73.64","95","34","6","27","22.22","3","22","13.64","18","110","16.36","2","4","50.0"
"","Ryan Moore","LW","FLNT","19.436","68","31","25","11","56","67","192","16.15","0.46","0.37","0.16","0.82","0.99","2.82","22.26","0.33","1124.96","16.54","1.65","1.33","0.59","2.99","3.57","10.24","1.19","14.95","13.98","51.68","50.77","14.69","58.22","85","61","2","16","12.5","9","27","33.33","20","149","13.42","475","955","49.74"
"","Kole Sherwood","RW","FLNT","19.647","60","27","22","15","49","64","202","13.37","0.45","0.37","0.25","0.82","1.07","3.37","17.09","0.28","978.04","16.3","1.66","1.35","0.92","3.01","3.93","12.39","1.05","15.35","14.02","52.24","51.58","16.52","60.16","74","49","6","19","31.58","11","36","30.56","10","147","6.8","13","24","54.17"
"","Artur Tyanulin","RW","OTT","19.653","67","17","31","7","48","55","130","13.08","0.25","0.46","0.1","0.72","0.82","1.94","18.34","0.27","994.5","14.84","1.03","1.87","0.42","2.9","3.32","7.84","1.11","14.01","13.9","48.79","49.64","11.97","54.33","69","58","4","23","17.39","7","30","23.33","6","77","7.79","1","3","33.33"
"","Owen Tippett","RW","MISS","17.58","60","32","13","6","45","51","207","15.46","0.53","0.22","0.1","0.75","0.85","3.45","21.23","0.35","930.66","15.51","2.06","0.84","0.39","2.9","3.29","13.35","1.37","14.8","13.55","56.25","48.9","17.42","64.76","68","37","11","21","52.38","4","31","12.9","17","155","10.97","8","25","32.0"
"","Zachary Senyshyn","RW","SSM","19.464","59","34","10","5","44","49","199","17.09","0.58","0.17","0.08","0.75","0.83","3.37","27.56","0.47","883.04","14.97","2.31","0.68","0.34","2.99","3.33","13.52","1.87","14.42","13.72","55.79","48.09","4.1","58.65","61","43","12","46","26.09","9","28","32.14","13","125","10.4","3","11","27.27"
"","Jordan Kyrou","RW","SAR","18.366","66","20","22","15","42","57","146","13.7","0.3","0.33","0.23","0.64","0.86","2.21","19.26","0.29","921.95","13.97","1.3","1.43","0.98","2.73","3.71","9.5","1.25","13.68","14.05","49.31","51.57","14.42","58.2","71","51","8","26","30.77","4","31","12.9","8","89","8.99","88","199","44.22"
"","Nick Suzuki","C","OS","17.101","65","22","20","13","42","55","186","11.83","0.34","0.31","0.2","0.65","0.85","2.86","23.57","0.36","953.34","14.67","1.38","1.26","0.82","2.64","3.46","11.71","1.48","15.21","13.84","63.27","49.55","15.06","72.28","73","28","6","26","23.08","3","28","10.71","13","132","9.85","254","482","52.7"
"","Kevin Hancock","LW","OS","18.541","68","18","23","13","41","54","154","11.69","0.26","0.34","0.19","0.6","0.79","2.26","15.61","0.23","993.7","14.61","1.09","1.39","0.78","2.48","3.26","9.3","0.94","15.22","13.96","64.07","50.21","6.18","65.77","73","38","3","16","18.75","6","33","18.18","9","105","8.57","271","536","50.56"
"","Petrus Palmu","RW","OS","19.168","62","20","21","10","41","51","168","11.9","0.32","0.34","0.16","0.66","0.82","2.71","16.36","0.26","891.56","14.38","1.35","1.41","0.67","2.76","3.43","11.31","1.1","14.47","13.74","61.32","49.36","9.84","66.67","62","31","5","17","29.41","4","16","25.0","11","135","8.15","16","26","61.54"
"","Jason Robertson","RW","KGN","17.153","68","29","12","7","41","48","217","13.36","0.43","0.18","0.1","0.6","0.71","3.19","27.22","0.4","1178.54","17.33","1.48","0.61","0.36","2.09","2.44","11.05","1.39","15.35","13.89","49.12","48.62","13.3","52.88","55","49","5","26","19.23","8","41","19.51","16","150","10.67","1","3","33.33"
"","Michael McLeod","C","MISS","18.615","57","21","18","15","39","54","128","16.41","0.37","0.32","0.26","0.68","0.95","2.25","17.47","0.31","920.4","16.15","1.37","1.17","0.98","2.54","3.52","8.34","1.14","14.74","13.6","57.05","48.63","12.84","62.5","75","45","11","31","35.48","4","22","18.18","6","75","8.0","552","916","60.26"
"","Hayden Hodgson","RW","SAG","20.54","67","23","16","9","39","48","188","12.23","0.34","0.24","0.13","0.58","0.72","2.81","19.28","0.29","1042.27","15.56","1.32","0.92","0.52","2.25","2.76","10.82","1.11","14.81","13.89","49.51","50.89","9.84","53.39","63","55","5","25","20.0","7","33","21.21","11","130","8.46","11","25","44.0"
"","Jonah Gadjovich","LW","OS","17.928","60","30","8","12","38","50","202","14.85","0.5","0.13","0.2","0.63","0.83","3.37","24.27","0.4","910.05","15.17","1.98","0.53","0.79","2.51","3.3","13.32","1.6","15.13","13.87","63.71","50.32","7.99","69.89","65","28","4","23","17.39","9","33","27.27","17","146","11.64","4","6","66.67"
"","Dylan Strome","C","ER","19.527","35","17","21","10","38","48","103","16.5","0.49","0.6","0.29","1.09","1.37","2.94","13.83","0.4","580.79","16.59","1.76","2.17","1.03","3.93","4.96","10.64","1.43","16.1","13.87","67.07","49.24","11.66","73.42","58","21","5","20","25.0","3","20","15.0","9","63","14.29","292","500","58.4"
"","Sam Miletic","LW","LDN","19.368","65","25","13","1","38","39","151","16.56","0.38","0.2","0.02","0.58","0.6","2.32","17.85","0.27","786.9","12.11","1.91","0.99","0.08","2.9","2.97","11.51","1.36","14.55","13.94","61.8","49.98","11.86","70.42","50","21","7","28","25.0","5","26","19.23","13","97","13.4","11","20","55.0"
"","Cliff Pu","C","LDN","18.286","63","22","15","14","37","51","103","21.36","0.35","0.24","0.22","0.59","0.81","1.63","14.01","0.22","857.16","13.61","1.54","1.05","0.98","2.59","3.57","7.21","0.98","14.54","13.9","62.0","50.46","-2.37","59.38","57","39","8","24","33.33","5","18","27.78","9","61","14.75","497","817","60.83"
"","Johnny Corneil","LW","NIAG","19.083","67","25","12","6","37","43","110","22.73","0.37","0.18","0.09","0.55","0.64","1.64","12.89","0.19","840.46","12.54","1.78","0.86","0.43","2.64","3.07","7.85","0.92","13.89","14.0","47.05","51.67","6.41","49.47","47","48","7","13","53.85","7","20","35.0","11","77","14.29","6","15","40.0"
