,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,FOW,FOT,FOW%
408,Alexandre Gauthier,D,SHA,17.284,5,0,0,1,0,1,1,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0,0,0.0
409,Marc-Antoine Goyette,D,SHA,20.102,5,0,0,1,0,1,10,0.0,0.0,0.0,0.2,0.0,0.2,2.0,0,0,0.0
410,John-Michael Walsh,D,CAP,17.388,10,0,0,1,0,1,5,0.0,0.0,0.0,0.1,0.0,0.1,0.5,1,1,100.0
411,Denis Creighton,LW,SNB,17.257,18,0,0,1,0,1,6,0.0,0.0,0.0,0.06,0.0,0.06,0.33,2,5,40.0
412,Jacob Sweeney,D,VIC/MON,16.542,9,0,0,1,0,1,2,0.0,0.0,0.0,0.11,0.0,0.11,0.22,0,0,0.0
413,Samuel Lachance,D,QUE,19.549,2,0,0,1,0,1,2,0.0,0.0,0.0,0.5,0.0,0.5,1.0,0,0,0.0
414,Jean-Sebastien Fournier,D,DRU,20.148,8,0,1,0,1,1,10,0.0,0.0,0.12,0.0,0.12,0.12,1.25,0,0,0.0
415,Pier-Olivier GrandMaison,RW,BLB,17.665,2,1,0,0,1,1,6,16.67,0.5,0.0,0.0,0.5,0.5,3.0,0,0,0.0
416,Raphael Riendeau,D,VDO,19.089,5,0,1,0,1,1,1,0.0,0.0,0.2,0.0,0.2,0.2,0.2,0,0,0.0
417,Charles Poulin,C,BAC,17.506,25,1,0,0,1,1,17,5.88,0.04,0.0,0.0,0.04,0.04,0.68,1,1,100.0
418,Carl Tatonetti,D,VDO,19.683,6,0,1,0,1,1,0,0.0,0.0,0.17,0.0,0.17,0.17,0.0,0,0,0.0
419,Damon MacEachern,RW,CAP,17.471,2,0,1,0,1,1,0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0,0,0.0
420,Kelly Bent,RW,PEI,16.616,18,0,1,0,1,1,6,0.0,0.0,0.06,0.0,0.06,0.06,0.33,0,2,0.0
421,Joey Dube,D,BAT,17.273,23,0,1,0,1,1,4,0.0,0.0,0.04,0.0,0.04,0.04,0.17,0,0,0.0
422,Tristan Tremblay,RW,VIC,16.208,2,0,1,0,1,1,1,0.0,0.0,0.5,0.0,0.5,0.5,0.5,0,0,0.0
423,Charles-Eric Legare,RW,RIM,17.287,5,0,1,0,1,1,5,0.0,0.0,0.2,0.0,0.2,0.2,1.0,0,0,0.0
424,Luke St-Amand,C,CHI,17.462,11,1,0,0,1,1,5,20.0,0.09,0.0,0.0,0.09,0.09,0.45,0,1,0.0
425,Vincent Blanchette,C,DRU,18.473,3,0,1,0,1,1,4,0.0,0.0,0.33,0.0,0.33,0.33,1.33,16,41,39.02
426,Viktor Hertzberg,RW,BLB,20.397,2,1,0,0,1,1,7,14.29,0.5,0.0,0.0,0.5,0.5,3.5,0,0,0.0
427,Lindon Beckwith,LW,MON,17.035,4,1,0,0,1,1,3,33.33,0.25,0.0,0.0,0.25,0.25,0.75,0,1,0.0
428,Carl Marois,LW,BAT,16.041,5,1,0,0,1,1,4,25.0,0.2,0.0,0.0,0.2,0.2,0.8,1,1,100.0
429,Dominic Talbot-Tassi,D,DRU,17.577,4,0,1,0,1,1,1,0.0,0.0,0.25,0.0,0.25,0.25,0.25,0,0,0.0
430,Alexandre Bergeron,D,ROU,18.637,2,0,1,0,1,1,2,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0,0,0.0
431,Alexandre Grenier,RW,DRU,16.942,2,0,1,0,1,1,0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0,0,0.0
432,Christopher Caissy,RW,BAT,18.24,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
433,Mason Gray,LW,VDO,16.679,2,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0.0
434,Jeremy Barriault,D,ROU,18.913,2,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0.0
435,Simon Boudreau,D,RIM,16.655,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
436,Julien Belliveau,D,MON,16.447,3,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0,0,0.0
437,Tommy Bouvrette,D,CAP,17.29,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
438,Ryan Labrie,RW,SHA,18.607,3,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0,0,0.0
439,Miguel Caron,C,BAC,16.6,5,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,3,0.0
440,Alexandre Gosselin,D,BAT,16.4,5,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,0,0.0
441,Cole Hutchinson,D,GAT,17.438,10,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0,0,0.0
442,Frederic Bergeron,LW,QUE,17.246,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
443,Tyler Morrison,RW,GAT,17.569,7,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0,1,0.0
444,Karl Leveille,RW,GAT,16.868,4,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0,2,0.0
445,Samuel Landry,C,SHA,16.844,2,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,4,6,66.67
446,Alexandre Chenier-Allard,D,PEI,17.027,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
447,Kyle Kavanaugh,D,HAL,18.593,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
448,Samuel Lemay-Champagne,LW,CHI,16.909,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
449,Philippe Charbonneau,D,VDO,16.833,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
450,Andrew Meredith,C,VIC/BAC,17.334,7,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.29,4,13,30.77
451,Jasmin Boutet,C,RIM,16.493,3,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.33,5,10,50.0
452,Felix Morin,D,BAC,16.608,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
453,Danick Martel,C,BLB,16.759,1,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0.0
454,Francis Bernier,C,BAT,17.618,4,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.25,6,18,33.33
455,Emeric Hudon,RW,SHA,17.074,3,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0,0,0.0
456,Carl Chenier,RW,PEI,16.526,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0.0
457,Matt Bernier,LW,MON,17.013,3,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0.0
458,James Joseph Allison,D,BAT,17.175,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
459,Jordan Labbe,D,MON,16.449,5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
460,Alexander Centis-Jorge,C,MON,16.556,4,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,0,0.0
461,Robert MacKenzie,C,BLB,16.734,2,0,0,0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,0,0.0
462,Billy Hartley,D,CAP,17.651,2,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,0,0.0
463,Rory Craddock,D,SNB,19.672,2,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,0,0.0
464,Garret Holmes,C,MON,18.199,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
465,Patrick Volpe,D,SHA,18.366,24,0,0,0,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0,0,0.0
466,Benjamin Hade,D,SNB,17.564,5,0,0,0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0,0,0.0
467,Danny Wicks,LW,SNB,18.032,6,0,0,0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0.0
468,Cameron McDonald,D,MON,18.434,16,0,0,0,0,0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0,0,0.0
469,Lance Pridham,D,MON,19.54,5,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,1,0.0
470,Jacob Arsenault,D,CAP,16.526,7,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0,0,0.0
471,Joel Blanchard,RW,HAL,17.514,3,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0,0,0.0
472,Jonathan Parisien,D,HAL,20.263,4,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,0,0.0
473,Brandon Pye,RW,HAL,17.074,2,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3,7,42.86
474,Ryan Davis,RW,HAL,18.418,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
475,Adam Jones,LW,VDO,19.206,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
