,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,G/GP,A1/GP,A2/GP,P1/GP,P/GP
0,Vincent Trocheck,C,PLY/SAG,19.182,63,50,35,24,85,109,0.79,0.56,0.38,1.35,1.73
1,Charles Sarault,C,SAR,20.57,68,22,52,34,74,108,0.32,0.76,0.5,1.09,1.59
2,Nick Cousins,C,SSM,19.157,64,27,40,36,67,103,0.42,0.62,0.56,1.05,1.61
3,Eric Locke,C,SAG,18.818,68,44,36,17,80,97,0.65,0.53,0.25,1.18,1.43
4,Reid Boucher,LW,SAR,19.02,68,62,22,11,84,95,0.91,0.32,0.16,1.24,1.4
5,Ryan Strome,C,NIAG,19.182,53,34,48,12,82,94,0.64,0.91,0.23,1.55,1.77
6,Garret Ross,LW,SAG,20.307,61,44,29,17,73,90,0.72,0.48,0.28,1.2,1.48
7,Max Domi,LW,LDN,17.542,64,39,29,19,68,87,0.61,0.45,0.3,1.06,1.36
8,Kerby Rychel,LW,WSR,17.942,68,40,24,23,64,87,0.59,0.35,0.34,0.94,1.28
9,Boone Jenner,C,OSH,19.253,56,45,24,13,69,82,0.8,0.43,0.23,1.23,1.46
10,Seth Griffith,RW,LDN,19.697,54,33,21,27,54,81,0.61,0.39,0.5,1.0,1.5
11,Zach Hall,LW,BAR,19.382,63,24,39,18,63,81,0.38,0.62,0.29,1.0,1.29
12,Daniel Catenacci,C,OS,19.521,67,38,29,12,67,79,0.57,0.43,0.18,1.0,1.18
13,Mark Scheifele,C,BAR,19.505,45,39,26,14,65,79,0.87,0.58,0.31,1.44,1.76
14,Sean Monahan,C,OTT,17.928,58,31,32,15,63,78,0.53,0.55,0.26,1.09,1.34
15,Brett Ritchie,RW,NIAG,19.209,53,41,20,15,61,76,0.77,0.38,0.28,1.15,1.43
16,Cameron Brace,C,OS,19.439,66,35,24,15,59,74,0.53,0.36,0.23,0.89,1.12
17,Tyler Graovac,C,OTT/BELV,19.387,60,38,21,14,59,73,0.63,0.35,0.23,0.98,1.22
18,Riley Brace,LW,MISS,20.526,66,21,35,17,56,73,0.32,0.53,0.26,0.85,1.11
19,Joshua Leivo,LW,SBY/KIT,19.308,63,29,23,21,52,73,0.46,0.37,0.33,0.83,1.16
20,Alex Aleardi,RW,PLY/WSR,20.129,67,27,27,17,54,71,0.4,0.4,0.25,0.81,1.06
21,Connor Brown,RW,ER,18.67,63,28,29,12,57,69,0.44,0.46,0.19,0.9,1.1
22,Steven Beyers,RW,BAR,20.261,66,16,27,26,43,69,0.24,0.41,0.39,0.65,1.05
23,Nikolay Goldobin,RW,SAR,16.942,68,30,21,17,51,68,0.44,0.31,0.25,0.75,1.0
24,Mathew Campagna,C,SBY,18.522,66,24,21,23,45,68,0.36,0.32,0.35,0.68,1.03
25,Alan Quine,C,BELV/PBO,19.554,54,23,24,20,47,67,0.43,0.44,0.37,0.87,1.24
26,Steven Shipley,LW,NIAG,20.4,66,32,21,14,53,67,0.48,0.32,0.21,0.8,1.02
27,Andreas Athanasiou,LW,BAR,18.111,66,29,22,16,51,67,0.44,0.33,0.24,0.77,1.02
28,Jimmy Lodge,RW,SAG,17.534,64,28,22,17,50,67,0.44,0.34,0.27,0.78,1.05
29,Connor McDavid,C,ER,15.672,63,25,22,19,47,66,0.4,0.35,0.3,0.75,1.05
30,Ryan Sproul,D,SSM,19.672,50,20,30,16,50,66,0.4,0.6,0.32,1.0,1.32
31,Garrett Meurs,RW,PLY,19.675,68,32,22,11,54,65,0.47,0.32,0.16,0.79,0.96
32,Scott Kosmachuk,RW,GUE,18.642,68,35,18,12,53,65,0.51,0.26,0.18,0.78,0.96
33,Cody Ceci,RD,OTT/OS,18.735,69,19,28,17,47,64,0.28,0.41,0.25,0.68,0.93
34,Brandon Alderson,RW,SSM,20.649,67,28,18,18,46,64,0.42,0.27,0.27,0.69,0.96
35,Joseph Cramarossa,C,BELV,19.888,68,19,30,14,49,63,0.28,0.44,0.21,0.72,0.93
36,Alex  Broadhurst,C,LDN,19.527,65,23,21,19,44,63,0.35,0.32,0.29,0.68,0.97
37,J.P. Labardo,C,ER,20.559,67,24,25,13,49,62,0.36,0.37,0.19,0.73,0.93
38,Tanner Richard,C,GUE,19.445,52,11,34,17,45,62,0.21,0.65,0.33,0.87,1.19
39,Alex Galchenyuk,C,SAR,18.59,33,27,21,13,48,61,0.82,0.64,0.39,1.45,1.85
40,Bo Horvat,C,LDN,17.449,67,33,17,11,50,61,0.49,0.25,0.16,0.75,0.91
41,Anthony Camara,LW,BAR,19.031,50,36,13,11,49,60,0.72,0.26,0.22,0.98,1.2
42,Brendan Gaunce,C,BELV,18.478,60,33,16,11,49,60,0.55,0.27,0.18,0.82,1.0
43,Matt Mistele,LW,PLY,16.915,68,34,13,13,47,60,0.5,0.19,0.19,0.69,0.88
