,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,eTOI,eTOI/GP,eG/60,eA1/60,eA2/60,eP1/60,eP/60,eSh/60,exG/60,QoT TOI,QoC TOI,QoT GF%,QoC GF%,GF%Rel,GF%,GF,GA,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
0,Conor Garland,RW,MON,19.014,129,74,122,61,196,257,604,12.375,0.575,0.945,0.47,1.52,1.995,4.715,39.465,0.615,1475.805,22.915,1.505,2.48,1.24,3.985,5.225,12.28,1.605,19.045,18.25,55.79,48.55,28.045,68.415,299,138,14,72,18.88,21,109,19.43,39,423,9.105,30,66,45.31
1,Nicolas Roy,C,CHI/SHE,18.15,246,106,86,43,192,235,698,11.609,0.371,0.324,0.131,0.696,0.828,2.602,21.709,0.389,945.779,17.38,1.081,0.973,0.392,2.054,2.443,8.518,1.156,18.548,18.296,49.94,52.557,8.628,49.384,322,193,48,158,21.749,25,133,15.834,33,407,6.846,2672,4729,53.554
2,Alex Barre-Boulet,C,DRU/BLB,18.57,198,87,87,47,174,221,581,14.48,0.445,0.45,0.26,0.89,1.155,3.125,31.48,0.478,1307.577,19.92,1.322,1.342,0.775,2.665,3.44,9.372,1.44,19.108,18.258,51.908,50.445,23.6,62.662,300,183,17,88,19.952,29,120,23.408,41,373,10.488,1929,3831,50.442
3,Filip Chlapik,C,CHA,18.535,173,79,81,60,160,220,603,12.765,0.488,0.508,0.358,0.995,1.352,3.765,23.935,0.415,1144.83,19.885,1.45,1.538,1.072,2.988,4.06,11.305,1.255,19.028,17.958,56.71,48.897,14.925,62.97,286,174,24,75,32.665,19,93,19.05,36,435,8.137,1192,2377,50.8
4,Alexis D'Aoust,RW,SHA,19.701,181,97,73,45,170,215,673,14.832,0.548,0.375,0.265,0.922,1.185,3.665,32.685,0.568,1184.69,20.513,1.59,1.082,0.778,2.673,3.45,10.705,1.652,19.035,18.158,60.135,49.218,28.135,72.578,347,139,30,126,23.738,24,133,18.675,43,414,10.595,31,94,32.002
5,Jean-Christophe Beaudin,C,ROU,18.721,191,77,78,60,155,215,524,14.228,0.425,0.428,0.312,0.85,1.162,2.923,24.275,0.382,1201.798,18.828,1.328,1.352,0.992,2.68,3.672,9.178,1.188,19.38,18.415,60.265,51.435,9.438,65.22,297,154,19,58,33.162,16,87,18.012,42,379,10.372,1511,2699,53.315
6,Alexandre Goulet,C,CHA/VIC,19.696,196,107,60,43,167,210,600,17.648,0.55,0.322,0.25,0.88,1.128,3.155,33.002,0.502,1295.13,19.6,1.69,0.99,0.755,2.678,3.432,9.63,1.538,18.612,18.098,52.8,50.232,21.88,62.502,294,180,32,131,23.528,23,104,24.095,52,365,14.212,350,687,48.76
7,Dennis Yan,LW,SHA,18.672,185,111,54,43,165,208,641,17.5,0.63,0.295,0.218,0.925,1.132,3.572,32.492,0.52,1192.892,19.127,1.958,0.92,0.688,2.883,3.57,11.19,1.622,19.392,18.35,60.44,49.712,23.288,71.242,296,118,28,83,33.52,33,107,31.425,50,451,11.3,21,56,34.527
8,Pierre-Luc Dubois,LW,CAP/BLB,17.478,164,73,81,45,154,199,508,13.132,0.438,0.475,0.272,0.91,1.182,3.172,27.11,0.51,1019.812,19.225,1.325,1.468,0.86,2.787,3.648,9.778,1.57,19.042,18.318,57.502,50.16,17.43,66.088,276,145,21,101,21.652,14,74,14.615,38,333,10.89,867,1748,48.205
9,Alex Dostie,C,GAT/CHA,18.674,185,77,63,58,140,198,434,18.04,0.435,0.362,0.305,0.798,1.1,2.438,25.812,0.425,1124.867,18.202,1.425,1.182,1.002,2.608,3.605,7.97,1.382,19.158,17.987,57.362,49.758,14.328,64.035,273,151,21,84,26.53,25,115,21.852,31,235,13.385,678,1513,46.662
10,Vitalii Abramov,RW,GAT,17.857,129,84,77,36,161,197,466,17.985,0.65,0.6,0.28,1.245,1.53,3.61,42.055,0.65,1348.065,20.88,1.87,1.71,0.81,3.58,4.39,10.39,1.87,18.69,17.79,56.72,48.445,28.34,70.47,243,108,22,93,23.22,20,99,20.225,42,274,15.33,61,110,51.31
11,Giovanni Fiore,LW,SHA/CAP,19.34,191,103,57,36,160,196,740,14.14,0.62,0.322,0.2,0.948,1.148,4.37,38.302,0.615,1173.262,18.715,1.93,1.025,0.633,2.95,3.583,13.605,1.895,18.212,17.935,56.32,50.5,15.6,65.568,261,138,28,101,28.91,20,103,22.125,55,536,10.222,50,114,41.882
12,Mathieu Joseph,RW,SNB,18.847,171,90,66,39,156,195,516,18.022,0.568,0.435,0.238,0.998,1.232,3.14,27.42,0.492,1087.83,19.408,1.725,1.308,0.718,3.028,3.745,9.582,1.487,19.15,18.212,59.6,50.412,16.458,68.045,278,141,24,94,25.418,22,102,20.418,44,320,15.232,110,248,40.14
13,Yakov Trenin,C,GAT,18.921,169,74,56,65,130,195,617,12.323,0.473,0.325,0.385,0.79,1.178,3.762,29.202,0.528,1174.905,21.098,1.328,0.92,1.1,2.248,3.348,10.683,1.49,18.888,18.172,54.73,50.603,14.815,60.935,281,174,27,100,28.102,22,126,17.088,25,391,6.462,1759,2982,56.482
14,Maxime Fortier,RW,HAL,18.001,199,72,72,50,144,194,635,11.198,0.385,0.385,0.27,0.772,1.042,3.3,28.447,0.425,1332.327,19.877,1.122,1.152,0.782,2.272,3.058,9.91,1.245,18.362,18.262,50.78,51.302,18.888,57.595,278,206,24,94,25.61,21,100,22.66,27,441,5.77,179,465,38.248
15,Daniel Sprong,RW,CHA,18.748,132,87,73,33,160,193,555,17.798,0.778,0.562,0.28,1.342,1.62,4.35,21.64,0.538,843.82,20.67,2.282,1.635,0.812,3.918,4.73,12.638,1.56,19.142,17.985,57.037,46.92,17.255,68.218,237,132,18,54,42.28,31,99,35.098,38,402,10.285,42,93,43.058
16,Tyler Boland,C,RIM,19.258,199,90,62,41,152,193,569,15.913,0.515,0.348,0.238,0.862,1.098,3.12,26.872,0.4,1333.508,19.895,1.488,1.028,0.688,2.515,3.2,9.198,1.16,18.627,18.142,53.015,50.32,14.272,58.272,278,199,23,62,37.38,27,88,31.115,40,419,9.352,2030,3897,52.162
17,Samuel Girard,D,SHA,17.596,190,24,88,80,112,192,257,9.045,0.132,0.51,0.432,0.648,1.078,1.507,6.205,0.1,1401.883,22.572,0.348,1.335,1.145,1.682,2.827,3.932,0.265,18.405,18.21,61.635,49.452,20.708,67.68,346,167,3,5,83.333,2,6,33.332,19,246,7.478,0,2,0.0
18,Christophe Boivin,LW,BAT,19.839,189,90,63,37,153,190,734,12.545,0.51,0.358,0.208,0.865,1.075,3.98,33.862,0.522,1203.66,18.728,1.62,1.118,0.675,2.735,3.405,12.668,1.66,18.392,17.695,51.645,49.192,24.058,63.74,267,155,27,88,32.155,18,115,17.272,45,531,8.58,71,180,41.955
19,Matthew Highmore,C,SNB,19.8,191,67,70,51,137,188,564,12.385,0.395,0.392,0.295,0.79,1.08,3.07,25.978,0.408,1215.882,19.038,1.212,1.205,0.878,2.412,3.29,9.635,1.262,18.868,18.31,59.4,50.635,11.003,63.785,288,170,25,102,25.555,20,91,21.458,22,371,6.51,1990,3842,52.092
20,Francis Perron,LW,ROU,18.91,126,70,76,38,146,184,503,13.865,0.555,0.605,0.3,1.165,1.465,3.995,27.89,0.445,1307.09,20.755,1.605,1.74,0.87,3.34,4.215,11.54,1.275,18.815,18.635,58.205,52.26,11.205,63.335,227,130,12,40,30.2,21,66,32.025,37,397,9.35,131,303,42.465
21,Spencer Smallman,RW,SNB,19.266,185,72,61,49,133,182,406,18.465,0.418,0.353,0.295,0.77,1.072,2.24,20.34,0.33,1097.035,17.918,1.395,1.18,0.99,2.575,3.56,7.5,1.112,19.125,18.332,60.11,50.998,9.055,63.317,262,167,25,82,34.442,17,77,20.825,30,247,12.595,80,207,39.018
22,Julien Gauthier,RW,VDO/SNB,18.168,165,96,51,34,147,181,622,13.708,0.53,0.382,0.218,0.91,1.128,3.918,30.648,0.605,1013.898,19.645,1.628,1.152,0.653,2.78,3.432,11.942,1.842,19.682,18.2,57.838,50.44,18.865,68.588,290,129,38,130,25.65,21,92,22.455,37,400,8.098,11,38,28.358
23,Anthony Beauregard,C,VDO,19.334,135,59,81,40,140,180,306,20.095,0.44,0.6,0.295,1.035,1.335,2.27,22.8,0.34,1247.6,18.49,1.415,1.945,0.96,3.365,4.33,7.335,1.095,19.525,18.26,58.4,50.925,15.68,65.6,240,126,18,43,42.1,16,60,27.01,25,203,12.355,1580,2765,57.19
24,Anthony Richard,C,VDO,18.236,124,80,66,32,146,178,523,15.345,0.645,0.535,0.26,1.18,1.44,4.205,32.26,0.52,1336.475,21.565,1.795,1.49,0.72,3.285,4.005,11.705,1.445,19.04,18.49,57.985,52.075,6.54,59.205,233,162,18,64,28.63,22,76,28.95,40,383,10.49,136,320,42.985
25,Timo Meier,RW,HAL/ROU,18.435,113,78,59,40,137,177,622,12.515,0.685,0.53,0.355,1.22,1.575,5.53,43.355,0.77,1267.665,22.445,1.84,1.425,0.945,3.26,4.205,14.79,2.06,19.885,18.645,57.015,50.385,32.125,71.51,230,92,21,73,28.9,21,99,21.39,36,450,8.02,134,281,48.195
26,Dmytro Timashov,LW,QUE/SHA,18.455,123,41,78,56,119,175,272,15.065,0.34,0.64,0.455,0.98,1.425,2.23,14.145,0.235,1146.315,18.65,1.085,2.055,1.455,3.14,4.59,7.175,0.745,20.275,18.205,56.96,49.985,23.66,68.47,220,102,9,28,38.635,10,34,29.41,22,210,10.76,7,14,52.085
27,Anthony Beauvillier,C,SHA,17.77,114,82,58,33,140,173,575,14.635,0.74,0.5,0.305,1.235,1.54,5.045,38.89,0.7,1258.055,22.205,1.985,1.35,0.82,3.34,4.155,13.65,1.885,18.975,18.59,60.315,49.955,21.255,67.225,221,108,18,59,30.725,23,86,27.305,41,430,9.765,1538,2635,58.29
28,Nathan Noel,C,SNB,18.486,179,69,55,45,124,169,468,15.015,0.405,0.298,0.245,0.702,0.948,2.735,22.652,0.395,1014.078,17.605,1.39,1.015,0.842,2.402,3.24,9.292,1.35,18.812,18.178,59.888,49.715,9.843,63.922,240,150,18,81,22.922,18,81,19.825,33,306,11.448,1660,3096,54.675
29,Cameron Askew,RW,MON/SHA,18.592,200,76,47,43,123,166,565,13.038,0.385,0.255,0.188,0.64,0.825,2.938,26.688,0.395,1200.27,17.89,1.282,0.84,0.668,2.122,2.79,9.802,1.312,19.23,18.162,54.262,50.582,12.552,58.735,256,169,21,83,23.368,18,88,19.978,37,394,8.985,1299,2828,45.35
30,Kameron Kielly,C,CHA,19.006,180,65,67,33,132,165,512,12.965,0.398,0.395,0.18,0.792,0.972,2.998,26.418,0.428,1118.11,18.22,1.292,1.285,0.59,2.582,3.172,9.812,1.388,18.742,17.818,55.265,50.055,8.24,59.085,238,172,17,76,23.628,16,98,16.355,32,338,9.872,1435,2483,58.502
31,Nicolas Aube-Kubel,RW,VDO,18.849,122,76,54,34,130,164,428,17.775,0.62,0.445,0.28,1.065,1.345,3.505,26.98,0.44,1205.89,19.765,1.895,1.34,0.845,3.235,4.075,10.65,1.34,19.175,18.27,58.25,50.71,14.8,65.805,225,117,13,45,28.57,21,62,32.275,42,321,13.015,47,155,32.42
32,Samuel Blais,LW,VIC/CHA,18.745,124,67,57,40,124,164,374,18.11,0.54,0.46,0.32,1.0,1.32,3.01,29.24,0.47,1210.935,19.525,1.665,1.415,0.99,3.075,4.07,9.245,1.44,18.895,18.375,52.365,49.535,21.915,64.125,220,123,17,59,29.235,16,78,20.695,34,237,14.82,13,41,34.875
33,Brandon Gignac,C,SHA,18.105,189,56,66,41,122,163,426,13.26,0.32,0.358,0.232,0.68,0.91,2.372,18.858,0.308,1084.005,17.57,1.068,1.228,0.802,2.292,3.093,7.962,1.015,18.835,17.848,60.082,48.895,15.062,65.383,241,130,21,62,28.298,11,65,17.905,24,299,8.382,1646,2938,55.65
34,Massimo Carozza,C,QUE/CAP,19.575,197,69,55,38,124,162,580,11.96,0.372,0.315,0.208,0.688,0.898,3.062,24.925,0.39,1135.805,17.522,1.252,1.045,0.712,2.302,3.015,10.412,1.297,18.635,17.852,54.985,50.495,13.34,63.18,257,158,27,89,30.338,17,98,14.465,25,393,6.835,1003,2074,48.338
35,Carl Neill,D,SHE/CHA,19.444,194,35,56,68,91,159,468,7.76,0.18,0.312,0.375,0.495,0.867,2.392,11.79,0.178,1589.97,24.402,0.452,0.78,0.928,1.232,2.165,5.9,0.448,18.222,18.1,51.758,51.275,11.782,57.315,344,269,4,21,14.375,4,30,12.662,27,417,6.985,2,6,33.332
36,Francois Beauchemin,C,RIM/VDO/CHA,19.89,189,72,51,35,123,158,432,16.465,0.435,0.315,0.2,0.752,0.955,2.445,22.807,0.342,1115.515,17.035,1.432,1.05,0.685,2.485,3.17,8.425,1.152,19.062,17.885,56.293,50.772,8.042,60.35,223,144,30,88,32.922,17,68,27.712,25,276,8.872,695,1533,44.99
37,Evgeny Svechnikov,RW,CAP,18.373,105,64,46,47,110,157,356,17.995,0.61,0.44,0.45,1.05,1.5,3.395,28.09,0.54,1010.39,19.25,1.905,1.37,1.395,3.275,4.67,10.58,1.68,19.245,18.275,56.275,49.58,24.975,70.565,199,83,19,57,33.895,17,57,29.625,28,242,11.62,372,741,48.775
38,Dylan Montcalm,C,DRU/RIM,19.219,169,48,75,33,123,156,433,10.63,0.272,0.458,0.235,0.732,0.968,2.655,20.408,0.342,1080.658,18.44,0.883,1.472,0.722,2.355,3.077,8.55,1.105,19.01,18.352,49.86,51.018,11.042,55.425,212,160,11,69,15.64,11,79,13.358,26,285,8.705,1716,3198,53.575
39,Maxim Lazarev,LW,CAP,19.129,117,66,45,44,111,155,359,18.57,0.565,0.395,0.375,0.96,1.335,3.125,29.155,0.51,1142.305,19.52,1.74,1.21,1.16,2.95,4.11,9.625,1.575,19.195,18.28,56.615,50.315,16.675,64.785,212,117,8,41,19.405,17,65,26.28,41,253,16.305,26,49,54.915
40,Frederic Allard,D,CHI,17.968,189,30,69,55,99,154,454,6.275,0.172,0.395,0.298,0.568,0.865,2.575,12.388,0.192,1598.358,25.35,0.392,0.918,0.705,1.31,2.015,5.992,0.452,17.535,18.212,54.088,50.67,16.725,57.455,291,216,4,17,14.285,4,14,33.125,22,423,5.068,2,9,20.0
41,Joey Ratelle,LW,DRU/CHI,19.72,155,85,44,24,129,153,499,17.068,0.558,0.305,0.178,0.862,1.04,3.232,29.167,0.535,1091.258,20.04,1.662,0.912,0.53,2.575,3.098,9.67,1.598,19.662,18.45,52.112,51.478,20.155,60.198,221,157,30,107,27.623,21,115,20.19,34,277,12.247,23,79,23.038
42,Antoine Waked,RW,ROU,19.581,176,65,49,35,114,149,374,17.76,0.41,0.305,0.205,0.72,0.92,2.385,21.285,0.335,1092.84,17.848,1.332,0.998,0.685,2.332,3.018,7.682,1.085,18.748,18.315,58.838,51.052,8.585,63.89,243,139,21,61,33.082,19,67,28.098,25,246,10.312,23,55,46.02
43,Guillaume Gauthier,LW,QUE/SHE,19.509,133,65,46,31,111,142,406,16.23,0.49,0.345,0.235,0.83,1.065,3.05,28.23,0.425,1226.925,18.435,1.58,1.09,0.765,2.67,3.43,9.8,1.345,19.9,17.945,54.575,49.705,23.915,65.88,195,101,24,70,33.62,11,58,19.21,30,278,11.25,234,458,48.58
44,Mathieu Ayotte,RW,VIC/QUE,19.663,140,57,60,24,117,141,385,14.843,0.422,0.422,0.175,0.845,1.02,2.858,14.355,0.33,880.19,19.763,1.283,1.288,0.53,2.572,3.098,8.662,0.99,18.322,18.508,49.355,53.122,7.022,51.352,185,187,10,47,18.958,10,41,20.04,37,297,13.282,56,162,31.595
45,Simon Bourque,D,RIM/SNB,18.924,193,37,49,54,86,140,400,9.683,0.208,0.285,0.298,0.492,0.79,2.172,9.105,0.145,1485.73,23.642,0.53,0.722,0.738,1.248,1.99,5.465,0.368,18.068,18.123,56.963,50.832,9.36,60.385,315,218,1,10,12.5,5,22,24.772,31,368,8.775,0,3,0.0
46,Danny Moynihan,C,HAL/SHA,19.27,129,69,50,21,119,140,401,17.285,0.535,0.385,0.165,0.92,1.085,3.105,32.615,0.5,1260.87,19.525,1.645,1.19,0.515,2.83,3.35,9.525,1.545,19.38,18.41,53.125,49.97,23.07,63.95,201,115,18,70,25.415,17,91,18.535,34,240,14.375,1472,2526,58.4
47,Julien Pelletier,LW,ROU/CAP/SHE,19.466,178,66,38,31,104,135,415,15.515,0.385,0.225,0.182,0.61,0.795,2.402,19.448,0.315,1067.488,17.45,1.29,0.792,0.625,2.078,2.702,8.185,1.075,19.492,18.292,51.028,51.043,16.64,57.092,213,161,21,61,33.29,7,45,17.088,38,309,11.845,42,88,47.032
48,Alexandre Fortin,LW,ROU,18.804,173,52,47,36,99,135,352,14.675,0.338,0.305,0.2,0.648,0.85,2.292,16.555,0.3,904.43,16.185,1.24,1.118,0.758,2.36,3.117,8.385,1.102,18.278,17.702,58.768,48.815,9.105,64.637,198,110,17,59,26.708,11,65,19.682,24,228,10.425,172,312,54.168
49,Jeffrey Truchon-Viel,LW,BAT,18.88,193,76,32,26,108,134,546,13.338,0.435,0.197,0.128,0.63,0.758,3.068,30.322,0.473,1119.862,17.5,1.432,0.65,0.44,2.078,2.518,10.253,1.565,18.275,17.965,49.262,51.845,5.562,51.425,208,188,32,125,22.655,14,87,17.595,30,334,8.688,35,95,39.048
50,Michael Joly,RW,RIM/CAP,19.865,105,73,41,19,114,133,384,18.78,0.68,0.38,0.17,1.06,1.235,3.605,34.2,0.645,1049.59,19.725,2.06,1.15,0.51,3.205,3.715,10.96,1.97,19.385,18.57,58.89,51.47,15.655,67.12,181,89,23,72,31.795,18,78,24.64,32,234,12.515,50,106,44.69
51,Daniel Audette,C,SHE,18.86,112,51,47,34,98,132,381,13.345,0.45,0.415,0.305,0.87,1.175,3.415,22.075,0.395,1213.285,21.69,1.255,1.16,0.845,2.415,3.255,9.435,1.085,20.065,18.46,51.685,51.45,16.515,55.57,181,144,10,43,23.27,7,44,15.265,34,294,11.545,850,1883,45.1
52,Pascal Laberge,C,VIC/GAT,17.686,160,45,48,38,93,131,405,10.578,0.275,0.282,0.228,0.558,0.785,2.572,14.622,0.285,860.608,16.762,0.968,0.982,0.8,1.95,2.75,9.09,1.0,18.31,18.015,51.76,50.065,11.292,56.985,183,129,9,41,23.452,14,63,22.182,22,301,6.795,506,1175,43.285
53,Thomas Chabot,D,SNB,18.874,147,33,54,44,87,131,380,8.925,0.248,0.45,0.355,0.7,1.055,2.867,10.655,0.27,1120.832,25.185,0.595,1.055,0.832,1.65,2.488,6.752,0.622,17.792,18.182,60.427,50.95,16.862,66.745,284,166,6,24,23.61,7,24,33.015,20,332,5.678,0,0,0.0
54,Michael Carcone,LW,DRU,18.824,116,59,46,25,105,130,329,16.295,0.475,0.39,0.215,0.87,1.085,2.73,21.955,0.365,1138.74,19.13,1.4,1.26,0.705,2.66,3.365,8.405,1.125,18.935,18.13,48.075,52.05,35.84,65.945,180,101,15,59,24.05,15,52,22.94,29,218,12.925,38,97,37.025
55,Daniel Del Paggio,RW,SNB/GAT,19.033,193,45,46,37,91,128,239,19.022,0.232,0.26,0.195,0.493,0.685,1.225,11.907,0.182,938.648,14.468,0.945,1.068,0.778,2.013,2.795,5.018,0.75,18.555,17.945,51.918,49.835,9.965,57.022,183,131,19,64,33.095,13,42,32.36,13,133,9.33,11,34,31.042
