,Name,GP,ROW,GF%,GF,GA,GD,SF%,SF,SA,SD,Sh%,Sv%,PDO,xGF%,xGF,xGA,xGD,xSh%,xSv%,xPDO,GFAX,GFAX/30,GSAX,GSAX/30,HD GF,HD GA,HD GD,HD GF%,HD SF,HD SA,HD SD,HD SF%,HD Sh%,HD Sv%,MD GF,MD GA,MD GD,MD GF%,MD SF,MD SA,MD SD,MD SF%,MD Sh%,MD Sv%,LD GF,LD GA,LD GD,LD GF%,LD SF,LD SA,LD SD,LD SF%,LD Sh%,LD Sv%
0,Val-d'Or Foreurs,272,156,56.766,1147,917,230,53.158,9225,8120,1105,12.238,0.893,101.536,56.323,257.304,199.483,57.821,11.3,0.901,101.376,21.072,0.282,-15.643,-0.232,383,213,170,64.122,1263,856,407,60.048,29.625,0.748,256,250,6,51.746,1262,1084,178,52.771,21.338,0.778,508,454,54,55.022,6700,6180,520,52.181,7.634,0.931
1,Rouyn-Noranda Huskies,272,150,56.748,1073,916,157,54.469,8536,7431,1105,12.302,0.886,100.931,55.707,241.42,190.959,50.461,11.049,0.896,100.575,26.708,0.376,-16.666,-0.269,284,254,30,54.472,964,827,137,53.212,30.509,0.708,270,217,53,58.098,1166,932,234,57.978,23.268,0.768,519,445,74,57.334,6406,5672,734,54.031,7.769,0.93
2,Halifax Mooseheads,272,149,48.651,1050,870,180,50.192,8915,7897,1018,10.41,0.889,99.232,50.295,238.891,239.544,-0.652,11.341,0.887,100.041,-16.766,-0.28,3.043,0.036,281,235,46,51.098,1108,993,115,50.501,23.796,0.767,267,213,54,49.16,1328,1216,112,48.43,19.582,0.808,502,422,80,46.908,6479,5688,791,50.476,6.332,0.926
3,Rimouski Oceanic,272,147,53.635,987,804,183,51.785,8593,7950,643,10.546,0.901,100.604,49.301,213.281,219.099,-5.814,10.05,0.889,98.97,11.093,0.15,22.723,0.341,229,262,-33,43.9,897,1121,-224,43.009,23.048,0.777,227,180,47,52.328,1043,879,164,53.881,19.721,0.792,531,362,169,59.116,6653,5950,703,52.86,7.419,0.941
4,Moncton Wildcats,272,145,52.919,1031,901,130,52.005,8800,8116,684,11.67,0.888,100.435,51.162,253.105,241.957,11.146,11.558,0.881,99.599,2.645,0.033,14.958,0.217,261,296,-35,47.99,1081,1213,-132,47.076,24.796,0.766,253,224,29,50.795,1234,1293,-59,47.749,20.642,0.818,517,381,136,57.141,6485,5610,875,53.878,7.696,0.932
5,Blainville-Boisbriand Armada,272,139,51.854,920,744,176,52.211,7871,6857,1014,10.542,0.896,100.124,51.302,199.358,187.818,11.538,10.485,0.891,99.614,1.643,0.017,7.942,0.136,248,228,20,46.082,884,799,85,50.589,23.795,0.716,217,172,45,50.764,1061,987,74,49.094,19.009,0.824,455,344,111,55.155,5926,5071,855,52.992,7.209,0.938
6,Quebec Remparts,272,135,49.232,954,884,70,47.829,8038,8564,-526,11.165,0.896,100.774,49.884,200.779,201.395,-0.615,10.151,0.906,100.8,20.218,0.303,-22.481,-0.31,290,200,90,55.645,973,790,183,53.684,28.828,0.74,222,145,77,58.378,1084,819,265,55.021,20.412,0.824,442,539,-97,42.824,5981,6955,-974,45.99,6.842,0.922
7,Gatineau Olympiques,272,133,54.271,944,884,60,53.581,8174,7485,689,11.2,0.892,100.352,54.135,255.926,214.495,41.436,12.145,0.881,100.268,-21.428,-0.284,16.494,0.31,287,273,14,51.889,1079,1010,69,53.291,24.406,0.744,233,211,22,55.022,1199,1072,127,54.655,18.546,0.818,424,400,24,55.134,5896,5403,493,53.411,7.235,0.934
8,Baie-Comeau Drakkar,272,125,43.375,888,888,0,48.756,8742,8081,661,9.14,0.885,97.621,48.039,201.966,218.435,-16.47,9.928,0.898,99.664,-14.592,-0.236,-26.939,-0.377,266,229,37,48.501,1065,856,209,50.584,23.952,0.738,204,194,10,44.534,1113,893,220,50.231,17.418,0.776,418,465,-47,40.341,6564,6332,232,48.265,5.533,0.922
9,Drummondville Voltigeurs,272,123,44.823,832,918,-86,48.824,7897,7692,205,10.095,0.884,98.431,48.021,198.336,214.758,-16.421,10.384,0.892,99.631,-5.462,-0.087,-18.743,-0.273,224,250,-26,46.154,987,879,108,50.636,22.928,0.728,184,208,-24,45.209,982,1041,-59,45.6,19.68,0.802,424,460,-36,44.214,5928,5772,156,49.089,6.602,0.922
