,Name,GP,ROW,GF%,GF,GA,GD,SF%,SF,SA,SD,Sh%,Sv%,PDO
0,Niagara IceDogs,136,86,60.875,558,359,199,55.775,5048,3994,1054,10.9,0.913,102.175
1,Plymouth Whalers,136,77,55.435,522,419,103,50.76,4742,4598,144,10.64,0.912,101.835
2,Ottawa 67's,136,75,56.71,537,410,127,48.865,4540,4750,-210,11.51,0.914,102.99
3,Kitchener Rangers,136,74,54.375,503,422,81,49.91,4847,4885,-38,10.145,0.915,101.66
4,Owen Sound Attack,136,72,54.34,511,427,84,53.915,5041,4310,731,9.815,0.904,100.17
5,London Knights,136,69,53.65,493,429,64,50.75,4715,4570,145,10.17,0.91,101.145
6,Saginaw Spirit,136,66,52.115,495,457,38,49.565,4681,4761,-80,10.27,0.906,100.825
7,Oshawa Generals,136,64,51.835,509,472,37,50.64,4753,4638,115,10.45,0.901,100.54
8,Guelph Storm,136,62,49.545,480,489,-9,49.785,4631,4669,-38,10.05,0.899,99.87
9,Windsor Spitfires,136,62,49.13,487,500,-13,50.39,4737,4657,80,9.91,0.896,99.445
10,Sudbury Wolves,136,60,48.03,472,512,-40,46.915,4244,4805,-561,10.79,0.896,100.315
11,Brampton Battalion,136,58,49.79,385,389,-4,57.9,4852,3528,1324,7.765,0.893,96.975
12,Sarnia Sting,136,53,46.995,480,549,-69,47.995,4361,4740,-379,10.915,0.888,99.645
13,Sault Ste. Marie Greyhounds,136,51,46.065,463,542,-79,47.945,4230,4589,-359,10.74,0.884,99.16
14,Mississauga St. Michaels Majors,68,49,62.75,283,168,115,58.69,2543,1790,753,10.78,0.908,101.6
15,Belleville Bulls,136,47,42.92,366,489,-123,48.735,4335,4548,-213,8.27,0.896,97.825
16,Barrie Colts,136,46,46.75,470,554,-84,46.745,4337,4951,-614,10.665,0.892,99.865
17,Peterborough Petes,136,45,41.815,412,573,-161,48.195,4609,4952,-343,8.735,0.888,97.54
18,Erie Otters,136,44,44.17,444,561,-117,47.13,4431,4991,-560,9.65,0.892,98.76
19,Kingston Frontenacs,136,42,43.17,427,559,-132,47.225,4583,5120,-537,9.195,0.894,98.515
20,Mississauga St. Michael's Majors,68,28,47.92,196,213,-17,45.24,1966,2380,-414,9.69,0.912,100.94
