,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
280,Evan de Haan,D,OTT,20.581,59.0,8.0,8.0,16.0,16.0,32.0,124.0,6.45,0.14,0.14,0.27,0.27,0.54,2.1,6.79,0.12,0.0,2.0,0.0,1.0,3.0,33.33,7.0,119.0,5.88,1.0,3.0,33.33
281,Stepan Falkovsky,D,OTT,18.741,58.0,9.0,8.0,15.0,17.0,32.0,104.0,8.65,0.16,0.14,0.26,0.29,0.55,1.79,5.14,0.09,2.0,3.0,66.67,0.0,4.0,0.0,7.0,97.0,7.22,0.0,1.0,0.0
282,Aaron Haydon,D,NIAG,20.192,115.0,13.0,8.0,11.0,21.0,32.0,178.0,7.21,0.12,0.07,0.09,0.19,0.28,1.595,4.075,0.075,2.0,6.0,20.0,0.0,5.0,0.0,11.0,167.0,6.575,3.0,6.0,25.0
283,Giordano Finoro,C,BAR,17.832,110.0,16.0,11.0,4.0,27.0,31.0,165.0,8.645,0.14,0.1,0.04,0.24,0.275,1.48,10.055,0.18,3.0,35.0,8.33,1.0,22.0,5.0,12.0,108.0,8.795,627.0,1163.0,54.625
284,Cullen Mercer,C,FLNT,18.872,103.0,18.0,8.0,5.0,26.0,31.0,158.0,10.8,0.17,0.085,0.04,0.25,0.285,1.565,9.0,0.185,4.0,26.0,15.04,5.0,29.0,17.065,9.0,103.0,8.12,796.0,1587.0,48.12
285,Nick Grima,D,PBO/SAR,17.027,105.0,5.0,10.0,16.0,15.0,31.0,122.0,4.58,0.045,0.085,0.15,0.135,0.285,1.115,2.49,0.045,1.0,2.0,25.0,0.0,4.0,0.0,4.0,116.0,4.235,0.0,0.0,0.0
286,Jake Bricknell,RW,HAM/GUE,18.67,92.0,16.0,10.0,5.0,26.0,31.0,161.0,10.795,0.18,0.1,0.065,0.28,0.34,1.685,5.855,0.125,4.0,12.0,63.635,4.0,23.0,20.535,8.0,126.0,6.315,32.0,83.0,41.14
287,Reagan O'Grady,D,SBY,17.252,121.0,7.0,7.0,17.0,14.0,31.0,134.0,5.015,0.06,0.055,0.145,0.115,0.255,1.1,3.605,0.055,3.0,6.0,37.5,1.0,7.0,16.665,3.0,121.0,2.65,2.0,4.0,50.0
288,Nathan Dunkley,LW,KGN,16.531,58.0,6.0,14.0,11.0,20.0,31.0,81.0,7.41,0.1,0.24,0.19,0.34,0.53,1.4,11.58,0.2,1.0,15.0,6.67,3.0,21.0,14.29,2.0,45.0,4.44,321.0,607.0,52.88
289,Jacob Middleton,D,OTT,19.702,68.0,7.0,13.0,11.0,20.0,31.0,130.0,5.38,0.1,0.19,0.16,0.29,0.46,1.91,7.53,0.11,1.0,6.0,16.67,0.0,6.0,0.0,6.0,118.0,5.08,1.0,2.0,50.0
290,Thomas Schemitsch,D,OS,18.886,51.0,9.0,13.0,9.0,22.0,31.0,102.0,8.82,0.18,0.25,0.18,0.43,0.61,2.0,7.09,0.14,2.0,3.0,66.67,1.0,5.0,20.0,6.0,94.0,6.38,0.0,1.0,0.0
291,Patrick Fellows,LW,ER,18.746,113.0,12.0,8.0,10.0,20.0,30.0,109.0,10.92,0.115,0.07,0.09,0.185,0.275,0.995,6.395,0.115,3.0,26.0,11.905,5.0,15.0,32.145,4.0,68.0,5.905,13.0,31.0,41.665
292,Marian Studenic,RW,HAM,17.884,58.0,18.0,10.0,2.0,28.0,30.0,128.0,14.06,0.31,0.17,0.03,0.48,0.52,2.21,17.96,0.31,4.0,20.0,20.0,6.0,31.0,19.35,8.0,77.0,10.39,8.0,22.0,36.36
293,Daniel Nikandrov,C,SAR/PBO,20.614,67.0,10.0,16.0,4.0,26.0,30.0,71.0,14.08,0.15,0.24,0.06,0.39,0.45,1.06,8.38,0.13,3.0,15.0,20.0,5.0,17.0,29.41,2.0,39.0,5.13,665.0,1182.0,56.26
294,Mike Davies,LW,KIT/SAG,19.108,95.0,16.0,11.0,3.0,27.0,30.0,142.0,10.87,0.165,0.11,0.025,0.275,0.3,1.5,7.985,0.165,4.0,22.0,18.335,7.0,32.0,20.835,5.0,88.0,5.315,14.0,34.0,43.59
295,Kyle Langdon,C,NIAG,17.555,110.0,14.0,12.0,4.0,26.0,30.0,146.0,8.58,0.12,0.1,0.035,0.22,0.255,1.265,6.95,0.12,6.0,18.0,35.385,3.0,22.0,7.5,5.0,106.0,2.975,540.0,1115.0,49.94
296,Otto Makinen,C,SSM,18.322,68.0,7.0,12.0,11.0,19.0,30.0,78.0,8.97,0.1,0.18,0.16,0.28,0.44,1.15,9.75,0.14,5.0,17.0,29.41,0.0,14.0,0.0,2.0,47.0,4.26,346.0,683.0,50.66
297,Lukas Lofquist,LW,OSH,19.664,54.0,17.0,6.0,7.0,23.0,30.0,126.0,13.49,0.31,0.11,0.13,0.43,0.56,2.33,14.74,0.27,6.0,17.0,35.29,4.0,23.0,17.39,7.0,86.0,8.14,7.0,18.0,38.89
298,Danny Desrochers,LW,SBY,20.066,68.0,15.0,8.0,7.0,23.0,30.0,145.0,10.34,0.22,0.12,0.1,0.34,0.44,2.13,14.92,0.22,4.0,23.0,17.39,6.0,23.0,26.09,5.0,99.0,5.05,304.0,707.0,43.0
299,Zach Wilkie,D,NIAG/SBY,19.056,108.0,7.0,14.0,8.0,21.0,29.0,198.0,3.52,0.065,0.13,0.075,0.195,0.27,1.83,4.52,0.085,1.0,7.0,16.665,0.0,9.0,0.0,6.0,182.0,3.315,0.0,1.0,0.0
300,Blake Siebenaler,D,NIAG,19.549,65.0,7.0,10.0,12.0,17.0,29.0,135.0,5.19,0.11,0.15,0.18,0.26,0.45,2.08,7.36,0.11,0.0,4.0,0.0,0.0,3.0,0.0,7.0,128.0,5.47,0.0,2.0,0.0
301,Mark Shoemaker,D,NB,18.464,135.0,4.0,11.0,14.0,15.0,29.0,190.0,2.22,0.03,0.08,0.105,0.11,0.215,1.405,4.02,0.06,0.0,2.0,0.0,0.0,6.0,0.0,4.0,182.0,2.3,0.0,2.0,0.0
302,Jordan Ernst,LW,SAR,19.245,67.0,8.0,11.0,10.0,19.0,29.0,116.0,6.9,0.12,0.16,0.15,0.28,0.43,1.73,7.54,0.11,1.0,1.0,100.0,1.0,12.0,8.33,6.0,103.0,5.83,5.0,10.0,50.0
303,Semyon Der-Arguchintsev,C,PBO,16.0,63.0,7.0,12.0,10.0,19.0,29.0,54.0,12.96,0.11,0.19,0.16,0.3,0.46,0.86,6.33,0.1,1.0,10.0,10.0,4.0,10.0,40.0,2.0,34.0,5.88,166.0,352.0,47.16
304,Josh Coyle,C,PBO,18.637,127.0,17.0,5.0,7.0,22.0,29.0,157.0,10.6,0.13,0.04,0.055,0.175,0.23,1.24,8.02,0.125,3.0,18.0,10.715,6.0,37.0,17.79,8.0,102.0,7.885,356.0,651.0,52.98
305,Jack Hanley,D,HAM,17.906,126.0,3.0,14.0,11.0,17.0,28.0,104.0,2.025,0.02,0.105,0.085,0.13,0.21,0.805,1.855,0.03,1.0,3.0,16.665,0.0,1.0,0.0,2.0,100.0,1.41,0.0,1.0,0.0
306,Chris  Martenet,D,LDN/OTT,19.472,122.0,8.0,8.0,12.0,16.0,28.0,122.0,6.695,0.065,0.065,0.1,0.135,0.235,1.005,2.775,0.045,1.0,4.0,50.0,1.0,5.0,25.0,6.0,113.0,5.32,1.0,1.0,50.0
307,Conor McGlynn,C,KGN,20.241,53.0,15.0,7.0,6.0,22.0,28.0,137.0,10.95,0.28,0.13,0.11,0.42,0.53,2.58,18.5,0.35,4.0,24.0,16.67,5.0,22.0,22.73,6.0,91.0,6.59,149.0,270.0,55.19
