,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,eTOI,eTOI/GP,eG/60,eA1/60,eA2/60,eP1/60,eP/60,eSh/60,exG/60,QoT TOI,QoC TOI,QoT GF%,QoC GF%,GF%Rel,GF%,GF,GA,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
0,Vitalii Abramov,RW,GAT/VIC,18.607,185,129,124,48,253,301,681,19.458,0.725,0.72,0.245,1.442,1.695,3.725,40.352,0.67,1293.388,21.5,2.025,1.995,0.695,4.02,4.715,10.4,1.87,19.16,18.105,59.775,49.602,27.295,73.105,371,149,33,123,29.945,30,135,24.002,66,423,15.72,606,1058,54.4
1,Alex Barre-Boulet,C,DRU/BLB,19.57,195,117,104,65,221,286,732,16.428,0.658,0.542,0.35,1.192,1.545,3.95,35.545,0.542,1431.358,22.025,1.762,1.478,0.955,3.24,4.195,10.745,1.498,19.45,18.322,56.91,50.872,24.672,66.875,355,184,20,99,22.315,29,127,21.86,68,506,13.93,1920,3683,52.595
2,Antoine Morand,C,BAT/HAL,18.699,238,90,113,66,203,269,581,15.647,0.381,0.489,0.292,0.867,1.16,2.45,19.685,0.324,1079.245,18.136,1.255,1.621,0.968,2.882,3.845,8.095,1.066,19.13,17.735,63.745,48.379,16.602,71.454,394,190,28,123,21.624,28,106,28.404,34,352,9.936,1816,3479,53.45
3,Peter Abbandonato,C,ROU,19.602,255,79,114,56,193,249,550,13.848,0.371,0.548,0.305,0.918,1.224,2.69,19.736,0.318,1209.764,19.398,1.11,1.644,0.911,2.751,3.663,8.088,0.951,18.586,17.908,64.755,49.244,9.958,69.936,370,179,19,84,21.388,24,97,26.541,36,369,8.558,1603,3218,50.502
4,Maxime Fortier,RW,HAL,19.001,197,95,89,55,184,239,750,12.538,0.493,0.475,0.245,0.972,1.218,3.955,35.882,0.56,1340.5,20.772,1.43,1.378,0.715,2.8,3.518,11.44,1.62,18.565,18.152,52.268,50.572,14.548,58.23,313,233,34,124,27.142,22,117,17.468,39,509,7.822,120,338,33.752
5,Maxime Comtois,LW,VIC/DRU,18.811,199,116,62,57,178,235,598,23.734,0.928,0.376,0.334,1.305,1.639,3.742,17.794,0.498,777.158,20.251,2.73,1.108,0.984,3.84,4.824,11.051,1.461,19.032,17.986,62.609,49.691,20.211,74.068,336,192,38,103,43.515,21,95,23.789,57,400,19.014,604,1244,43.71
6,Mitchell Balmas,LW/RW,CHA/GAT/BAT/CAP,19.618,257,121,56,50,177,227,786,16.5,0.576,0.266,0.214,0.844,1.059,3.419,24.351,0.397,1186.894,19.492,1.74,0.808,0.664,2.548,3.211,10.446,1.219,18.862,17.978,57.104,49.919,16.445,65.882,365,195,20,84,24.085,26,121,23.084,75,581,13.856,726,1469,49.272
7,Ivan Chekhovich,LW,BAC,18.947,182,93,69,50,162,212,650,14.482,0.555,0.432,0.308,0.99,1.29,3.79,25.597,0.425,1154.64,19.35,1.708,1.332,0.945,3.042,3.982,11.71,1.332,18.582,17.873,57.682,48.428,19.065,67.295,283,150,22,98,22.412,25,125,20.435,46,427,10.37,7,23,32.352
8,Joel Teasdale,LW,BLB/ROU,18.641,235,99,71,39,170,209,682,15.086,0.521,0.35,0.155,0.871,1.026,3.365,30.26,0.512,1163.311,19.738,1.558,1.055,0.475,2.61,3.085,10.13,1.544,19.141,18.245,56.631,52.89,14.688,64.679,328,181,37,158,23.506,23,115,22.66,39,409,9.176,406,838,50.42
9,Jordan Martel,LW/RW,BAC,19.681,244,95,62,41,157,198,734,12.298,0.426,0.308,0.181,0.732,0.916,3.452,20.621,0.353,1014.432,17.202,1.464,1.058,0.621,2.521,3.141,12.001,1.216,17.89,17.62,53.293,48.8,15.224,63.162,278,180,22,80,24.406,24,97,23.964,49,557,8.71,12,59,22.361
10,Nicolas Roy,C,CHI/SHE,18.422,234,92,69,33,161,194,610,8.72,0.272,0.216,0.116,0.494,0.611,2.17,18.39,0.315,912.59,15.658,0.806,0.682,0.401,1.488,1.888,7.696,1.035,17.968,17.855,50.334,52.492,1.225,47.604,267,176,42,131,14.006,19,120,8.746,31,359,6.32,2356,4174,53.078
11,Samuel Asselin,C,SHA/BAT/HAL,19.334,237,78,64,52,142,194,491,17.434,0.472,0.298,0.248,0.775,1.022,2.548,20.383,0.359,1069.506,18.511,1.446,0.958,0.785,2.406,3.191,8.06,1.119,18.022,17.754,58.345,49.704,8.002,62.551,287,185,39,117,31.654,21,87,24.338,18,287,7.406,1978,3549,55.209
