,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,G/GP,A1/GP,A2/GP,P1/GP,P/GP
0,Brandon Kozun,RW,CAL,19.524,65,32,44,31,76,107,0.49,0.68,0.48,1.17,1.65
1,Jordan Eberle,C,REG,19.338,57,50,29,27,79,106,0.88,0.51,0.47,1.39,1.86
2,Jordan Weal,C,REG,17.419,72,35,42,25,77,102,0.49,0.58,0.35,1.07,1.42
3,Matt Calvert,LW,BDN,19.727,68,47,25,27,72,99,0.69,0.37,0.4,1.06,1.46
4,Brayden Schenn,C,BDN,18.067,59,34,45,20,79,99,0.58,0.76,0.34,1.34,1.68
5,Craig Cunningham,C,VAN,19.007,72,37,36,24,73,97,0.51,0.5,0.33,1.01,1.35
6,Mitch Wahl,C,SPO,19.647,72,30,43,23,73,96,0.42,0.6,0.32,1.01,1.33
7,Dustin Sylvester,C,KTN,20.693,68,35,28,30,63,93,0.51,0.41,0.44,0.93,1.37
8,Cody Eakin,C,S.C,18.314,70,47,28,16,75,91,0.67,0.4,0.23,1.07,1.3
9,Scott Glennie,C,BDN,18.563,66,32,32,25,64,89,0.48,0.48,0.38,0.97,1.35
10,Kyle Beach,LW,SPO,19.672,68,52,15,19,67,86,0.76,0.22,0.28,0.99,1.26
11,Aaron Lewadniuk,RW,BDN,20.107,65,37,23,26,60,86,0.57,0.35,0.4,0.92,1.32
12,Derek Hulak,LW,SAS,20.036,72,31,33,20,64,84,0.43,0.46,0.28,0.89,1.17
13,Brendan Shinnimin,C,T.C,18.689,70,27,30,25,57,82,0.39,0.43,0.36,0.81,1.17
14,Chris Francis,C,POR,20.463,72,26,38,18,64,82,0.36,0.53,0.25,0.89,1.14
15,Willie Coetzee,RW,R.D,18.856,72,29,35,17,64,81,0.4,0.49,0.24,0.89,1.12
16,Brendan  Gallagher,RW,VAN,17.361,72,41,25,15,66,81,0.57,0.35,0.21,0.92,1.12
17,C.J. Stretch,C,KAM,20.118,68,30,27,24,57,81,0.44,0.4,0.35,0.84,1.19
18,Jay Fehr,C,BDN,20.54,66,26,30,24,56,80,0.39,0.45,0.36,0.85,1.21
19,Shane Harper,RW,EVT,20.619,72,42,30,8,72,80,0.58,0.42,0.11,1.0,1.11
20,Justin Dowling,C,S.C,18.957,72,32,33,13,65,78,0.44,0.46,0.18,0.9,1.08
21,Tyler Shattock,RW,CAL/KAM,19.614,72,30,33,15,63,78,0.42,0.46,0.21,0.88,1.08
22,Linden Vey,C,M.H,18.166,72,24,33,18,57,75,0.33,0.46,0.25,0.79,1.04
23,Walker Wintoneak,RW,SAS,20.31,70,25,29,20,54,74,0.36,0.41,0.29,0.77,1.06
24,Justin Feser,C,T.C,17.131,72,36,19,18,55,73,0.5,0.26,0.25,0.76,1.01
25,Brooks Macek,RW,T.C,17.336,72,21,27,25,48,73,0.29,0.38,0.35,0.67,1.01
26,Joel Broda,C,CAL,19.809,66,39,23,11,62,73,0.59,0.35,0.17,0.94,1.11
27,Kevin  Connauton,D,VAN,19.56,69,24,28,20,52,72,0.35,0.41,0.29,0.75,1.04
28,Ryan Howse,LW,CWK,18.196,72,47,18,7,65,72,0.65,0.25,0.1,0.9,1.0
29,Craig McCallum,RW,P.A,20.677,72,27,28,17,55,72,0.38,0.39,0.24,0.76,1.0
30,Tyson Barrie,D,KEL,18.141,63,19,21,32,40,72,0.3,0.33,0.51,0.63,1.14
31,Tyler Johnson,C,SPO,19.132,64,36,25,10,61,71,0.56,0.39,0.16,0.95,1.11
32,Wacey Hamilton,C,M.H,19.015,67,24,31,16,55,71,0.36,0.46,0.24,0.82,1.06
33,Johnny Lazo,C,T.C,20.685,72,39,20,12,59,71,0.54,0.28,0.17,0.82,0.99
34,Tyler Maxwell,C,EVT,18.426,72,33,21,15,54,69,0.46,0.29,0.21,0.75,0.96
35,Ryan Johansen,C,POR,17.126,71,25,27,17,52,69,0.35,0.38,0.24,0.73,0.97
36,Shane McColgan,C,KEL,16.704,71,25,22,22,47,69,0.35,0.31,0.31,0.66,0.97
37,Prab Rai,LW,SEA,19.814,67,41,16,12,57,69,0.61,0.24,0.18,0.85,1.03
38,Kellan Tochkin,RW,EVT,18.582,72,28,23,17,51,68,0.39,0.32,0.24,0.71,0.94
39,Brad Ross,LW,POR,17.301,71,27,24,17,51,68,0.38,0.34,0.24,0.72,0.96
