,Name,GP,ROW,GF%,GF,GA,GD,SF%,SF,SA,SD,Sh%,Sv%,PDO
0,Cedar Rapids RoughRiders,58,38,60.43,223,146,77,50.5,1778,1743,35,12.25,0.917,103.97
1,Omaha Lancers,59,36,59.43,208,142,66,55.0,1897,1552,345,10.68,0.914,102.12
2,Souix City Musketeers,57,34,57.49,215,159,56,49.61,1698,1725,-27,12.14,0.91,103.14
3,Lincoln Stars,60,29,53.59,209,181,28,50.43,1869,1837,32,11.09,0.904,101.53
4,Tri-City Storm,58,28,51.74,178,166,12,57.54,1775,1310,465,9.57,0.873,96.9
5,Waterloo Black Hawks,59,26,49.22,158,163,-5,52.35,1780,1620,160,8.52,0.901,98.62
6,Chicago Steel,60,26,47.14,165,185,-20,48.47,1854,1971,-117,8.75,0.908,99.55
7,Sioux Falls Stampede,59,22,46.32,170,197,-27,47.58,1762,1941,-179,9.44,0.902,99.67
8,Green Bay Gamblers,60,20,38.89,140,220,-80,44.62,1683,2089,-406,8.26,0.896,97.9
9,Indiana Ice,60,19,44.8,168,207,-39,47.91,1676,1822,-146,9.81,0.89,98.84
10,Des Moines Buccaneers,60,15,41.75,172,240,-68,48.0,1947,2109,-162,8.69,0.889,97.57
