"#","Name","Pos","Team","Age","GP","G","A1","A2","P1","P","G/GP","A1/GP","A2/GP","P1/GP","P/GP"
"","Bryson Cianfrone","C","MISS","19.584","63","13","25","14","38","52","0.21","0.4","0.22","0.6","0.83"
"","Mathew Campagna","C","PLY","20.521","64","26","12","13","38","51","0.41","0.19","0.2","0.59","0.8"
"","Jeremiah Addison","LW","OTT","17.9","63","19","19","9","38","47","0.3","0.3","0.14","0.6","0.75"
"","Vince Dunn","D","NIAG","17.879","68","18","19","19","37","56","0.26","0.28","0.28","0.54","0.82"
"","Billy  Jenkins","LW","NIAG","20.02","68","15","22","19","37","56","0.22","0.32","0.28","0.54","0.82"
"","Bryan Moore","LW","SSM","20.31","59","23","14","13","37","50","0.39","0.24","0.22","0.63","0.85"
"","Daniel Nikandrov","C","SAR","19.614","68","16","21","12","37","49","0.24","0.31","0.18","0.54","0.72"
"","Josh Sterk","C","LDN/OSH","19.661","60","20","17","10","37","47","0.33","0.28","0.17","0.62","0.78"
"","Conor McGlynn","C","KGN","19.242","67","22","15","1","37","38","0.33","0.22","0.01","0.55","0.57"
"","Mitchell Stephens","C","SAG","17.607","62","22","14","12","36","48","0.35","0.23","0.19","0.58","0.77"
"","Lucas Venuto","RW","WSR/MISS","20.43","68","23","13","12","36","48","0.34","0.19","0.18","0.53","0.71"
"","Nathan Todd","C","OTT","18.788","63","19","17","11","36","47","0.3","0.27","0.17","0.57","0.75"
"","Graham Knott","LW","NIAG","17.67","59","25","11","7","36","43","0.42","0.19","0.12","0.61","0.73"
"","Brenden Miller","D","NB","20.466","65","19","16","20","35","55","0.29","0.25","0.31","0.54","0.85"
"","Sam Babintsev","RW","MISS","19.937","54","18","16","12","34","46","0.33","0.3","0.22","0.63","0.85"
"","Brett Gustavsen","LW","BELV","20.51","67","20","14","8","34","42","0.3","0.21","0.12","0.51","0.63"
"","Josh Burnside","LW","MISS","19.592","66","16","18","7","34","41","0.24","0.27","0.11","0.52","0.62"
"","Jamie Lewis","C","WSR","20.066","57","19","15","7","34","41","0.33","0.26","0.12","0.6","0.72"
"","Connor Brown","LW","SAG","19.152","68","19","15","6","34","40","0.28","0.22","0.09","0.5","0.59"
"","Matt Schmalz","RW","SBY","18.486","66","24","10","6","34","40","0.36","0.15","0.09","0.52","0.61"
"","Brendan Bell","LW","OTT","20.499","62","22","12","5","34","39","0.35","0.19","0.08","0.55","0.63"
"","Pavel Jenys","RW","SBY","18.453","63","15","18","12","33","45","0.24","0.29","0.19","0.52","0.71"
"","Jean Dupuy","C","SSM","19.943","54","18","14","14","32","46","0.33","0.26","0.26","0.59","0.85"
"","Juho Lammikko","C","KGN","18.629","64","18","14","12","32","44","0.28","0.22","0.19","0.5","0.69"
"","Darby Llewellyn","LW","KIT","18.158","68","18","14","9","32","41","0.26","0.21","0.13","0.47","0.6"
"","Hunter Garlent","C","PBO","19.612","52","19","13","8","32","40","0.37","0.25","0.15","0.62","0.77"
"","Brett Welychka","RW","LDN/BELV","20.537","58","17","15","7","32","39","0.29","0.26","0.12","0.55","0.67"
"","Hayden Hodgson","RW","SAR","18.538","59","23","9","6","32","38","0.39","0.15","0.1","0.54","0.64"
"","Victor Crus Rydberg","C","PLY","19.488","55","15","16","14","31","45","0.27","0.29","0.25","0.56","0.82"
"","Logan Brown","C","WSR","16.531","56","17","14","12","31","43","0.3","0.25","0.21","0.55","0.77"
"","Petrus Palmu","RW","OS","17.167","62","22","9","11","31","42","0.35","0.15","0.18","0.5","0.68"
"","Greg  Betzold","LW","PBO","19.516","49","24","7","11","31","42","0.49","0.14","0.22","0.63","0.86"
"","Michael Cramarossa","LW","BELV","18.311","65","13","18","10","31","41","0.2","0.28","0.15","0.48","0.63"
"","Aaron Berisha","RW","LDN/BELV","19.532","63","25","6","10","31","41","0.4","0.1","0.16","0.49","0.65"
"","Kyle Wood","D","NB","18.366","67","16","15","9","31","40","0.24","0.22","0.13","0.46","0.6"
"","Alex Henriksson","RW","NB","19.603","68","20","11","8","31","39","0.29","0.16","0.12","0.46","0.57"
"","Sam Povorozniouk","RW","WSR","19.592","68","15","16","8","31","39","0.22","0.24","0.12","0.46","0.57"
"","Connor Chatham","RW","PLY","18.878","48","17","14","6","31","37","0.35","0.29","0.12","0.65","0.77"
"","Tye Felhaber","LW","SAG","16.113","63","20","11","6","31","37","0.32","0.17","0.1","0.49","0.59"
"","Steven Lorentz","C","PBO","18.423","59","16","15","6","31","37","0.27","0.25","0.1","0.53","0.63"
"","Holden Cook","C","OS","20.135","42","15","16","5","31","36","0.36","0.38","0.12","0.74","0.86"
"","Jakob Chychrun","D","SAR","16.46","42","16","15","2","31","33","0.38","0.36","0.05","0.74","0.79"
"","Chris Marchese","RW","WSR/GUE","20.559","49","17","13","19","30","49","0.35","0.27","0.39","0.61","1.0"
"","Zac Leslie","D","GUE","20.622","57","11","19","18","30","48","0.19","0.33","0.32","0.53","0.84"
"","Evan McEneny","D","KGN","20.318","68","9","21","15","30","45","0.13","0.31","0.22","0.44","0.66"
"","Cristiano DiGiacinto","LW","WSR","18.681","63","21","9","15","30","45","0.33","0.14","0.24","0.48","0.71"
"","Garrett  Hooey","C","BAR","20.288","68","17","13","14","30","44","0.25","0.19","0.21","0.44","0.65"
"","Brandon Devlin","D","MISS","20.386","66","20","10","9","30","39","0.3","0.15","0.14","0.45","0.59"
"","Brent Pedersen","LW","OSH/KIT","19.198","69","17","13","7","30","37","0.25","0.19","0.1","0.43","0.54"
"","Robert Polesello","LW","KGN","20.471","38","17","12","7","29","36","0.45","0.32","0.18","0.76","0.95"
"","Ray Huether","C","NB","20.501","66","12","17","7","29","36","0.18","0.26","0.11","0.44","0.55"
"","Luke Cairns","LW","GUE/SAG","20.299","39","16","13","5","29","34","0.41","0.33","0.13","0.74","0.87"
"","Darren Raddysh","D","ER","18.547","60","14","14","20","28","48","0.23","0.23","0.33","0.47","0.8"
"","Nathan Pancel","LW","PBO/SBY","20.693","64","22","6","15","28","43","0.34","0.09","0.23","0.44","0.67"
"","Niki Petti","C","BELV","18.089","66","18","10","11","28","39","0.27","0.15","0.17","0.42","0.59"
"","Miles  Liberati","D","NB","19.237","67","11","17","10","28","38","0.16","0.25","0.15","0.42","0.57"
"","Pavel Zacha","LW","SAR","17.443","37","16","12","6","28","34","0.43","0.32","0.16","0.76","0.92"
"","Samuel Schutt","LW","KGN","20.425","65","16","12","3","28","31","0.25","0.18","0.05","0.43","0.48"
"","Cody Payne","RW","NIAG","20.668","53","13","15","3","28","31","0.25","0.28","0.06","0.53","0.58"
"","Travis  Dermott","D","ER","17.731","61","8","19","18","27","45","0.13","0.31","0.3","0.44","0.74"
"","Chris  Carlisle","D","OSH","19.749","68","7","20","17","27","44","0.1","0.29","0.25","0.4","0.65"
"","Mikkel Aagaard","C","NIAG","18.911","59","15","12","14","27","41","0.25","0.2","0.24","0.46","0.69"
"","Sam  Studnicka","C","OTT","19.666","57","18","9","7","27","34","0.32","0.16","0.12","0.47","0.6"
"","Nick Magyar","RW","KIT","18.297","65","16","11","5","27","32","0.25","0.17","0.08","0.42","0.49"
"","Artem Artemov","RW","SAG","17.66","68","14","13","5","27","32","0.21","0.19","0.07","0.4","0.47"
"","Markus Soberg","RW","WSR","19.401","61","13","14","3","27","30","0.21","0.23","0.05","0.44","0.49"
"","Julius  Bergman","D","LDN","18.87","60","13","13","16","26","42","0.22","0.22","0.27","0.43","0.7"
"","Stephen Pierog","C","GUE/SAR","20.274","68","13","13","14","26","40","0.19","0.19","0.21","0.38","0.59"
"","Kyle Capobianco","D","SBY","17.09","68","10","16","14","26","40","0.15","0.24","0.21","0.38","0.59"
"","Anthony Cirelli","C","OSH","17.169","68","13","13","10","26","36","0.19","0.19","0.15","0.38","0.53"
"","Stephen Harper","C","BELV","19.477","62","16","10","10","26","36","0.26","0.16","0.16","0.42","0.58"
"","Davis Brown","LW","SAR","19.209","57","20","6","8","26","34","0.35","0.11","0.14","0.46","0.6"
"","Chandler Yakimowicz","RW","LDN","18.637","63","13","13","7","26","33","0.21","0.21","0.11","0.41","0.52"
"","Brett McKenzie","C","NB","17.512","68","11","15","6","26","32","0.16","0.22","0.09","0.38","0.47"
"","Nathan Bastian","RW","MISS","16.775","68","17","9","3","26","29","0.25","0.13","0.04","0.38","0.43"
"","Taylor Raddysh","RW","ER","16.573","58","21","5","1","26","27","0.36","0.09","0.02","0.45","0.47"
"","Jordan Kyrou","RW","SAR","16.364","63","13","12","11","25","36","0.21","0.19","0.17","0.4","0.57"
"","Gustaf Franzen","C","KIT","17.98","65","15","10","9","25","34","0.23","0.15","0.14","0.38","0.52"
"","Hayden McCool","LW","NIAG/WSR","17.43","64","15","10","9","25","34","0.23","0.16","0.14","0.39","0.53"
"","Will Bitten","C","PLY","16.184","63","15","10","6","25","31","0.24","0.16","0.1","0.4","0.49"
"","Troy Lajeunesse","C","SAR","17.323","64","12","13","6","25","31","0.19","0.2","0.09","0.39","0.48"
"","Tyler Hill","LW","OTT/GUE","19.425","60","14","11","5","25","30","0.23","0.18","0.08","0.42","0.5"
"","Ethan Szypula","C","OS","17.629","59","10","15","4","25","29","0.17","0.25","0.07","0.42","0.49"
"","Thomas Schemitsch","D","OS","17.887","68","14","10","25","24","49","0.21","0.15","0.37","0.35","0.72"
"","Kyle Jenkins","D","SSM/PBO","18.399","70","7","17","12","24","36","0.1","0.24","0.17","0.34","0.51"
"","Trent Fox","LW","ER/BELV","17.167","64","13","11","9","24","33","0.2","0.17","0.14","0.38","0.52"
"","Corey Pawley","LW","KGN","19.699","67","8","16","7","24","31","0.12","0.24","0.1","0.36","0.46"
"","Anthony Stefano","LW","WSR/PBO","18.697","62","11","13","6","24","30","0.18","0.21","0.1","0.39","0.48"
"","Kurtis MacDermid","D","ER","20.477","61","8","15","17","23","40","0.13","0.25","0.28","0.38","0.66"
"","Max Iafrate","D","KIT","20.469","59","12","11","13","23","36","0.2","0.19","0.22","0.39","0.61"
"","Mathieu Henderson","D","PLY","18.689","68","5","18","11","23","34","0.07","0.26","0.16","0.34","0.5"
"","Jesse Barwell","LW","MISS/SAG","17.356","63","13","10","9","23","32","0.21","0.16","0.14","0.37","0.51"
"","David Tomasek","C","BELV","18.596","61","13","10","8","23","31","0.21","0.16","0.13","0.38","0.51"
"","Adam Mascherin","LW","KIT","16.277","62","12","11","6","23","29","0.19","0.18","0.1","0.37","0.47"
"","Mathew Santos","RW","NB","19.502","67","11","12","6","23","29","0.16","0.18","0.09","0.34","0.43"
"","Everett Clark","C","MISS","18.648","64","11","12","4","23","27","0.17","0.19","0.06","0.36","0.42"
"","Blake Siebenaler","D","NIAG","18.549","66","12","10","15","22","37","0.18","0.15","0.23","0.33","0.56"
"","Kevin  Spinozzi","D","SAR","18.314","67","7","15","13","22","35","0.1","0.22","0.19","0.33","0.52"
"","Darnell Nurse","D","SSM","19.612","36","10","12","11","22","33","0.28","0.33","0.31","0.61","0.92"
"","Michael McLeod","C","MISS","16.614","63","12","10","7","22","29","0.19","0.16","0.11","0.35","0.46"
"","Kyle Pettit","C","ER","18.656","60","16","6","5","22","27","0.27","0.1","0.08","0.37","0.45"
"","Brandon Lindberg","C","SAR","17.974","59","13","9","5","22","27","0.22","0.15","0.08","0.37","0.46"
"","Jacob Harris","C","SBY","19.617","53","12","10","4","22","26","0.23","0.19","0.08","0.42","0.49"
"","Mason Marchment","LW","ER","19.245","54","8","13","5","21","26","0.15","0.24","0.09","0.39","0.48"
"","Mike Davies","LW","KIT","17.607","62","12","9","4","21","25","0.19","0.15","0.06","0.34","0.4"
"","Gustav  Bouramman","D","SSM","17.64","67","5","15","24","20","44","0.07","0.22","0.36","0.3","0.66"
"","Patrick Murphy","D","ER","19.68","56","6","14","11","20","31","0.11","0.25","0.2","0.36","0.55"
"","Matt Luff","RW","BELV","17.364","64","9","11","11","20","31","0.14","0.17","0.17","0.31","0.48"
"","Dakota Mermis","D","LDN/OSH","20.693","66","6","14","10","20","30","0.09","0.21","0.15","0.3","0.45"
"","Brandon Saigeon","C","BELV","16.255","62","8","12","6","20","26","0.13","0.19","0.1","0.32","0.42"
"","Tyler Boston","C","GUE","17.227","55","10","10","3","20","23","0.18","0.18","0.05","0.36","0.42"
"","Jake Marchment","C","ER/BELV","19.324","51","10","10","3","20","23","0.2","0.2","0.06","0.39","0.45"
"","Aaron Luchuk","C","WSR","17.446","67","10","10","3","20","23","0.15","0.15","0.04","0.3","0.34"
"","Sean Day","D","MISS","16.682","61","10","9","17","19","36","0.16","0.15","0.28","0.31","0.59"
"","Curtis Meighan","C","OTT/KIT","20.471","67","7","12","9","19","28","0.1","0.18","0.13","0.28","0.42"
"","Alexandre Renaud","LW","SAR","18.552","65","13","6","9","19","28","0.2","0.09","0.14","0.29","0.43"
"","Jeff Corbett","D","SBY","19.987","65","8","11","8","19","27","0.12","0.17","0.12","0.29","0.42"
"","Keigan Goetz","RW","SSM","18.021","62","10","9","6","19","25","0.16","0.15","0.1","0.31","0.4"
"","Ryan Mantha","D","NIAG","18.243","52","10","9","6","19","25","0.19","0.17","0.12","0.37","0.48"
"","Sam Harding","C","OSH","17.46","60","12","7","5","19","24","0.2","0.12","0.08","0.32","0.4"
"","Connor Graham","LW","OTT","18.703","60","9","10","5","19","24","0.15","0.17","0.08","0.32","0.4"
"","Cordell James","C","BAR","18.254","66","9","10","4","19","23","0.14","0.15","0.06","0.29","0.35"
"","Vladislav Kodola","C","SAR/SAG","17.876","56","7","12","4","19","23","0.12","0.21","0.07","0.34","0.41"
"","Givani Smith","RW","BAR/GUE","16.548","61","7","12","0","19","19","0.11","0.2","0.0","0.31","0.31"
"","Adam Laishram","C","BELV","17.438","56","11","7","12","18","30","0.2","0.12","0.21","0.32","0.54"
"","Jacob Middleton","D","OTT","18.703","64","4","14","9","18","27","0.06","0.22","0.14","0.28","0.42"
"","Owen MacDonald","C","LDN","18.311","60","10","8","9","18","27","0.17","0.13","0.15","0.3","0.45"
"","Kyle Maksimovich","LW","ER","16.518","56","6","12","6","18","24","0.11","0.21","0.11","0.32","0.43"
"","Sam Bennett","C","KGN","18.237","11","11","7","6","18","24","1.0","0.64","0.55","1.64","2.18"
"","Stephen Desrocher","D","OSH","18.637","66","10","8","5","18","23","0.15","0.12","0.08","0.27","0.35"
"","Victor Mete","D","LDN","16.274","58","7","11","5","18","23","0.12","0.19","0.09","0.31","0.4"
"","Danny Desrochers","LW","SBY","19.067","66","13","5","4","18","22","0.2","0.08","0.06","0.27","0.33"
"","Travis Barron","LW","OTT","16.08","64","12","6","3","18","21","0.19","0.09","0.05","0.28","0.33"
"","Damir Sharipzyanov","D","OS","18.577","66","9","8","17","17","34","0.14","0.12","0.26","0.26","0.52"
"","Stefan LeBlanc","D","MISS","18.5","64","8","9","8","17","25","0.12","0.14","0.12","0.27","0.39"
"","Kris Bennett","C","SAG","18.692","61","8","9","7","17","24","0.13","0.15","0.11","0.28","0.39"
"","Jacob Ringuette","D","SAG","20.285","65","9","8","7","17","24","0.14","0.12","0.11","0.26","0.37"
"","Chad Heffernan","LW","BELV/SBY","18.484","56","11","6","5","17","22","0.2","0.11","0.09","0.3","0.39"
"","Trent Mallette","RW","SSM/OTT","18.059","61","10","7","1","17","18","0.16","0.11","0.02","0.28","0.3"
"","Roland McKeown","D","KGN","18.653","65","7","9","16","16","32","0.11","0.14","0.25","0.25","0.49"
"","Ben Harpur","D","BAR/GUE","19.675","57","5","11","15","16","31","0.09","0.19","0.26","0.28","0.54"
"","Santino Centorame","D","OS","18.382","66","5","11","14","16","30","0.08","0.17","0.21","0.24","0.45"
"","Matt  Spencer","D","PBO","17.479","67","6","10","14","16","30","0.09","0.15","0.21","0.24","0.45"
"","Dmitrii Sergeev","D","KIT","18.473","54","5","11","12","16","28","0.09","0.2","0.22","0.3","0.52"
"","Aaron Haydon","D","NIAG","18.692","60","8","8","9","16","25","0.13","0.13","0.15","0.27","0.42"
"","Aidan Wallace","C","OSH","19.414","65","12","4","8","16","24","0.18","0.06","0.12","0.25","0.37"
"","Joe Manchurek","LW","OSH","18.098","56","5","11","8","16","24","0.09","0.2","0.14","0.29","0.43"
"","Jared Steege","LW","NB/KGN","18.689","67","11","5","7","16","23","0.16","0.07","0.1","0.24","0.34"
"","Luke Kirwan","LW","WSR","16.978","59","7","9","3","16","19","0.12","0.15","0.05","0.27","0.32"
"","Patrick White","C","SAR","18.588","43","11","5","1","16","17","0.26","0.12","0.02","0.37","0.4"
"","Marcus McIvor","D","NB","20.323","68","5","10","23","15","38","0.07","0.15","0.34","0.22","0.56"
"","Alex Lintuniemi","D","OTT","18.979","58","7","8","21","15","36","0.12","0.14","0.36","0.26","0.62"
"","Frank Hora","D","KIT","18.289","66","4","11","18","15","33","0.06","0.17","0.27","0.23","0.5"
"","Ryan Moore","LW","WSR/PLY","17.435","57","7","8","14","15","29","0.12","0.14","0.25","0.26","0.51"
"","Tim Gettinger","LW","SSM","16.422","54","10","5","10","15","25","0.19","0.09","0.19","0.28","0.46"
"","Troy Donnay","D","ER","20.573","45","4","11","8","15","23","0.09","0.24","0.18","0.33","0.51"
"","Jeff King","D","SAR","18.56","59","2","13","8","15","23","0.03","0.22","0.14","0.25","0.39"
"","Colton White","D","SSM","17.369","67","6","9","7","15","22","0.09","0.13","0.1","0.22","0.33"
"","Devon Paliani","C","SAG/SBY","17.931","64","8","7","6","15","21","0.12","0.11","0.09","0.23","0.33"
"","Jonathan Ang","C","PBO","16.622","59","10","5","5","15","20","0.17","0.08","0.08","0.25","0.34"
"","Anthony Salinitri","LW","SSM/SAR","16.531","50","8","7","4","15","19","0.16","0.14","0.08","0.3","0.38"
"","Mitch Jones","D","PLY","19.601","58","9","6","3","15","18","0.16","0.1","0.05","0.26","0.31"
"","Roy Radke","RW","BAR","17.764","64","9","6","3","15","18","0.14","0.09","0.05","0.23","0.28"
"","Ben Fanjoy","C","OTT","17.35","52","9","6","2","15","17","0.17","0.12","0.04","0.29","0.33"
"","Aiden  Jamieson","D","LDN","18.481","68","0","14","16","14","30","0.0","0.21","0.24","0.21","0.44"
"","Michael Webster","D","BAR","19.313","62","6","8","9","14","23","0.1","0.13","0.15","0.23","0.37"
"","Justin Lemcke","D","BELV","17.586","64","9","5","9","14","23","0.14","0.08","0.14","0.22","0.36"
"","Josh Brown","D","OSH","20.649","60","4","10","7","14","21","0.07","0.17","0.12","0.23","0.35"
"","Zach Bratina","LW","NB","18.692","30","7","7","7","14","21","0.23","0.23","0.23","0.47","0.7"
"","Brody Silk","LW","SBY","19.792","57","9","5","6","14","20","0.16","0.09","0.11","0.25","0.35"
"","Ryan Verbeek","LW","KGN","18.286","47","7","7","5","14","19","0.15","0.15","0.11","0.3","0.4"
"","Ivan Kashtanov","LW","SBY","17.555","67","6","8","3","14","17","0.09","0.12","0.04","0.21","0.25"
"","Jonathan Laser","D","BAR","20.08","68","1","12","8","13","21","0.01","0.18","0.12","0.19","0.31"
"","Noah Bushnell","RW","SAR","17.295","52","10","3","5","13","18","0.19","0.06","0.1","0.25","0.35"
"","Yannick Rathgeb","D","PLY","18.894","34","5","8","3","13","16","0.15","0.24","0.09","0.38","0.47"
"","Josh Maguire","LW","PBO","18.21","68","8","5","3","13","16","0.12","0.07","0.04","0.19","0.24"
"","Kenny Huether","RW","OSH","17.109","53","11","2","2","13","15","0.21","0.04","0.04","0.25","0.28"
"","Nevin Guy","D","OTT","19.264","68","1","11","17","12","29","0.01","0.16","0.25","0.18","0.43"
"","Dominik Masin","D","PBO","18.621","48","7","5","14","12","26","0.15","0.1","0.29","0.25","0.54"
"","Bobby MacIntyre","LW","MISS","18.018","59","5","7","12","12","24","0.08","0.12","0.2","0.2","0.41"
"","Connor Boland","D","SSM/PBO","19.795","61","4","8","10","12","22","0.07","0.13","0.16","0.2","0.36"
"","Evan de Haan","D","OTT/SBY","19.582","54","4","8","10","12","22","0.07","0.15","0.19","0.22","0.41"
"","Charley Graaskamp","C","SSM/SBY","18.623","60","6","6","9","12","21","0.1","0.1","0.15","0.2","0.35"
