,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,eTOI,eTOI/GP,eG/60,eA1/60,eA2/60,eP1/60,eP/60,eSh/60,exG/60,QoT TOI,QoC TOI,QoT GF%,QoC GF%,GF%Rel,GF%,GF,GA,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
0,Conor Garland,RW,MON,19.513,62,39,59,30,98,128,341,11.44,0.63,0.95,0.48,1.58,2.06,5.5,42.51,0.69,1474.52,23.78,1.59,2.4,1.22,3.99,5.21,13.88,1.73,18.43,18.3,54.3,49.13,31.07,67.74,147,70,4,33,12.12,10,48,20.83,25,260,9.62,13,32,40.62
1,Francis Perron,LW,ROU,19.409,62,41,45,22,86,108,258,15.89,0.66,0.73,0.35,1.39,1.74,4.16,32.92,0.53,1324.91,21.37,1.86,2.04,1.0,3.89,4.89,11.68,1.49,19.45,18.76,64.81,52.92,9.22,68.09,128,60,8,27,29.63,10,35,28.57,23,196,11.73,38,94,40.43
2,Pierre-Luc Dubois,LW,CAP,17.227,62,42,40,17,82,99,236,17.8,0.68,0.65,0.27,1.32,1.6,3.81,39.51,0.64,1275.21,20.57,1.98,1.88,0.8,3.86,4.66,11.1,1.86,19.2,18.41,58.38,50.4,23.06,69.27,133,59,13,54,24.07,10,36,27.78,19,146,13.01,425,843,50.42
3,Alexis D'Aoust,RW,SHA,19.45,68,44,39,15,83,98,290,15.17,0.65,0.57,0.22,1.22,1.44,4.26,43.99,0.65,1494.99,21.99,1.77,1.57,0.6,3.33,3.93,11.64,1.77,19.31,18.11,59.17,48.68,27.39,70.62,149,62,15,60,25.0,10,54,18.52,19,176,10.8,14,39,35.9
4,Vitalii Abramov,RW,GAT,17.356,63,38,35,20,73,93,221,17.19,0.6,0.56,0.32,1.16,1.48,3.51,39.59,0.63,1247.73,19.81,1.83,1.68,0.96,3.51,4.47,10.63,1.9,18.65,17.66,62.27,47.13,30.7,78.38,116,32,8,39,20.51,9,44,20.45,21,138,15.22,12,28,42.86
5,Anthony Beauregard,C,VDO,19.833,67,30,41,22,71,93,185,16.22,0.45,0.61,0.33,1.06,1.39,2.76,27.49,0.41,1272.11,18.99,1.41,1.93,1.04,3.35,4.39,8.73,1.3,19.5,18.4,61.13,52.17,11.93,67.22,121,59,7,22,31.82,7,32,21.88,16,131,12.21,817,1451,56.31
6,Nicolas Roy,C,CHI,18.607,63,48,26,16,74,90,251,19.12,0.76,0.41,0.25,1.17,1.43,3.98,43.99,0.7,1414.85,22.46,2.04,1.1,0.68,3.14,3.82,10.64,1.87,19.26,18.34,58.12,48.42,32.73,70.11,122,52,25,68,36.76,10,55,18.18,13,128,10.16,913,1510,60.46
7,Michael Carcone,LW,DRU,19.324,66,47,28,14,75,89,231,20.35,0.71,0.42,0.21,1.14,1.35,3.5,30.73,0.47,1504.08,22.79,1.87,1.12,0.56,2.99,3.55,9.21,1.23,19.8,18.32,48.52,52.58,38.23,61.76,126,78,12,45,26.67,14,35,40.0,21,151,13.91,10,33,30.3
8,Alex Barre-Boulet,C,DRU,18.319,65,35,36,18,71,89,199,17.59,0.54,0.55,0.28,1.09,1.37,3.06,32.09,0.49,1440.19,22.16,1.46,1.5,0.75,2.96,3.71,8.29,1.34,19.88,18.33,48.73,52.69,38.82,62.56,122,73,5,31,16.13,12,43,27.91,18,125,14.4,770,1485,51.85
9,Michael Joly,RW,RIM/CAP,20.365,60,47,27,14,74,88,238,19.75,0.78,0.45,0.23,1.23,1.47,3.97,41.19,0.69,1296.53,21.61,2.18,1.25,0.65,3.42,4.07,11.01,1.91,19.1,18.54,56.88,50.66,20.33,66.85,119,59,14,43,32.56,8,47,17.02,25,148,16.89,12,31,38.71
