,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP
187,Erik Foley,F,CR,17.21,55,27,17,10,44,54,151,17.88,0.49,0.31,0.18,0.8,0.98,2.75
188,Matej Pekar,LW,MUS,17.597,56,14,26,14,40,54,161,8.7,0.25,0.46,0.25,0.71,0.96,2.88
189,Matthew Barry,C,YNG,20.039,57,17,22,15,39,54,112,15.18,0.3,0.39,0.26,0.68,0.95,1.96
190,Samuel Bucek,RW,CHI,17.74,67,24,20,10,44,54,132,20.46,0.315,0.295,0.12,0.605,0.73,1.645
191,Trevor Zegras,C,USA,16.99,47,17,19,17,36,53,93,17.875,0.365,0.455,0.35,0.825,1.17,2.09
192,Devlin McCabe,RW,LIN/SC,17.757,105,23,17,13,40,53,194,11.385,0.215,0.165,0.12,0.375,0.5,1.825
193,Philippe Lapointe,RW,LIN/CIL,18.044,103,15,26,12,41,53,158,9.485,0.15,0.255,0.12,0.405,0.525,1.57
194,Lean Bergmann,RW,SF/GB,18.199,125,23,17,13,40,53,220,10.62,0.188,0.135,0.108,0.322,0.43,1.76
195,Andrew Oglevie,F,CR,19.579,50,21,19,13,40,53,128,16.41,0.42,0.38,0.26,0.8,1.06,2.56
196,Chayse Primeau,C,LIN/DBQ,19.25,108,26,19,8,45,53,176,10.922,0.215,0.155,0.06,0.368,0.428,1.51
197,Patrick Curry,F,BLM,19.183,115,26,20,7,46,53,243,10.44,0.22,0.17,0.06,0.4,0.455,2.1
198,Tyler Sheehy,F,YNG/WAT,18.82,56,17,22,14,39,53,212,8.02,0.3,0.39,0.25,0.7,0.95,3.79
199,Bryan Yoon,RD,TC,18.633,121,5,21,27,26,53,160,2.332,0.032,0.143,0.192,0.178,0.365,1.098
200,Jakob Forsbacka-Karlsson,F,OMA,17.873,50,15,21,17,36,53,117,12.82,0.3,0.42,0.34,0.72,1.06,2.34
201,Grant Gabriele,D,USA/MUS/CHI/OMA/WAT,18.663,123,14,16,22,30,52,165,7.203,0.108,0.152,0.2,0.252,0.455,1.412
202,Curtis Hall,C,YNG,16.888,113,20,21,11,41,52,163,11.985,0.18,0.19,0.1,0.37,0.465,1.455
203,Parker Ford,RW/C,SC,17.656,91,23,21,8,44,52,197,11.495,0.27,0.24,0.085,0.505,0.59,2.21
204,Jordan Timmons,RW,SC/MUS/CR,18.142,88,27,18,7,45,52,210,10.352,0.26,0.15,0.068,0.41,0.478,1.848
