,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
0,Nick Suzuki,C,OS/GUE,18.225,251.0,141.0,113.0,74.0,254.0,328.0,1007.0,13.375,0.581,0.514,0.354,1.094,1.445,4.315,32.618,0.53,30.0,135.0,20.146,29.0,143.0,19.682,82.0,729.0,10.758,1539.0,2953.0,53.106
1,Jason Robertson,RW,KGN/NIAG,18.277,252.0,149.0,96.0,72.0,245.0,317.0,1017.0,15.19,0.654,0.481,0.346,1.142,1.487,4.33,37.121,0.58,28.0,128.0,21.889,35.0,194.0,17.442,86.0,695.0,13.43,10.0,32.0,30.51
2,Morgan Frost,C,SSM,18.466,257.0,106.0,134.0,70.0,240.0,310.0,654.0,15.892,0.529,0.672,0.325,1.199,1.526,3.24,24.432,0.401,27.0,86.0,30.185,16.0,77.0,16.528,63.0,491.0,12.898,2079.0,4052.0,51.019
3,Kevin Hancock,LW/C,OS/LDN,19.665,257.0,119.0,110.0,60.0,229.0,289.0,956.0,13.056,0.562,0.495,0.242,1.059,1.299,4.216,28.529,0.444,26.0,98.0,30.355,26.0,137.0,18.822,67.0,721.0,9.889,1901.0,3521.0,55.164
4,Kyle Maksimovich,LW,ER/OTT,19.644,264.0,109.0,100.0,73.0,209.0,282.0,680.0,16.89,0.461,0.37,0.279,0.836,1.115,2.715,21.564,0.328,20.0,90.0,20.202,31.0,114.0,29.192,58.0,476.0,12.83,156.0,374.0,40.57
5,Adam Mascherin,LW,KIT,18.528,197.0,110.0,100.0,57.0,210.0,267.0,792.0,14.392,0.57,0.51,0.262,1.072,1.338,3.965,32.22,0.49,17.0,83.0,19.672,14.0,116.0,12.355,79.0,593.0,14.132,44.0,115.0,40.09
6,Taylor Raddysh,RW,ER/SSM,18.823,183.0,99.0,106.0,60.0,205.0,265.0,655.0,15.27,0.555,0.58,0.322,1.135,1.458,3.61,31.928,0.535,26.0,127.0,20.53,16.0,114.0,15.028,57.0,414.0,13.718,87.0,157.0,55.29
7,Jordan Kyrou,RW,SAR,18.615,187.0,86.0,95.0,73.0,181.0,254.0,558.0,17.622,0.528,0.565,0.435,1.092,1.525,2.975,26.078,0.432,23.0,93.0,24.608,17.0,95.0,19.455,46.0,370.0,15.503,348.0,696.0,49.608
8,Matthew Strome,LW,HAM,18.816,260.0,115.0,78.0,54.0,193.0,247.0,679.0,16.061,0.445,0.341,0.251,0.786,1.038,2.775,27.338,0.415,55.0,170.0,30.069,21.0,123.0,15.972,39.0,386.0,9.93,362.0,808.0,44.761
9,Owen Tippett,RW,MISS/SAG,18.704,213.0,128.0,67.0,49.0,195.0,244.0,921.0,13.366,0.612,0.372,0.275,0.985,1.261,4.653,28.574,0.531,30.0,97.0,25.756,29.0,137.0,23.399,69.0,687.0,9.622,80.0,174.0,45.601
10,Tye Felhaber,LW/RW,SAG/OTT,19.238,246.0,121.0,76.0,47.0,197.0,244.0,842.0,15.63,0.609,0.361,0.231,0.975,1.208,3.774,28.005,0.435,22.0,84.0,26.598,25.0,135.0,20.246,74.0,623.0,13.15,341.0,723.0,51.028
11,Ben Jones,C,NIAG,18.676,260.0,89.0,101.0,50.0,190.0,240.0,619.0,15.032,0.446,0.502,0.209,0.948,1.158,2.811,24.93,0.37,36.0,143.0,25.688,23.0,85.0,28.615,30.0,391.0,8.39,2207.0,4252.0,51.596
12,Justin Brazeau,RW,NB,19.742,268.0,128.0,76.0,34.0,204.0,238.0,804.0,16.322,0.645,0.379,0.175,1.026,1.199,3.709,32.74,0.482,36.0,136.0,23.619,33.0,149.0,24.472,59.0,519.0,11.738,51.0,144.0,33.726
13,Anthony Salinitri,LW,SAR/OSH,19.657,263.0,120.0,66.0,48.0,186.0,234.0,770.0,16.078,0.541,0.282,0.211,0.826,1.032,3.293,29.225,0.439,34.0,133.0,25.898,29.0,139.0,20.895,57.0,498.0,12.094,1043.0,2067.0,50.868
14,Austen Keating,C,OTT,18.652,249.0,81.0,88.0,64.0,169.0,233.0,552.0,14.684,0.329,0.413,0.301,0.744,1.045,2.289,21.619,0.331,26.0,121.0,21.228,22.0,108.0,20.956,33.0,323.0,9.951,658.0,1343.0,49.885
15,Jack Studnicka,C,OSH/NIAG,18.699,252.0,80.0,94.0,59.0,174.0,233.0,664.0,13.149,0.425,0.416,0.275,0.841,1.116,3.046,22.116,0.358,25.0,103.0,25.094,25.0,129.0,19.631,30.0,432.0,8.135,2047.0,3896.0,52.471
16,Akil Thomas,RW/C,NIAG,17.954,192.0,81.0,82.0,68.0,163.0,231.0,548.0,15.688,0.465,0.468,0.365,0.94,1.305,2.945,22.558,0.352,20.0,77.0,27.228,18.0,89.0,21.08,43.0,382.0,11.79,1185.0,2211.0,52.543
17,Alex DeBrincat,RW,ER,18.243,123.0,116.0,64.0,48.0,180.0,228.0,577.0,20.03,0.94,0.52,0.39,1.46,1.85,4.685,44.63,0.72,18.0,57.0,31.665,23.0,84.0,27.38,75.0,436.0,17.035,281.0,522.0,53.645
18,Aaron Luchuk,C,WSR/BAR,19.696,204.0,105.0,75.0,47.0,180.0,227.0,632.0,16.738,0.572,0.408,0.282,0.975,1.257,3.355,31.805,0.47,38.0,128.0,29.76,22.0,95.0,23.422,45.0,409.0,11.098,2152.0,4051.0,53.642
19,Joseph Garreffa,RW,KIT,18.228,245.0,72.0,76.0,77.0,148.0,225.0,491.0,13.542,0.335,0.348,0.348,0.682,1.03,2.365,16.285,0.249,19.0,68.0,26.371,14.0,72.0,18.015,39.0,351.0,10.491,367.0,724.0,55.975
20,Brandon Saigeon,C,HAM/OSH,19.38,242.0,97.0,74.0,54.0,171.0,225.0,743.0,12.992,0.456,0.36,0.262,0.816,1.079,3.384,23.45,0.361,20.0,84.0,27.702,22.0,103.0,24.915,55.0,556.0,9.559,1864.0,3614.0,50.539
21,Lucas Chiodo,LW,BAR/OTT,19.0,253.0,82.0,82.0,57.0,164.0,221.0,460.0,17.41,0.368,0.374,0.26,0.742,1.002,2.004,18.776,0.284,20.0,81.0,28.215,18.0,86.0,18.945,44.0,293.0,14.305,13.0,42.0,27.778
22,Dmitry Sokolov,RW,SBY/BAR,18.672,196.0,128.0,55.0,37.0,183.0,220.0,767.0,17.055,0.688,0.31,0.225,0.997,1.22,3.992,37.645,0.582,29.0,87.0,35.58,31.0,108.0,28.685,68.0,572.0,12.152,11.0,27.0,39.642
23,Kirill Maksimov,RW,SAG/NIAG,18.416,245.0,101.0,69.0,48.0,170.0,218.0,691.0,15.046,0.506,0.324,0.239,0.83,1.069,3.224,23.382,0.374,20.0,87.0,21.811,23.0,105.0,21.845,58.0,499.0,12.65,19.0,55.0,39.488
24,Isaac Ratcliffe,LW,GUE,18.707,245.0,124.0,51.0,42.0,175.0,217.0,790.0,16.089,0.604,0.235,0.181,0.84,1.019,3.579,30.784,0.471,27.0,133.0,20.019,37.0,150.0,24.355,60.0,507.0,12.151,52.0,141.0,33.524
25,Sasha Chmelevski,C,OTT/SAR,18.394,214.0,102.0,67.0,43.0,169.0,212.0,720.0,15.311,0.538,0.38,0.208,0.918,1.128,3.53,23.386,0.409,21.0,90.0,24.359,23.0,119.0,18.028,58.0,511.0,13.041,1724.0,2996.0,58.707
26,Alan Lyszczarczyk,C/LW,SBY/OS/MISS,19.7,251.0,87.0,73.0,45.0,160.0,205.0,776.0,11.701,0.446,0.337,0.189,0.786,0.971,3.682,26.84,0.426,30.0,130.0,25.166,15.0,122.0,13.051,42.0,524.0,8.486,89.0,217.0,43.372
27,Domenico Commisso,C,OSH/GUE,19.695,258.0,70.0,80.0,51.0,150.0,201.0,552.0,11.45,0.241,0.279,0.202,0.52,0.722,2.094,15.782,0.25,19.0,85.0,21.038,20.0,96.0,21.82,31.0,371.0,7.226,1917.0,3560.0,55.185
28,Cliff Pu,C,LDN/KGN,18.536,191.0,76.0,72.0,53.0,148.0,201.0,494.0,14.675,0.412,0.43,0.272,0.842,1.11,2.735,26.672,0.412,20.0,111.0,17.43,24.0,98.0,24.972,32.0,285.0,10.378,1772.0,3023.0,59.162
29,Evan Bouchard,D,LDN,18.03,223.0,54.0,82.0,65.0,136.0,201.0,680.0,7.636,0.299,0.444,0.301,0.745,1.046,3.728,13.648,0.255,6.0,24.0,22.439,3.0,24.0,5.77,45.0,632.0,7.131,0.0,0.0,0.0
30,Boris Katchouk,RW/LW,SSM,18.495,187.0,101.0,66.0,33.0,167.0,200.0,503.0,20.442,0.588,0.392,0.195,0.98,1.18,2.867,27.635,0.457,31.0,103.0,30.868,23.0,94.0,23.705,47.0,306.0,15.968,125.0,262.0,48.075
31,Ivan Lodnia,RW,ER/NIAG,18.167,231.0,79.0,74.0,47.0,153.0,200.0,679.0,10.791,0.37,0.368,0.23,0.745,0.974,3.635,22.066,0.439,20.0,104.0,17.672,21.0,126.0,16.285,38.0,449.0,7.629,437.0,1087.0,41.202
32,Ryan Moore,LW,FLNT/HAM,19.685,199.0,82.0,68.0,48.0,150.0,198.0,594.0,12.92,0.38,0.338,0.265,0.718,0.982,2.932,23.78,0.36,15.0,81.0,19.035,25.0,90.0,22.32,42.0,423.0,8.722,1752.0,3464.0,50.52
