"#","Name","Pos","Team","Age","GP","G","A1","A2","P1","P","G/GP","A1/GP","A2/GP","P1/GP","P/GP","eTOI","eTOI/GP","eG/60","eA1/60","eA2/60","eP1/60","eP/60","QoT TOI","QoC TOI","QoT GF%","QoC GF%","GF%Rel","GF%","GF","GA"
"","Brett McKenzie","C","NB","17.512","68","7","14","5","21","26","0.1","0.21","0.07","0.31","0.38","941.76","13.85","0.45","0.89","0.32","1.34","1.66","14.81","13.87","52.92","49.79","1.13","53.76","50","43"
"","Jamie Lewis","C","WSR","20.066","57","9","12","5","21","26","0.16","0.21","0.09","0.37","0.46","794.36","13.94","0.68","0.91","0.38","1.59","1.96","13.83","14.1","42.22","52.94","-4.82","38.04","35","57"
"","Holden Cook","C","OS","20.135","42","9","12","4","21","25","0.21","0.29","0.1","0.5","0.6","624.96","14.88","0.86","1.15","0.38","2.02","2.4","14.2","13.95","49.77","52.22","-10.13","47.76","32","35"
"","Luke Cairns","LW","GUE/SAG","20.299","39","10","11","2","21","23","0.26","0.28","0.05","0.54","0.59","565.68","14.5","1.06","1.17","0.21","2.23","2.44","14.85","13.93","48.6","51.67","8.02","53.97","34","29"
"","Markus Soberg","RW","WSR","19.401","61","10","11","2","21","23","0.16","0.18","0.03","0.34","0.38","733.93","12.03","0.82","0.9","0.16","1.72","1.88","14.39","13.91","42.49","52.05","-2.42","40.74","33","48"
"","Cristiano DiGiacinto","LW","WSR","18.681","63","15","5","10","20","30","0.24","0.08","0.16","0.32","0.48","760.12","12.07","1.18","0.39","0.79","1.58","2.37","14.35","13.98","42.9","54.09","10.09","50.0","40","40"
"","Trent Fox","LW","ER/BELV","17.167","64","11","9","9","20","29","0.17","0.14","0.14","0.31","0.45","749.58","11.71","0.88","0.72","0.72","1.6","2.32","13.91","13.35","53.45","49.2","-0.49","56.0","42","33"
"","Brenden Miller","D","NB","20.466","65","13","7","8","20","28","0.2","0.11","0.12","0.31","0.43","1102.66","16.96","0.71","0.38","0.44","1.09","1.52","13.74","13.99","53.43","49.68","-1.65","51.96","53","49"
"","Stephen Harper","C","BELV","19.477","62","12","8","7","20","27","0.19","0.13","0.11","0.32","0.44","922.69","14.88","0.78","0.52","0.46","1.3","1.76","14.26","13.78","48.89","49.52","8.9","53.47","54","47"
"","Logan Brown","C","WSR","16.531","56","13","7","7","20","27","0.23","0.12","0.12","0.36","0.48","740.69","13.23","1.05","0.57","0.57","1.62","2.19","14.26","13.75","43.04","50.24","10.08","53.01","44","39"
"","Davis Brown","LW","SAR","19.209","57","14","6","6","20","26","0.25","0.11","0.11","0.35","0.46","698.79","12.26","1.2","0.52","0.52","1.72","2.23","14.38","13.47","49.88","51.07","-7.96","44.87","35","43"
"","Victor Crus Rydberg","C","PLY","19.488","55","10","10","5","20","25","0.18","0.18","0.09","0.36","0.45","763.78","13.89","0.79","0.79","0.39","1.57","1.96","14.13","13.64","46.15","48.5","5.72","49.38","40","41"
"","Cody Payne","RW","NIAG","20.668","53","7","13","3","20","23","0.13","0.25","0.06","0.38","0.43","620.33","11.7","0.68","1.26","0.29","1.93","2.22","13.88","13.84","53.34","48.91","9.22","57.75","41","30"
"","Samuel Schutt","LW","KGN","20.425","65","12","8","2","20","22","0.18","0.12","0.03","0.31","0.34","846.41","13.02","0.85","0.57","0.14","1.42","1.56","15.32","14.03","50.12","51.67","-4.39","46.48","33","38"
"","Vince Dunn","D","NIAG","17.879","68","10","9","12","19","31","0.15","0.13","0.18","0.28","0.46","1114.89","16.4","0.54","0.48","0.65","1.02","1.67","13.16","14.0","53.56","48.72","4.48","56.06","74","58"
"","Troy Lajeunesse","C","SAR","17.323","64","10","9","6","19","25","0.16","0.14","0.09","0.3","0.39","751.95","11.75","0.8","0.72","0.48","1.52","1.99","13.76","13.44","49.05","49.61","-7.37","44.44","36","45"
"","David Tomasek","C","BELV","18.596","61","12","7","6","19","25","0.2","0.11","0.1","0.31","0.41","740.95","12.15","0.97","0.57","0.49","1.54","2.02","13.38","13.32","46.01","47.28","2.17","50.0","36","36"
"","Mason Marchment","LW","ER","19.245","54","8","11","4","19","23","0.15","0.2","0.07","0.35","0.43","592.42","10.97","0.81","1.11","0.41","1.92","2.33","13.99","13.31","58.81","46.23","0.12","60.66","37","24"
"","Tyler Boston","C","GUE","17.227","55","10","9","3","19","22","0.18","0.16","0.05","0.35","0.4","630.49","11.46","0.95","0.86","0.29","1.81","2.09","14.41","13.71","48.53","50.69","1.95","53.23","33","29"
"","Sam  Studnicka","C","OTT","19.666","57","12","7","1","19","20","0.21","0.12","0.02","0.33","0.35","608.21","10.67","1.18","0.69","0.1","1.87","1.97","14.0","13.88","49.29","52.24","-1.85","49.06","26","27"
"","Stephen Pierog","C","GUE/SAR","20.274","68","8","10","10","18","28","0.12","0.15","0.15","0.26","0.41","931.84","13.7","0.52","0.64","0.64","1.16","1.8","14.32","14.02","49.11","51.46","-3.13","43.75","49","63"
"","Mitchell Vande Sompel","D","OSH","17.591","58","5","13","9","18","27","0.09","0.22","0.16","0.31","0.47","971.2","16.74","0.31","0.8","0.56","1.11","1.67","13.1","13.91","66.59","47.56","0.05","68.0","68","32"
"","Chris Bigras","LD","OS","19.562","62","8","10","8","18","26","0.13","0.16","0.13","0.29","0.42","1022.98","16.5","0.47","0.59","0.47","1.06","1.52","13.38","14.18","51.45","53.35","11.59","56.52","52","40"
"","Michael McLeod","C","MISS","16.614","63","10","8","7","18","25","0.16","0.13","0.11","0.29","0.4","785.16","12.46","0.76","0.61","0.53","1.38","1.91","14.17","13.84","40.91","51.3","-0.33","41.46","34","48"
"","Zac Leslie","D","GUE","20.622","57","7","11","7","18","25","0.12","0.19","0.12","0.32","0.44","1061.19","18.62","0.4","0.62","0.4","1.02","1.41","13.56","13.84","49.47","51.35","4.79","51.64","63","59"
"","Mathew Campagna","C","PLY","20.521","64","12","6","6","18","24","0.19","0.09","0.09","0.28","0.38","837.7","13.09","0.86","0.43","0.43","1.29","1.72","13.72","13.85","45.44","49.32","10.37","50.6","42","41"
"","Brett Welychka","RW","LDN/BELV","20.537","58","10","8","5","18","23","0.17","0.14","0.09","0.31","0.4","800.4","13.8","0.75","0.6","0.37","1.35","1.72","15.07","14.36","51.02","51.22","2.05","47.5","38","42"
"","Corey Pawley","LW","KGN","19.699","67","6","12","5","18","23","0.09","0.18","0.07","0.27","0.34","872.79","13.03","0.41","0.82","0.34","1.24","1.58","14.8","13.79","47.02","52.69","-5.43","45.95","34","40"
"","Nick Magyar","RW","KIT","18.297","65","11","7","4","18","22","0.17","0.11","0.06","0.28","0.34","786.28","12.1","0.84","0.53","0.31","1.37","1.68","13.96","13.77","50.37","51.43","3.79","51.43","36","34"
"","Anthony Stefano","LW","WSR/PBO","18.697","62","9","9","4","18","22","0.15","0.15","0.06","0.29","0.35","720.83","11.63","0.75","0.75","0.33","1.5","1.83","13.9","13.51","42.64","50.51","-4.15","38.89","28","44"
"","Vladislav Kodola","C","SAR/SAG","17.876","56","7","11","4","18","22","0.12","0.2","0.07","0.32","0.39","632.09","11.29","0.66","1.04","0.38","1.71","2.09","13.97","13.4","45.68","49.7","-7.22","40.0","26","39"
"","Tyler Hill","LW","OTT/GUE","19.425","60","9","9","3","18","21","0.15","0.15","0.05","0.3","0.35","728.78","12.15","0.74","0.74","0.25","1.48","1.73","14.42","13.66","49.66","51.71","-7.19","43.04","34","45"
"","Robert Polesello","LW","KGN","20.471","38","13","5","3","18","21","0.34","0.13","0.08","0.47","0.55","626.34","16.48","1.25","0.48","0.29","1.72","2.01","15.83","14.1","52.54","51.07","6.45","55.17","32","26"
"","Brandon Lindberg","C","SAR","17.974","59","12","6","3","18","21","0.2","0.1","0.05","0.31","0.36","817.03","13.85","0.88","0.44","0.22","1.32","1.54","14.44","13.7","49.03","51.51","-6.53","45.0","45","55"
"","Mike Davies","LW","KIT","17.607","62","11","7","2","18","20","0.18","0.11","0.03","0.29","0.32","572.73","9.24","1.15","0.73","0.21","1.89","2.1","13.42","13.09","49.02","46.81","12.32","59.46","22","15"
"","Kevin  Spinozzi","D","SAR","18.314","67","4","13","12","17","29","0.06","0.19","0.18","0.25","0.43","1122.57","16.75","0.21","0.69","0.64","0.91","1.55","13.33","13.78","49.45","50.56","11.8","56.92","74","56"
"","Patrick Murphy","D","ER","19.68","56","6","11","9","17","26","0.11","0.2","0.16","0.3","0.46","807.37","14.42","0.45","0.82","0.67","1.26","1.93","13.46","13.61","60.31","47.46","-2.02","61.11","55","35"
"","Alexandre Renaud","LW","SAR","18.552","65","11","6","9","17","26","0.17","0.09","0.14","0.26","0.4","803.96","12.37","0.82","0.45","0.67","1.27","1.94","13.99","13.62","49.55","50.95","0.25","49.46","46","47"
"","Keigan Goetz","RW","SSM","18.021","62","9","8","6","17","23","0.15","0.13","0.1","0.27","0.37","617.13","9.95","0.88","0.78","0.58","1.65","2.24","13.38","13.43","63.34","46.34","-11.87","56.67","34","26"
"","Ray Huether","C","NB","20.501","66","7","10","5","17","22","0.11","0.15","0.08","0.26","0.33","811.85","12.3","0.52","0.74","0.37","1.26","1.63","14.1","13.52","50.62","49.41","-5.89","48.61","35","37"
"","Kyle Pettit","C","ER","18.656","60","12","5","4","17","21","0.2","0.08","0.07","0.28","0.35","641.15","10.69","1.12","0.47","0.37","1.59","1.97","13.47","13.81","57.54","48.28","-12.16","50.77","33","32"
"","Connor Graham","LW","OTT","18.703","60","7","10","4","17","21","0.12","0.17","0.07","0.28","0.35","622.79","10.38","0.67","0.96","0.39","1.64","2.02","14.12","13.32","48.72","48.66","5.56","53.85","28","24"
"","Everett Clark","C","MISS","18.648","64","6","11","3","17","20","0.09","0.17","0.05","0.27","0.31","750.89","11.73","0.48","0.88","0.24","1.36","1.6","13.75","13.34","39.46","49.67","6.72","45.07","32","39"
"","Jake Marchment","C","ER/BELV","19.324","51","9","8","3","17","20","0.18","0.16","0.06","0.33","0.39","570.68","11.19","0.95","0.84","0.32","1.79","2.1","14.17","13.78","53.22","50.56","3.59","61.4","35","22"
"","Sam Povorozniouk","RW","WSR","19.592","68","7","10","3","17","20","0.1","0.15","0.04","0.25","0.29","772.57","11.36","0.54","0.78","0.23","1.32","1.55","13.99","13.83","42.73","51.93","-7.23","36.71","29","50"
"","Givani Smith","RW","BAR/GUE","16.548","61","6","11","0","17","17","0.1","0.18","0.0","0.28","0.28","577.39","9.47","0.62","1.14","0.0","1.77","1.77","14.28","13.65","50.62","47.94","7.26","60.0","30","20"
"","Darren Raddysh","D","ER","18.547","60","7","9","12","16","28","0.12","0.15","0.2","0.27","0.47","970.6","16.18","0.43","0.56","0.74","0.99","1.73","13.56","14.07","60.67","49.42","1.99","61.21","71","45"
"","Dakota Mermis","D","LDN/OSH","20.693","66","4","12","8","16","24","0.06","0.18","0.12","0.24","0.36","1182.63","17.92","0.2","0.61","0.41","0.81","1.22","13.36","14.0","60.72","48.7","0.82","64.57","82","45"
"","Brandon Devlin","D","MISS","20.386","66","9","7","6","16","22","0.14","0.11","0.09","0.24","0.33","1126.6","17.07","0.48","0.37","0.32","0.85","1.17","13.48","13.7","42.95","50.87","13.89","49.15","58","60"
"","Jesse Barwell","LW","MISS/SAG","17.356","63","10","6","6","16","22","0.16","0.1","0.1","0.25","0.35","700.58","11.12","0.86","0.51","0.51","1.37","1.88","14.08","14.1","43.76","52.62","6.97","46.27","31","36"
"","Kyle Maksimovich","LW","ER","16.518","56","5","11","5","16","21","0.09","0.2","0.09","0.29","0.38","520.1","9.29","0.58","1.27","0.58","1.85","2.42","13.26","13.17","57.16","47.18","-7.87","57.78","26","19"
"","Cordell James","C","BAR","18.254","66","7","9","4","16","20","0.11","0.14","0.06","0.24","0.3","616.35","9.34","0.68","0.88","0.39","1.56","1.95","12.35","13.58","51.25","47.12","-2.81","50.0","25","25"
"","Victor Mete","D","LDN","16.274","58","6","10","4","16","20","0.1","0.17","0.07","0.28","0.34","918.37","15.83","0.39","0.65","0.26","1.05","1.31","13.23","13.97","56.23","49.27","11.47","58.33","56","40"
"","Mathew Santos","RW","NB","19.502","67","7","9","4","16","20","0.1","0.13","0.06","0.24","0.3","792.93","11.83","0.53","0.68","0.3","1.21","1.51","14.3","13.51","50.55","48.5","-2.6","51.47","35","33"
"","Ethan Szypula","C","OS","17.629","59","7","9","1","16","17","0.12","0.15","0.02","0.27","0.29","594.7","10.08","0.71","0.91","0.1","1.61","1.72","13.55","13.65","50.03","52.96","3.45","54.55","24","20"
"","Jakob Chychrun","D","SAR","16.46","42","7","9","1","16","17","0.17","0.21","0.02","0.38","0.4","758.63","18.06","0.55","0.71","0.08","1.27","1.34","13.36","13.7","49.26","51.11","-4.49","46.32","44","51"
"","Chris  Carlisle","D","OSH","19.749","68","5","10","12","15","27","0.07","0.15","0.18","0.22","0.4","1171.82","17.23","0.26","0.51","0.61","0.77","1.38","13.14","13.9","66.16","48.33","-5.22","64.66","75","41"
"","Curtis Meighan","C","OTT/KIT","20.471","67","5","10","9","15","24","0.07","0.15","0.13","0.22","0.36","836.71","12.49","0.36","0.72","0.65","1.08","1.72","13.95","13.91","50.29","51.86","1.85","51.85","42","39"
"","Owen MacDonald","C","LDN","18.311","60","8","7","9","15","24","0.13","0.12","0.15","0.25","0.4","674.56","11.24","0.71","0.62","0.8","1.33","2.13","13.04","13.3","50.42","48.64","-14.39","42.25","30","41"
"","Joe Manchurek","LW","OSH","18.098","56","4","11","8","15","23","0.07","0.2","0.14","0.27","0.41","591.64","10.57","0.41","1.12","0.81","1.52","2.33","13.29","13.22","64.26","46.55","-7.23","62.5","30","18"
"","Evan McEneny","D","KGN","20.318","68","3","12","8","15","23","0.04","0.18","0.12","0.22","0.34","1335.46","19.64","0.13","0.54","0.36","0.67","1.03","14.44","13.91","51.27","51.2","-2.39","48.36","59","63"
"","Kris Bennett","C","SAG","18.692","61","6","9","7","15","22","0.1","0.15","0.11","0.25","0.36","731.71","12.0","0.49","0.74","0.57","1.23","1.8","13.73","13.51","41.32","53.03","-5.01","39.24","31","48"
"","Rasmus Andersson","D","BAR","17.884","67","5","10","7","15","22","0.07","0.15","0.1","0.22","0.33","991.6","14.8","0.3","0.61","0.42","0.91","1.33","13.08","13.74","53.28","48.22","7.46","58.0","58","42"
"","Jared Steege","LW","NB/KGN","18.689","67","10","5","5","15","20","0.15","0.07","0.07","0.22","0.3","928.54","13.86","0.65","0.32","0.32","0.97","1.29","14.78","13.8","50.69","50.66","3.81","52.33","45","41"
"","Brandon Saigeon","C","BELV","16.255","62","6","9","5","15","20","0.1","0.15","0.08","0.24","0.32","733.71","11.83","0.49","0.74","0.41","1.23","1.64","13.83","13.33","47.42","49.79","-6.0","43.28","29","38"
"","Will Bitten","C","PLY","16.184","63","11","4","4","15","19","0.17","0.06","0.06","0.24","0.3","745.61","11.84","0.89","0.32","0.32","1.21","1.53","13.92","13.83","44.57","48.73","4.95","48.57","34","36"
"","Pavel Zacha","LW","SAR","17.443","37","10","5","4","15","19","0.27","0.14","0.11","0.41","0.51","447.55","12.1","1.34","0.67","0.54","2.01","2.55","14.25","13.88","52.59","50.55","13.63","63.27","31","18"
"","Danny Desrochers","LW","SBY","19.067","66","11","4","4","15","19","0.17","0.06","0.06","0.23","0.29","881.69","13.36","0.75","0.27","0.27","1.02","1.29","13.84","13.68","32.02","53.27","-8.0","25.0","25","75"
"","Chad Heffernan","LW","BELV/SBY","18.484","56","9","6","3","15","18","0.16","0.11","0.05","0.27","0.32","637.72","11.39","0.85","0.56","0.28","1.41","1.69","13.75","13.67","37.42","49.77","-6.65","36.51","23","40"
"","Ben Fanjoy","C","OTT","17.35","52","9","6","2","15","17","0.17","0.12","0.04","0.29","0.33","587.54","11.3","0.92","0.61","0.2","1.53","1.74","14.19","13.56","48.09","49.19","0.02","51.85","28","26"
"","Aaron Luchuk","C","WSR","17.446","67","8","7","1","15","16","0.12","0.1","0.01","0.22","0.24","756.15","11.29","0.63","0.56","0.08","1.19","1.27","13.65","13.27","41.59","50.57","-6.45","37.66","29","48"
"","Matt Luff","RW","BELV","17.364","64","6","8","8","14","22","0.09","0.12","0.12","0.22","0.34","788.05","12.31","0.46","0.61","0.61","1.07","1.68","14.26","13.63","49.64","49.28","0.16","48.05","37","40"
"","Aidan Wallace","C","OSH","19.414","65","10","4","7","14","21","0.15","0.06","0.11","0.22","0.32","672.84","10.35","0.89","0.36","0.62","1.25","1.87","13.44","13.42","66.18","46.9","-10.79","59.26","32","22"
"","Max Iafrate","D","KIT","20.469","59","8","6","5","14","19","0.14","0.1","0.08","0.24","0.32","1073.26","18.19","0.45","0.34","0.28","0.78","1.06","13.13","13.99","51.57","50.31","-4.52","48.11","51","55"
"","Colton White","D","SSM","17.369","67","5","9","5","14","19","0.07","0.13","0.07","0.21","0.28","944.82","14.1","0.32","0.57","0.32","0.89","1.21","12.94","13.57","63.7","47.56","-2.07","65.0","65","35"
"","Darnell Nurse","D","SSM","19.612","36","7","7","5","14","19","0.19","0.19","0.14","0.39","0.53","591.31","16.43","0.71","0.71","0.51","1.42","1.93","13.28","13.98","63.65","47.87","-10.58","58.33","42","30"
"","Sam Harding","C","OSH","17.46","60","7","7","3","14","17","0.12","0.12","0.05","0.23","0.28","630.82","10.51","0.67","0.67","0.29","1.33","1.62","13.53","13.68","65.11","46.77","-2.29","63.83","30","17"
"","Roy Radke","RW","BAR","17.764","64","8","6","3","14","17","0.12","0.09","0.05","0.22","0.27","565.88","8.84","0.85","0.64","0.32","1.48","1.8","12.22","13.12","51.22","46.97","-12.09","43.18","19","25"
"","Luke Kirwan","LW","WSR","16.978","59","7","7","2","14","16","0.12","0.12","0.03","0.24","0.27","642.6","10.89","0.65","0.65","0.19","1.31","1.49","13.77","13.53","41.23","49.39","-10.42","36.67","22","38"
"","Patrick White","C","SAR","18.588","43","10","4","0","14","14","0.23","0.09","0.0","0.33","0.33","460.58","10.71","1.3","0.52","0.0","1.82","1.82","14.15","13.39","50.96","48.82","7.11","56.82","25","19"
"","Travis  Dermott","D","ER","17.731","61","4","9","11","13","24","0.07","0.15","0.18","0.21","0.39","1020.67","16.73","0.24","0.53","0.65","0.76","1.41","13.72","13.79","61.11","49.24","-0.47","60.8","76","49"
"","Petrus Palmu","RW","OS","17.167","62","10","3","7","13","20","0.16","0.05","0.11","0.21","0.32","823.19","13.28","0.73","0.22","0.51","0.95","1.46","14.35","13.99","52.7","51.65","7.24","56.58","43","33"
"","Ryan Verbeek","LW","KGN","18.286","47","6","7","5","13","18","0.13","0.15","0.11","0.28","0.38","544.06","11.58","0.66","0.77","0.55","1.43","1.99","15.03","13.4","49.18","49.51","-3.16","48.78","20","21"
"","Adam Laishram","C","BELV","17.438","56","7","6","5","13","18","0.12","0.11","0.09","0.23","0.32","701.63","12.53","0.6","0.51","0.43","1.11","1.54","14.83","14.05","49.38","51.59","-2.02","48.53","33","35"
"","Hayden McCool","LW","NIAG/WSR","17.43","64","8","5","5","13","18","0.12","0.08","0.08","0.2","0.28","816.97","12.77","0.59","0.37","0.37","0.95","1.32","13.87","13.83","45.05","52.82","-7.24","38.71","36","57"
"","Ivan Kashtanov","LW","SBY","17.555","67","6","7","3","13","16","0.09","0.1","0.04","0.19","0.24","723.74","10.8","0.5","0.58","0.25","1.08","1.33","13.68","13.17","32.32","51.96","6.74","35.71","25","45"
"","Travis Barron","LW","OTT","16.08","64","8","5","2","13","15","0.12","0.08","0.03","0.2","0.23","671.65","10.49","0.71","0.45","0.18","1.16","1.34","14.54","13.76","50.31","51.24","4.5","52.63","30","27"
"","Kenny Huether","RW","OSH","17.109","53","11","2","1","13","14","0.21","0.04","0.02","0.25","0.26","489.37","9.23","1.35","0.25","0.12","1.59","1.72","13.64","13.69","65.28","46.62","-17.33","52.94","18","16"
"","Trent Mallette","RW","SSM/OTT","18.059","61","8","5","0","13","13","0.13","0.08","0.0","0.21","0.21","596.71","9.78","0.8","0.5","0.0","1.31","1.31","13.99","13.58","49.25","46.01","4.87","56.82","25","19"
"","Kurtis MacDermid","D","ER","20.477","61","4","8","11","12","23","0.07","0.13","0.18","0.2","0.38","925.2","15.17","0.26","0.52","0.71","0.78","1.49","13.83","14.14","61.51","50.41","-5.28","57.28","59","44"
"","Troy Donnay","D","ER","20.573","45","3","9","8","12","20","0.07","0.2","0.18","0.27","0.44","766.34","17.03","0.23","0.7","0.63","0.94","1.57","13.59","14.0","60.85","49.24","8.31","62.5","60","36"
"","Matt Gillard","LW","NIAG","18.043","55","5","7","8","12","20","0.09","0.13","0.15","0.22","0.36","570.86","10.38","0.53","0.74","0.84","1.26","2.1","13.22","13.74","51.45","49.43","-7.6","47.46","28","31"
"","Sean Day","D","MISS","16.682","61","6","6","7","12","19","0.1","0.1","0.11","0.2","0.31","1034.36","16.96","0.35","0.35","0.41","0.7","1.1","13.26","13.72","42.54","51.25","-0.22","42.2","46","63"
"","Blake Siebenaler","D","NIAG","18.549","66","8","4","7","12","19","0.12","0.06","0.11","0.18","0.29","1062.44","16.1","0.45","0.23","0.4","0.68","1.07","12.85","14.0","52.92","49.38","1.79","54.1","66","56"
"","Josh Brown","D","OSH","20.649","60","4","8","6","12","18","0.07","0.13","0.1","0.2","0.3","1011.79","16.86","0.24","0.47","0.36","0.71","1.07","13.09","14.12","65.72","48.63","0.57","67.68","67","32"
"","Devon Paliani","C","SAG/SBY","17.931","64","8","4","6","12","18","0.12","0.06","0.09","0.19","0.28","695.08","10.86","0.69","0.35","0.52","1.04","1.55","13.58","13.39","41.51","50.96","-13.07","32.35","22","46"
"","Mathieu Henderson","D","PLY","18.689","68","5","7","5","12","17","0.07","0.1","0.07","0.18","0.25","1038.46","15.27","0.29","0.4","0.29","0.69","0.98","13.06","13.68","45.05","49.44","8.03","49.47","47","48"
"","Kyle Wood","D","NB","18.366","67","4","8","4","12","16","0.06","0.12","0.06","0.18","0.24","1042.48","15.56","0.23","0.46","0.23","0.69","0.92","13.89","13.97","53.36","49.32","-1.8","51.11","46","44"
"","Anthony Salinitri","LW","SSM/SAR","16.531","50","6","6","4","12","16","0.12","0.12","0.08","0.24","0.32","501.86","10.04","0.72","0.72","0.48","1.43","1.91","13.6","13.36","52.66","47.85","3.03","55.32","26","21"
"","Kyle Capobianco","D","SBY","17.09","68","5","7","4","12","16","0.07","0.1","0.06","0.18","0.24","1118.27","16.45","0.27","0.38","0.21","0.64","0.86","13.06","13.84","32.29","52.69","6.46","34.68","43","81"
"","Mitch Jones","D","PLY","19.601","58","8","4","1","12","13","0.14","0.07","0.02","0.21","0.22","972.64","16.77","0.49","0.25","0.06","0.74","0.8","12.9","13.73","44.23","49.34","1.66","44.21","42","53"
"","Mitchell Webb","LW","SAG","17.679","68","3","9","1","12","13","0.04","0.13","0.01","0.18","0.19","668.15","9.83","0.27","0.81","0.09","1.08","1.17","13.11","13.1","39.79","50.21","-10.08","34.48","20","38"
"","Ryan Moore","LW","WSR/PLY","17.435","57","6","5","10","11","21","0.11","0.09","0.18","0.19","0.37","714.5","12.54","0.5","0.42","0.84","0.92","1.76","14.02","13.28","43.49","49.69","-1.68","47.14","33","37"
"","Damir Sharipzyanov","D","OS","18.577","66","5","6","9","11","20","0.08","0.09","0.14","0.17","0.3","1092.72","16.56","0.27","0.33","0.49","0.6","1.1","12.65","13.88","49.49","50.16","2.58","52.58","51","46"
"","Kyle Jenkins","D","SSM/PBO","18.399","70","4","7","9","11","20","0.06","0.1","0.13","0.16","0.29","1111.85","15.88","0.22","0.38","0.49","0.59","1.08","13.28","13.91","55.95","48.47","6.37","56.14","64","50"
"","Frank Hora","D","KIT","18.289","66","2","9","7","11","18","0.03","0.14","0.11","0.17","0.27","1101.67","16.69","0.11","0.49","0.38","0.6","0.98","13.26","13.96","51.1","51.51","11.28","55.45","56","45"
"","Tyler Hore","D","SSM","18.892","55","2","9","7","11","18","0.04","0.16","0.13","0.2","0.33","850.33","15.46","0.14","0.64","0.49","0.78","1.27","12.99","13.68","62.96","45.51","8.9","69.61","71","31"
"","Tim Gettinger","LW","SSM","16.422","54","7","4","7","11","18","0.13","0.07","0.13","0.2","0.33","541.93","10.04","0.78","0.44","0.78","1.22","1.99","13.72","13.6","62.77","44.66","-12.93","54.72","29","24"
"","Gustaf Franzen","C","KIT","17.98","65","4","7","6","11","17","0.06","0.11","0.09","0.17","0.26","698.23","10.74","0.34","0.6","0.52","0.95","1.46","14.04","13.72","49.83","50.63","-0.72","50.0","28","28"
"","Jonathan Ang","C","PBO","16.622","59","8","3","5","11","16","0.14","0.05","0.08","0.19","0.27","697.1","11.82","0.69","0.26","0.43","0.95","1.38","13.78","13.64","42.58","52.84","-8.53","34.33","23","44"
"","Jeff King","D","SAR","18.56","59","1","10","5","11","16","0.02","0.17","0.08","0.19","0.27","940.12","15.93","0.06","0.64","0.32","0.7","1.02","13.35","13.56","50.06","49.76","0.49","50.49","52","51"
"","Brandon Crawley","D","LDN","17.616","64","3","8","5","11","16","0.05","0.12","0.08","0.17","0.25","904.52","14.13","0.2","0.53","0.33","0.73","1.06","12.63","13.42","52.95","49.61","-4.19","50.56","45","44"
"","Ryan Mantha","D","NIAG","18.243","52","6","5","5","11","16","0.12","0.1","0.1","0.21","0.31","839.22","16.14","0.43","0.36","0.36","0.79","1.14","12.85","13.7","53.55","48.42","7.15","60.19","62","41"
"","Hampus Olsson","RW","NB","19.406","62","4","7","5","11","16","0.06","0.11","0.08","0.18","0.26","726.12","11.71","0.33","0.58","0.41","0.91","1.32","14.55","13.76","52.2","49.78","-8.57","45.0","27","33"
"","Adam Mascherin","LW","KIT","16.277","62","6","5","4","11","15","0.1","0.08","0.06","0.18","0.24","718.77","11.59","0.5","0.42","0.33","0.92","1.25","13.9","13.64","50.17","51.97","-3.89","46.67","28","32"
"","Noah Bushnell","RW","SAR","17.295","52","8","3","4","11","15","0.15","0.06","0.08","0.21","0.29","556.06","10.69","0.86","0.32","0.43","1.19","1.62","13.69","13.3","48.82","50.35","-3.29","47.17","25","28"
"","Connor Bunnaman","C","KIT","16.416","67","10","1","3","11","14","0.15","0.01","0.04","0.16","0.21","662.6","9.89","0.91","0.09","0.27","1.0","1.27","13.69","13.77","49.66","51.4","2.42","51.06","24","23"
"","Stephen Nosad","RW","BAR/PBO","19.639","61","3","8","3","11","14","0.05","0.13","0.05","0.18","0.23","636.06","10.43","0.28","0.75","0.28","1.04","1.32","13.24","13.66","46.85","49.83","-2.23","46.43","26","30"
"","Mitchell Fitzmorris","LW","NIAG","19.404","46","1","10","3","11","14","0.02","0.22","0.07","0.24","0.3","448.27","9.74","0.13","1.34","0.4","1.47","1.87","13.19","13.41","52.38","46.91","-9.79","46.67","21","24"
"","Sam Bennett","C","KGN","18.237","11","8","3","3","11","14","0.73","0.27","0.27","1.0","1.27","203.55","18.5","2.36","0.88","0.88","3.24","4.13","16.29","13.99","52.92","46.83","-18.94","58.33","14","10"
"","Stephen Desrocher","D","OSH","18.637","66","6","5","2","11","13","0.09","0.08","0.03","0.17","0.2","826.78","12.53","0.44","0.36","0.15","0.8","0.94","12.87","13.56","67.27","45.81","8.35","73.77","45","16"
"","Adam Craievich","RW","OTT/GUE","17.353","68","5","6","2","11","13","0.07","0.09","0.03","0.16","0.19","689.15","10.13","0.44","0.52","0.17","0.96","1.13","13.48","13.25","47.53","49.88","-13.88","38.46","20","32"
"","Aiden  Jamieson","D","LDN","18.481","68","0","10","16","10","26","0.0","0.15","0.24","0.15","0.38","1196.68","17.6","0.0","0.5","0.8","0.5","1.3","13.05","13.91","56.86","50.3","2.16","55.32","78","63"
"","Gustav  Bouramman","D","SSM","17.64","67","2","8","14","10","24","0.03","0.12","0.21","0.15","0.36","949.74","14.18","0.13","0.51","0.88","0.63","1.52","12.94","13.51","64.11","47.07","0.15","66.02","68","35"
