,Name,GP,ROW,GF%,GF,GA,GD,SF%,SF,SA,SD,Sh%,Sv%,PDO
0,Wilkes-Barre/Scranton Penguins,464,243,54.742,1309,1133,176,51.476,13757,12093,1664,9.515,0.916,101.035
1,Manchester Monarchs,464,242,56.08,1360,1162,198,52.794,14209,13957,252,9.399,0.917,101.097
2,Hershey Bears,464,238,53.45,1457,1197,260,49.161,13624,13516,108,9.629,0.92,101.527
3,Texas Stars,464,225,54.062,1402,1247,155,51.644,14717,14031,686,9.319,0.915,100.766
4,Chicago Wolves,464,224,52.34,1362,1240,122,51.167,13867,13831,36,8.965,0.916,100.479
5,Binghamton Senators,464,215,50.796,1438,1379,59,48.415,14734,15579,-845,9.654,0.91,100.649
6,Toronto Marlies,464,214,51.53,1278,1229,49,48.23,13280,13879,-599,9.168,0.917,100.882
7,Rockford IceHogs,464,214,51.839,1325,1344,-19,52.37,14860,13912,948,8.528,0.912,99.694
8,Milwaukee Admirals,464,212,50.458,1266,1184,82,50.39,13370,13280,90,8.847,0.912,99.993
9,Grand Rapids Griffins,464,212,55.492,1412,1318,94,52.067,14675,13652,1023,9.446,0.918,101.162
10,Norfolk Admirals,464,207,47.454,1273,1219,54,50.406,14571,13514,1057,7.825,0.914,99.227
11,Hamilton Bulldogs,464,204,47.416,1202,1228,-26,49.192,13916,13763,153,7.924,0.915,99.399
12,Portland Pirates,464,199,49.32,1369,1387,-18,49.135,13774,14465,-691,8.903,0.91,99.869
13,Providence Bruins,464,199,52.329,1232,1246,-14,50.533,14578,14272,306,8.616,0.92,100.627
14,Syracuse Crunch,464,196,49.356,1320,1381,-61,51.022,14127,14182,-55,9.058,0.904,99.422
15,Worcester Sharks,464,196,49.507,1260,1323,-63,53.259,15193,13490,1703,7.979,0.907,98.692
16,Springfield Falcons,464,191,49.834,1296,1366,-70,50.093,13112,13925,-813,9.137,0.908,99.93
17,Rochester Americans,464,190,47.769,1324,1394,-70,48.151,13356,14919,-1563,9.238,0.906,99.822
18,San Antonio Rampage,464,186,49.32,1274,1365,-91,51.048,14297,14382,-85,8.753,0.908,99.556
19,Lake Erie Monsters,464,186,47.207,1234,1324,-90,49.047,13467,13979,-512,8.689,0.908,99.564
20,Oklahoma City Barons,384,184,51.194,1143,1071,72,49.798,11828,11708,120,9.221,0.912,100.416
21,Bridgeport Sound Tigers,464,173,46.026,1241,1400,-159,48.4,13690,14574,-884,8.941,0.903,99.19
22,Charlotte Checkers,384,169,46.114,1077,1111,-34,48.203,11984,12311,-327,8.182,0.914,99.479
23,Abbotsford Heat,388,160,49.755,975,1030,-55,49.759,11711,11241,470,8.683,0.913,99.964
24,Albany Devils,384,151,49.974,999,1092,-93,50.88,11236,11062,174,8.761,0.908,99.574
25,Adirondack Phantoms,388,141,45.338,949,1142,-193,49.205,11417,11837,-420,7.866,0.909,98.746
26,St. John's IceCaps,304,138,47.826,861,880,-19,48.793,9288,9190,98,8.862,0.911,99.954
27,Houston Aeros,312,132,50.966,837,815,22,49.312,8806,8880,-74,9.269,0.915,100.762
28,Peoria Rivermen,312,128,47.642,832,874,-42,48.968,9367,9666,-299,8.095,0.915,99.548
29,Hartford Wolf Pack,232,106,49.528,644,670,-26,48.972,6636,6891,-255,9.528,0.907,100.24
30,Connecticut Whale,232,97,49.567,630,637,-7,48.287,6802,7074,-272,9.2,0.912,100.393
31,Utica Comets,152,73,50.29,397,392,5,51.0,4644,4459,185,8.2,0.915,99.695
32,Manitoba Moose,160,66,48.425,407,434,-27,48.025,4559,4929,-370,8.595,0.916,100.15
33,Iowa Wild,152,41,41.29,332,472,-140,46.44,4296,4955,-659,7.555,0.908,98.355
34,Albany River Rats,80,39,51.5,240,226,14,49.26,2465,2539,-74,9.37,0.914,100.72
35,Lowell Devils,80,36,51.08,236,226,10,49.57,2506,2549,-43,9.31,0.915,100.84
36,Adirondack Flames,76,34,49.36,232,238,-6,50.37,2438,2402,36,9.11,0.906,99.69
37,Lehigh Valley Phantoms,76,26,44.21,187,236,-49,47.2,2267,2536,-269,8.01,0.911,99.13
