"#","Name","Pos","Team","Age","GP","G","A1","A2","P1","P","Sh","Sh%","G/GP","A1/GP","A2/GP","P1/GP","P/GP","Sh/GP","xG","xG/GP","eTOI","eTOI/GP","eG/60","eA1/60","eA2/60","eP1/60","eP/60","eSh/60","exG/60","QoT TOI","QoC TOI","QoT GF%","QoC GF%","GF%Rel","GF%","GF","GA","HD G","HD Sh","HD Sh%","MD G","MD Sh","MD Sh%","LD G","LD Sh","LD Sh%","FOW","FOT","FOW%"
"","Kevin  Labanc","RW","BAR","19.759","65","28","42","13","70","83","177","15.82","0.43","0.65","0.2","1.08","1.28","2.72","22.42","0.34","1058.09","16.28","1.59","2.38","0.74","3.97","4.71","10.04","1.27","14.71","14.13","59.51","48.51","14.09","67.38","95","46","10","26","38.46","6","34","17.65","12","117","10.26","7","15","46.67"
"","Andrew Mangiapane","LW","BAR","19.447","59","32","22","12","54","66","150","21.33","0.54","0.37","0.2","0.92","1.12","2.54","23.4","0.4","953.04","16.15","2.01","1.39","0.76","3.4","4.16","9.44","1.47","14.82","14.04","60.5","48.25","-1.55","59.23","77","53","7","28","25.0","7","32","21.88","18","90","20.0","37","72","51.39"
"","Hunter Garlent","C","PBO","20.611","68","30","23","16","53","69","202","14.85","0.44","0.34","0.24","0.78","1.01","2.97","20.92","0.31","1075.75","15.82","1.67","1.28","0.89","2.96","3.85","11.27","1.17","14.84","14.22","54.17","49.37","15.33","60.28","85","56","6","28","21.43","5","25","20.0","19","149","12.75","519","978","53.07"
"","Dylan Strome","C","ER","18.525","56","27","25","17","52","69","167","16.17","0.48","0.45","0.3","0.93","1.23","2.98","22.31","0.4","1019.61","18.21","1.59","1.47","1.0","3.06","4.06","9.83","1.31","15.82","14.12","59.05","49.89","9.68","62.02","80","49","7","21","33.33","8","43","18.6","12","103","11.65","524","852","61.5"
"","Alex DeBrincat","RW","ER","17.742","60","36","15","12","51","63","201","17.91","0.6","0.25","0.2","0.85","1.05","3.35","24.01","0.4","995.62","16.59","2.17","0.9","0.72","3.07","3.8","12.11","1.45","16.38","14.06","59.51","50.32","2.94","59.65","68","46","7","22","31.82","8","34","23.53","21","145","14.48","85","157","54.14"
"","Travis Konecny","RW","OTT/SAR","18.514","60","22","27","18","49","67","177","12.43","0.37","0.45","0.3","0.82","1.12","2.95","16.98","0.28","918.77","15.31","1.44","1.76","1.18","3.2","4.38","11.56","1.11","14.42","13.98","55.12","50.1","16.28","65.74","71","37","2","11","18.18","2","22","9.09","18","144","12.5","35","89","39.33"
"","Eric  Cornel","RW","PBO","19.428","68","22","27","16","49","65","187","11.76","0.32","0.4","0.24","0.72","0.96","2.75","19.48","0.29","1056.69","15.54","1.25","1.53","0.91","2.78","3.69","10.62","1.11","14.97","14.29","54.49","49.96","13.08","58.99","82","57","4","32","12.5","3","27","11.11","15","128","11.72","19","41","46.34"
"","Mike Amadio","C","NB","19.341","68","32","17","5","49","54","172","18.6","0.47","0.25","0.07","0.72","0.79","2.53","21.86","0.32","1014.63","14.92","1.89","1.01","0.3","2.9","3.19","10.17","1.29","15.14","14.15","53.96","50.91","14.41","59.29","67","46","4","20","20.0","10","34","29.41","18","118","15.25","563","1096","51.37"
"","Adam Mascherin","LW","KIT","17.276","65","25","23","10","48","58","185","13.51","0.38","0.35","0.15","0.74","0.89","2.85","19.15","0.29","998.62","15.36","1.5","1.38","0.6","2.88","3.48","11.12","1.15","14.41","13.92","59.39","50.24","9.13","65.45","72","38","4","19","21.05","4","30","13.33","17","136","12.5","12","26","46.15"
"","Mitchell Marner","RW","LDN","18.363","57","21","26","15","47","62","126","16.67","0.37","0.46","0.26","0.82","1.09","2.21","18.7","0.33","834.63","14.64","1.51","1.87","1.08","3.38","4.46","9.06","1.34","14.14","14.09","69.49","50.92","8.04","72.83","67","25","4","19","21.05","7","26","26.92","10","81","12.35","82","156","52.56"
