,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,eTOI,eTOI/GP,eG/60,eA1/60,eA2/60,eP1/60,eP/60,eSh/60,exG/60,QoT TOI,QoC TOI,QoT GF%,QoC GF%,GF%Rel,GF%,GF,GA,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
0,Conor Garland,RW,MON,18.638,206,104,149,75,253,328,826,12.438,0.532,0.798,0.395,1.33,1.726,4.38,33.764,0.559,1283.932,21.7,1.448,2.16,1.052,3.608,4.659,11.806,1.501,18.785,18.0,55.256,48.045,24.848,66.455,400,200,14,87,12.47,35,165,21.005,55,574,9.747,47,108,40.255
1,Nicolas Roy,C,CHI/SHE,18.095,309,122,101,53,223,276,815,11.81,0.372,0.322,0.128,0.693,0.823,2.576,21.264,0.383,937.973,17.332,1.088,0.965,0.384,2.052,2.434,8.443,1.138,18.464,18.281,49.752,52.614,8.173,48.84,381,253,52,185,21.619,30,152,16.106,40,478,7.162,3148,5789,53.098
2,Daniel Sprong,RW,CHA,18.624,199,117,106,38,223,261,815,17.435,0.762,0.556,0.266,1.32,1.585,4.339,20.284,0.518,829.556,20.496,2.249,1.629,0.778,3.879,4.656,12.706,1.514,19.036,17.949,56.745,47.04,18.331,68.444,324,186,26,80,42.626,42,146,34.772,49,589,9.802,52,127,43.261
3,Alexandre Goulet,C,CHA/VIC,19.572,262,133,75,50,208,258,735,17.822,0.532,0.322,0.242,0.861,1.101,3.034,31.018,0.471,1282.466,19.371,1.65,0.997,0.735,2.645,3.38,9.334,1.452,18.476,18.085,52.331,50.491,22.198,62.175,369,234,42,171,24.106,31,139,24.964,60,425,13.71,887,1730,48.604
4,Francis Perron,LW,ROU,18.534,251,93,103,61,196,257,707,13.69,0.488,0.536,0.281,1.027,1.309,3.435,24.635,0.394,1208.126,19.236,1.454,1.592,0.856,3.041,3.901,10.356,1.168,18.701,18.511,58.348,52.099,9.041,62.474,342,215,17,64,28.285,29,95,29.594,47,548,9.246,381,871,42.346
5,Angelo Miceli,C,VIC,19.794,200,109,89,56,198,254,690,16.185,0.555,0.488,0.288,1.045,1.33,3.45,33.698,0.512,1321.305,20.06,1.668,1.44,0.85,3.112,3.968,10.365,1.53,18.605,18.205,52.71,49.515,23.588,64.238,321,174,28,93,30.408,26,110,25.07,55,487,11.512,1817,3549,51.375
6,Matthew Highmore,C,SNB,19.613,289,90,88,69,178,247,838,12.476,0.398,0.395,0.305,0.796,1.096,3.088,25.728,0.406,1201.422,19.09,1.22,1.215,0.906,2.43,3.336,9.635,1.251,18.914,18.27,58.31,50.665,14.136,64.563,376,243,33,145,25.391,29,135,22.068,28,558,6.522,2820,5513,52.346
7,Nicolas Aube-Kubel,RW,VDO,18.474,251,108,79,57,187,244,688,16.171,0.528,0.391,0.254,0.918,1.172,3.16,24.655,0.399,1133.212,18.37,1.675,1.23,0.82,2.905,3.719,10.165,1.284,18.898,18.144,57.604,50.481,10.155,63.781,339,203,25,89,29.091,29,114,26.511,54,485,11.692,122,322,34.804
8,Alexis D'Aoust,RW,SHA,19.514,299,113,78,50,191,241,827,14.58,0.516,0.344,0.24,0.861,1.1,3.42,30.372,0.532,1136.386,19.842,1.507,0.994,0.705,2.499,3.204,10.082,1.557,18.888,18.094,57.484,49.777,24.741,68.125,392,221,40,159,24.466,27,163,18.852,46,505,9.707,35,103,31.668
9,Anthony Richard,C,VDO,17.86,232,111,80,47,191,238,704,16.067,0.548,0.444,0.226,0.991,1.218,3.488,26.532,0.439,1162.54,19.42,1.628,1.269,0.671,2.896,3.568,10.305,1.296,18.745,18.34,57.87,51.935,1.588,56.666,312,239,31,109,28.351,32,111,28.962,48,484,10.015,414,954,42.478
