,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,FOW,FOT,FOW%
72,Adam Chapman,LW,GAT,18.185,115,34,26,27,60,87,216,16.075,0.3,0.21,0.235,0.51,0.745,1.855,655,1249,51.84
73,Danick Gauthier,C,SNB,19.894,66,47,24,15,71,86,238,19.75,0.71,0.36,0.23,1.08,1.3,3.61,574,1199,47.87
74,Loik Poudrier,C,SHA/VDO,19.691,109,32,37,17,69,86,273,11.685,0.3,0.36,0.18,0.66,0.84,2.605,909,1744,52.05
75,Jonathan Brunelle,C,CAP,19.946,68,30,29,26,59,85,250,12.0,0.44,0.43,0.38,0.87,1.25,3.68,673,1366,49.27
76,Jordan Murray,D,BAT/DRU,19.245,132,20,42,23,62,85,305,6.455,0.15,0.32,0.175,0.475,0.655,2.33,1,3,16.665
77,Marcus Power,RW,ROU,18.672,127,26,31,26,57,83,225,11.435,0.205,0.24,0.2,0.445,0.64,1.755,580,1330,43.89
78,Yannick Dube,RW,VIC/GAT,19.54,91,43,26,14,69,83,279,13.64,0.415,0.245,0.105,0.665,0.77,3.045,23,60,37.18
79,Jonathan Narbonne,D,SHA/BLB/MON,19.497,121,21,32,30,53,83,258,8.195,0.175,0.265,0.245,0.44,0.685,2.13,0,0,0.0
80,Frederic Gamelin,C,BAC,17.681,128,23,34,25,57,82,195,12.585,0.18,0.265,0.2,0.445,0.64,1.5,877,1752,49.715
81,Nikolas Brouillard,D,DRU,17.104,129,16,24,42,40,82,205,6.565,0.12,0.18,0.32,0.305,0.625,1.565,3,6,50.0
82,Felix Girard,C,BAC,17.854,118,29,36,17,65,82,256,10.29,0.25,0.305,0.145,0.555,0.7,2.185,1564,2563,61.005
83,Alexandre Mallet,C,RIM,19.316,68,34,27,20,61,81,162,20.99,0.5,0.4,0.29,0.9,1.19,2.38,511,985,51.88
84,Ryan Tesink,RW,SNB/BLB,18.82,77,30,31,20,61,81,200,15.67,0.385,0.405,0.26,0.795,1.055,2.56,85,226,36.11
85,Zack Phillips,C,SNB,18.881,60,30,35,15,65,80,223,13.45,0.5,0.58,0.25,1.08,1.33,3.72,516,1037,49.76
86,Jeremie Malouin,C,QUE/DRU,19.918,126,44,20,15,64,79,268,16.09,0.355,0.16,0.12,0.515,0.635,2.135,1505,2793,53.625
87,Lukas Sedlak,C,CHI,19.053,98,32,32,15,64,79,238,13.44,0.325,0.325,0.15,0.655,0.805,2.425,1368,2286,59.815
88,Guillaume Gelinas,D,VDO/SHA,18.716,136,16,27,36,43,79,339,3.257,0.083,0.137,0.18,0.217,0.397,1.867,0,0,0.0
89,Victor Provencher,LW,PEI,18.541,133,42,17,20,59,79,258,16.445,0.315,0.125,0.15,0.44,0.59,1.94,51,137,37.57
90,Michael Clarke,LW,CAP/BLB,18.823,135,33,24,21,57,78,275,11.95,0.245,0.175,0.155,0.425,0.58,2.035,36,73,48.605
