,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,FOW,FOT,FOW%
0,Ben Duffy,C,PEI,19.786,204,110,106,57,216,273,604,18.21,0.545,0.57,0.288,1.118,1.41,3.01,1150,2313,50.185
1,Charles Hudon,LW,CHI/BAC,18.356,235,104,102,67,206,273,917,10.654,0.464,0.458,0.328,0.92,1.241,4.474,101,223,39.232
2,Anthony Mantha,RW,VDO,18.123,189,129,85,46,214,260,742,15.938,0.731,0.51,0.248,1.241,1.489,4.031,140,343,35.4
3,Zach O'Brien,C,BAT,19.463,187,126,91,41,217,258,742,16.605,0.678,0.488,0.21,1.168,1.375,4.118,817,1572,52.218
4,Darcy Ashley,RW,HAL,19.694,239,98,96,58,194,252,621,17.282,0.492,0.508,0.32,0.999,1.319,2.814,663,1287,51.778
5,Alex Saulnier,C,MON,19.29,191,84,84,82,168,250,462,17.698,0.432,0.432,0.422,0.868,1.29,2.478,2552,4651,55.323
6,Jonathan Drouin,C,HAL,17.72,128,77,94,71,171,242,468,14.855,0.578,0.77,0.58,1.35,1.93,3.83,512,1000,43.55
7,Allain Saulnier,RW,MON,19.29,200,88,95,50,183,233,584,15.06,0.432,0.528,0.23,0.958,1.19,2.892,414,913,44.575
8,Brandon Hynes,RW,VIC/BAT/VDO,19.252,190,111,71,47,182,229,864,13.078,0.582,0.382,0.24,0.965,1.212,4.46,9,17,60.715
9,Philippe Maillet,C,VIC,19.104,194,89,89,50,178,228,687,12.38,0.438,0.483,0.28,0.925,1.205,3.71,1603,3388,47.16
10,Guillaume Asselin,RW,CHI,19.266,202,95,74,58,169,227,539,16.955,0.455,0.36,0.288,0.812,1.1,2.865,23,54,41.582
11,Phillip Danault,C,VIC/MON,18.806,182,64,79,80,143,223,554,11.355,0.368,0.46,0.482,0.828,1.31,3.335,1785,3514,50.882
12,Jonathan Huberdeau,LW,SNB,18.532,134,89,83,50,172,222,439,18.44,0.628,0.658,0.342,1.285,1.63,3.482,233,515,47.955
13,Peter Trainor,LW,RIM,19.416,203,103,56,59,159,218,573,14.421,0.439,0.245,0.265,0.68,0.945,2.689,14,35,33.444
14,Anthony Duclair,LW,QUE,17.306,177,101,78,36,179,215,454,22.338,0.638,0.478,0.212,1.112,1.33,2.81,42,105,29.84
15,Anton Zlobin,LW,SHA/VDO,18.811,186,92,69,51,161,212,509,17.55,0.49,0.44,0.3,0.923,1.222,2.762,4,8,41.665
16,Philippe Halley,LW,GAT/VIC,19.52,200,110,63,32,173,205,566,18.928,0.562,0.328,0.172,0.89,1.06,3.045,337,739,41.078
17,Olivier Archambault,LW,VDO/DRU/QUE,19.703,212,88,69,47,157,204,541,17.012,0.461,0.35,0.262,0.81,1.074,2.704,612,1266,50.698
18,Alexandre Lavoie,C,CHI/CAP/RIM,19.078,190,83,69,46,152,198,401,20.68,0.47,0.41,0.282,0.88,1.162,2.302,1737,3230,53.79
19,Emile Poirier,LW,GAT,18.004,195,90,64,43,154,197,507,17.945,0.518,0.363,0.225,0.882,1.11,2.795,58,143,38.58
20,Marc-Olivier Brouillard,RW,DRU/BAT/GAT,19.708,211,67,84,46,151,197,611,13.441,0.341,0.386,0.306,0.728,1.034,2.586,97,210,23.514
21,Christopher Clapperton,LW,BLB,18.812,176,78,62,54,140,194,441,17.612,0.452,0.352,0.312,0.805,1.118,2.56,71,158,41.125
22,Marcus Power,RW,ROU,19.298,204,57,81,56,138,194,460,11.085,0.314,0.481,0.314,0.795,1.111,2.488,636,1468,41.704
23,Matthew Boudreau,C,HAL/VIC/SHA/BAT,19.646,247,86,66,42,152,194,584,13.022,0.334,0.318,0.165,0.651,0.816,2.528,954,2106,46.23
24,Guillaume Gelinas,D,VDO/SHA/BLB,19.48,264,43,75,74,118,192,718,3.659,0.136,0.243,0.201,0.378,0.579,1.989,1,2,2.778
25,Jean-Sebastien Dea,C,ROU,18.85,183,111,50,31,161,192,476,23.03,0.625,0.268,0.155,0.893,1.047,2.842,2139,3939,54.152
26,Yanni Gourde,LW,VIC,19.252,136,63,72,57,135,192,368,17.09,0.46,0.53,0.42,0.99,1.41,2.71,307,735,39.27
27,William Carrier,LW,CAP/DRU,17.863,227,73,66,50,139,189,692,9.936,0.35,0.353,0.254,0.708,0.958,3.51,51,120,35.869
28,Adam Erne,LW,QUE,17.657,180,77,70,42,147,189,624,11.94,0.432,0.442,0.25,0.875,1.125,3.645,610,1105,52.185
29,Stefan Fournier,RW,LEW/VIC/HAL,19.627,197,87,57,40,144,184,593,14.768,0.465,0.292,0.218,0.758,0.975,3.133,301,591,49.47
30,Angelo Miceli,C,VIC,18.668,191,80,57,46,137,183,537,13.336,0.41,0.325,0.212,0.74,0.948,2.82,1243,2525,48.305
31,Michael Beaudry,C,RIM/VDO/BAT,19.641,202,66,59,56,125,181,488,14.245,0.378,0.295,0.312,0.67,0.982,2.535,1314,2589,50.442
32,Yannick Veilleux,RW,SHA/MON,18.811,192,80,48,51,128,179,626,12.69,0.445,0.25,0.288,0.692,0.982,3.51,16,38,40.59
33,Francis Beauvillier,LW,LEW/RIM/ROU/SHA,19.024,252,86,51,42,137,179,649,12.939,0.354,0.251,0.204,0.611,0.816,2.724,757,1464,54.234
34,Louick Marcotte,LW,PEI/VDO,18.813,214,83,50,46,133,179,516,15.81,0.459,0.299,0.269,0.753,1.021,2.73,302,708,43.12
35,Mikhail Grigorenko,C,QUE,18.585,115,85,52,41,137,178,398,21.5,0.722,0.512,0.38,1.232,1.62,3.35,1185,2243,55.525
36,Zack Phillips,C,SNB,18.381,127,68,68,39,136,175,453,14.985,0.535,0.535,0.305,1.07,1.375,3.575,950,2005,47.295
37,Brent Andrews,C,HAL,19.78,259,68,69,36,137,173,628,11.644,0.324,0.341,0.16,0.668,0.832,2.765,2610,4687,55.162
38,Matthew Bissonnette,LW,LEW/BAT,19.915,155,59,58,56,117,173,451,11.742,0.348,0.39,0.382,0.738,1.118,2.867,402,764,52.702
39,Samuel Henley,C,LEW/VDO,19.268,236,78,54,40,132,172,459,18.268,0.441,0.285,0.256,0.726,0.984,2.324,263,617,41.439
40,Sven Andrighetto,RW,ROU,18.987,115,67,65,40,132,172,459,14.575,0.58,0.58,0.36,1.16,1.52,4.0,162,327,49.31
41,Josh Currie,C,PEI,19.13,188,88,48,34,136,170,566,15.253,0.512,0.302,0.215,0.818,1.03,3.168,1665,3388,47.213
42,Carl Gelinas,C,HAL/BAC,19.857,182,70,53,44,123,167,559,12.535,0.38,0.318,0.248,0.702,0.95,3.042,248,489,51.305
43,Jerome Verrier,RW,DRU,18.602,201,84,49,33,133,166,614,13.42,0.45,0.25,0.175,0.705,0.878,3.228,654,1290,53.68
44,Luca Ciampini,LW,HAL,18.649,235,59,55,52,114,166,466,12.221,0.258,0.235,0.222,0.494,0.715,2.124,22,52,31.945
45,Sebastien Trudeau,RW,BAT,19.646,135,64,58,42,122,164,397,16.23,0.475,0.43,0.31,0.9,1.215,2.94,18,62,29.94
46,Martin Frk,RW,HAL,18.195,152,73,60,30,133,163,440,17.568,0.515,0.432,0.22,0.948,1.165,2.935,10,26,26.788
47,Alexandre Comtois,RW,DRU/ROU/QUE/SHE,19.638,204,61,54,46,115,161,468,12.898,0.31,0.285,0.225,0.595,0.82,2.462,779,1641,48.745
