,Name,GP,ROW,GF%,GF,GA,GD,SF%,SF,SA,SD,Sh%,Sv%,PDO
0,Toronto Marlies,588,328,54.319,1847,1512,335,52.404,17700,17109,591,10.085,0.905,100.496
1,Wilkes-Barre/Scranton Penguins,586,309,52.945,1711,1475,236,51.474,17485,16150,1335,9.505,0.91,100.406
2,Grand Rapids Griffins,588,301,53.098,1827,1545,282,52.271,19015,17379,1636,8.934,0.912,100.117
3,Chicago Wolves,585,287,54.172,1711,1549,162,50.592,17334,17327,7,10.634,0.908,101.428
4,Providence Bruins,587,282,53.714,1685,1487,198,52.794,18455,17236,1219,9.424,0.908,100.244
5,Charlotte Checkers,589,277,52.762,1677,1673,4,51.852,17953,17670,283,9.856,0.904,100.22
6,Texas Stars,586,277,50.376,1843,1736,107,51.733,18790,17477,1313,9.574,0.901,99.686
7,Syracuse Crunch,585,272,55.06,1737,1642,95,51.385,17835,16731,1104,10.343,0.911,101.432
8,Hershey Bears,586,271,48.604,1712,1613,99,49.022,16326,16974,-648,9.835,0.9,99.852
9,Milwaukee Admirals,587,265,48.564,1600,1574,26,49.299,17132,17124,8,8.874,0.909,99.774
10,Rockford IceHogs,588,254,48.012,1640,1704,-64,49.658,19026,17757,1269,7.997,0.914,99.35
11,Bridgeport Sound Tigers,589,252,49.648,1635,1742,-107,50.563,17480,17551,-71,9.672,0.901,99.72
12,Rochester Americans,587,248,50.909,1669,1744,-75,50.268,17244,18547,-1303,9.429,0.908,100.194
13,San Antonio Rampage,586,226,46.596,1545,1742,-197,49.41,17453,18165,-712,8.656,0.904,99.108
14,Albany Devils,456,205,51.412,1199,1182,17,52.828,13450,12509,941,8.679,0.909,99.513
15,Utica Comets,436,203,48.89,1198,1224,-26,48.88,13162,12927,235,9.593,0.905,100.072
16,St. John's IceCaps,456,201,48.319,1280,1334,-54,47.978,13584,13934,-350,9.363,0.91,100.301
17,Binghamton Senators,456,195,44.754,1325,1410,-85,47.679,13797,15260,-1463,8.756,0.9,98.761
18,Hartford Wolf Pack,436,173,44.882,1158,1343,-185,48.001,12481,13292,-811,9.148,0.9,99.066
19,Lehigh Valley Phantoms,359,168,51.601,1086,1057,29,48.063,10715,11541,-826,10.251,0.91,101.314
20,Springfield Falcons,380,165,46.278,1058,1084,-26,48.968,11050,11234,-184,8.612,0.904,99.014
21,Portland Pirates,380,163,49.99,1075,1146,-71,49.838,11527,11884,-357,8.574,0.913,99.858
22,Lake Erie Monsters,380,159,50.188,996,1057,-61,51.126,11352,11495,-143,8.354,0.914,99.704
23,Manchester Monarchs,304,159,55.814,896,765,131,52.689,9266,8946,320,9.382,0.916,101.058
24,Iowa Wild,435,151,50.129,1083,1279,-196,48.487,12403,13797,-1394,9.593,0.911,100.706
25,Oklahoma City Barons,304,149,51.398,903,846,57,49.816,9369,9301,68,9.186,0.912,100.471
26,Norfolk Admirals,304,139,48.01,810,784,26,50.44,9242,9019,223,7.962,0.915,99.408
27,San Diego Gulls,255,133,52.089,804,737,67,49.231,7808,8037,-229,10.352,0.908,101.194
28,Ontario Reign,253,129,48.048,738,714,24,49.445,7944,7556,388,9.105,0.902,99.341
29,San Jose Barracuda,252,129,53.376,767,681,86,51.626,7853,7362,491,9.442,0.911,100.545
30,Hamilton Bulldogs,304,120,46.668,717,868,-151,48.86,8901,9431,-530,7.84,0.915,99.264
31,Bakersfield Condors,254,120,52.784,768,744,24,51.424,7745,7922,-177,9.45,0.908,100.22
32,Worcester Sharks,304,119,49.406,783,851,-68,53.2,9762,8811,951,7.922,0.908,98.691
33,Manitoba Moose,283,117,47.756,765,842,-77,46.95,8317,9180,-863,8.896,0.914,100.262
34,Stockton Heat,255,113,48.602,788,813,-25,49.08,7893,7952,-59,10.311,0.896,99.904
35,Abbotsford Heat,228,101,50.078,590,600,-10,49.545,6687,6711,-24,8.788,0.914,100.12
36,Tucson Roadrunners,185,91,50.178,548,555,-7,50.625,5508,5542,-34,9.57,0.903,99.848
37,Adirondack Phantoms,228,86,45.848,561,653,-92,49.23,6863,7068,-205,7.918,0.911,98.968
38,Springfield Thunderbirds,208,82,49.132,585,616,-31,48.055,6000,6448,-448,9.638,0.908,100.415
39,Cleveland Monsters,207,75,45.878,534,635,-101,51.498,6307,6134,173,8.178,0.898,97.945
40,Houston Aeros,152,65,50.94,404,389,15,48.62,4233,4473,-240,9.26,0.918,101.015
41,Connecticut Whale,152,62,49.66,414,420,-6,48.04,4460,4819,-359,9.055,0.915,100.515
42,Peoria Rivermen,152,61,47.995,389,420,-31,48.52,4611,4894,-283,7.99,0.918,99.79
43,Belleville Senators,134,50,46.115,374,445,-71,46.19,3593,4216,-623,10.295,0.898,100.1
44,Binghamton Devils,133,46,44.225,347,438,-91,49.055,3725,3841,-116,9.09,0.891,98.22
45,Laval Rocket,132,45,45.24,352,437,-85,50.08,3718,3731,-13,9.22,0.891,98.335
46,Adirondack Flames,76,34,49.36,232,238,-6,50.37,2438,2402,36,9.11,0.906,99.69
47,Colorado Eagles,50,20,46.51,140,161,-21,48.08,1576,1702,-126,8.54,0.908,99.34
