,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,G/GP,A1/GP,A2/GP,P1/GP,P/GP
0,Adam Brooks,C,REG,19.36,72,38,53,29,91,120,0.53,0.74,0.4,1.26,1.67
1,Dryden Hunt,LW,MJ,19.809,72,58,31,27,89,116,0.81,0.43,0.38,1.24,1.61
2,Brayden Burke,LW,LET,18.703,72,27,47,35,74,109,0.38,0.65,0.49,1.03,1.51
3,Jayce Hawryluk,C,BDN,19.705,58,47,43,16,90,106,0.81,0.74,0.28,1.55,1.83
4,Nolan Patrick,C,BDN,16.989,72,41,38,23,79,102,0.57,0.53,0.32,1.1,1.42
5,Parker Bowles,C,TC,20.638,72,39,31,26,70,96,0.54,0.43,0.36,0.97,1.33
6,Tyson Baillie,C,KEL,19.831,70,43,31,21,74,95,0.61,0.44,0.3,1.06,1.36
7,Reid  Gardiner,RW,PA,19.655,71,43,31,18,74,92,0.61,0.44,0.25,1.04,1.3
8,Alex Forsberg,LW,VIC,20.696,71,31,43,17,74,91,0.44,0.61,0.24,1.04,1.28
9,Tyler Wong,RW,LET,19.546,72,43,32,14,75,89,0.6,0.44,0.19,1.04,1.24
10,Brayden  Point,C,MJ,19.508,48,35,39,14,74,88,0.73,0.81,0.29,1.54,1.83
11,Mathew Barzal,C,SEA,18.306,58,27,36,25,63,88,0.47,0.62,0.43,1.09,1.52
12,Tyler Soy,C,VIC,18.593,72,46,26,13,72,85,0.64,0.36,0.18,1.0,1.18
13,Jack Walker,LW,VIC,19.127,72,36,26,22,62,84,0.5,0.36,0.31,0.86,1.17
14,Ivan Nikolishin,LW,RD,19.425,72,31,27,24,58,82,0.43,0.38,0.33,0.81,1.14
15,Collin Shirley,LW,KAM,19.499,72,37,29,13,66,79,0.51,0.4,0.18,0.92,1.1
16,Chase Witala,LW,PG,20.304,71,40,25,14,65,79,0.56,0.35,0.2,0.92,1.11
17,Brett Pollock,LW,EDM,19.497,72,30,28,20,58,78,0.42,0.39,0.28,0.81,1.08
18,Matthew Phillips,C,VIC,17.443,72,37,24,15,61,76,0.51,0.33,0.21,0.85,1.06
19,Jesse Gabrielle,LW,PG,18.245,72,40,20,15,60,75,0.56,0.28,0.21,0.83,1.04
20,Giorgio Estephan,C,LET,18.612,59,30,25,19,55,74,0.51,0.42,0.32,0.93,1.25
21,Chad Butcher,RW,MH,19.639,71,27,25,22,52,74,0.38,0.35,0.31,0.73,1.04
22,Adam Helewka,LW,RD/SPO,20.154,53,42,24,8,66,74,0.79,0.45,0.15,1.25,1.4
23,Jon Martin,RW,SC/KTN,20.063,70,41,17,15,58,73,0.59,0.24,0.21,0.83,1.04
24,Ivan Provorov,D,BDN,18.67,62,21,25,27,46,73,0.34,0.4,0.44,0.74,1.18
25,Noah Gregor,C,MJ,17.134,72,28,30,15,58,73,0.39,0.42,0.21,0.81,1.01
26,Connor Gay,RW,SAS,20.367,70,25,28,19,53,72,0.36,0.4,0.27,0.76,1.03
27,John Quenneville,C,BDN,19.414,57,30,27,15,57,72,0.53,0.47,0.26,1.0,1.26
