,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP
333,Jeff McNeil,D,SNB,18.588,29,3,2,1,5,6,30,10.0,0.1,0.07,0.03,0.17,0.21,1.03
334,Samuel Richard,D,VDO,19.494,66,1,5,0,6,6,58,1.72,0.02,0.08,0.0,0.09,0.09,0.88
335,Philippe Poirier,D,HAL/QUE,19.513,35,1,1,3,2,5,15,6.67,0.03,0.03,0.09,0.06,0.14,0.43
336,Alexandre Touchette,C,GAT,16.696,22,1,2,2,3,5,21,4.76,0.05,0.09,0.09,0.14,0.23,0.95
337,Patrick Campbell,D,CHI/MON,18.174,38,1,2,2,3,5,12,8.33,0.03,0.05,0.05,0.08,0.13,0.32
338,Dany Roch,D,VIC,17.156,46,0,3,2,3,5,18,0.0,0.0,0.07,0.04,0.07,0.11,0.39
339,Simon Bouchard,LW,DRU,17.484,23,2,1,2,3,5,22,9.09,0.09,0.04,0.09,0.13,0.22,0.96
340,Maxime Renaud,D,BAT,17.534,52,1,2,2,3,5,22,4.55,0.02,0.04,0.04,0.06,0.1,0.42
341,Beau Prokopetz,D,CAP/DRU,19.379,58,1,1,3,2,5,44,2.27,0.02,0.02,0.05,0.03,0.09,0.76
342,Mathew Menard,D,BAC,18.859,61,1,1,3,2,5,51,1.96,0.02,0.02,0.05,0.03,0.08,0.84
343,Matthew Stoddard,C,SNB,16.239,23,1,4,0,5,5,25,4.0,0.04,0.17,0.0,0.22,0.22,1.09
344,Tom Michalik,D,LEW,17.709,47,0,0,5,0,5,28,0.0,0.0,0.0,0.11,0.0,0.11,0.6
345,Jarrad Struthers,LW,ROU,16.137,37,0,4,1,4,5,26,0.0,0.0,0.11,0.03,0.11,0.14,0.7
346,Jason Legault,D,VDO/VIC,18.56,38,1,3,1,4,5,41,2.44,0.03,0.08,0.03,0.11,0.13,1.08
347,Charlie Pens,D,CAP,18.445,23,1,3,1,4,5,10,10.0,0.04,0.13,0.04,0.17,0.22,0.43
348,Greg Paynter,RW,PEI,18.426,55,3,1,1,4,5,21,14.29,0.05,0.02,0.02,0.07,0.09,0.38
349,Corey Garland,LW,DRU,19.65,50,2,3,0,5,5,27,7.41,0.04,0.06,0.0,0.1,0.1,0.54
350,Sansdrick Lavoie,LW,VIC,17.241,22,1,2,1,3,4,16,6.25,0.05,0.09,0.05,0.14,0.18,0.73
351,Kristopher Schmidt,LW,BAT/DRU,18.371,22,0,2,2,2,4,18,0.0,0.0,0.09,0.09,0.09,0.18,0.82
352,Alex Lamontagne,D,BAC,18.44,19,1,1,2,2,4,30,3.33,0.05,0.05,0.11,0.11,0.21,1.58
353,Jean-Philippe Roy-Vallieres,RW,CHI,18.834,7,1,1,2,2,4,11,9.09,0.14,0.14,0.29,0.29,0.57,1.57
354,Cedric Archambault,D,BAT/VDO,18.955,63,0,1,3,1,4,37,0.0,0.0,0.02,0.05,0.02,0.06,0.59
355,Todd Chinova,RW,QUE/SHA,17.545,56,1,0,3,1,4,38,2.63,0.02,0.0,0.05,0.02,0.07,0.68
356,Taylor MacDougall,C,SNL,16.392,63,2,1,1,3,4,34,5.88,0.03,0.02,0.02,0.05,0.06,0.54
357,Mickey MacDonald,C,CAP,17.309,24,1,2,1,3,4,12,8.33,0.04,0.08,0.04,0.12,0.17,0.5
358,Benjamin Chaisson,D,HAL/SNL,19.666,45,0,2,2,2,4,38,0.0,0.0,0.04,0.04,0.04,0.09,0.84
359,Charles Milette,D,SHA,19.376,26,2,1,1,3,4,25,8.0,0.08,0.04,0.04,0.12,0.15,0.96
360,Zane Neily,C,SNB,17.484,8,2,2,0,4,4,11,18.18,0.25,0.25,0.0,0.5,0.5,1.38
361,Joshua Desmarais,LW,SHA,17.665,51,2,2,0,4,4,52,3.85,0.04,0.04,0.0,0.08,0.08,1.02
362,Mike Thomas,LW,SNB,16.6,46,1,3,0,4,4,26,3.85,0.02,0.07,0.0,0.09,0.09,0.57
363,Benjamin Rubin,LW,QUE,17.638,29,3,1,0,4,4,13,23.08,0.1,0.03,0.0,0.14,0.14,0.45
364,Frederic Desrochers,LW,RIM,17.657,47,3,1,0,4,4,22,13.64,0.06,0.02,0.0,0.09,0.09,0.47
365,Lucas McKinley,LW,PEI,17.432,30,3,1,0,4,4,18,16.67,0.1,0.03,0.0,0.13,0.13,0.6
366,MacKenzie Micks,RW,DRU,18.473,38,4,0,0,4,4,33,12.12,0.11,0.0,0.0,0.11,0.11,0.87
367,Vincent Germain,C,VDO,17.72,17,1,3,0,4,4,10,10.0,0.06,0.18,0.0,0.24,0.24,0.59
368,Josh MacKinnon,D,SNL,18.599,31,2,2,0,4,4,29,6.9,0.06,0.06,0.0,0.13,0.13,0.94
369,Daniel Sauve,D,GAT,17.295,23,0,3,1,3,4,24,0.0,0.0,0.13,0.04,0.13,0.17,1.04
370,Etienne Morier,LW,BAC,19.885,14,3,1,0,4,4,29,10.34,0.21,0.07,0.0,0.29,0.29,2.07
371,Kyle Kelly,LW,VIC/SNB,18.358,43,3,1,0,4,4,20,15.0,0.07,0.02,0.0,0.09,0.09,0.47
372,Maxime Macenauer,C,ROU,17.695,14,1,2,1,3,4,25,4.0,0.07,0.14,0.07,0.21,0.29,1.79
373,Joseph Tolles,D,MON,18.541,22,0,2,1,2,3,14,0.0,0.0,0.09,0.05,0.09,0.14,0.64
374,Keith Bombaugh,D,SNL,17.52,38,0,1,2,1,3,19,0.0,0.0,0.03,0.05,0.03,0.08,0.5
375,Francois Theriault,LW,BAC,19.691,25,1,0,2,1,3,8,12.5,0.04,0.0,0.08,0.04,0.12,0.32
376,Stephen Ceccanese,LW,CAP,17.035,22,0,1,2,1,3,14,0.0,0.0,0.05,0.09,0.05,0.14,0.64
377,Gabriel O'Connor,D,HAL,15.754,34,0,1,2,1,3,8,0.0,0.0,0.03,0.06,0.03,0.09,0.24
378,Michael Noyes,D,SNB,18.371,15,0,0,3,0,3,10,0.0,0.0,0.0,0.2,0.0,0.2,0.67
379,Pascal Amyot,D,SNB,16.693,48,0,0,3,0,3,17,0.0,0.0,0.0,0.06,0.0,0.06,0.35
380,Francis Grise-Leclair,LW,SNL,17.046,10,0,2,1,2,3,0,0.0,0.0,0.2,0.1,0.2,0.3,0.0
381,Dylan Garrioch,RW,VDO,19.658,53,2,0,1,2,3,9,22.22,0.04,0.0,0.02,0.04,0.06,0.17
382,Etienne Breton,D,CAP,18.607,49,1,1,1,2,3,28,3.57,0.02,0.02,0.02,0.04,0.06,0.57
383,Darick Ste-Marie,RW,CHI,16.989,45,1,2,0,3,3,20,5.0,0.02,0.04,0.0,0.07,0.07,0.44
384,Takuma Kawai,LW,DRU,18.098,25,1,1,1,2,3,16,6.25,0.04,0.04,0.04,0.08,0.12,0.64
385,Gabriel Carle,D,BAT,16.737,31,0,2,1,2,3,18,0.0,0.0,0.06,0.03,0.06,0.1,0.58
386,Adam Jourdain,D,ROU,18.109,22,2,1,0,3,3,18,11.11,0.09,0.05,0.0,0.14,0.14,0.82
387,Darrell Simich,D,DRU,20.444,9,0,3,0,3,3,14,0.0,0.0,0.33,0.0,0.33,0.33,1.56
388,Nathan Snowie,D,PEI,18.689,17,0,3,0,3,3,11,0.0,0.0,0.18,0.0,0.18,0.18,0.65
389,Hubert Genest,D,QUE,16.939,31,0,3,0,3,3,16,0.0,0.0,0.1,0.0,0.1,0.1,0.52
390,Joonas Salmi,D,SNL,17.462,26,2,1,0,3,3,13,15.38,0.08,0.04,0.0,0.12,0.12,0.5
391,Kenny Pennell,RW,SNL,18.771,40,3,0,0,3,3,18,16.67,0.07,0.0,0.0,0.07,0.07,0.45
392,Marc-Andre Parent,D,QUE,17.331,30,0,1,1,1,2,6,0.0,0.0,0.03,0.03,0.03,0.07,0.2
393,Rodi Short,D,HAL,19.313,18,0,1,1,1,2,13,0.0,0.0,0.06,0.06,0.06,0.11,0.72
394,Samuel Groulx,D,QUE,16.217,9,1,0,1,1,2,3,33.33,0.11,0.0,0.11,0.11,0.22,0.33
395,Spencer Corcoran,D,CAP,17.835,36,0,1,1,1,2,30,0.0,0.0,0.03,0.03,0.03,0.06,0.83
396,Gabriel Dumont,RW,DRU,15.943,8,1,0,1,1,2,24,4.17,0.12,0.0,0.12,0.12,0.25,3.0
397,Tommy Samson,C,SHA,16.537,7,1,0,1,1,2,6,16.67,0.14,0.0,0.14,0.14,0.29,0.86
398,Colin Escott,LW,GAT/SNL,17.569,7,0,1,1,1,2,6,0.0,0.0,0.14,0.14,0.14,0.29,0.86
399,Paul Roebothan,RW,SNL,18.7,18,0,2,0,2,2,9,0.0,0.0,0.11,0.0,0.11,0.11,0.5
400,Jeff Grenier,D,GAT,19.705,12,0,1,1,1,2,7,0.0,0.0,0.08,0.08,0.08,0.17,0.58
401,Danick Malouin,D,PEI,16.485,28,1,1,0,2,2,9,11.11,0.04,0.04,0.0,0.07,0.07,0.32
402,Benoit Levesque,RW,DRU/ROU/PEI,17.265,24,0,2,0,2,2,16,0.0,0.0,0.08,0.0,0.08,0.08,0.67
403,Maxime Gravel,LW,VIC,16.187,4,1,1,0,2,2,5,20.0,0.25,0.25,0.0,0.5,0.5,1.25
404,David Bouchard,RW,RIM,18.429,58,1,1,0,2,2,19,5.26,0.02,0.02,0.0,0.03,0.03,0.33
405,Samson Mahbod,RW,BAT,17.613,9,1,1,0,2,2,11,9.09,0.11,0.11,0.0,0.22,0.22,1.22
406,Maxime Frechette,D,DRU,18.352,53,0,2,0,2,2,41,0.0,0.0,0.04,0.0,0.04,0.04,0.77
407,Jean-Philippe Cote,D,SNB,20.386,7,0,1,1,1,2,9,0.0,0.0,0.14,0.14,0.14,0.29,1.29
408,Sebastien Laferriere,LW,VDO/PEI,19.508,50,2,0,0,2,2,10,20.0,0.04,0.0,0.0,0.04,0.04,0.2
409,Thomas Guay,C,CHI,17.09,23,0,0,1,0,1,8,0.0,0.0,0.0,0.04,0.0,0.04,0.35
410,Lucas LaBelle,LW,BAT,17.952,8,1,0,0,1,1,4,25.0,0.12,0.0,0.0,0.12,0.12,0.5
411,Dave Labrecque,C,SHA,16.633,4,1,0,0,1,1,5,20.0,0.25,0.0,0.0,0.25,0.25,1.25
412,Colin Gorman,D,ROU,16.274,6,0,0,1,0,1,1,0.0,0.0,0.0,0.17,0.0,0.17,0.17
413,Maxime Gervais,D,CAP,16.775,8,0,0,1,0,1,2,0.0,0.0,0.0,0.12,0.0,0.12,0.25
414,Joel Rechlicz,LW,CHI,19.256,55,0,0,1,0,1,6,0.0,0.0,0.0,0.02,0.0,0.02,0.11
415,Eric Louis-Seize,LW,HAL,16.926,12,0,0,1,0,1,4,0.0,0.0,0.0,0.08,0.0,0.08,0.33
416,Mathieu Boucher,LW,QUE,17.353,11,0,0,1,0,1,3,0.0,0.0,0.0,0.09,0.0,0.09,0.27
417,Luc Bourque,D,SHA,16.564,20,0,0,1,0,1,11,0.0,0.0,0.0,0.05,0.0,0.05,0.55
418,Marcus Watson,RW,MON,17.66,6,0,0,1,0,1,2,0.0,0.0,0.0,0.17,0.0,0.17,0.33
419,Joel Roch,D,QUE,17.539,25,0,1,0,1,1,8,0.0,0.0,0.04,0.0,0.04,0.04,0.32
420,Maxime Morier,RW,BAC,18.801,37,1,0,0,1,1,10,10.0,0.03,0.0,0.0,0.03,0.03,0.27
421,Kevin Baril,RW,CHI,16.866,2,1,0,0,1,1,3,33.33,0.5,0.0,0.0,0.5,0.5,1.5
422,Kalin Paul,D,BAC,16.315,42,0,1,0,1,1,11,0.0,0.0,0.02,0.0,0.02,0.02,0.26
423,David Crossman,D,MON,19.697,6,0,1,0,1,1,1,0.0,0.0,0.17,0.0,0.17,0.17,0.17
424,Igor Voroshilov,LW,MON,17.09,11,1,0,0,1,1,8,12.5,0.09,0.0,0.0,0.09,0.09,0.73
425,Tommy Lange,LW,SNB,19.182,6,1,0,0,1,1,6,16.67,0.17,0.0,0.0,0.17,0.17,1.0
426,Brad Smith,C,MON,18.421,14,1,0,0,1,1,6,16.67,0.07,0.0,0.0,0.07,0.07,0.43
427,Egor Egorov,RW,SHA,19.653,5,0,1,0,1,1,9,0.0,0.0,0.2,0.0,0.2,0.2,1.8
428,Nicholas Albany,RW,DRU,18.615,7,1,0,0,1,1,4,25.0,0.14,0.0,0.0,0.14,0.14,0.57
429,Daniel Fazzalari,D,CAP,17.106,17,0,1,0,1,1,6,0.0,0.0,0.06,0.0,0.06,0.06,0.35
430,Jonathan Reid,C,SNL,18.078,4,0,1,0,1,1,3,0.0,0.0,0.25,0.0,0.25,0.25,0.75
431,Trevor Mock,LW,DRU,18.976,2,1,0,0,1,1,3,33.33,0.5,0.0,0.0,0.5,0.5,1.5
432,Darcy Rees,D,GAT,18.355,14,0,1,0,1,1,2,0.0,0.0,0.07,0.0,0.07,0.07,0.14
433,Matt Boland,D,SNL,17.221,27,1,0,0,1,1,9,11.11,0.04,0.0,0.0,0.04,0.04,0.33
434,Chris Owen,D,PEI,17.071,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
435,Justin Mazurek,D,GAT,17.851,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
436,Daniel Basque,C,BAT,18.043,3,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.33
437,Travis Stacey,LW,GAT,16.206,27,0,0,0,0,0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.56
438,Francis Desrosiers,C,VDO,17.219,5,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.4
439,Michael MacIsaac,RW,HAL,18.705,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
440,Kyle Jukosky,C,GAT,17.947,3,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0
441,David Cliche,C,VIC,16.715,5,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.4
442,Chris Owens,D,PEI,20.066,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
443,Chad Earle,LW,HAL,17.257,2,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5
444,David Houde,D,VIC,17.126,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
445,William Beaudoin,D,SNL,15.762,3,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.33
446,Pier-Luc Giguere,RW,ROU,17.252,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
447,Francis Piche,D,PEI,16.956,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
448,Nicholas Pard,RW,SNB,16.343,2,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0
449,Olivier Lepine,D,BAC,18.459,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
450,Antoine Houde-Caron,LW,SHA,16.663,4,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.25
451,Mitch Flynn,D,SNL,16.553,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
452,Alex Wall,D,SNL,15.872,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
453,Felix Lefrancois,C,RIM,16.178,6,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.67
454,Maximillian L'Heureux,RW,GAT,18.078,2,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5
