,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,G/GP,A1/GP,A2/GP,P1/GP,P/GP
0,Duncan Milroy,RW,S.C/KTN,18.852,193,117,78,62,195,257,0.595,0.412,0.318,1.002,1.318
1,Joffrey Lupul,C,M.H,18.23,191,127,64,49,191,240,0.712,0.38,0.258,1.092,1.35
2,Chris St. Jacques,C,M.H,18.898,185,98,84,55,182,237,0.52,0.498,0.308,1.018,1.322
3,Blake Robson,C,P.G/POR,19.711,205,86,95,47,181,228,0.43,0.475,0.242,0.905,1.15
4,Ben Thomson,RW,M.H,19.462,208,103,81,42,184,226,0.528,0.365,0.21,0.893,1.102
5,Carsen Germyn,RW,KEL/RDR,19.812,194,94,73,55,167,222,0.465,0.363,0.26,0.835,1.095
6,Dustin Johner,C,SEA,18.78,214,94,80,40,174,214,0.458,0.385,0.182,0.84,1.02
7,Jesse Schultz,RW,TRI/P.A/KEL,19.216,210,100,78,35,178,213,0.538,0.395,0.185,0.932,1.112
8,Ben Kilgour,RW,TRI,19.706,201,80,79,53,159,212,0.38,0.39,0.285,0.778,1.06
9,Erik Christensen,C,KAM,17.997,209,97,80,33,177,210,0.555,0.442,0.17,0.992,1.165
10,Ryan Craig,C,BRN,19.914,182,109,59,41,168,209,0.625,0.325,0.228,0.95,1.175
11,Nathan Barrett,C,LET,19.618,142,91,78,37,169,206,0.64,0.55,0.26,1.19,1.45
12,Kiel McLeod,C,KEL,18.961,174,94,67,43,161,204,0.532,0.405,0.268,0.945,1.208
13,Brooks Laich,C,M.J/SEA,18.481,206,78,77,47,155,202,0.465,0.415,0.27,0.88,1.15
14,Jeremy Jackson,RW,LET/VAN,19.813,136,82,58,53,140,193,0.61,0.43,0.39,1.035,1.425
15,Jordin Tootoo,RW,BRN,18.868,175,87,71,35,158,193,0.552,0.442,0.21,0.998,1.202
16,Ian White,D,S.C,17.532,203,68,51,71,119,190,0.348,0.272,0.352,0.615,0.968
17,Eric Johansson,C,TRI,19.188,141,80,70,33,150,183,0.57,0.5,0.235,1.07,1.3
18,Mike Wirll,C,BRN/P.A/P.G/LET,19.796,172,74,76,33,150,183,0.42,0.425,0.182,0.84,1.022
19,Mason Wallin,C,SPO,19.577,214,69,75,33,144,177,0.342,0.352,0.162,0.698,0.855
20,Warren Peters,C,SAS,19.434,206,92,53,31,145,176,0.445,0.295,0.162,0.738,0.9
21,Jared Aulin,C,KAM,19.005,116,64,74,37,138,175,0.58,0.6,0.315,1.18,1.5
22,Igor Pohanka,C,P.A,18.449,184,66,65,42,131,173,0.39,0.33,0.25,0.72,0.968
23,Jarret Stoll,RW,KTN,18.728,109,72,62,38,134,172,0.665,0.56,0.335,1.22,1.555
24,Boyd Gordon,RW,RDR,18.159,194,67,58,46,125,171,0.42,0.312,0.322,0.73,1.052
25,Tyler Beechey,LW,KTN/CGY,19.78,140,76,62,33,138,171,0.545,0.44,0.235,0.985,1.22
26,Ben Ondrus,RW,S.C,19.476,203,76,58,36,134,170,0.405,0.298,0.188,0.702,0.888
27,David Bararuk,C,M.J,18.559,191,68,59,43,127,170,0.362,0.365,0.262,0.73,0.99
28,Scott Upshall,C,KAM,17.442,131,74,51,45,125,170,0.56,0.39,0.345,0.955,1.3
29,Ryan Kinasewich,LW,M.H/TRI,18.323,193,70,65,35,135,170,0.418,0.385,0.202,0.802,1.002
30,Brandon Segal,RW,CGY,18.43,214,90,48,30,138,168,0.428,0.22,0.148,0.648,0.798
31,Nathan Paetsch,D,M.J,18.714,188,39,77,52,116,168,0.22,0.41,0.265,0.635,0.903
32,Owen Fussey,LW,CGY/M.J,18.706,186,99,38,29,137,166,0.538,0.2,0.17,0.74,0.913
33,Tim Smith,LW,S.C/SPO,19.654,135,59,68,38,127,165,0.44,0.505,0.28,0.945,1.22
34,Dan Baum,LW,P.G,18.534,203,73,52,38,125,163,0.368,0.292,0.175,0.66,0.835
35,Tomas Plihal,C,KTN,18.97,139,67,52,44,119,163,0.48,0.375,0.315,0.855,1.17
36,Gerard Dicaire,LD,SEA/KTN,19.254,207,36,61,65,97,162,0.182,0.308,0.3,0.49,0.792
37,Dylan Stanley,C,TRI,17.893,196,61,65,31,126,157,0.342,0.365,0.19,0.712,0.9
38,Tim Krymusa,LW,SPO,19.894,204,75,44,38,119,157,0.43,0.222,0.2,0.65,0.85
39,Cam Paddock,C,KEL,18.736,215,85,44,27,129,156,0.41,0.212,0.128,0.625,0.75
40,Jason Jaffray,LW,KTN/S.C,19.712,143,69,54,33,123,156,0.48,0.375,0.23,0.855,1.09
41,James Hiebert,RW,S.C,19.53,189,62,64,29,126,155,0.325,0.36,0.15,0.682,0.83
42,Chris Falloon,RW,P.G,18.334,207,67,44,44,111,155,0.353,0.238,0.235,0.592,0.825
43,Trevor Johnson,D,KTN/SEA/TRI,19.889,201,45,46,62,91,153,0.232,0.23,0.282,0.465,0.748
44,Colin McRae,C,BRN/TRI,19.736,175,72,51,29,123,152,0.412,0.28,0.145,0.692,0.838
45,Darren Lynch,RW,LET/VAN,18.444,169,63,61,27,124,151,0.348,0.362,0.162,0.71,0.872
46,Ryan Annesley,LW,KAM/REG/CGY/M.J,19.032,206,77,39,34,116,150,0.387,0.195,0.178,0.582,0.758
47,Nathan Smith,C,S.C,19.098,114,50,63,37,113,150,0.445,0.545,0.32,0.99,1.31
48,Matthew Keith,C,SPO/RDR,18.682,157,74,47,28,121,149,0.462,0.3,0.178,0.765,0.942
49,Rory McDade,C,KEL/TRI/VAN,19.553,123,43,67,38,110,148,0.34,0.52,0.305,0.865,1.17
50,Greg Watson,C,P.A/BRN,18.791,191,61,55,32,116,148,0.31,0.295,0.16,0.605,0.765
51,Josh Olson,LW,POR,19.676,144,62,49,37,111,148,0.435,0.34,0.255,0.77,1.025
52,Kevin Korol,LW,REG,20.112,141,43,65,40,108,148,0.305,0.46,0.285,0.765,1.045
53,Grant Jacobsen,C,REG/KAM,18.786,184,52,67,28,119,147,0.32,0.385,0.172,0.698,0.878
54,Colby Armstrong,D,RDR,18.312,136,63,53,30,116,146,0.46,0.39,0.22,0.85,1.07
55,Joff Kehler,LW,SPO,18.507,191,55,50,40,105,145,0.295,0.288,0.242,0.585,0.825
56,Josef Balej,RW,POR,19.062,111,83,31,31,114,145,0.74,0.275,0.27,1.01,1.285
57,Tyler Metcalfe,LW,SEA,17.51,193,51,52,40,103,143,0.26,0.26,0.208,0.52,0.728
58,Richie Regehr,D,KEL/POR,18.911,190,34,61,47,95,142,0.192,0.345,0.26,0.538,0.798
59,Tomas Mojzis,D,M.J/SEA,19.624,198,42,58,42,100,142,0.248,0.355,0.225,0.605,0.83
60,Justin Kelly,RW,SAS,19.999,132,55,53,34,108,142,0.405,0.395,0.265,0.805,1.06
61,Tyler Mosienko,C,KEL,17.737,194,53,47,40,100,140,0.32,0.298,0.242,0.62,0.862
62,Seth Leonard,LW,KEL/P.A,18.046,184,61,49,30,110,140,0.32,0.29,0.16,0.61,0.772
63,Ben Knopp,RW,M.J/KAM,18.94,136,66,47,26,113,139,0.47,0.35,0.195,0.82,1.015
