,Name,GP,ROW,GF%,GF,GA,GD,SF%,SF,SA,SD,Sh%,Sv%,PDO
0,Omaha Lancers,119,69,57.22,428,323,105,54.195,3986,3370,616,10.355,0.907,101.065
1,Waterloo Black Hawks,119,68,56.67,396,301,95,56.895,4017,3044,973,9.66,0.904,100.045
2,Lincoln Stars,120,64,54.105,423,358,65,54.575,4243,3533,710,9.75,0.902,99.935
3,Cedar Rapids RoughRiders,119,64,56.475,433,334,99,50.6,3926,3819,107,10.735,0.914,102.15
4,Sioux Falls Stampede,118,60,52.345,376,342,34,50.0,3557,3559,-2,10.35,0.907,100.955
5,Indiana Ice,118,56,49.055,390,404,-14,48.135,3612,3892,-280,10.515,0.898,100.36
6,Sioux City Musketeers,117,55,52.655,394,354,40,50.34,3943,3889,54,9.78,0.91,100.745
7,Tri-City Storm,120,52,47.915,348,378,-30,52.46,3724,3377,347,9.11,0.891,98.215
8,Chicago Steel,120,39,44.74,363,446,-83,43.435,3413,4466,-1053,10.355,0.903,100.66
9,Des Moines Buccaneers,120,36,45.185,342,406,-64,49.63,3707,3760,-53,9.015,0.894,98.38
10,Ohio Jr Blue Jackets,113,34,39.87,287,422,-135,42.93,3049,4016,-967,8.995,0.897,98.71
11,Green Bay Gamblers,119,33,42.05,300,412,-112,46.76,3276,3728,-452,8.9,0.894,98.235
