,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,G/GP,A1/GP,A2/GP,P1/GP,P/GP
0,Corey Perry,RW,LDN,19.335,60,47,54,29,101,130,0.78,0.9,0.48,1.68,2.17
1,Dylan Hunter,LW,LDN,19.321,67,31,41,32,72,104,0.46,0.61,0.48,1.07,1.55
2,Brad Richardson,C,OS,19.612,68,41,31,25,72,97,0.6,0.46,0.37,1.06,1.43
3,Patrick O'Sullivan,C,MISS,19.62,57,31,39,20,70,90,0.54,0.68,0.35,1.23,1.58
4,Rob Schremp,C,LDN,18.21,62,41,28,21,69,90,0.66,0.45,0.34,1.11,1.45
5,Bobby Ryan,RW,OS,17.501,62,37,33,19,70,89,0.6,0.53,0.31,1.13,1.44
6,Evan McGrath,C,KIT,18.67,67,28,35,24,63,87,0.42,0.52,0.36,0.94,1.3
7,Rob Hisey,C,ER/BAR,19.976,66,29,32,25,61,86,0.44,0.48,0.38,0.92,1.3
8,David Bolland,RW,LDN,18.281,66,34,29,22,63,85,0.52,0.44,0.33,0.95,1.29
9,Daniel Ryder,C,PBO,17.676,68,29,36,17,65,82,0.43,0.53,0.25,0.96,1.21
10,Liam Reddox,LW,PBO,18.634,68,36,27,19,63,82,0.53,0.4,0.28,0.93,1.21
11,Geoff Platt,C,ER,19.185,68,45,26,8,71,79,0.66,0.38,0.12,1.04,1.16
12,Marc Rancourt,LW,BELV,20.384,68,26,37,15,63,78,0.38,0.54,0.22,0.93,1.15
13,Andre Benoit,D,KIT,20.693,67,24,31,22,55,77,0.36,0.46,0.33,0.82,1.15
14,John Scott Dickson,RW,WSR,20.433,68,34,24,18,58,76,0.5,0.35,0.26,0.85,1.12
15,Patrick Jarrett,C,OS,20.608,68,27,26,23,53,76,0.4,0.38,0.34,0.78,1.12
16,John Mitchell,C,PLY,19.647,63,25,28,22,53,75,0.4,0.44,0.35,0.84,1.19
17,Jeff Carter,C,SSM,19.705,55,34,26,14,60,74,0.62,0.47,0.25,1.09,1.35
18,Cal O'Reilly,C,WSR,17.961,68,24,35,15,59,74,0.35,0.51,0.22,0.87,1.09
19,Wojtek Wolski,LW,BRA,18.558,67,29,30,14,59,73,0.43,0.45,0.21,0.88,1.09
