,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,eTOI,eTOI/GP,eG/60,eA1/60,eA2/60,eP1/60,eP/60,eSh/60,exG/60,QoT TOI,QoC TOI,QoT GF%,QoC GF%,GF%Rel,GF%,GF,GA,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
462,Kyle Ward,RW,SNB,17.712,55,3,1,2,4,6,45,6.67,0.05,0.02,0.04,0.07,0.11,0.82,5.11,0.09,597.0,10.85,0.3,0.1,0.2,0.4,0.6,4.52,0.51,17.57,17.77,50.63,50.23,-29.14,28.26,13,33,1,9,11.11,0,7,0.0,2,29,6.9,13,25,52.0
463,Alexandre Grise,LW,RIM/VDO,16.953,32,4,2,0,6,6,54,7.41,0.12,0.06,0.0,0.19,0.19,1.69,5.19,0.16,427.76,13.37,0.56,0.28,0.0,0.84,0.84,7.57,0.73,17.36,17.05,47.14,49.94,-28.01,26.47,9,25,2,5,40.0,1,9,11.11,1,40,2.5,48,125,38.4
464,Nikita Liamkin,D,CHI,18.607,27,2,3,1,5,6,33,6.06,0.07,0.11,0.04,0.19,0.22,1.22,2.0,0.07,459.11,17.0,0.26,0.39,0.13,0.65,0.78,4.31,0.26,16.96,17.59,47.65,49.66,-1.69,42.5,17,23,0,0,0.0,0,0,0.0,2,33,6.06,0,0,0.0
465,Pierre-Olivier Demers,D,VIC/RIM,17.487,37,3,3,0,6,6,27,11.11,0.08,0.08,0.0,0.16,0.16,0.73,0.99,0.03,507.21,13.71,0.35,0.35,0.0,0.71,0.71,3.19,0.12,16.94,16.62,52.85,46.4,-3.19,48.48,16,17,0,0,0.0,0,0,0.0,3,27,11.11,0,0,0.0
466,Jack Kilgour,LW,SHE,17.764,42,3,1,2,4,6,53,5.66,0.07,0.02,0.05,0.1,0.14,1.26,6.75,0.16,463.72,11.04,0.39,0.13,0.26,0.52,0.78,6.86,0.87,18.39,17.5,44.97,51.75,-25.21,25.81,8,23,1,6,16.67,1,7,14.29,1,40,2.5,40,83,48.19
467,Ryan Mooney,D,MON,17.364,36,2,3,1,5,6,30,6.67,0.06,0.08,0.03,0.14,0.17,0.83,1.96,0.05,441.22,12.26,0.27,0.41,0.14,0.68,0.82,4.08,0.27,17.0,16.99,53.47,48.39,25.8,72.73,16,6,0,0,0.0,0,3,0.0,2,27,7.41,0,0,0.0
468,Justin Samson,C,RIM/QUE,18.874,30,2,2,2,4,6,21,5.265,0.035,0.035,0.185,0.075,0.26,0.685,0.985,0.065,144.7,9.405,0.23,0.23,1.215,0.46,1.67,4.375,0.41,17.905,17.91,52.86,51.335,25.79,73.075,7,7,2,5,20.0,0,3,0.0,0,13,0.0,29,53,27.885
469,Anthony Beaulieu,D,VIC/GAT/BAT,20.092,64,1,4,0,5,5,36,1.515,0.01,0.035,0.0,0.04,0.04,0.65,0.63,0.045,548.885,17.66,0.03,0.115,0.0,0.145,0.145,2.2,0.14,17.19,17.66,48.6,51.64,-22.54,34.83,48,63,0,0,0.0,0,1,0.0,1,35,1.56,2,2,50.0
470,Julien Leduc,D,VIC/DRU,20.214,17,0,1,4,1,5,20,0.0,0.0,0.06,0.24,0.06,0.29,1.18,0.83,0.05,362.7,21.34,0.0,0.17,0.66,0.17,0.83,3.31,0.14,17.48,18.79,49.08,55.11,-17.45,45.71,16,19,0,0,0.0,0,0,0.0,0,20,0.0,0,1,0.0
471,Francis Robichaud,D,DRU,19.015,25,0,1,4,1,5,18,0.0,0.0,0.04,0.16,0.04,0.2,0.72,0.58,0.02,364.54,14.58,0.0,0.16,0.66,0.16,0.82,2.96,0.1,16.36,17.78,45.82,50.61,2.16,42.31,11,15,0,0,0.0,0,0,0.0,0,18,0.0,0,0,0.0
472,Raphael Sawyer,C,SHE,17.474,37,1,3,1,4,5,21,2.63,0.015,0.28,0.015,0.295,0.305,0.77,0.505,0.03,179.5,10.72,0.09,1.445,0.09,1.535,1.625,4.23,0.17,16.79,16.915,42.815,49.51,-5.205,38.89,6,14,0,0,0.0,1,3,16.665,0,18,0.0,25,70,36.345
473,Brandon Vuic,LW,HAL,19.195,46,2,1,2,3,5,34,5.88,0.04,0.02,0.04,0.07,0.11,0.74,4.33,0.09,452.9,9.85,0.26,0.13,0.26,0.4,0.66,4.5,0.57,16.0,16.45,38.27,50.19,-15.04,34.62,9,17,0,1,0.0,0,4,0.0,2,29,6.9,1,3,33.33
474,Guillaume Beck,D,VIC,16.412,53,0,3,2,3,5,37,0.0,0.0,0.055,0.025,0.055,0.085,0.675,0.51,0.02,370.395,13.76,0.0,0.255,0.115,0.255,0.365,2.95,0.09,16.69,17.18,47.89,49.925,-8.76,42.245,25,30,0,0,0.0,0,0,0.0,0,37,0.0,0,1,0.0
475,Christian Huntley,D,QUE,16.54,47,1,1,3,2,5,35,2.86,0.02,0.02,0.06,0.04,0.11,0.74,1.69,0.04,721.96,15.36,0.08,0.08,0.25,0.17,0.42,2.91,0.14,16.5,17.79,45.56,51.2,-8.54,37.04,20,34,0,1,0.0,0,2,0.0,1,32,3.12,0,0,0.0
476,Anthony Poulin,C,BLB,16.055,20,4,1,0,5,5,19,21.05,0.2,0.05,0.0,0.25,0.25,0.95,2.63,0.13,248.07,12.4,0.97,0.24,0.0,1.21,1.21,4.6,0.64,17.05,17.72,48.26,47.42,-3.54,47.06,8,9,2,5,40.0,1,3,33.33,1,11,9.09,87,211,41.23
477,Tyler Higgins,D,VDO,16.62,60,1,1,3,2,5,28,2.0,0.015,0.025,0.04,0.04,0.075,0.39,0.245,0.005,371.825,12.285,0.06,0.12,0.18,0.18,0.365,1.88,0.03,16.7,16.735,56.275,48.6,-1.21,53.98,26,20,0,0,0.0,0,0,0.0,1,28,2.0,0,2,0.0
478,Anthony Gagnon,RW,GAT,16.562,29,3,0,2,3,5,39,7.69,0.1,0.0,0.07,0.1,0.17,1.34,4.29,0.15,308.17,10.63,0.58,0.0,0.39,0.58,0.97,7.59,0.84,17.27,17.45,56.2,46.09,-16.38,43.75,7,9,1,6,16.67,2,6,33.33,0,27,0.0,18,54,33.33
479,Jason Imbeault,RW,SHE,16.646,58,1,4,0,5,5,19,5.26,0.02,0.07,0.0,0.09,0.09,0.33,1.72,0.03,510.84,8.81,0.12,0.47,0.0,0.59,0.59,2.23,0.2,18.18,17.6,45.7,53.83,-17.25,30.0,6,14,0,1,0.0,0,4,0.0,1,14,7.14,1,3,33.33
480,Alex-Olivier Voyer,RW,RIM,16.433,38,3,1,1,4,5,39,7.69,0.08,0.03,0.03,0.11,0.13,1.03,3.42,0.09,402.93,10.6,0.45,0.15,0.15,0.6,0.74,5.81,0.51,17.14,17.22,48.2,49.98,-16.94,33.33,7,14,0,3,0.0,1,8,12.5,2,28,7.14,22,62,35.48
481,Cole Rafuse,RW,VDO/BAT,16.693,54,2,1,2,3,5,24,8.33,0.04,0.02,0.04,0.06,0.09,0.44,2.08,0.04,516.91,9.57,0.23,0.12,0.23,0.35,0.58,2.79,0.24,16.32,16.89,48.74,50.87,-13.11,41.38,12,17,2,4,50.0,0,2,0.0,0,18,0.0,56,149,37.58
482,Guillaume Bergeron-Charron,C,BLB,18.132,30,4,1,0,5,5,26,9.09,0.075,0.02,0.0,0.095,0.095,0.925,1.085,0.06,168.955,10.765,0.405,0.1,0.0,0.505,0.505,5.195,0.315,17.915,16.915,50.675,51.0,-12.28,46.055,9,12,1,3,16.665,0,2,0.0,3,21,8.335,72,174,20.69
483,Vincent Chapleau,C,ROU/DRU,17.426,31,1,2,2,3,5,16,3.335,0.015,0.035,0.265,0.05,0.32,0.51,1.08,0.05,168.24,10.95,0.095,0.19,1.45,0.285,1.735,2.785,0.27,17.585,16.715,49.685,49.055,-16.09,38.635,7,17,0,6,0.0,0,2,0.0,1,8,7.145,94,189,47.22
484,Yan Aucoin,D,BAC,16.124,59,1,2,1,3,4,41,2.44,0.02,0.03,0.02,0.05,0.07,0.69,1.81,0.03,1005.47,17.04,0.06,0.12,0.06,0.18,0.24,2.45,0.11,16.21,18.32,35.69,55.01,-16.66,20.43,19,74,0,3,0.0,0,2,0.0,1,36,2.78,0,0,0.0
