,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,eTOI,eTOI/GP,eG/60,eA1/60,eA2/60,eP1/60,eP/60,eSh/60,exG/60,QoT TOI,QoC TOI,QoT GF%,QoC GF%,GF%Rel,GF%,GF,GA,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
0,Conor Garland,RW,MON,18.764,180,98,140,73,238,311,782,12.418,0.562,0.798,0.415,1.36,1.778,4.605,35.88,0.587,1374.445,22.655,1.485,2.092,1.092,3.578,4.67,12.102,1.545,19.165,18.158,54.638,48.31,27.215,66.768,379,186,14,81,12.47,32,152,21.318,52,549,9.538,46,100,44.575
1,Nicolas Roy,C,CHI/SHE,18.095,309,122,101,53,223,276,815,11.81,0.372,0.322,0.128,0.693,0.823,2.576,21.264,0.383,937.973,17.332,1.088,0.965,0.384,2.052,2.434,8.443,1.138,18.464,18.281,49.752,52.614,8.173,48.84,381,253,52,185,21.619,30,152,16.106,40,478,7.162,3148,5789,53.098
2,Daniel Sprong,RW,CHA,18.624,199,117,106,38,223,261,815,17.435,0.762,0.556,0.266,1.32,1.585,4.339,20.284,0.518,829.556,20.496,2.249,1.629,0.778,3.879,4.656,12.706,1.514,19.036,17.949,56.745,47.04,18.331,68.444,324,186,26,80,42.626,42,146,34.772,49,589,9.802,52,127,43.261
3,Alexandre Goulet,C,CHA/VIC,19.572,262,133,75,50,208,258,735,17.822,0.532,0.322,0.242,0.861,1.101,3.034,31.018,0.471,1282.466,19.371,1.65,0.997,0.735,2.645,3.38,9.334,1.452,18.476,18.085,52.331,50.491,22.198,62.175,369,234,42,171,24.106,31,139,24.964,60,425,13.71,887,1730,48.604
4,Francis Perron,LW,ROU,18.66,194,86,96,57,182,239,642,13.782,0.502,0.558,0.308,1.062,1.37,3.548,25.678,0.408,1268.508,19.892,1.48,1.645,0.935,3.118,4.058,10.528,1.195,18.958,18.602,58.91,52.48,11.08,63.758,315,188,15,57,26.92,27,84,31.488,44,501,9.29,179,412,42.35
5,Matthew Highmore,C,SNB,19.676,259,86,83,69,169,238,790,12.481,0.408,0.396,0.321,0.806,1.124,3.195,26.875,0.418,1259.035,19.504,1.235,1.201,0.958,2.431,3.39,9.806,1.27,19.016,18.358,58.845,50.512,15.054,65.197,364,229,32,138,25.712,27,124,22.258,27,528,6.512,2632,5162,52.039
6,Alexis D'Aoust,RW,SHA,19.576,242,110,75,48,185,233,792,14.728,0.526,0.342,0.241,0.87,1.11,3.504,31.015,0.542,1155.135,20.104,1.541,0.984,0.705,2.524,3.229,10.352,1.59,18.892,18.092,57.696,49.521,25.662,69.189,381,187,38,150,25.16,26,155,18.639,46,487,9.964,35,101,35.239
7,Anthony Richard,C,VDO,17.986,190,105,80,45,185,230,672,15.82,0.578,0.47,0.245,1.047,1.292,3.675,28.518,0.465,1229.918,19.95,1.718,1.375,0.738,3.093,3.828,10.902,1.378,18.885,18.325,59.035,52.262,3.17,59.028,299,216,29,99,29.78,29,101,28.712,47,472,9.958,296,684,42.51
8,Alex Dostie,C,GAT/CHA,18.55,233,86,74,63,160,223,488,17.711,0.419,0.361,0.288,0.78,1.066,2.367,24.6,0.414,1071.99,17.931,1.375,1.196,0.948,2.572,3.515,7.794,1.355,19.062,17.873,57.488,49.522,14.175,64.599,319,177,25,102,26.992,25,126,19.03,36,260,13.652,874,1928,47.138
9,Alex Barre-Boulet,C,DRU/BLB,18.57,198,87,87,47,174,221,581,14.48,0.445,0.45,0.26,0.89,1.155,3.125,31.48,0.478,1307.577,19.92,1.322,1.342,0.775,2.665,3.44,9.372,1.44,19.108,18.258,51.908,50.445,23.6,62.662,300,183,17,88,19.952,29,120,23.408,41,373,10.488,1929,3831,50.442
