,Name,GP,ROW,GF%,GF,GA,GD,SF%,SF,SA,SD,Sh%,Sv%,PDO
0,Swift Current Broncos,576,356,53.653,2124,1701,423,52.943,18917,15992,2925,10.587,0.897,100.284
1,Red Deer Rebels,576,344,55.102,2105,1780,325,52.043,18057,16776,1281,9.94,0.913,101.208
2,Brandon Wheat Kings,576,329,53.046,2159,1833,326,51.782,19022,16979,2043,10.842,0.897,100.45
3,Kamloops Blazers,576,325,52.362,2037,1869,168,49.409,18487,18648,-161,10.151,0.909,101.04
4,Calgary Hitmen,576,312,52.141,2111,1939,172,51.562,17537,16997,540,10.694,0.896,100.222
5,Kelowna Rockets,576,307,58.932,2040,1875,165,57.814,18259,16593,1666,9.825,0.907,100.571
6,Spokane Chiefs,576,302,48.524,1894,1830,64,49.454,18790,16373,2417,9.726,0.898,99.464
7,Regina Pats,576,295,44.571,1995,1959,36,46.136,17063,18038,-975,9.184,0.903,99.476
8,Moose Jaw Warriors,576,291,53.676,2014,1952,62,49.618,18082,19037,-955,10.236,0.912,101.441
9,Portland Winter Hawks,576,291,48.202,1944,1902,42,50.125,18621,18268,353,9.521,0.898,99.3
10,Prince George Cougars,576,290,47.881,2040,2049,-9,48.189,19391,19072,319,10.281,0.896,99.928
11,Seattle Thunderbirds,576,284,50.119,2095,2018,77,52.342,18830,19110,-280,9.737,0.894,99.123
12,Lethbridge Hurricanes,576,279,48.022,1945,1932,13,47.852,16643,16407,236,10.659,0.895,100.153
13,Kootenay Ice,432,248,51.082,1499,1314,185,52.027,13449,12369,1080,9.852,0.898,99.63
14,Prince Albert Raiders,576,245,47.855,1804,2136,-332,50.98,17674,18817,-1143,9.44,0.894,98.806
15,Tri-City Americans,576,239,47.737,1953,2253,-300,47.707,17739,19220,-1481,10.351,0.896,99.954
16,Medicine Hat Tigers,576,230,51.134,1968,2398,-430,50.18,17323,19694,-2371,11.936,0.885,100.368
17,Saskatoon Blades,576,210,41.174,1673,2191,-518,46.528,16642,19015,-2373,8.62,0.895,98.08
18,Vancouver Giants,216,78,45.605,630,853,-223,45.31,5845,7419,-1574,10.528,0.894,99.98
19,Everett Silvertips,72,39,50.65,157,153,4,47.65,1797,1974,-177,8.53,0.925,101.02
20,Edmonton Ice,144,34,39.68,473,723,-250,43.075,4238,5608,-1370,11.09,0.872,98.335
