,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
366,Cole Schwindt,RW,MISS,16.392,66,8,5,5,13,18,77,10.39,0.12,0.08,0.08,0.2,0.27,1.17,6.61,0.1,2,10,20.0,2,13,15.38,4,54,7.41,24,65,36.92
367,Jason Smith,C,MISS/BAR,19.387,67,6,7,5,13,18,87,6.9,0.09,0.1,0.07,0.19,0.27,1.3,9.67,0.14,1,10,10.0,1,15,6.67,4,62,6.45,306,601,50.92
368,Joe Carroll,LW,SSM,16.619,53,9,6,3,15,18,58,15.52,0.17,0.11,0.06,0.28,0.34,1.09,5.62,0.11,1,5,20.0,3,11,27.27,5,42,11.9,64,118,54.24
369,Ethan Keppen,LW,FLNT,16.49,63,10,4,4,14,18,112,8.93,0.16,0.06,0.06,0.22,0.29,1.78,10.24,0.16,3,10,30.0,5,23,21.74,2,79,2.53,10,26,38.46
370,Dylan Seitz,C,KIT,17.668,60,8,8,2,16,18,85,9.41,0.13,0.13,0.03,0.27,0.3,1.42,8.39,0.14,2,10,20.0,2,9,22.22,4,66,6.06,38,74,51.35
371,Brett Hargrave,C,NB,20.666,61,15,2,1,17,18,106,14.15,0.25,0.03,0.02,0.28,0.3,1.74,11.5,0.19,2,11,18.18,4,13,30.77,9,82,10.98,208,485,42.89
372,Jack Phibbs,LW,FLNT,18.034,109,5,7,6,12,18,126,3.93,0.045,0.065,0.055,0.11,0.165,1.155,6.075,0.11,1,13,10.0,1,16,6.25,3,97,3.02,141,462,27.16
373,Drew Hunter,D,NIAG,18.107,102,5,6,7,11,18,110,4.265,0.05,0.06,0.07,0.11,0.18,1.08,3.18,0.065,0,2,0.0,2,7,20.0,3,101,2.905,2,2,50.0
374,Owen Gilhula,C,SBY,16.848,83,8,6,3,14,17,94,8.185,0.09,0.06,0.04,0.145,0.19,1.08,4.57,0.105,3,18,9.375,3,10,40.48,2,66,2.275,225,516,41.865
375,Liam Murray,D,KGN,19.717,131,3,6,8,9,17,130,2.29,0.025,0.045,0.06,0.07,0.13,0.995,2.435,0.04,0,0,0.0,0,4,0.0,3,126,2.36,0,1,0.0
376,Jacob LeGuerrier,D,SSM,16.313,97,0,6,11,6,17,62,0.0,0.0,0.055,0.12,0.055,0.175,0.6,0.88,0.02,0,0,0.0,0,1,0.0,0,61,0.0,0,0,0.0
377,Chris Playfair,LW,WSR,16.793,79,5,7,5,12,17,70,3.905,0.04,0.055,0.04,0.09,0.13,0.715,3.325,0.065,1,13,4.165,0,9,0.0,4,48,4.65,271,527,50.715
378,Nolan Hutcheson,LW,SBY,17.221,62,8,4,5,12,17,110,7.27,0.13,0.06,0.08,0.19,0.27,1.77,13.17,0.21,2,19,10.53,1,23,4.35,5,68,7.35,3,14,21.43
