,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
529,Griffin Wilson,C,OS,17.295,53,4,4,5,8,13,48,8.33,0.08,0.08,0.09,0.15,0.25,0.91,3.63,0.07,1,2,50.0,1,5,20.0,2,41,4.88,137,330,41.52
530,Daniil Chayka,D,GUE,15.899000000000001,44,5,4,4,9,13,53,9.43,0.11,0.09,0.09,0.2,0.3,1.2,2.03,0.05,0,1,0.0,0,2,0.0,5,50,10.0,0,1,0.0
531,Ryan Barbosa,D,MISS,20.693,50,3,4,6,7,13,60,5.0,0.06,0.08,0.12,0.14,0.26,1.2,2.63,0.05,0,1,0.0,1,6,16.67,2,53,3.77,0,2,0.0
532,Avery Hayes,RW,HAM,15.932,53,6,5,2,11,13,74,8.11,0.11,0.09,0.04,0.21,0.25,1.4,5.95,0.11,2,11,18.18,3,11,27.27,1,52,1.92,4,17,23.53
533,Shane Collins,D,LDN,20.566999999999997,58,3,4,6,7,13,76,3.95,0.05,0.07,0.1,0.12,0.22,1.31,4.02,0.07,0,1,0.0,1,5,20.0,2,70,2.86,1,1,100.0
534,Tyson Foerster,C,BAR,16.657,50,4,1,8,5,13,42,9.52,0.08,0.02,0.16,0.1,0.26,0.84,3.03,0.06,1,3,33.33,1,7,14.29,2,32,6.25,39,95,41.05
535,Zach Wilkie,D,SBY,19.557000000000002,53,3,9,1,12,13,94,3.19,0.06,0.17,0.02,0.23,0.25,1.77,4.74,0.09,0,4,0.0,0,6,0.0,3,84,3.57,0,1,0.0
536,Mathew Hill,D,BAR,11.25,81,3,2,8,5,13,53,3.673,0.023,0.017,0.057,0.043,0.1,0.453,0.54,0.017,1,3,33.333,0,0,0.0,2,50,2.737,0,0,0.0
537,Ian Blacker,D,LDN/OSH/OSH/OSH,18.306,132,2,6,5,8,13,93,1.843,0.013,0.043,0.037,0.057,0.097,0.703,1.22,0.027,0,0,0.0,1,3,16.667,1,90,0.71,0,0,0.0
538,Paul Larabie,C,KGN,12.088,79,2,3,7,5,12,60,2.563,0.023,0.02,0.053,0.043,0.097,0.533,1.53,0.037,0,3,0.0,0,8,0.0,2,49,3.173,68,131,37.463
539,Scoley Dow,LW,MISS,17.347,46,5,4,3,9,12,35,14.29,0.11,0.09,0.07,0.2,0.26,0.76,2.98,0.06,0,1,0.0,2,7,28.57,3,27,11.11,6,10,60.0
540,Lucas Rowe,C/RW,LDN/FLNT/KGN/LDN,11.06,70,3,5,4,8,12,66,3.53,0.027,0.037,0.037,0.067,0.1,0.577,1.74,0.047,0,9,0.0,1,7,33.333,2,50,1.753,102,283,19.573
541,Jack Thompson,D,SBY,16.493,39,4,4,4,8,12,65,6.15,0.1,0.1,0.1,0.21,0.31,1.67,2.75,0.07,0,1,0.0,0,1,0.0,4,63,6.35,2,4,50.0
542,Blake McConville,RW,SBY,11.967,84,3,6,3,9,12,67,3.177,0.023,0.05,0.027,0.073,0.1,0.527,1.96,0.047,0,9,0.0,1,10,8.333,2,48,2.8,7,20,23.903
543,Isaak Phillips,D,SBY,16.964000000000002,54,3,4,5,7,12,61,4.92,0.06,0.07,0.09,0.13,0.22,1.13,2.46,0.05,0,3,0.0,0,3,0.0,3,55,5.45,0,0,0.0
544,Carson Edwardson,C,ER,35.541,60,7,4,1,11,12,61,22.52,0.27,0.15,0.03,0.41000000000000003,0.44,2.14,6.34,0.22999999999999998,0,5,0.0,2,14,22.22,5,42,23.81,70,129,108.16
545,Ty Collins,RW,GUE,16.262999999999998,35,3,6,3,9,12,21,14.29,0.09,0.17,0.09,0.26,0.34,0.6,2.38,0.07,0,1,0.0,2,10,20.0,1,10,10.0,1,5,20.0
546,Zack Dorval,C,KGN/OTT,18.407,65,6,3,2,9,11,92,6.52,0.09,0.05,0.03,0.14,0.17,1.42,8.23,0.13,2,8,25.0,3,19,15.79,1,65,1.54,132,252,52.38
547,Patrick Brown,RW/C,NB,11.991,101,4,4,3,8,11,69,3.887,0.027,0.027,0.02,0.053,0.07,0.457,1.82,0.033,2,8,8.333,1,8,6.667,1,53,1.04,192,494,26.593
548,Nic Sicoly,LW,GUE,18.694000000000003,66,2,8,1,10,11,86,2.33,0.03,0.12,0.02,0.15,0.17,1.3,9.02,0.14,1,12,8.33,0,21,0.0,1,53,1.89,13,35,37.14
549,Ian Martin,RW,NIAG/KGN/NIAG,11.422,71,3,4,4,7,11,50,5.147,0.033,0.03,0.04,0.063,0.107,0.463,1.013,0.03,2,3,50.0,1,5,8.333,0,42,0.0,5,8,38.89
550,Robbie Burt,RW,OSH,17.301,46,7,1,3,8,11,64,10.94,0.15,0.02,0.07,0.17,0.24,1.39,6.41,0.14,4,11,36.36,0,8,0.0,3,45,6.67,3,12,25.0
551,Joshua Dame,LW,NIAG,38.065,74,3,4,4,7,11,37,20.96,0.11,0.18,0.13,0.30000000000000004,0.42,1.03,3.33,0.09,1,5,33.33,0,7,0.0,2,25,25.0,18,29,98.71
552,Alexandre Hogue,D,SAR,11.389,79,4,4,3,8,11,48,3.703,0.027,0.03,0.023,0.057,0.083,0.377,0.843,0.02,0,1,0.0,0,3,0.0,4,44,4.04,0,2,0.0
553,Marko Jakovljevic,D,SAR,11.538,73,1,5,5,6,11,44,2.563,0.013,0.047,0.043,0.06,0.1,0.383,0.44,0.013,0,0,0.0,0,2,0.0,1,42,2.777,0,1,0.0
554,Ryan Bangs,D,LDN/FLNT,12.122,49,1,2,8,3,11,23,1.45,0.007,0.053,0.103,0.063,0.167,0.183,0.483,0.01,0,0,0.0,0,2,0.0,1,21,1.587,0,0,0.0
555,Shaun Bily,C,ER,18.563,36,4,3,4,7,11,52,7.69,0.11,0.08,0.11,0.19,0.31,1.44,4.38,0.12,0,2,0.0,2,7,28.57,2,43,4.65,67,162,41.36
