"#","Name","Pos","Team","Age","GP","G","A1","A2","P1","P","Sh","Sh%","G/GP","A1/GP","A2/GP","P1/GP","P/GP","Sh/GP","xG","xG/GP","HD G","HD Sh","HD Sh%","MD G","MD Sh","MD Sh%","LD G","LD Sh","LD Sh%","FOW","FOT","FOW%"
"","Nick Suzuki","C","OS","17.101","65","3","0","0","3","3","5","60.0","0.05","0.0","0.0","0.05","0.05","0.08","0.35","0.01","1","1","100.0","0","0","0.0","2","4","50.0","8","18","44.44"
"","Nikita Korostelev","RW","PBO/SAR","19.601","55","2","1","0","3","3","5","40.0","0.04","0.02","0.0","0.05","0.05","0.09","0.95","0.02","0","0","0.0","0","0","0.0","2","5","40.0","0","0","0.0"
"","Zach Gallant","C","PBO","17.531","60","0","2","0","2","2","4","0.0","0.0","0.03","0.0","0.03","0.03","0.07","0.31","0.01","0","0","0.0","0","1","0.0","0","3","0.0","6","8","75.0"
"","Adrian Carbonara","RW","LDN/BAR","19.513","63","1","1","0","2","2","2","50.0","0.02","0.02","0.0","0.03","0.03","0.03","0.43","0.01","0","1","0.0","0","0","0.0","1","1","100.0","0","0","0.0"
"","Dante Salituro","RW","LDN","19.833","30","0","2","0","2","2","1","0.0","0.0","0.07","0.0","0.07","0.07","0.03","0.18","0.01","0","0","0.0","0","0","0.0","0","1","0.0","0","1","0.0"
"","Alex Peters","D","FLNT","20.206","68","1","1","0","2","2","1","100.0","0.01","0.01","0.0","0.03","0.03","0.01","0.06","0.0","0","0","0.0","0","0","0.0","1","1","100.0","0","1","0.0"
"","Robert Thomas","C","LDN","17.208","66","1","1","0","2","2","1","100.0","0.02","0.02","0.0","0.03","0.03","0.02","0.25","0.0","1","1","100.0","0","0","0.0","0","0","0.0","9","18","50.0"
"","Luke Kutkevicius","C","HAM","18.478","66","1","1","0","2","2","3","33.33","0.02","0.02","0.0","0.03","0.03","0.05","0.47","0.01","0","0","0.0","1","2","50.0","0","1","0.0","7","12","58.33"
"","Marian Studenic","RW","HAM","17.884","58","1","1","0","2","2","1","100.0","0.02","0.02","0.0","0.03","0.03","0.02","0.3","0.01","1","1","100.0","0","0","0.0","0","0","0.0","0","0","0.0"
"","Dylan Di Perna","D","KIT","20.389","65","0","2","0","2","2","1","0.0","0.0","0.03","0.0","0.03","0.03","0.02","0.05","0.0","0","0","0.0","0","0","0.0","0","1","0.0","0","0","0.0"
"","Owen MacDonald","C","LDN","20.313","61","1","1","0","2","2","1","100.0","0.02","0.02","0.0","0.03","0.03","0.02","0.17","0.0","0","0","0.0","0","0","0.0","1","1","100.0","5","8","62.5"
"","Steven Lorentz","C","PBO","20.425","66","1","1","0","2","2","3","33.33","0.02","0.02","0.0","0.03","0.03","0.05","0.48","0.01","1","1","100.0","0","0","0.0","0","2","0.0","8","18","44.44"
"","Noah Carroll","D","GUE/SSM","18.788","62","0","2","0","2","2","4","0.0","0.0","0.03","0.0","0.03","0.03","0.06","0.36","0.01","0","0","0.0","0","0","0.0","0","4","0.0","0","0","0.0"
"","Julius  Nattinen","C","WSR","19.669","51","2","0","0","2","2","2","100.0","0.04","0.0","0.0","0.04","0.04","0.04","0.46","0.01","1","1","100.0","0","0","0.0","1","1","100.0","7","8","87.5"
"","Sean Day","D","WSR/MISS","18.683","63","1","1","0","2","2","6","16.67","0.02","0.02","0.0","0.03","0.03","0.1","0.88","0.01","0","1","0.0","0","2","0.0","1","3","33.33","0","0","0.0"
"","Kyle Maksimovich","LW","ER","18.519","64","0","1","1","1","2","0","0.0","0.0","0.02","0.02","0.02","0.03","0.0","0.0","0.0","0","0","0.0","0","0","0.0","0","0","0.0","1","4","25.0"
"","Kevin Hancock","LW","OS","18.541","68","0","1","1","1","2","1","0.0","0.0","0.01","0.01","0.01","0.03","0.01","0.07","0.0","0","0","0.0","0","0","0.0","0","1","0.0","9","11","81.82"
"","Dmitri Samorukov","D","GUE","17.252","67","0","1","1","1","2","0","0.0","0.0","0.01","0.01","0.01","0.03","0.0","0.0","0.0","0","0","0.0","0","0","0.0","0","0","0.0","0","0","0.0"
"","Alex Black","D","PBO/SAR","19.009","65","1","0","1","1","2","2","50.0","0.02","0.0","0.02","0.02","0.03","0.03","0.32","0.0","0","0","0.0","0","0","0.0","1","2","50.0","0","0","0.0"
"","Victor Mete","D","LDN","18.276","50","0","1","1","1","2","0","0.0","0.0","0.02","0.02","0.02","0.04","0.0","0.0","0.0","0","0","0.0","0","0","0.0","0","0","0.0","0","0","0.0"
"","Santino Centorame","D","OS","20.384","68","1","0","1","1","2","3","33.33","0.01","0.0","0.01","0.01","0.03","0.04","0.62","0.01","1","1","100.0","0","0","0.0","0","2","0.0","0","0","0.0"
"","Mitchell Vande Sompel","D","LDN/OSH","19.592","67","1","0","1","1","2","2","50.0","0.01","0.0","0.01","0.01","0.03","0.03","0.35","0.01","0","1","0.0","0","0","0.0","1","1","100.0","0","0","0.0"
"","Jordan Kyrou","RW","SAR","18.366","66","1","0","1","1","2","6","16.67","0.02","0.0","0.02","0.02","0.03","0.09","0.72","0.01","1","1","100.0","0","0","0.0","0","5","0.0","16","24","66.67"
"","Olli Juolevi","D","LDN","18.366","58","1","0","1","1","2","1","100.0","0.02","0.0","0.02","0.02","0.03","0.02","0.11","0.0","0","0","0.0","0","0","0.0","1","1","100.0","0","0","0.0"
"","Mikhail Sergachev","D","WSR","18.226","50","0","1","1","1","2","0","0.0","0.0","0.02","0.02","0.02","0.04","0.0","0.0","0.0","0","0","0.0","0","0","0.0","0","0","0.0","0","0","0.0"
"","Brandon Prophet","D","PBO","20.285","60","0","1","0","1","1","0","0.0","0.0","0.02","0.0","0.02","0.02","0.0","0.0","0.0","0","0","0.0","0","0","0.0","0","0","0.0","0","0","0.0"
"","Tyler Rollo","LW","PBO","19.13","56","1","0","0","1","1","1","100.0","0.02","0.0","0.0","0.02","0.02","0.02","0.06","0.0","0","0","0.0","0","0","0.0","1","1","100.0","1","3","33.33"
"","Petrus Palmu","RW","OS","19.168","62","0","1","0","1","1","1","0.0","0.0","0.02","0.0","0.02","0.02","0.02","0.07","0.0","0","0","0.0","0","0","0.0","0","1","0.0","3","4","75.0"
"","Aidan Dudas","C","OS","16.252","56","0","1","0","1","1","0","0.0","0.0","0.02","0.0","0.02","0.02","0.0","0.0","0.0","0","0","0.0","0","0","0.0","0","0","0.0","2","3","66.67"
"","Medric Mercier","D","OSH/SSM","19.913","67","0","1","0","1","1","5","0.0","0.0","0.01","0.0","0.01","0.01","0.07","0.3","0.0","0","0","0.0","0","0","0.0","0","5","0.0","0","0","0.0"
"","Kyle Rhodes","D","GUE","18.725","65","1","0","0","1","1","2","50.0","0.02","0.0","0.0","0.02","0.02","0.03","0.22","0.0","0","0","0.0","0","1","0.0","1","1","100.0","0","0","0.0"
"","Everett Clark","C","FLNT","20.649","65","0","1","0","1","1","3","0.0","0.0","0.02","0.0","0.02","0.02","0.05","0.46","0.01","0","1","0.0","0","1","0.0","0","1","0.0","19","30","63.33"
"","Mathieu Henderson","D","FLNT","20.69","68","1","0","0","1","1","1","100.0","0.01","0.0","0.0","0.01","0.01","0.01","0.04","0.0","0","0","0.0","0","0","0.0","1","1","100.0","0","0","0.0"
"","Jeff King","D","SAR","20.562","66","0","1","0","1","1","1","0.0","0.0","0.02","0.0","0.02","0.02","0.02","0.03","0.0","0","0","0.0","0","0","0.0","0","1","0.0","0","0","0.0"
"","Adam Ruzicka","C","SAR","17.35","61","1","0","0","1","1","2","50.0","0.02","0.0","0.0","0.02","0.02","0.03","0.22","0.0","0","0","0.0","0","0","0.0","1","2","50.0","4","8","50.0"
"","Sam Miletic","LW","LDN","19.368","65","1","0","0","1","1","1","100.0","0.02","0.0","0.0","0.02","0.02","0.02","0.19","0.0","0","0","0.0","1","1","100.0","0","0","0.0","0","3","0.0"
"","Austen Keating","C","OTT","17.528","67","1","0","0","1","1","1","100.0","0.01","0.0","0.0","0.01","0.01","0.01","0.19","0.0","1","1","100.0","0","0","0.0","0","0","0.0","0","1","0.0"
"","Artur Tyanulin","RW","OTT","19.653","67","0","1","0","1","1","4","0.0","0.0","0.01","0.0","0.01","0.01","0.06","0.9","0.01","0","3","0.0","0","0","0.0","0","1","0.0","0","3","0.0"
"","Jason Robertson","RW","KGN","17.153","68","1","0","0","1","1","1","100.0","0.01","0.0","0.0","0.01","0.01","0.01","0.15","0.0","0","0","0.0","0","0","0.0","1","1","100.0","0","0","0.0"
"","Eemeli Rasanen","D","KGN","17.531","66","0","1","0","1","1","0","0.0","0.0","0.02","0.0","0.02","0.02","0.0","0.0","0.0","0","0","0.0","0","0","0.0","0","0","0.0","0","0","0.0"
"","Matt Brassard","D","OSH/BAR","18.106","62","1","0","0","1","1","4","25.0","0.02","0.0","0.0","0.02","0.02","0.06","0.21","0.0","0","0","0.0","0","0","0.0","1","4","25.0","0","0","0.0"
"","Jason Willms","C","BAR","17.602","68","1","0","0","1","1","1","100.0","0.01","0.0","0.0","0.01","0.01","0.01","0.12","0.0","0","0","0.0","0","0","0.0","1","1","100.0","5","10","50.0"
"","Ryan McLeod","C","MISS","16.986","68","0","1","0","1","1","1","0.0","0.0","0.01","0.0","0.01","0.01","0.01","0.16","0.0","0","0","0.0","0","1","0.0","0","0","0.0","8","14","57.14"
"","Michael Cramarossa","LW","HAM","20.313","67","1","0","0","1","1","3","33.33","0.01","0.0","0.0","0.01","0.01","0.04","0.54","0.01","0","1","0.0","0","0","0.0","1","2","50.0","1","1","100.0"
"","MacKenzie Entwistle","RW","HAM","17.175","54","1","0","0","1","1","4","25.0","0.02","0.0","0.0","0.02","0.02","0.07","0.59","0.01","1","2","50.0","0","0","0.0","0","2","0.0","1","5","20.0"
"","Adam Thilander","D","NB","17.994","64","0","1","0","1","1","1","0.0","0.0","0.02","0.0","0.02","0.02","0.02","0.04","0.0","0","0","0.0","0","0","0.0","0","1","0.0","0","0","0.0"
"","Brady Lyle","D","NB","17.279","58","1","0","0","1","1","1","100.0","0.02","0.0","0.0","0.02","0.02","0.02","0.03","0.0","0","0","0.0","0","0","0.0","1","1","100.0","0","0","0.0"
"","Johnathon Schaefer","D","NIAG","18.451","62","0","1","0","1","1","1","0.0","0.0","0.02","0.0","0.02","0.02","0.02","0.05","0.0","0","0","0.0","0","0","0.0","0","1","0.0","0","0","0.0"
"","Oliver Castleman","LW","NIAG","17.002","66","1","0","0","1","1","1","100.0","0.02","0.0","0.0","0.02","0.02","0.02","0.22","0.0","0","0","0.0","1","1","100.0","0","0","0.0","2","4","50.0"
"","Matthew Philip","C","NIAG","17.295","45","1","0","0","1","1","2","50.0","0.02","0.0","0.0","0.02","0.02","0.04","0.22","0.0","0","0","0.0","0","0","0.0","1","2","50.0","7","15","46.67"
"","Ondrej Machala","LW","NIAG","17.679","56","0","1","0","1","1","0","0.0","0.0","0.02","0.0","0.02","0.02","0.0","0.0","0.0","0","0","0.0","0","0","0.0","0","0","0.0","2","4","50.0"
"","Michael Pezzetta","C","SBY","18.511","54","1","0","0","1","1","4","25.0","0.02","0.0","0.0","0.02","0.02","0.07","0.52","0.01","0","1","0.0","1","2","50.0","0","1","0.0","5","8","62.5"
"","Aiden  Jamieson","D","SBY","20.482","66","0","1","0","1","1","0","0.0","0.0","0.02","0.0","0.02","0.02","0.0","0.0","0.0","0","0","0.0","0","0","0.0","0","0","0.0","1","1","100.0"
