,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
0,Alex DeBrincat,RW,ER,18.243,123,116,64,48,180,228,577,20.03,0.94,0.52,0.39,1.46,1.85,4.685,44.63,0.72,18,57,31.665,23,84,27.38,75,436,17.035,281,522,53.645
1,Dylan Strome,C,ER,19.026,91,59,80,47,139,186,372,15.77,0.645,0.895,0.52,1.54,2.06,4.09,27.185,0.595,14,55,24.93,15,83,17.88,30,234,12.89,1093,1778,61.07
2,Taylor Raddysh,RW,ER,18.073,125,66,73,43,139,182,443,14.97,0.54,0.59,0.355,1.13,1.485,3.56,30.385,0.49,18,86,21.55,10,78,13.385,38,279,13.365,18,30,56.25
3,Adam Mascherin,LW,KIT,17.777,130,70,66,45,136,181,538,13.035,0.54,0.51,0.345,1.045,1.395,4.14,31.93,0.49,12,55,21.485,8,71,11.38,50,412,12.245,34,90,40.18
4,Jeremy Bracco,RW,KIT/WSR,18.998,106,46,67,34,113,147,277,16.76,0.435,0.625,0.32,1.06,1.385,2.6,19.625,0.365,7,39,20.285,16,56,29.165,23,182,12.49,4,11,20.0
5,Petrus Palmu,RW,OS,18.667,114,63,56,28,119,147,479,12.915,0.545,0.48,0.235,1.025,1.26,4.175,25.19,0.435,10,35,28.43,9,45,20.06,44,399,10.75,62,115,54.945
6,Jordan Kyrou,RW,SAR,17.865,131,47,55,43,102,145,392,11.755,0.355,0.42,0.33,0.775,1.1,2.99,25.055,0.385,14,59,22.745,11,69,15.83,22,264,8.365,319,637,50.065
7,Spencer Watson,RW,KGN/MISS,19.891,105,71,44,27,115,142,522,14.375,0.675,0.4,0.26,1.08,1.34,4.82,33.055,0.625,21,87,26.04,15,75,20.18,35,360,10.12,17,40,47.135
8,Ryan Moore,LW,FLNT,18.935,136,64,47,27,111,138,418,15.61,0.47,0.345,0.2,0.815,1.015,3.075,25.24,0.37,6,44,13.75,23,66,36.31,35,308,11.355,1244,2454,50.74
9,Artur Tyanulin,RW,OTT,19.152,134,44,62,31,106,137,294,15.325,0.33,0.46,0.23,0.79,1.025,2.195,20.805,0.31,12,54,22.72,14,56,25.715,18,184,9.985,6,27,19.41
10,JJ Piccinich,RW,LDN,19.76,132,56,57,24,113,137,329,17.065,0.42,0.43,0.18,0.855,1.04,2.49,25.24,0.385,22,75,28.84,10,66,15.02,24,188,12.82,61,117,51.92
11,Kyle Maksimovich,LW,ER,18.018,132,43,53,39,96,135,298,14.34,0.325,0.4,0.295,0.725,1.02,2.26,18.135,0.27,12,45,23.33,7,40,17.42,24,213,11.33,48,97,49.59
12,Nick Suzuki,C,OS,16.6,128,65,44,25,109,134,450,13.91,0.505,0.345,0.195,0.845,1.04,3.51,28.47,0.44,16,66,24.165,7,56,11.9,42,328,12.13,702,1400,50.045
13,Michael McLeod,C,MISS,18.114,114,48,52,34,100,134,345,13.9,0.42,0.455,0.3,0.875,1.175,3.025,24.105,0.425,20,82,23.625,18,68,25.715,10,195,5.09,1579,2646,59.625
14,Zachary Senyshyn,RW,SSM,18.963,125,87,28,15,115,130,524,16.6,0.695,0.225,0.12,0.92,1.04,4.2,40.165,0.645,30,126,23.7,27,94,28.76,30,304,9.89,7,26,26.785
15,Bobby MacIntyre,LW,SSM,19.519,125,48,41,39,89,128,339,14.18,0.38,0.325,0.31,0.71,1.02,2.71,18.04,0.285,11,44,25.79,13,36,38.885,24,259,9.225,123,322,36.415
16,Kevin  Labanc,RW,BAR,19.759,65,39,61,27,100,127,253,15.42,0.6,0.94,0.42,1.54,1.95,3.89,33.38,0.51,12,33,36.36,10,44,22.73,17,176,9.66,14,38,36.84
17,Dmitry Sokolov,RW,SBY,17.922,132,78,30,16,108,124,499,15.45,0.595,0.23,0.12,0.825,0.94,3.795,30.58,0.465,20,65,30.25,16,60,26.12,42,374,11.175,7,17,39.285
18,Anthony Cirelli,C,OSH/ER,18.67,113,46,43,34,89,123,330,13.985,0.415,0.38,0.305,0.795,1.1,2.94,22.14,0.395,13,81,16.1,8,54,15.835,25,195,12.8,1349,2432,55.74
19,Will Bitten,C,FLNT/HAM,17.684,132,53,45,24,98,122,318,16.96,0.4,0.34,0.18,0.745,0.925,2.415,22.955,0.345,16,60,26.785,15,61,24.89,22,197,11.47,393,953,41.145
20,Darren Raddysh,D,ER,20.047,128,24,44,53,68,121,362,6.48,0.19,0.35,0.42,0.54,0.96,2.835,10.99,0.175,1,13,7.145,3,19,15.48,20,330,5.95,2,8,14.285
21,Christian  Dvorak,C,LDN,19.617,59,52,34,35,86,121,192,27.08,0.88,0.58,0.59,1.46,2.05,3.25,37.09,0.63,20,51,39.22,6,52,11.54,26,89,29.21,806,1335,60.37
22,Brett McKenzie,C,NB,19.012,133,55,39,26,94,120,474,11.985,0.41,0.29,0.195,0.71,0.9,3.56,27.215,0.41,8,50,15.105,18,82,23.65,29,342,8.695,1111,2552,43.645
23,Kole Sherwood,RW,LDN/FLNT,19.146,123,45,41,33,86,119,435,9.845,0.37,0.335,0.27,0.705,0.98,3.57,22.935,0.38,14,50,28.18,12,76,13.075,19,309,5.62,37,84,43.405
24,Cliff Pu,C,LDN,17.785,126,47,33,37,80,117,286,15.41,0.375,0.26,0.295,0.635,0.93,2.27,20.605,0.325,13,68,18.58,13,59,21.735,21,159,12.025,1189,2082,56.365
25,Mitchell Marner,RW,LDN,18.363,57,39,51,26,90,116,227,17.18,0.68,0.89,0.46,1.58,2.04,3.98,32.99,0.58,5,28,17.86,8,39,20.51,26,160,16.25,106,213,49.77
26,Boris Katchouk,RW,SSM,17.744,129,59,37,19,96,115,308,19.345,0.455,0.285,0.15,0.74,0.89,2.375,22.21,0.345,19,67,28.405,17,60,29.76,23,181,12.735,95,199,48.53
27,Logan Brown,C,WSR,18.032,94,35,45,34,80,114,281,12.335,0.38,0.47,0.35,0.845,1.195,3.095,18.2,0.4,8,48,18.07,8,46,17.045,19,187,10.17,907,1758,50.95
28,Santino Centorame,D,OS,19.883,135,21,46,47,67,114,337,6.16,0.155,0.34,0.345,0.495,0.84,2.495,11.29,0.17,1,10,8.335,3,15,18.75,17,312,5.39,1,4,12.5
29,Jason Robertson,RW,KGN,16.652,122,60,29,24,89,113,413,15.01,0.475,0.225,0.195,0.7,0.89,3.25,27.815,0.44,12,58,19.585,14,74,21.34,34,281,12.49,4,9,42.5
