,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP
0,Philip-Michael Devos,C,VIC/GAT,19.89,136,82,72,53,154,207,354,23.04,0.6,0.53,0.39,1.13,1.525,2.6
1,Sean Couturier,C,DRU,17.272,126,77,81,34,158,192,485,15.895,0.61,0.645,0.28,1.255,1.535,3.845
2,Gabriel Levesque,C,ROU/BAT,19.816,135,61,90,38,151,189,284,21.235,0.45,0.665,0.28,1.12,1.395,2.1
3,Jonathan Audy-Marchessault,C,QUE,19.218,136,70,59,37,129,166,493,14.125,0.515,0.43,0.27,0.945,1.22,3.625
4,Michael Kirkpatrick,C,SNB,19.854,130,60,66,39,126,165,429,14.105,0.46,0.51,0.295,0.975,1.27,3.315
5,Joel Champagne,C,VIC/PEI/QUE,20.142,133,62,56,43,118,161,409,15.05,0.465,0.42,0.32,0.885,1.215,3.08
6,Felix Lefrancois,C,RIM,19.678,131,65,50,43,115,158,397,16.86,0.495,0.38,0.325,0.875,1.205,3.03
7,Jonathan Hazen,RW,VDO,19.745,115,65,45,32,110,142,362,17.69,0.555,0.395,0.28,0.95,1.225,3.12
8,Brandon Hynes,RW,VIC,17.502,134,74,42,26,116,142,599,12.37,0.55,0.31,0.195,0.865,1.06,4.47
9,Jonathan Huberdeau,LW,SNB,16.782,128,58,47,35,105,140,288,19.365,0.445,0.36,0.265,0.805,1.07,2.21
10,Zack Phillips,C,SNB,17.382,132,54,52,33,106,139,367,14.1,0.41,0.39,0.25,0.8,1.05,2.77
11,Dave Labrecque,C,SHA,20.134,121,50,47,41,97,138,402,12.425,0.42,0.39,0.345,0.805,1.145,3.33
12,Ondrej Palat,LW,DRU,18.97,120,56,52,28,108,136,412,13.12,0.465,0.43,0.23,0.895,1.125,3.42
13,Marek Hrivik,LW,MON,18.55,125,64,33,37,97,134,428,14.905,0.515,0.265,0.3,0.79,1.085,3.47
14,Jonathan Lessard,RW,BAT,19.062,130,73,32,25,105,130,415,17.64,0.565,0.245,0.195,0.805,1.0,3.19
15,Benjamin Casavant,LW,PEI/SHA,19.15,128,63,30,36,93,129,387,16.275,0.495,0.225,0.28,0.72,1.0,3.035
16,Ryan Kavanagh,D,RIM/SHA,19.09,126,35,48,44,83,127,362,9.945,0.28,0.375,0.35,0.655,1.005,2.855
17,Michael Bournival,C,SHA,17.792,114,52,39,35,91,126,433,12.035,0.455,0.34,0.305,0.8,1.105,3.8
18,Tye McGinn,LW,GAT,19.632,92,58,39,29,97,126,284,20.54,0.64,0.43,0.315,1.07,1.38,3.095
19,Stanislav Galiev,RW,SNB,18.162,131,52,42,31,94,125,389,12.93,0.4,0.32,0.235,0.72,0.96,2.975
20,Guillaume Asselin,RW,MTL/CHI,17.516,132,54,46,24,100,124,283,18.65,0.41,0.345,0.185,0.755,0.94,2.14
21,Marc-Olivier Vachon,C,DRU,19.86,126,53,46,25,99,124,326,16.5,0.42,0.36,0.195,0.78,0.975,2.565
22,Andrej Nestrasil,RW,VIC/PEI,19.062,108,35,52,34,87,121,285,12.34,0.325,0.48,0.31,0.805,1.115,2.63
23,Jeremy Gouchie,C,MTL,19.895,133,44,42,34,86,120,330,13.285,0.33,0.315,0.255,0.65,0.9,2.48
24,Etienne Brodeur,LW,LEW,19.019,130,71,30,16,101,117,384,17.295,0.535,0.225,0.12,0.76,0.885,2.925
25,Michael Chaput,C,LEW,17.934,130,53,31,30,84,114,342,15.535,0.405,0.24,0.235,0.645,0.88,2.64
26,Samuel Morneau,LW,VDO/GAT/PEI,20.095,122,60,30,23,90,113,461,13.05,0.5,0.255,0.19,0.755,0.945,3.795
27,Viktor Hertzberg,RW,CAP/MTL,18.898,115,47,33,32,80,112,305,15.43,0.42,0.305,0.275,0.725,1.005,2.745
28,Guillaume Goulet,RW,VIC/BAC,19.416,118,61,31,19,92,111,412,14.955,0.52,0.26,0.16,0.78,0.94,3.49
29,Jean-Gabriel Pageau,C,GAT,17.344,129,48,38,24,86,110,296,15.895,0.37,0.285,0.185,0.655,0.84,2.275
30,Pierre-Olivier Morin,LW,LEW,18.898,126,35,49,26,84,110,401,8.72,0.275,0.38,0.21,0.66,0.865,3.165
31,Trevor Parkes,RW,MTL,18.844,126,60,29,20,89,109,386,15.535,0.48,0.23,0.16,0.71,0.87,3.085
32,Ben Duffy,C,PEI,18.036,136,48,33,27,81,108,285,15.525,0.35,0.24,0.195,0.595,0.795,2.095
33,Tomas Jurco,RW,SNB,17.214,124,57,27,23,84,107,319,17.945,0.465,0.22,0.185,0.675,0.865,2.585
34,Nicolas Chouinard,RW,MTL,19.325,127,50,33,20,83,103,427,11.66,0.39,0.26,0.16,0.65,0.805,3.35
35,Alex Saulnier,C,MON,17.54,121,33,36,34,69,103,192,16.54,0.26,0.285,0.265,0.55,0.815,1.545
36,Ryan Bourque,LW,QUE,19.2,93,45,30,27,75,102,264,17.075,0.48,0.32,0.29,0.8,1.09,2.82
37,Jerome Gauthier-Leduc,D,ROU/RIM,17.628,129,38,41,23,79,102,291,13.455,0.295,0.325,0.175,0.62,0.8,2.28
38,Steven Anthony,LW,SNB,18.989,122,41,32,28,73,101,287,14.26,0.34,0.26,0.23,0.6,0.825,2.35
39,Philippe Lefebvre,LW,DRU/MTL,19.046,126,45,35,21,80,101,370,12.295,0.355,0.28,0.165,0.635,0.8,2.915
40,Alex Belzile,RW,RIM,18.542,95,37,29,35,66,101,186,19.315,0.37,0.31,0.39,0.685,1.075,1.92
41,Jonathan Brunelle,C,DRU,18.446,136,39,34,27,73,100,407,10.09,0.29,0.25,0.2,0.535,0.735,2.995
42,David Gilbert,C,QUE/BAT,19.098,114,52,22,25,74,99,401,12.96,0.465,0.19,0.225,0.655,0.875,3.545
43,Philippe Paradis,LW,SHA/PEI,19.202,122,47,26,24,73,97,363,12.97,0.385,0.215,0.2,0.6,0.8,2.98
44,Yanni Gourde,LW,VIC,18.252,127,37,34,25,71,96,260,14.195,0.285,0.265,0.19,0.55,0.735,2.0
45,Nicolas Deschamps,LW,MON/CHI,19.691,64,39,33,24,72,96,200,19.5,0.61,0.52,0.38,1.12,1.5,3.12
46,Phillip Danault,C,VIC,17.056,125,33,32,30,65,95,247,12.9,0.26,0.255,0.235,0.515,0.755,1.965
47,Alexandre Lavoie,C,CHI,17.327,127,37,38,20,75,95,230,15.94,0.295,0.3,0.155,0.595,0.755,1.815
48,Francis Meilleur,D,CAP/MTL,19.487,135,14,38,43,52,95,269,5.36,0.105,0.28,0.32,0.385,0.705,1.995
49,Sebastien Trudeau,RW,BAT/LEW,18.647,133,42,31,22,73,95,293,13.085,0.315,0.23,0.165,0.54,0.705,2.19
50,Marc-Olivier Mimar,RW,BAC/BAT,18.35,111,39,30,26,69,95,283,13.265,0.34,0.26,0.23,0.6,0.83,2.545
51,Gleason Fournier,D,RIM,18.52,115,25,30,39,55,94,245,10.285,0.215,0.265,0.34,0.48,0.815,2.125
52,Jarrad Struthers,LW,PEI/RIM,19.638,132,51,30,13,81,94,359,14.285,0.385,0.23,0.095,0.615,0.71,2.725
53,Gabriel Dumont,RW,DRU,18.944,62,51,26,16,77,93,324,15.74,0.82,0.42,0.26,1.24,1.5,5.23
54,Samuel Carrier,D,LEW,17.882,127,21,39,32,60,92,339,6.225,0.165,0.31,0.25,0.475,0.73,2.67
55,Brandon Gormley,D,MON,18.074,105,22,51,18,73,91,281,7.925,0.22,0.49,0.175,0.705,0.88,2.69
56,Nathan Beaulieu,D,SNB,17.278,131,24,34,32,58,90,333,7.305,0.18,0.26,0.245,0.44,0.685,2.545
57,Luke Adam,C,CAP,19.245,56,49,27,14,76,90,275,17.82,0.88,0.48,0.25,1.36,1.61,4.91
58,Petr Straka,RW,RIM,17.752,103,38,30,21,68,89,277,12.94,0.345,0.27,0.205,0.615,0.82,2.695
59,Patrick Delisle-Houde,LW,RIM,18.586,124,35,31,23,66,89,257,14.14,0.285,0.245,0.18,0.525,0.705,2.045
60,Nicolas Deslauriers,D,ROU/GAT,19.062,113,22,39,27,61,88,347,6.54,0.205,0.36,0.23,0.565,0.795,3.09
61,Travis McIsaac,C,VIC/PEI,20.067,136,37,31,20,68,88,324,11.395,0.27,0.225,0.145,0.5,0.65,2.38
62,Allain Saulnier,RW,MON,17.54,125,39,33,16,72,88,257,13.745,0.3,0.255,0.12,0.55,0.67,2.005
63,Simon Despres,D,SNB,18.638,110,22,35,31,57,88,294,7.55,0.21,0.32,0.28,0.53,0.81,2.715
64,Dmitri Kugryshev,RW,QUE,19.658,66,29,41,17,70,87,208,13.94,0.44,0.62,0.26,1.06,1.32,3.15
65,Alexandre Comtois,RW,DRU/ROU,17.888,136,38,23,25,61,86,252,15.05,0.28,0.17,0.185,0.45,0.635,1.855
66,Alex Emond,C,RIM,18.498,121,45,21,19,66,85,243,18.56,0.37,0.175,0.16,0.545,0.7,2.0
67,Olivier Dame-Malka,D,BAT/LEW,19.796,128,25,28,32,53,85,361,6.79,0.195,0.22,0.25,0.415,0.665,2.82
68,Mike Hoffman,C,SNB,19.809,56,46,25,14,71,85,265,17.36,0.82,0.45,0.25,1.27,1.52,4.73
69,Carl Gelinas,C,HAL,18.107,124,40,18,26,58,84,335,11.92,0.315,0.145,0.2,0.46,0.665,2.65
70,Martin Lefebvre,D,QUE,17.73,120,15,38,30,53,83,172,8.685,0.12,0.315,0.24,0.435,0.68,1.445
71,Matthew Bissonnette,LW,MON/CHI/LEW,18.164,99,23,29,30,52,82,194,11.39,0.225,0.3,0.3,0.52,0.825,1.93
72,Billy Lacasse,LW,LEW/CHI,19.911,122,36,28,18,64,82,308,11.72,0.295,0.23,0.15,0.525,0.67,2.525
73,Charles-Olivier Roussel,D,SHA/MTL,18.507,123,20,32,29,52,81,302,6.185,0.155,0.26,0.235,0.415,0.655,2.44
74,Philippe Maillet,C,VIC,17.354,125,34,30,17,64,81,237,11.255,0.255,0.23,0.13,0.49,0.62,1.83
75,Adam Polasek,D,PEI,18.68,127,20,37,23,57,80,249,8.235,0.155,0.295,0.18,0.45,0.63,1.97
76,Olivier Archambault,LW,VDO,17.078,123,32,27,21,59,80,202,15.67,0.26,0.22,0.165,0.47,0.645,1.63
77,Christian Ouellet,RW,GAT,18.55,116,32,19,28,51,79,293,10.94,0.275,0.16,0.245,0.435,0.685,2.53
78,Samuel Groulx,D,VIC/QUE,19.717,128,22,27,30,49,79,228,9.675,0.17,0.215,0.23,0.385,0.615,1.78
79,Nicholas Petersen,RW,SNB,20.304,59,39,23,17,62,79,179,21.79,0.66,0.39,0.29,1.05,1.34,3.03
80,Alex Wall,D,MON/MTL/QUE,19.372,130,12,41,25,53,78,219,5.475,0.095,0.31,0.195,0.4,0.595,1.685
81,Jonathan Bonneau,LW,VIC/PEI/CHI/ROU,19.684,128,37,22,19,59,78,368,9.905,0.295,0.175,0.145,0.46,0.61,2.885
82,Denis Kindl,C,GAT/MTL/CAP,17.614,128,39,22,17,61,78,253,15.425,0.305,0.17,0.13,0.48,0.61,1.975
83,David Rose,RW,MTL,18.589,94,30,26,22,56,78,209,15.165,0.3,0.265,0.2,0.565,0.765,2.05
84,David Savard,D,MON,18.9,64,13,31,33,44,77,186,6.99,0.2,0.48,0.52,0.69,1.2,2.91
85,Philippe Cornet,LW,ROU,19.469,65,28,29,20,57,77,237,11.81,0.43,0.45,0.31,0.88,1.18,3.65
86,Eric Faille,C,BAT,20.137,68,31,30,16,61,77,153,20.26,0.46,0.44,0.24,0.9,1.13,2.25
