,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
0,Morgan Frost,C,SSM,18.841,125.0,79.0,95.0,47.0,174.0,221.0,443.0,18.115,0.635,0.765,0.375,1.4,1.775,3.59,27.68,0.45,20.0,58.0,35.215,9.0,45.0,17.595,50.0,340.0,14.82,1386.0,2690.0,51.52
1,Jason Robertson,RW,KGN/NIAG,18.652,130.0,89.0,67.0,48.0,156.0,204.0,604.0,14.765,0.685,0.52,0.37,1.215,1.585,4.65,40.975,0.63,16.0,70.0,22.875,21.0,120.0,17.435,52.0,414.0,12.655,6.0,23.0,26.135
2,Nick Suzuki,C,OS/GUE,18.6,123.0,76.0,69.0,49.0,145.0,194.0,557.0,13.635,0.62,0.56,0.4,1.18,1.575,4.535,34.79,0.565,14.0,69.0,19.875,22.0,87.0,25.635,40.0,401.0,9.975,837.0,1553.0,53.745
3,Justin Brazeau,RW,NB,20.117,136.0,100.0,62.0,26.0,162.0,188.0,579.0,17.075,0.735,0.455,0.19,1.195,1.38,4.26,39.13,0.575,31.0,108.0,29.355,24.0,106.0,22.79,45.0,365.0,12.165,42.0,111.0,31.22
4,Akil Thomas,RW/C,NIAG,18.203,131.0,60.0,69.0,54.0,129.0,183.0,402.0,14.87,0.46,0.53,0.41,0.995,1.405,3.075,24.575,0.375,14.0,60.0,21.53,11.0,63.0,16.935,35.0,279.0,12.605,1115.0,2062.0,54.155
5,Ben Jones,C,NIAG,19.051,136.0,71.0,76.0,34.0,147.0,181.0,440.0,16.07,0.52,0.56,0.25,1.08,1.33,3.235,29.44,0.435,30.0,109.0,28.22,18.0,65.0,27.365,23.0,266.0,8.79,1443.0,2688.0,53.66
6,Kevin Hancock,LW/C,OS/LDN,20.04,123.0,76.0,70.0,30.0,146.0,176.0,574.0,12.805,0.595,0.575,0.245,1.175,1.415,4.66,30.05,0.495,17.0,52.0,31.26,15.0,74.0,21.29,44.0,448.0,9.33,1112.0,1957.0,56.985
7,Tye Felhaber,LW/RW,OTT,19.613,134.0,86.0,54.0,35.0,140.0,175.0,534.0,15.885,0.645,0.4,0.26,1.05,1.31,3.99,31.475,0.47,15.0,60.0,25.0,20.0,89.0,22.5,51.0,385.0,12.855,80.0,153.0,52.515
8,Brandon Saigeon,C,HAM/OSH,19.755,133.0,72.0,53.0,37.0,125.0,162.0,500.0,14.41,0.54,0.395,0.28,0.935,1.215,3.76,27.5,0.415,15.0,51.0,30.405,18.0,64.0,29.165,39.0,385.0,10.13,1296.0,2496.0,51.655
9,Kirill Maksimov,RW,NIAG,18.792,125.0,74.0,48.0,37.0,122.0,159.0,459.0,16.11,0.59,0.385,0.295,0.975,1.27,3.67,26.89,0.43,12.0,55.0,23.11,14.0,63.0,22.365,48.0,341.0,14.095,11.0,37.0,32.425
10,Lucas Chiodo,LW,BAR/OTT,19.374,135.0,59.0,58.0,41.0,117.0,158.0,285.0,21.1,0.435,0.43,0.305,0.865,1.17,2.11,21.115,0.315,14.0,43.0,31.91,12.0,54.0,21.975,33.0,188.0,18.245,8.0,23.0,32.54
11,Jack Studnicka,C,OSH/NIAG,19.074,126.0,58.0,63.0,34.0,121.0,155.0,426.0,13.645,0.465,0.495,0.275,0.96,1.235,3.39,25.495,0.405,18.0,66.0,26.495,16.0,83.0,19.2,24.0,277.0,8.88,1365.0,2543.0,53.675
12,Joseph Garreffa,RW,KIT,18.602,136.0,44.0,53.0,55.0,97.0,152.0,326.0,13.0,0.325,0.39,0.405,0.715,1.12,2.395,16.76,0.25,13.0,40.0,25.235,9.0,48.0,16.115,22.0,238.0,10.415,298.0,582.0,50.98
