,Name,GP,ROW,GF%,GF,GA,GD,SF%,SF,SA,SD,Sh%,Sv%,PDO,xGF%,xGF,xGA,xGD,xSh%,xSv%,xPDO,GFAX,GFAX/30,GSAX,GSAX/30,HD GF,HD GA,HD GD,HD GF%,HD SF,HD SA,HD SD,HD SF%,HD Sh%,HD Sv%,MD GF,MD GA,MD GD,MD GF%,MD SF,MD SA,MD SD,MD SF%,MD Sh%,MD Sv%,LD GF,LD GA,LD GD,LD GF%,LD SF,LD SA,LD SD,LD SF%,LD Sh%,LD Sv%
0,Rimouski Oceanic,68,44,58.47,276,196,80,56.02,2303,1808,495,11.48,0.893,100.74,54.14,238.07,201.63,36.45,10.4,0.888,99.23,24.928,0.327,7.627,0.127,69,75,-6,47.92,250,247,3,50.3,27.6,0.702,67,38,29,63.81,283,206,77,57.87,23.4,0.816,140,83,57,62.78,1770,1355,415,56.64,7.28,0.939
1,Moncton Wildcats,68,39,55.01,280,229,51,50.77,2133,2068,65,12.84,0.891,101.98,51.47,253.97,239.51,14.47,11.95,0.884,100.34,19.026,0.268,15.506,0.225,84,76,8,52.5,293,302,-9,49.24,28.42,0.751,74,58,16,56.06,326,352,-26,48.08,22.7,0.84,122,95,27,56.22,1514,1414,100,51.71,7.69,0.934
2,Shawinigan Cataractes,68,38,54.89,258,212,46,48.94,2081,2171,-90,12.02,0.905,102.5,50.7,233.39,226.95,6.44,11.26,0.895,100.78,15.614,0.226,20.947,0.29,75,64,11,53.96,245,233,12,51.26,30.33,0.732,64,42,22,60.38,278,271,7,50.64,22.74,0.851,119,106,13,52.89,1558,1667,-109,48.31,7.22,0.938
3,Blainville-Boisbriand Armada,68,37,57.42,240,178,62,54.49,1965,1641,324,11.58,0.895,101.12,54.4,211.58,177.34,34.23,10.84,0.891,99.99,14.422,0.222,6.344,0.116,55,50,5,52.38,209,179,30,53.87,25.24,0.725,51,42,9,54.84,262,223,39,54.02,19.16,0.812,134,86,48,60.91,1494,1239,255,54.67,8.36,0.935
4,Quebec Remparts,68,36,53.35,263,230,33,49.46,2047,2092,-45,12.59,0.895,102.07,51.95,212.77,196.77,16.0,10.42,0.905,100.97,44.228,0.65,-22.232,-0.32,80,52,28,60.61,243,191,52,55.99,32.64,0.732,53,41,12,56.38,266,202,64,56.84,19.92,0.805,130,137,-7,48.69,1538,1699,-161,47.51,8.15,0.924
5,Charlottetown Islanders,68,33,48.38,224,239,-15,48.96,2146,2237,-91,10.19,0.896,99.74,50.33,233.41,230.38,3.03,10.91,0.897,100.58,-15.412,-0.216,-2.619,-0.035,66,76,-10,46.48,259,251,8,50.78,24.9,0.7,54,53,1,50.47,314,284,30,52.51,16.93,0.813,104,110,-6,48.6,1573,1702,-129,48.03,6.43,0.938
6,Val-d'Or Foreurs,68,31,51.67,279,261,18,51.28,2160,2052,108,12.39,0.878,100.14,53.62,236.9,204.88,32.02,11.03,0.9,101.0,29.096,0.407,-45.117,-0.663,80,44,36,64.52,274,193,81,58.67,28.68,0.772,75,73,2,50.68,299,283,16,51.37,24.58,0.745,124,144,-20,46.27,1587,1576,11,50.17,7.29,0.914
7,Baie-Comeau Drakkar,68,30,48.68,222,234,-12,47.36,1988,2210,-222,10.72,0.897,100.41,49.16,201.33,208.17,-6.84,10.18,0.906,100.73,10.671,0.162,-18.826,-0.256,64,56,8,53.33,211,212,-1,49.88,29.67,0.743,51,51,0,50.0,245,257,-12,48.8,20.49,0.802,107,127,-20,45.73,1532,1741,-209,46.81,6.56,0.93
8,Sherbrooke Phoenix,68,29,47.84,221,241,-20,50.22,2013,1995,18,10.76,0.881,98.85,47.62,206.89,227.54,-20.65,10.3,0.886,98.88,9.106,0.136,-9.459,-0.143,46,63,-17,42.2,215,237,-22,47.57,21.4,0.737,44,61,-17,41.9,251,323,-72,43.73,17.2,0.814,131,117,14,52.82,1547,1435,112,51.88,8.23,0.92
9,Halifax Mooseheads,68,29,48.28,224,240,-16,51.2,2087,1989,98,10.35,0.883,98.64,51.1,227.39,217.56,9.83,10.94,0.89,99.96,-12.385,-0.179,-14.443,-0.219,63,66,-3,48.84,230,253,-23,47.62,26.11,0.745,52,56,-4,48.15,306,304,2,50.16,16.99,0.816,109,118,-9,48.02,1551,1432,119,51.99,6.73,0.921
10,Gatineau Olympiques,68,29,49.57,232,236,-4,50.08,1994,1988,6,11.41,0.886,100.03,51.09,230.78,220.95,9.83,11.6,0.888,100.43,-3.78,-0.057,-4.047,-0.061,56,61,-5,47.86,235,242,-7,49.27,23.83,0.754,70,54,16,56.45,338,256,82,56.9,20.47,0.792,106,121,-15,46.7,1421,1490,-69,48.81,7.2,0.924
11,Rouyn-Noranda Huskies,68,29,49.79,242,244,-2,52.41,2008,1823,185,11.83,0.869,98.73,50.97,199.73,192.16,7.57,9.97,0.894,99.4,37.273,0.558,-45.844,-0.757,54,52,2,50.94,201,188,13,51.67,26.5,0.727,52,57,-5,47.71,261,240,21,52.1,19.31,0.766,136,135,1,50.18,1546,1395,151,52.57,8.68,0.906
12,Saint John Sea Dogs,68,29,49.89,234,235,-1,49.99,2148,2149,-1,10.56,0.894,99.96,47.72,222.07,243.3,-21.23,10.38,0.886,99.01,3.928,0.055,16.301,0.228,69,55,14,55.65,292,272,20,51.77,22.84,0.801,60,60,0,50.0,276,274,2,50.18,21.74,0.781,105,120,-15,46.67,1580,1603,-23,49.64,6.35,0.929
13,Cape Breton Screaming Eagles,68,29,51.3,256,243,13,50.51,2094,2052,42,11.85,0.887,100.52,52.06,249.08,229.39,19.69,11.95,0.888,100.7,-2.077,-0.03,-1.612,-0.024,67,59,8,53.17,243,257,-14,48.6,27.57,0.78,64,67,-3,48.85,280,289,-9,49.21,22.86,0.774,125,117,8,51.65,1571,1506,65,51.06,7.43,0.927
14,Chicoutimi Sagueneens,68,26,45.98,200,235,-35,49.18,2047,2115,-68,9.24,0.893,98.55,47.85,202.56,220.72,-18.16,9.95,0.895,99.47,-14.557,-0.215,-4.278,-0.061,56,62,-6,47.46,224,212,12,51.38,23.64,0.711,44,70,-26,38.6,228,320,-92,41.61,18.58,0.781,100,103,-3,49.26,1595,1583,12,50.19,5.92,0.94
15,Victoriaville Tigres,68,25,47.58,246,271,-25,46.17,1969,2296,-327,12.14,0.885,100.68,45.17,213.39,258.99,-45.59,10.88,0.887,99.56,24.607,0.376,-3.015,-0.04,46,76,-30,37.7,189,293,-104,39.21,24.34,0.743,65,67,-2,49.24,274,303,-29,47.49,23.16,0.787,135,128,7,51.33,1506,1700,-194,46.97,8.6,0.927
16,Drummondville Voltigeurs,68,22,43.21,191,251,-60,47.82,1885,2057,-172,9.75,0.885,98.24,46.7,191.71,218.81,-27.1,10.21,0.893,99.49,-8.714,-0.139,-16.19,-0.238,48,52,-4,48.0,211,222,-11,48.73,22.75,0.769,42,68,-26,38.18,265,298,-33,47.07,14.89,0.782,101,131,-30,43.53,1409,1537,-128,47.83,6.84,0.921
17,Acadie-Bathurst Titan,68,15,36.71,156,269,-113,45.9,1819,2144,-325,8.48,0.879,96.34,43.83,177.48,227.46,-49.98,9.77,0.893,99.11,-23.475,-0.388,-31.542,-0.443,37,76,-39,32.74,174,214,-40,44.85,21.26,0.648,48,72,-24,40.0,246,313,-67,44.01,19.18,0.77,71,121,-50,36.98,1399,1617,-218,46.39,5.01,0.93
