"#","Name","Pos","Team","Age","GP","G","A1","A2","P1","P","Sh","Sh%","G/GP","A1/GP","A2/GP","P1/GP","P/GP","Sh/GP","xG","xG/GP","HD G","HD Sh","HD Sh%","MD G","MD Sh","MD Sh%","LD G","LD Sh","LD Sh%","FOW","FOT","FOW%"
"","Nathan Todd","C","OTT","19.787","53","3","0","0","3","3","7","42.86","0.06","0.0","0.0","0.06","0.06","0.13","1.07","0.02","0","0","0.0","1","1","100.0","2","6","33.33","13","25","52.0"
"","Evan de Haan","D","OTT","20.581","59","2","0","2","2","4","8","25.0","0.03","0.0","0.03","0.03","0.07","0.14","0.83","0.01","0","1","0.0","0","0","0.0","2","7","28.57","0","0","0.0"
"","Nikita Korostelev","RW","SAR","18.599","53","1","1","1","2","3","3","33.33","0.02","0.02","0.02","0.04","0.06","0.06","0.52","0.01","1","2","50.0","0","0","0.0","0","1","0.0","0","0","0.0"
"","Artur Tyanulin","RW","OTT","18.651","67","0","2","0","2","2","1","0.0","0.0","0.03","0.0","0.03","0.03","0.01","0.16","0.0","0","1","0.0","0","0","0.0","0","0","0.0","0","0","0.0"
"","Michael Cramarossa","LW","HAM","19.31","62","1","1","0","2","2","2","50.0","0.02","0.02","0.0","0.03","0.03","0.03","0.44","0.01","1","1","100.0","0","0","0.0","0","1","0.0","1","4","25.0"
"","Christian  Fischer","RW","WSR","18.418","66","2","0","0","2","2","4","50.0","0.03","0.0","0.0","0.03","0.03","0.06","0.47","0.01","1","1","100.0","0","0","0.0","1","3","33.33","2","6","33.33"
"","Andrew Mangiapane","LW","BAR","19.447","59","1","1","0","2","2","2","50.0","0.02","0.02","0.0","0.03","0.03","0.03","0.48","0.01","0","0","0.0","1","2","50.0","0","0","0.0","3","11","27.27"
"","Blake Siebenaler","D","NIAG","19.549","65","1","1","0","2","2","5","20.0","0.02","0.02","0.0","0.03","0.03","0.08","0.61","0.01","0","1","0.0","0","0","0.0","1","4","25.0","0","0","0.0"
"","Jordan Maletta","C","NIAG","20.378","68","2","0","0","2","2","3","66.67","0.03","0.0","0.0","0.03","0.03","0.04","0.26","0.0","0","0","0.0","0","0","0.0","2","3","66.67","8","24","33.33"
"","Josh Jacobs","D","SAR","19.582","67","0","2","0","2","2","0","0.0","0.0","0.03","0.0","0.03","0.03","0.0","0.0","0.0","0","0","0.0","0","0","0.0","0","0","0.0","0","0","0.0"
"","Alex DeBrincat","RW","ER","17.742","60","1","1","0","2","2","1","100.0","0.02","0.02","0.0","0.03","0.03","0.02","0.29","0.0","0","0","0.0","1","1","100.0","0","0","0.0","0","0","0.0"
"","Cole Candella","D","HAM","17.586","37","0","2","0","2","2","5","0.0","0.0","0.05","0.0","0.05","0.05","0.14","0.31","0.01","0","0","0.0","0","0","0.0","0","5","0.0","0","0","0.0"
"","Luke Burghardt","LW","GUE","17.345","62","2","0","0","2","2","2","100.0","0.03","0.0","0.0","0.03","0.03","0.03","0.12","0.0","0","0","0.0","1","1","100.0","1","1","100.0","6","17","35.29"
"","Ryan MacInnis","C","KIT","19.584","59","1","1","0","2","2","2","50.0","0.02","0.02","0.0","0.03","0.03","0.03","0.21","0.0","0","0","0.0","0","0","0.0","1","2","50.0","4","12","33.33"
"","Christian  Dvorak","C","LDN","19.617","59","1","1","0","2","2","5","20.0","0.02","0.02","0.0","0.03","0.03","0.08","1.27","0.02","1","2","50.0","0","1","0.0","0","2","0.0","17","23","73.91"
"","Dylan Strome","C","ER","18.525","56","1","1","0","2","2","2","50.0","0.02","0.02","0.0","0.04","0.04","0.04","0.52","0.01","0","1","0.0","1","1","100.0","0","0","0.0","7","11","63.64"
"","Dante Salituro","RW","OTT","18.831","65","0","1","2","1","3","1","0.0","0.0","0.02","0.03","0.02","0.05","0.02","0.25","0.0","0","0","0.0","0","1","0.0","0","0","0.0","10","16","62.5"
"","Matthew Tkachuk","LW","LDN","17.761","57","0","1","1","1","2","2","0.0","0.0","0.02","0.02","0.02","0.04","0.04","0.3","0.01","0","0","0.0","0","1","0.0","0","1","0.0","4","7","57.14"
"","Chris  Martenet","D","LDN","18.971","67","1","0","1","1","2","2","50.0","0.01","0.0","0.01","0.01","0.03","0.03","0.3","0.0","0","1","0.0","0","0","0.0","1","1","100.0","0","0","0.0"
"","Patrick Murphy","D","SBY","20.679","68","0","1","1","1","2","1","0.0","0.0","0.01","0.01","0.01","0.03","0.01","0.21","0.0","0","0","0.0","0","0","0.0","0","1","0.0","0","0","0.0"
"","Josh Ho-Sang","RW","NIAG","19.647","66","0","1","1","1","2","1","0.0","0.0","0.02","0.02","0.02","0.03","0.02","0.11","0.0","0","0","0.0","0","0","0.0","0","1","0.0","0","3","0.0"
"","Kevin  Spinozzi","D","SAR","19.313","59","1","0","1","1","2","5","20.0","0.02","0.0","0.02","0.02","0.03","0.08","0.27","0.0","0","0","0.0","0","0","0.0","1","5","20.0","1","1","100.0"
"","Vladislav Barulin","RW","GUE","19.185","25","0","1","1","1","2","0","0.0","0.0","0.04","0.04","0.04","0.08","0.0","0.0","0.0","0","0","0.0","0","0","0.0","0","0","0.0","0","0","0.0"
"","Sean Day","D","MISS","17.681","57","1","0","1","1","2","2","50.0","0.02","0.0","0.02","0.02","0.04","0.04","0.23","0.0","0","0","0.0","0","0","0.0","1","2","50.0","0","0","0.0"
"","Cullen Mercer","C","FLNT","18.371","66","1","0","0","1","1","2","50.0","0.02","0.0","0.0","0.02","0.02","0.03","0.05","0.0","0","0","0.0","0","0","0.0","1","2","50.0","2","8","25.0"
"","Zack Pittman","D","FLNT","20.165","66","1","0","0","1","1","1","100.0","0.02","0.0","0.0","0.02","0.02","0.02","0.12","0.0","0","0","0.0","0","0","0.0","1","1","100.0","0","0","0.0"
"","Eric  Cornel","RW","PBO","19.428","68","0","1","0","1","1","4","0.0","0.0","0.01","0.0","0.01","0.01","0.06","0.47","0.01","0","0","0.0","0","0","0.0","0","4","0.0","0","1","0.0"
