,Name,GP,ROW,GF%,GF,GA,GD,SF%,SF,SA,SD,Sh%,Sv%,PDO,xGF%,xGF,xGA,xGD,xSh%,xSv%,xPDO,GFAX,GFAX/30,GSAX,GSAX/30,HD GF,HD GA,HD GD,HD GF%,HD SF,HD SA,HD SD,HD SF%,HD Sh%,HD Sv%,MD GF,MD GA,MD GD,MD GF%,MD SF,MD SA,MD SD,MD SF%,MD Sh%,MD Sv%,LD GF,LD GA,LD GD,LD GF%,LD SF,LD SA,LD SD,LD SF%,LD Sh%,LD Sv%
0,Halifax Mooseheads,68,54,66.22,343,175,168,57.84,2426,1768,658,13.89,0.902,104.09,61.12,268.15,170.61,97.54,11.09,0.903,101.42,67.85,0.841,-2.388,-0.041,89,52,37,63.12,292,213,79,57.82,30.0,0.756,89,38,51,70.08,372,279,93,57.14,23.72,0.864,165,85,80,66.0,1762,1276,486,58.0,9.16,0.935
1,Moncton Wildcats,68,41,57.59,273,201,72,57.02,2434,1835,599,10.96,0.894,100.35,56.03,245.51,192.63,52.88,10.12,0.895,99.58,20.487,0.253,-1.366,-0.022,62,71,-9,46.62,281,251,30,52.82,22.06,0.717,62,47,15,56.88,326,285,41,53.36,19.02,0.838,149,83,66,64.22,1827,1299,528,58.45,7.8,0.94
2,Baie-Comeau Drakkar,68,40,58.95,270,188,82,58.6,2459,1737,722,10.8,0.893,100.13,62.58,262.86,157.17,105.68,10.71,0.909,101.65,2.142,0.026,-27.827,-0.481,87,66,21,56.86,346,192,154,64.31,24.93,0.656,60,42,18,58.82,334,188,146,63.98,17.96,0.777,123,80,43,60.59,1779,1357,422,56.73,6.7,0.943
3,Blainville-Boisbriand Armada,68,40,60.63,271,176,95,57.85,2255,1643,612,11.74,0.897,101.41,59.45,251.93,171.86,80.07,11.21,0.895,100.7,12.068,0.161,2.865,0.053,97,63,34,60.62,298,205,93,59.24,31.86,0.693,68,37,31,64.76,309,250,59,55.28,22.01,0.852,106,76,30,58.24,1648,1188,460,58.11,6.2,0.942
4,PEI Rocket,68,39,53.28,260,228,32,50.76,2198,2132,66,11.26,0.895,100.74,49.05,207.59,215.59,-8.0,9.51,0.899,99.37,38.41,0.528,-8.411,-0.119,82,66,16,55.41,252,260,-8,49.22,32.54,0.746,59,65,-6,47.58,270,321,-51,45.69,21.85,0.8,119,97,22,55.09,1676,1551,125,51.94,6.32,0.939
5,Quebec Remparts,68,36,54.65,235,195,40,50.94,2117,2039,78,10.72,0.908,101.51,53.72,214.53,184.81,29.73,10.18,0.909,101.08,11.467,0.163,-2.193,-0.032,75,45,30,62.5,244,206,38,54.22,30.17,0.789,55,39,16,58.51,305,193,112,61.24,18.03,0.806,105,111,-6,48.61,1568,1640,-72,48.88,6.28,0.935
6,Drummondville Voltigeurs,68,35,49.56,223,227,-4,52.47,2027,1836,191,10.74,0.881,98.85,51.38,202.73,191.87,10.86,10.03,0.895,99.52,14.268,0.212,-25.133,-0.413,67,80,-13,45.58,241,237,4,50.42,27.8,0.665,43,45,-2,48.86,238,236,2,50.21,18.07,0.816,113,102,11,52.56,1548,1363,185,53.18,6.94,0.93
7,Rimouski Oceanic,68,35,54.32,258,217,41,49.77,2089,2108,-19,12.06,0.898,101.85,50.76,213.25,206.91,6.35,10.24,0.902,100.42,37.748,0.544,-8.095,-0.115,67,68,-1,49.63,236,267,-31,46.92,27.78,0.751,71,43,28,62.28,298,225,73,56.98,23.83,0.809,120,106,14,53.1,1555,1616,-61,49.04,7.42,0.934
8,Rouyn-Noranda Huskies,68,35,52.45,278,252,26,49.91,1970,1977,-7,13.76,0.875,101.28,51.86,233.27,216.52,16.75,11.89,0.89,100.9,36.735,0.562,-29.483,-0.449,78,74,4,51.32,227,229,-2,49.78,33.48,0.677,71,55,16,56.35,287,268,19,51.71,24.48,0.798,129,123,6,51.19,1456,1480,-24,49.59,8.61,0.92
9,Val-d'Or Foreurs,68,31,52.12,270,248,22,51.9,2345,2173,172,11.25,0.89,100.2,52.79,257.54,230.28,27.26,11.02,0.894,100.37,5.46,0.07,-8.719,-0.121,101,73,28,58.05,369,300,69,55.16,27.37,0.759,64,60,4,51.61,368,299,69,55.17,16.71,0.802,105,115,-10,47.73,1608,1574,34,50.53,6.3,0.931
