,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,G/GP,A1/GP,A2/GP,P1/GP,P/GP
0,Kyle Wellwood,C/D,BELV/WSR/TOR,18.835,195,103,111,75,214,289,0.413,0.455,0.252,0.868,1.12
1,Kris Newbury,C,SAR,19.82,194,104,111,39,215,254,0.535,0.588,0.22,1.122,1.342
2,Derek Roy,C,KIT,18.618,176,113,92,43,205,248,0.62,0.575,0.272,1.198,1.468
3,Miguel Delisle,RW,OTT/OS/KGN,19.694,189,122,60,58,182,240,0.617,0.325,0.315,0.942,1.257
4,Eric Himelfarb,C,SAR/BAR,18.956,183,97,92,44,189,233,0.518,0.498,0.23,1.022,1.252
5,Mike Stathopoulos,C,LDN,19.429,190,67,94,71,161,232,0.37,0.478,0.4,0.85,1.245
6,Jamie Johnson,C,SAR/OSH,19.894,197,49,120,60,169,229,0.272,0.655,0.305,0.928,1.232
7,Jason Spezza,C,WSR/MISS/BELV,17.76,107,84,85,49,169,218,0.785,0.79,0.455,1.58,2.035
8,Martin St. Pierre,C,GUE,18.348,189,63,96,51,159,210,0.292,0.52,0.27,0.815,1.085
9,Eric Staal,C,PBO,17.13,184,80,80,47,160,207,0.47,0.475,0.26,0.945,1.208
10,Chad LaRose,RW,PLY,19.722,152,111,56,34,167,201,0.745,0.37,0.23,1.118,1.348
11,Greg Chambers,RW,PBO,19.086,192,88,61,49,149,198,0.488,0.328,0.258,0.815,1.072
12,Matthew Stajan,LW,BELV,17.992,176,74,77,47,151,198,0.462,0.488,0.295,0.95,1.248
13,Dustin Brown,RW,GUE,17.112,174,98,57,39,155,194,0.565,0.362,0.23,0.928,1.158
14,Frank Lukes,RW,TOR,19.224,184,77,74,42,151,193,0.425,0.432,0.228,0.852,1.082
15,Joey Tenute,C,BAR/SAR,18.706,195,73,70,50,143,193,0.425,0.405,0.312,0.83,1.142
16,Daniel Sisca,C,OS/MISS,18.501,179,84,68,40,152,192,0.5,0.368,0.252,0.87,1.122
17,Greg Jacina,C,OS/MISS,19.568,174,73,77,42,150,192,0.4,0.482,0.238,0.882,1.12
18,Corey Locke,C,OTT,17.856,117,76,59,51,135,186,0.625,0.48,0.42,1.105,1.52
19,Ryan Ramsay,C,KIT/PBO/PLY,18.58,171,78,62,45,140,185,0.48,0.385,0.312,0.867,1.178
20,Chris Thorburn,C,NB/PLY/SAG,18.54,197,67,65,51,132,183,0.372,0.345,0.262,0.712,0.978
21,Brandon Nolan,C,OSH,18.414,173,79,54,49,133,182,0.468,0.34,0.282,0.808,1.09
22,Cory Pecker,RW,ER/SSM,19.99,117,94,60,24,154,178,0.81,0.515,0.205,1.325,1.535
23,Steve Ott,C,WSR,18.575,108,93,44,38,137,175,0.86,0.41,0.35,1.27,1.62
24,Nathan Robinson,C,BELV,19.208,129,77,62,35,139,174,0.595,0.48,0.27,1.075,1.345
25,Patrick O'Sullivan,C,MISS,17.118,124,74,52,47,126,173,0.605,0.415,0.38,1.02,1.4
26,Matt Passfield,RW,KIT/BAR/OS/MISS,19.607,193,84,51,32,135,167,0.465,0.262,0.18,0.728,0.908
27,Brad Boyes,C,ER,18.914,106,81,58,28,139,167,0.765,0.555,0.265,1.315,1.585
28,Daniel Paille,C,GUE,17.668,180,79,53,35,132,167,0.475,0.298,0.195,0.772,0.968
29,Craig Kennedy,RW,WSR,18.646,198,70,54,39,124,163,0.408,0.282,0.195,0.695,0.885
30,Kevin Dallman,D,GUE,20.051,133,48,71,44,119,163,0.36,0.535,0.33,0.895,1.225
31,Darryl Bootland,RW,TOR,19.37,117,73,60,29,133,162,0.62,0.51,0.245,1.13,1.375
32,Mike Renzi,C,BELV,19.662,131,70,55,33,125,158,0.535,0.42,0.25,0.95,1.205
33,Stephen Weiss,C,PLY,17.954,108,65,55,37,120,157,0.595,0.51,0.35,1.11,1.46
34,Luc Chiasson,LW,OS/GUE/OSH/BAR,19.188,182,73,36,44,109,153,0.445,0.21,0.22,0.655,0.883
35,Jay McClement,C,BRA,18.791,172,78,49,26,127,153,0.465,0.325,0.165,0.79,0.955
36,Tim Brent,C,TOR,17.767,184,52,57,43,109,152,0.312,0.34,0.245,0.655,0.9
37,Karl Stewart,C,PLY,18.462,201,64,53,34,117,151,0.365,0.312,0.195,0.68,0.875
