,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,eTOI,eTOI/GP,eG/60,eA1/60,eA2/60,eP1/60,eP/60,eSh/60,exG/60,QoT TOI,QoC TOI,QoT GF%,QoC GF%,GF%Rel,GF%,GF,GA,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
284,Daniel Krenzelok,D,VDO,17.131,58,1,1,9,2,11,81,1.23,0.02,0.02,0.16,0.03,0.19,1.4,2.65,0.05,914.51,15.77,0.07,0.07,0.59,0.13,0.72,5.31,0.17,16.98,17.16,53.48,50.25,0.7,51.81,43,40,0,1,0.0,0,3,0.0,1,77,1.3,0,0,0.0
285,Kelly Bent,RW,HAL,19.617,58,2,6,3,8,11,63,3.17,0.03,0.1,0.05,0.14,0.19,1.09,4.42,0.08,753.41,12.99,0.16,0.48,0.24,0.64,0.88,5.02,0.35,17.07,17.91,41.71,52.95,-33.17,21.13,15,56,1,7,14.29,0,7,0.0,1,49,2.04,15,31,48.39
286,Keith Getson,LW,CHA,16.466,63,1,3,6,4,10,57,1.75,0.02,0.05,0.1,0.06,0.16,0.9,6.11,0.1,706.85,11.22,0.08,0.25,0.51,0.34,0.85,4.84,0.52,16.87,17.37,44.12,51.83,-21.31,29.09,16,39,1,9,11.11,0,9,0.0,0,39,0.0,3,11,27.27
287,Anthony Gingras,D,CHI/BAT,18.982,69,3,3,4,6,10,68,4.41,0.04,0.04,0.06,0.09,0.14,0.99,2.07,0.03,1348.17,19.54,0.13,0.13,0.18,0.27,0.45,3.03,0.09,17.61,18.34,43.8,54.36,-15.1,33.09,45,91,0,0,0.0,0,4,0.0,3,64,4.69,1,2,50.0
288,Dillon Boucher,LW,CAP,17.416,40,3,3,4,6,10,29,10.34,0.07,0.07,0.1,0.15,0.25,0.72,3.56,0.09,449.38,11.23,0.4,0.4,0.53,0.8,1.34,3.87,0.48,17.38,17.71,49.56,50.24,-14.86,42.11,16,22,1,4,25.0,1,8,12.5,1,17,5.88,10,21,47.62
289,Victor Baldaev,D,CHI,19.256,31,3,2,5,5,10,50,6.0,0.1,0.06,0.16,0.16,0.32,1.61,2.24,0.07,551.63,17.79,0.33,0.22,0.54,0.54,1.09,5.44,0.24,17.13,17.53,48.93,48.81,10.41,53.49,23,20,0,0,0.0,0,1,0.0,3,49,6.12,0,0,0.0
290,Jeremy Lepine,LW,RIM/CHI,18.985,37,5,5,0,10,10,49,10.2,0.14,0.14,0.0,0.27,0.27,1.32,6.59,0.18,479.58,12.96,0.63,0.63,0.0,1.25,1.25,6.13,0.82,17.96,17.96,43.48,53.11,-21.46,31.91,15,32,2,8,25.0,1,10,10.0,2,31,6.45,223,405,55.06
291,Francis Brunelle,LW,CAP,19.193,45,3,6,1,9,10,26,11.54,0.07,0.13,0.02,0.2,0.22,0.58,4.19,0.09,475.24,10.56,0.38,0.76,0.13,1.14,1.26,3.28,0.53,16.8,17.18,49.23,48.99,-7.71,45.95,17,20,1,5,20.0,0,9,0.0,2,12,16.67,1,4,25.0
292,Daniel De Sousa,D,VIC/GAT,18.506,51,3,4,3,7,10,44,6.82,0.06,0.08,0.06,0.14,0.2,0.86,2.05,0.04,856.89,16.8,0.21,0.28,0.21,0.49,0.7,3.08,0.14,16.68,17.63,50.66,50.47,-2.53,40.86,38,55,1,1,100.0,0,0,0.0,2,43,4.65,0,0,0.0
293,Tyler Hylland,LW,BLB,16.403,51,7,0,3,7,10,64,10.94,0.14,0.0,0.06,0.14,0.2,1.25,6.32,0.12,632.36,12.4,0.66,0.0,0.28,0.66,0.95,6.07,0.6,17.9,17.71,53.92,50.72,-11.84,44.68,21,26,2,5,40.0,2,6,33.33,3,53,5.66,3,5,60.0
294,Kris Hodge,C,SHA,18.927,39,0,7,3,7,10,42,0.0,0.0,0.18,0.08,0.18,0.26,1.08,2.87,0.07,487.33,12.5,0.0,0.86,0.37,0.86,1.23,5.17,0.35,17.15,17.97,49.36,52.42,-21.08,36.96,17,29,0,3,0.0,0,1,0.0,0,38,0.0,120,244,49.18
295,Alexandre Jacob,RW,MON,17.566,31,5,2,3,7,10,37,13.51,0.16,0.06,0.1,0.23,0.32,1.19,4.03,0.13,352.11,11.36,0.85,0.34,0.51,1.19,1.7,6.3,0.69,17.16,16.54,54.52,46.16,13.78,67.86,19,9,0,3,0.0,5,10,50.0,0,24,0.0,6,15,40.0
296,Deven St-Hilaire,RW,RIM,19.538,34,5,5,0,10,10,39,12.82,0.15,0.15,0.0,0.29,0.29,1.15,4.75,0.14,379.4,11.16,0.79,0.79,0.0,1.58,1.58,6.17,0.75,17.99,17.14,56.56,51.41,-2.69,55.56,15,12,1,5,20.0,0,5,0.0,4,29,13.79,61,134,45.52
297,Thomas Gregoire,D,SHE,16.17,62,2,5,3,7,10,62,3.23,0.03,0.08,0.05,0.11,0.16,1.0,3.22,0.05,986.71,15.91,0.12,0.3,0.18,0.43,0.61,3.77,0.2,17.72,17.2,47.48,49.9,15.29,60.24,50,33,0,1,0.0,0,4,0.0,2,57,3.51,0,0,0.0
