,Name,GP,ROW,GF%,GF,GA,GD,SF%,SF,SA,SD,Sh%,Sv%,PDO,xGF%,xGF,xGA,xGD,xSh%,xSv%,xPDO,GFAX,GFAX/30,GSAX,GSAX/30,HD GF,HD GA,HD GD,HD GF%,HD SF,HD SA,HD SD,HD SF%,HD Sh%,HD Sv%,MD GF,MD GA,MD GD,MD GF%,MD SF,MD SA,MD SD,MD SF%,MD Sh%,MD Sv%,LD GF,LD GA,LD GD,LD GF%,LD SF,LD SA,LD SD,LD SF%,LD Sh%,LD Sv%
0,London Knights,262,169,58.319,1094,756,338,51.679,8598,8161,437,11.792,0.909,102.686,54.249,222.25,186.656,35.599,10.599,0.905,101.108,25.123,0.358,7.655,0.116,289,188,101,59.648,1206,873,333,56.624,23.461,0.794,226,172,54,54.751,1229,1073,156,52.359,18.259,0.83,579,396,183,59.66,6163,6215,-52,50.785,8.343,0.942
1,Sault Ste. Marie Greyhounds,262,166,57.794,1094,816,278,52.52,8811,8021,790,12.109,0.901,102.154,54.715,220.571,181.198,39.374,10.38,0.906,100.938,35.431,0.52,-9.178,-0.154,269,199,70,56.044,1114,1005,109,52.874,22.332,0.802,222,162,60,56.206,1101,933,168,54.298,19.199,0.823,603,455,148,58.985,6596,6083,513,52.169,9.201,0.929
2,Kitchener Rangers,262,146,49.968,941,886,55,49.809,8297,8260,37,10.982,0.893,100.225,50.441,200.973,194.491,6.481,10.045,0.902,100.286,16.403,0.282,-18.009,-0.3,230,233,-3,47.152,1080,1000,80,50.021,20.92,0.765,219,193,26,52.704,1289,1015,274,55.31,18.165,0.804,492,460,32,50.009,5928,6245,-317,48.712,7.698,0.928
3,Owen Sound Attack,262,138,50.682,977,854,123,55.238,9640,7539,2101,9.425,0.885,97.888,54.956,217.519,175.345,42.174,9.405,0.905,99.924,0.482,0.006,-37.283,-0.618,189,206,-17,48.035,927,937,-10,48.096,21.296,0.78,228,198,30,50.408,1227,1070,157,54.06,17.307,0.801,560,450,110,52.018,7486,5532,1954,56.381,6.836,0.916
4,Windsor Spitfires,264,133,49.869,889,818,71,49.359,8032,7987,45,10.642,0.9,100.66,48.692,192.115,202.456,-10.343,9.908,0.898,99.672,13.76,0.219,5.834,0.076,225,180,45,52.199,1036,962,74,49.718,20.695,0.82,181,189,-8,47.174,1128,1187,-59,47.382,15.731,0.844,483,449,34,50.162,5868,5838,30,49.848,7.809,0.928
5,Sarnia Sting,264,131,51.742,1038,935,103,50.1,8596,8653,-57,11.972,0.887,100.696,50.755,217.174,209.0,8.179,10.286,0.9,100.32,34.2,0.505,-24.126,-0.392,260,234,26,48.218,1091,1010,81,50.359,22.324,0.761,210,218,-8,48.808,1245,1202,43,49.974,17.53,0.816,568,483,85,54.185,6260,6441,-181,50.132,9.039,0.923
6,Erie Otters,262,130,48.332,988,881,107,50.914,8524,7498,1026,10.928,0.879,98.749,50.875,199.086,189.014,10.076,9.979,0.901,100.018,17.788,0.286,-41.986,-0.667,237,215,22,50.238,1061,883,178,52.781,21.896,0.76,215,198,17,47.348,1243,1180,63,49.935,16.634,0.812,536,468,68,48.089,6220,5435,785,50.809,7.811,0.912
7,Ottawa 67's,261,129,54.498,929,903,26,51.817,8041,7961,80,11.765,0.894,101.146,52.328,197.999,184.724,13.275,10.03,0.902,100.197,31.628,0.52,-13.778,-0.235,209,203,6,55.732,986,930,56,55.36,21.714,0.786,208,190,18,55.18,1225,1267,-42,49.386,16.756,0.86,512,510,2,53.874,5830,5764,66,51.801,9.165,0.916
8,Oshawa Generals,263,128,52.846,912,879,33,50.189,8340,8441,-101,11.148,0.9,101.161,53.099,204.43,182.909,21.515,10.058,0.91,101.091,21.572,0.328,-19.714,-0.307,247,214,33,56.895,1003,887,116,56.562,24.745,0.756,207,192,15,55.085,1130,1078,52,53.626,18.896,0.823,458,473,-15,49.736,6207,6476,-269,48.628,7.25,0.93
9,Niagara IceDogs,262,123,54.581,923,875,48,50.93,8789,8926,-137,10.861,0.906,101.415,50.97,209.77,205.498,4.275,9.664,0.904,100.01,25.606,0.36,5.744,0.063,235,235,0,53.17,989,1088,-99,48.96,23.134,0.801,198,206,-8,55.176,1082,1195,-113,49.08,18.81,0.851,490,434,56,55.177,6718,6643,75,51.571,7.645,0.933
