"#","Name","Pos","Team","Age","GP","G","A1","A2","P1","P","G/GP","A1/GP","A2/GP","P1/GP","P/GP"
"","Austin Gerhart","RW","MISS","17.451","47","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Michael McLeod","C","MISS","16.614","63","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Bobby MacIntyre","LW","MISS","18.018","59","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Nathan Bastian","RW","MISS","16.775","68","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Josh Burnside","LW","MISS","19.592","66","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Everett Clark","C","MISS","18.648","64","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Jonathon Masters","D","SBY","18.653","29","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Kurtis MacDermid","D","ER","20.477","61","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Troy Donnay","D","ER","20.573","45","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Dylan Callaghan","RW","SBY","18.015","5","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Josh Brown","D","OSH","20.649","60","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Frankie Pucci","LW","ER","17.657","1","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Brian Brosnan","D","NIAG","19.401","53","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
"","Yannick Rathgeb","D","PLY","18.894","34","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0"
