,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,FOW,FOT,FOW%
0,Angelo Miceli,C,VIC,19.668,250,118,95,65,213,278,753,16.156,0.511,0.462,0.267,0.976,1.241,3.151,1984,3915,51.168
1,Adam Erne,LW,QUE,18.532,240,118,91,66,209,275,884,13.855,0.556,0.396,0.325,0.952,1.277,3.988,953,1742,53.018
2,Christopher Clapperton,LW,BLB/RIM,19.687,237,113,84,73,197,270,670,16.446,0.511,0.356,0.311,0.868,1.184,3.155,77,176,37.228
3,Anthony Mantha,RW,VDO,18.248,187,129,85,46,214,260,741,18.005,0.775,0.548,0.268,1.322,1.59,4.232,140,343,39.9
4,Louick Marcotte,LW,PEI/VDO/GAT,19.813,257,117,78,57,195,252,704,16.75,0.52,0.38,0.225,0.898,1.128,3.042,324,763,41.422
5,Anthony Duclair,LW,QUE,18.181,203,116,90,43,206,249,530,21.039,0.609,0.469,0.241,1.076,1.32,2.865,46,120,28.255
6,Jonathan Drouin,C,HAL,17.72,128,77,94,71,171,242,468,14.855,0.578,0.77,0.58,1.35,1.93,3.83,512,1000,43.55
7,Ivan Barbashev,C,MON,18.005,173,88,80,57,168,225,583,16.337,0.59,0.465,0.358,1.058,1.418,3.51,1294,2643,49.342
8,Luca Ciampini,LW,HAL/BAC,19.649,266,84,69,71,153,224,625,13.628,0.37,0.26,0.298,0.626,0.922,2.619,29,74,33.282
9,Peter Trainor,LW,RIM,19.54,201,103,56,59,159,218,573,17.068,0.493,0.268,0.292,0.755,1.047,2.94,14,35,38.707
10,Kyle Farrell,C,CAP,19.7,226,103,78,35,181,216,768,13.834,0.539,0.401,0.175,0.94,1.118,3.791,1807,3209,56.495
11,Charles Hudon,LW,CHI/BAC,18.481,172,81,78,54,159,213,757,10.428,0.47,0.462,0.335,0.932,1.263,4.578,67,152,39.9
12,Darcy Ashley,RW,HAL,19.82,176,79,79,55,158,213,482,17.428,0.5,0.512,0.34,1.012,1.352,2.85,637,1245,49.992
13,Anthony DeLuca,LW,RIM,18.843,202,101,72,36,173,209,808,12.76,0.538,0.385,0.188,0.923,1.11,4.178,48,95,49.165
14,Frederic Gamelin,C,BAC,19.306,251,46,91,70,137,207,454,9.704,0.185,0.419,0.335,0.606,0.943,2.0,2173,4134,53.299
15,Nikolaj Ehlers,LW,HAL,18.086,114,86,73,46,159,205,535,15.995,0.755,0.66,0.405,1.41,1.815,4.71,66,170,30.985
16,Alexis Loiseau,C,RIM,19.802,254,70,78,55,148,203,489,14.858,0.358,0.402,0.271,0.766,1.036,2.244,2183,4180,52.235
17,Maxime St-Cyr,C,ROU/BAC,19.709,260,118,49,36,167,203,731,16.035,0.569,0.199,0.178,0.771,0.949,3.399,2414,4569,52.56
18,Danick Martel,C,BLB,18.885,196,99,66,38,165,203,680,13.641,0.538,0.369,0.202,0.906,1.108,3.611,1094,2426,39.921
19,Nikolas Brouillard,D,DRU/QUE,18.728,258,45,76,79,121,200,548,8.249,0.215,0.35,0.285,0.564,0.846,2.451,4,7,37.5
20,Conor Garland,RW,MON,17.764,144,65,90,45,155,200,485,13.435,0.435,0.645,0.31,1.08,1.392,3.26,34,76,39.89
21,Christophe Lalonde,RW,MON/SHA,19.8,242,107,52,40,159,199,702,17.075,0.568,0.305,0.236,0.876,1.112,3.174,334,819,40.372
22,Emile Poirier,LW,GAT,18.004,195,90,64,43,154,197,507,17.945,0.518,0.363,0.225,0.882,1.11,2.795,58,143,38.58
23,Nikita Jevpalovs,LW,BLB,19.268,185,95,56,42,151,193,499,19.538,0.575,0.33,0.265,0.898,1.165,2.84,637,1192,52.598
24,Zach O'Brien,C,BAT,19.713,129,97,69,27,166,193,568,17.245,0.75,0.535,0.21,1.29,1.495,4.4,758,1461,51.89
25,Marcus Power,RW,ROU,19.422,194,57,80,55,137,192,455,12.458,0.332,0.485,0.315,0.818,1.135,2.593,588,1350,41.945
26,Ben Duffy,C,PEI,20.036,136,73,82,37,155,192,414,17.615,0.535,0.605,0.27,1.14,1.415,3.045,776,1523,51.06
27,Jean-Sebastien Dea,C,ROU,18.85,183,111,50,31,161,192,476,23.03,0.625,0.268,0.155,0.893,1.047,2.842,2139,3939,54.152
28,Jerome Verrier,RW,DRU/QUE,19.476,241,92,58,41,150,191,703,11.205,0.325,0.24,0.188,0.562,0.749,2.729,747,1461,54.035
29,Marc-Olivier Roy,C,BLB/QUE,18.986,226,86,68,37,154,191,472,17.761,0.4,0.29,0.166,0.69,0.856,2.299,562,1225,44.981
30,Christophe Lalancette,C,BAT/DRU,19.487,234,61,73,56,134,190,483,13.19,0.262,0.319,0.194,0.582,0.778,2.011,2230,4540,49.805
31,Laurent Dauphin,C,CHI,18.726,170,80,65,41,145,186,737,10.83,0.49,0.395,0.275,0.885,1.16,4.622,1501,2893,52.102
32,Valentin Zykov,RW,BAC/GAT,18.589,162,84,52,48,136,184,551,15.43,0.508,0.338,0.282,0.845,1.128,3.29,46,85,40.685
33,Mathieu Lemay,RW,ROU,18.865,250,86,58,35,144,179,704,12.801,0.448,0.27,0.172,0.718,0.89,3.291,22,69,39.798
34,Daniel Audette,C,SHE,17.611,182,60,83,35,143,178,542,11.795,0.365,0.442,0.213,0.808,1.025,3.022,1131,2700,43.52
35,Mikhail Grigorenko,C,QUE,18.585,115,85,52,41,137,178,398,21.5,0.722,0.512,0.38,1.232,1.62,3.35,1185,2243,55.525
36,William Carrier,LW,CAP/DRU,17.988,166,65,64,48,129,177,588,10.68,0.385,0.392,0.288,0.782,1.065,3.673,21,48,37.66
37,Matthew Boudreau,C,HAL/VIC/SHA/BAT,19.77,192,77,59,40,136,176,484,14.397,0.363,0.328,0.19,0.69,0.88,2.542,786,1763,45.282
38,Jeremy Gregoire,RW,CHI/BAC,18.154,220,89,58,25,147,172,672,13.058,0.515,0.366,0.15,0.881,1.031,4.008,830,1494,55.73
39,Sven Andrighetto,RW,ROU,18.987,115,67,65,40,132,172,459,14.575,0.58,0.58,0.36,1.16,1.52,4.0,162,327,49.31
40,Guillaume Gelinas,D,VDO/SHA/BLB,19.536,204,39,67,65,106,171,623,3.786,0.141,0.246,0.203,0.386,0.589,2.036,0,0,0.0
41,Anton Zlobin,LW,SHA/VDO,19.061,127,69,56,42,125,167,370,18.54,0.545,0.45,0.335,0.985,1.32,2.91,2,6,16.665
42,Philippe Sanche,RW,BLB,18.55,175,64,58,44,122,166,441,14.545,0.4,0.332,0.242,0.738,0.98,2.745,155,376,48.712
43,Alex Saulnier,C,MON,19.54,126,59,54,52,113,165,323,18.62,0.47,0.435,0.415,0.905,1.32,2.56,1770,3170,55.585
44,Allain Saulnier,RW,MON,19.54,132,57,70,35,127,162,408,14.02,0.43,0.53,0.265,0.96,1.23,3.09,266,607,43.6
45,Brandon Hynes,RW,VIC/BAT/VDO,19.502,124,78,49,35,127,162,561,13.89,0.63,0.395,0.28,1.025,1.31,4.53,7,15,46.43
46,Marc-Olivier Brouillard,RW,DRU/BAT/GAT,19.834,145,56,66,38,122,160,459,14.022,0.372,0.41,0.32,0.782,1.102,2.735,55,103,25.608
47,Nicolas Aube-Kubel,RW,VDO,17.6,190,70,50,40,120,160,467,15.152,0.435,0.302,0.228,0.735,0.965,2.7,85,195,40.478
48,Philippe Maillet,C,VIC,19.354,127,58,65,36,123,159,503,11.74,0.455,0.51,0.285,0.97,1.255,3.955,951,2006,47.405
49,Guillaume Gauthier,LW,RIM/DRU/CAP/QUE,18.135,247,69,47,43,116,159,499,14.636,0.324,0.208,0.204,0.53,0.736,2.205,367,851,43.905
50,Pierre-Maxime Poudrier,C,CHI/QUE/VDO,19.468,253,66,52,40,118,158,435,15.927,0.325,0.286,0.191,0.612,0.798,1.965,1996,3864,51.298
51,Philippe Halley,LW,VIC,19.77,133,83,49,25,132,157,428,19.975,0.625,0.37,0.19,0.995,1.18,3.215,127,289,40.64
52,Andrew Ryan,LW,HAL/BAT,19.791,221,76,47,34,123,157,489,14.501,0.335,0.229,0.142,0.57,0.706,2.306,404,916,44.732
53,Phillip Danault,C,VIC/MON,19.056,118,41,58,57,99,156,396,10.41,0.35,0.495,0.49,0.845,1.335,3.39,1481,2832,52.51
54,Daniel Sprong,RW,CHA,16.998,135,69,70,17,139,156,530,12.99,0.51,0.515,0.125,1.03,1.15,3.925,15,52,28.595
55,Francis Beauvillier,LW,RIM/ROU/SHA,19.149,195,75,44,35,119,154,553,13.228,0.373,0.248,0.198,0.625,0.825,2.825,618,1172,54.51
56,Nathan MacKinnon,C,HAL,16.54,102,63,53,37,116,153,410,15.375,0.63,0.545,0.35,1.175,1.52,4.085,996,1974,50.54
57,Anthony Richard,C,VDO,16.986,174,74,45,32,119,151,470,16.323,0.455,0.288,0.192,0.742,0.935,2.945,339,767,44.845
58,Michael Beaudry,C,VDO/BAT,19.891,134,54,49,48,103,151,366,14.625,0.405,0.365,0.36,0.77,1.13,2.735,1139,2241,50.68
59,Olivier Archambault,LW,DRU/QUE,19.828,147,68,51,32,119,151,420,16.672,0.47,0.365,0.245,0.835,1.08,2.812,383,741,51.71
60,Adam Chapman,LW,GAT/QUE/BAT/DRU,19.81,220,59,49,43,108,151,433,13.181,0.267,0.22,0.156,0.488,0.646,2.044,1030,1904,55.062
61,Josh Currie,C,PEI,19.379,136,79,40,31,119,150,475,16.385,0.58,0.295,0.23,0.875,1.105,3.495,1639,3325,49.295
62,Ryan Penny,C,MON/ROU,19.142,261,77,41,31,118,149,600,13.592,0.351,0.208,0.18,0.559,0.739,2.57,1871,3884,48.748
63,Francis Perron,LW,ROU,17.66,189,52,58,39,110,149,449,11.49,0.315,0.342,0.212,0.665,0.878,2.71,343,777,44.262
64,Matej Beran,RW,PEI/SHE/CHA,19.094,178,65,55,29,120,149,481,12.925,0.36,0.267,0.167,0.63,0.798,2.77,98,209,38.945
65,Scott Oke,LW,RIM/SNB/BAT,19.751,189,59,56,34,115,149,421,13.242,0.302,0.277,0.175,0.578,0.755,2.355,141,318,45.225
66,Michael Joly,RW,RIM,18.616,159,81,44,23,125,148,421,17.91,0.518,0.282,0.135,0.8,0.935,2.793,62,117,52.122
67,Sebastien Sylvestre,C,CHI/RIM,19.19,164,61,53,34,114,148,463,12.05,0.36,0.322,0.218,0.685,0.9,2.932,516,1070,45.002
68,Vincent Dunn,LW,VDO/GAT/RIM,18.129,205,80,39,29,119,148,495,14.639,0.43,0.179,0.144,0.614,0.756,2.902,584,1198,50.979
69,Taylor Burke,RW,GAT/MON/QUE,19.358,217,67,42,37,109,146,379,16.422,0.306,0.195,0.19,0.495,0.685,1.85,2537,4714,55.004
70,Guillaume Asselin,RW,CHI,19.516,136,60,46,39,106,145,377,17.365,0.445,0.34,0.285,0.78,1.065,2.775,20,44,45.75
71,Frederik Gauthier,C,RIM,18.64,153,56,54,34,110,144,335,16.947,0.385,0.342,0.182,0.732,0.912,2.3,1956,3942,50.968
72,Brent Andrews,C,HAL,19.904,191,56,56,32,112,144,471,12.455,0.328,0.34,0.165,0.67,0.84,2.665,1978,3540,55.43
73,Alexandre Lavoie,C,CAP/CHI/RIM,19.327,128,59,48,36,107,143,282,21.33,0.46,0.38,0.28,0.84,1.12,2.21,1169,2172,53.11
74,Cameron Darcy,C,CAP/SHE,20.04,121,56,48,37,104,141,411,13.56,0.46,0.39,0.31,0.85,1.155,3.41,1188,2240,53.025
75,Samuel Henley,C,VDO,19.392,172,65,43,33,108,141,369,18.21,0.442,0.28,0.255,0.72,0.978,2.332,253,585,42.02
76,Samuel Hodhod,LW,BLB/CHI,19.709,186,49,55,37,104,141,320,14.022,0.26,0.315,0.214,0.575,0.79,1.889,285,719,28.708
77,Matthew Bissonnette,LW,BAT,20.165,112,52,44,44,96,140,376,13.305,0.445,0.4,0.4,0.845,1.245,3.32,367,694,53.085
78,Charles-Eric Legare,RW,RIM/CAP/SHE/VIC,19.413,194,69,46,23,115,138,490,12.524,0.31,0.241,0.098,0.551,0.654,2.268,18,55,27.066
79,Kurt Etchegary,C,QUE,18.967,208,53,44,40,97,137,433,12.974,0.304,0.256,0.218,0.56,0.778,2.325,1948,3562,55.035
80,Stefan Fournier,RW,VIC/HAL,19.877,130,67,39,31,106,137,411,16.465,0.515,0.3,0.24,0.815,1.055,3.155,137,287,47.405
81,Oliver Cooper,LW,SNB/CHA,18.597,259,60,43,31,103,134,428,14.534,0.251,0.178,0.131,0.428,0.56,1.743,101,230,46.07
82,Frederick Gaudreau,C,SHA/DRU,19.626,195,50,53,31,103,134,404,12.54,0.322,0.305,0.172,0.622,0.8,2.305,1690,3154,54.388
83,Alexandre Ranger,RW,BAC/CHI,18.203,224,65,39,29,104,133,511,12.229,0.35,0.224,0.156,0.582,0.738,2.866,58,144,43.569
84,Cedric Paquette,C,BLB,18.59,126,58,41,32,99,131,445,13.595,0.46,0.325,0.255,0.785,1.04,3.53,1282,2468,51.925
85,Yannick Veilleux,RW,SHA/MON,19.061,124,61,30,40,91,131,461,13.44,0.49,0.245,0.32,0.73,1.05,3.69,9,23,37.255
86,Jean-Francois Plante,RW,RIM/VIC/SHE,19.464,181,77,21,32,98,130,475,15.845,0.485,0.12,0.182,0.61,0.792,2.805,613,1365,42.51
87,Anthony Beauregard,C,VDO,18.084,140,39,58,33,97,130,249,13.985,0.252,0.42,0.245,0.668,0.915,1.538,1178,2095,52.782
88,Mathieu Brisebois,D,ROU,19.913,132,36,50,43,86,129,272,13.295,0.275,0.38,0.33,0.655,0.98,2.06,3,4,37.5
89,Anthony Beauvillier,C,SHA,16.771,131,51,51,25,102,127,515,8.76,0.385,0.385,0.19,0.765,0.96,3.905,1574,2776,56.4
90,Raphael Lafontaine,C,GAT/BAT/SHE,18.906,257,60,40,26,100,126,579,9.874,0.229,0.158,0.084,0.386,0.47,2.301,2180,4459,49.321
91,Felix Girard,C,BAC,18.604,176,40,57,28,97,125,433,8.25,0.22,0.332,0.167,0.552,0.72,2.617,2412,3877,62.773
92,Yanni Gourde,LW,VIC,19.751,68,37,51,36,88,124,186,19.89,0.54,0.75,0.53,1.29,1.82,2.74,229,489,46.83
93,Timo Meier,RW,HAL,17.437,127,61,34,29,95,124,503,11.505,0.49,0.27,0.235,0.76,1.0,4.005,73,169,41.025
94,Alexandre Comtois,RW,QUE/SHE,19.888,136,44,46,31,90,121,345,12.915,0.32,0.34,0.23,0.66,0.89,2.54,385,784,50.23
95,Ryan Culkin,D,QUE/DRU,19.001,192,19,49,52,68,120,338,5.985,0.103,0.268,0.285,0.372,0.658,1.858,0,3,0.0
96,Petr Straka,RW,RIM/BAC,19.751,109,59,36,24,95,119,397,14.395,0.54,0.325,0.22,0.87,1.09,3.63,12,29,41.105
97,Gabriel Desjardins,LW,QUE/HAL/ROU,19.349,129,55,36,28,91,119,351,15.575,0.425,0.28,0.215,0.7,0.915,2.715,71,171,42.165
98,Tomas Hyka,RW,GAT,18.982,99,40,35,43,75,118,287,13.965,0.405,0.35,0.435,0.755,1.19,2.9,25,85,28.92
99,Yan Pavel Laplante,LW,PEI/VIC/CHA/GAT,18.523,188,56,43,19,99,118,536,10.514,0.361,0.244,0.12,0.604,0.724,3.336,296,638,45.802
100,Ryan Tesink,RW,SNB/BLB,19.57,124,43,44,30,87,117,297,14.535,0.332,0.342,0.235,0.673,0.912,2.31,120,307,39.66
101,Nick Sorensen,RW,QUE,18.147,98,56,38,23,94,117,316,19.582,0.612,0.373,0.238,0.992,1.23,3.16,60,138,31.835
102,Jonathan Huberdeau,LW,SNB,18.782,67,46,49,22,95,117,237,19.215,0.67,0.725,0.325,1.395,1.725,3.56,119,236,50.975
103,Stephen Anderson,RW,SNB/VDO/CAP,18.854,187,55,35,26,90,116,479,12.484,0.34,0.232,0.119,0.578,0.696,2.814,344,691,51.825
104,Matt Murphy,D,VDO/HAL/QUE,18.501,253,23,37,55,60,115,372,6.438,0.12,0.143,0.225,0.262,0.488,1.732,1,2,12.5
105,Dominic Talbot-Tassi,D,DRU/SHE/BLB/MON,19.703,201,26,47,41,73,114,268,8.27,0.12,0.27,0.222,0.395,0.62,1.348,0,0,0.0
106,Tommy Giroux,C,BLB/DRU,19.806,136,54,38,22,92,114,262,20.61,0.395,0.275,0.165,0.68,0.84,1.93,743,1568,47.86
107,Carl Gelinas,C,BAC,20.107,114,44,43,26,87,113,342,12.83,0.385,0.375,0.23,0.765,0.995,3.0,194,369,51.185
108,Raphael Corriveau,RW,QUE/CAP/BAT,19.47,253,60,32,21,92,113,549,11.541,0.265,0.126,0.076,0.39,0.465,2.391,22,79,26.342
109,Martin Frk,RW,HAL,18.445,90,51,41,21,92,113,265,19.13,0.545,0.415,0.22,0.96,1.175,2.855,2,12,16.67
110,Carl-Antoine Delisle,LW,VIC,19.494,192,48,38,26,86,112,410,11.605,0.262,0.217,0.135,0.48,0.612,2.252,1323,2722,48.63
111,Raphael Bussieres,LW,BAC,18.36,116,50,34,28,84,112,342,14.58,0.43,0.29,0.24,0.72,0.96,2.935,87,207,42.0
112,Martin Reway,LW,GAT,18.142,90,42,32,38,74,112,268,15.72,0.47,0.36,0.43,0.825,1.25,2.985,158,323,49.895
113,Maxim Lazarev,LW,CAP,18.129,108,49,31,31,80,111,258,17.935,0.425,0.285,0.265,0.71,0.975,2.335,16,35,43.335
114,Tim Wieser,LW,SHE,19.03,115,53,33,24,86,110,292,17.395,0.45,0.29,0.21,0.745,0.945,2.5,15,41,39.41
115,Matthew Boudens,C,DRU,19.256,170,48,27,35,75,110,374,12.562,0.29,0.165,0.213,0.452,0.665,2.268,515,1107,46.215
116,Alexandre Goulet,C,CHA,17.946,131,61,30,18,91,109,331,18.56,0.465,0.23,0.14,0.695,0.835,2.535,749,1445,52.115
117,Logan Shaw,RW,QUE/CAP,19.445,127,46,41,22,87,109,421,10.885,0.36,0.32,0.165,0.68,0.845,3.31,385,814,46.21
118,Jeremie Fraser,D,BAT/VDO,19.156,222,19,39,51,58,109,336,6.479,0.145,0.295,0.3,0.439,0.738,1.964,2,6,54.166
119,Jess Tanguy,C,BLB/RIM,19.94,94,31,40,38,71,109,303,10.56,0.32,0.415,0.41,0.735,1.145,3.06,641,1343,46.165
120,Randy Gazzola,D,HAL/VDO,19.507,135,23,38,46,61,107,294,7.515,0.17,0.28,0.34,0.45,0.79,2.175,0,1,0.0
121,Mathieu Gagnon,D,GAT/CHI/SHA,19.539,160,26,41,40,67,107,371,5.88,0.14,0.217,0.223,0.357,0.577,2.15,0,1,0.0
122,Ryan MacKinnon,D,RIM/CHA,19.153,252,20,38,49,58,107,342,5.788,0.108,0.188,0.254,0.294,0.542,1.691,0,0,0.0
123,Joey Ratelle,LW,DRU,17.72,196,61,28,18,89,107,427,13.925,0.355,0.158,0.092,0.512,0.605,2.402,21,58,36.46
