,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP
284,Jake Jackson,F,DM,18.779,42,2,5,1,7,8,53,3.77,0.05,0.12,0.02,0.17,0.19,1.26
285,Michael Floodstrand,F,USA,16.69,20,5,1,2,6,8,31,16.13,0.25,0.05,0.1,0.3,0.4,1.55
286,Biagio Lerario,F,CHI/LIN,17.983,37,5,2,1,7,8,51,9.8,0.14,0.05,0.03,0.19,0.22,1.38
287,Austin Pooley,F,OMA,17.126,46,1,1,6,2,8,40,2.5,0.02,0.02,0.13,0.04,0.17,0.87
288,Christopher Buchanan,D,FGO,19.401,38,3,3,2,6,8,46,6.52,0.08,0.08,0.05,0.16,0.21,1.21
289,Jarkko Parikka,D,DM,16.025,51,2,5,1,7,8,38,5.26,0.04,0.1,0.02,0.14,0.16,0.75
290,Connor Schmidt,D,DM,19.902,27,3,4,1,7,8,53,5.66,0.11,0.15,0.04,0.26,0.3,1.96
291,Caleb Jones,D,USA,16.277,33,0,3,4,3,7,22,0.0,0.0,0.09,0.12,0.09,0.21,0.67
292,Christian Evers,D,USA,16.31,28,1,1,5,2,7,23,4.35,0.04,0.04,0.18,0.07,0.25,0.82
293,Joe Llaurado,F,DBQ,19.499,14,2,2,3,4,7,11,18.18,0.14,0.14,0.21,0.29,0.5,0.79
294,Liam McGing,D,CHI,18.032,42,0,4,3,4,7,31,0.0,0.0,0.1,0.07,0.1,0.17,0.74
295,Luke Shiplo,D,LIN,18.295,47,1,3,3,4,7,64,1.56,0.02,0.06,0.06,0.09,0.15,1.36
296,Derek Pratt,D,WAT,19.513,56,2,2,3,4,7,45,4.44,0.04,0.04,0.05,0.07,0.12,0.8
297,Nikolas Olsson,F,SC,19.256,34,3,1,3,4,7,62,4.84,0.09,0.03,0.09,0.12,0.21,1.82
298,Matt Miller,D,YNG,18.067,56,0,3,4,3,7,72,0.0,0.0,0.05,0.07,0.05,0.12,1.29
299,Chase Hatcher,F,MUS,19.562,24,2,4,1,6,7,31,6.45,0.08,0.17,0.04,0.25,0.29,1.29
300,Michael Preston,D,IND,19.858,56,2,3,2,5,7,56,3.57,0.04,0.05,0.04,0.09,0.12,1.0
301,Haralds Egle,F,MUS,17.347,38,4,3,0,7,7,66,6.06,0.11,0.08,0.0,0.18,0.18,1.74
302,Andrew Zerban,F,WAT/FGO,17.484,21,6,1,0,7,7,36,16.67,0.29,0.05,0.0,0.33,0.33,1.71
303,Michael Booth,F,IND/CHI,17.49,38,3,3,1,6,7,51,5.88,0.08,0.08,0.03,0.16,0.18,1.34
304,Jack Stander,D,SF,18.615,49,1,5,1,6,7,47,2.13,0.02,0.1,0.02,0.12,0.14,0.96
305,Tommy Parran,D,YNG,18.109,49,5,1,1,6,7,61,8.2,0.1,0.02,0.02,0.12,0.14,1.24
306,Tory Dello,D,TC,16.584,46,2,3,2,5,7,49,4.08,0.04,0.07,0.04,0.11,0.15,1.07
307,Brennan Sanford,F,CR,18.155,33,3,2,2,5,7,48,6.25,0.09,0.06,0.06,0.15,0.21,1.45
308,Jake Bunz,D,CHI,18.448,41,3,2,2,5,7,42,7.14,0.07,0.05,0.05,0.12,0.17,1.02
309,Eduard Simun,F,SF,18.719,18,2,3,1,5,6,34,5.88,0.11,0.17,0.06,0.28,0.33,1.89
