,Name,GP,ROW,GF%,GF,GA,GD,SF%,SF,SA,SD,Sh%,Sv%,PDO
0,Kelowna Rockets,792,439,56.804,2581,2072,509,51.394,24364,21577,2787,11.506,0.909,102.376
1,Medicine Hat Tigers,792,430,52.466,2796,2312,484,49.36,25017,23171,1846,10.494,0.908,101.331
2,Calgary Hitmen,792,428,54.698,2647,2166,481,52.57,24656,21605,3051,10.715,0.901,100.822
3,Kootenay Ice,792,425,50.413,2502,2171,331,50.55,24230,22702,1528,9.429,0.905,99.86
4,Tri-City Americans,792,421,55.232,2625,2313,312,50.966,24858,23965,893,10.862,0.909,101.647
5,Brandon Wheat Kings,792,413,46.596,2806,2495,311,47.688,24836,23946,890,9.924,0.896,99.543
6,Vancouver Giants,792,413,46.214,2641,2260,381,52.144,25422,21046,4376,9.71,0.876,97.357
7,Spokane Chiefs,792,393,55.186,2575,2285,290,54.73,25535,23064,2471,10.25,0.897,99.928
8,Saskatoon Blades,792,391,54.91,2561,2455,106,51.879,24383,25068,-685,10.515,0.906,101.092
9,Kamloops Blazers,792,368,55.221,2453,2498,-45,53.094,23347,24074,-727,10.659,0.904,100.956
10,Red Deer Rebels,792,354,50.0,2176,2245,-69,49.494,23682,23488,194,8.596,0.916,100.246
11,Moose Jaw Warriors,792,347,47.037,2478,2617,-139,50.316,24514,25150,-636,9.009,0.898,98.786
12,Swift Current Broncos,792,345,48.486,2291,2469,-178,48.956,23263,24853,-1590,9.142,0.908,99.908
13,Seattle Thunderbirds,792,334,41.35,2260,2437,-177,46.172,24377,24781,-404,8.56,0.896,98.138
14,Everett Silvertips,720,321,42.12,1895,1959,-64,43.965,19813,22265,-2452,8.856,0.904,99.309
15,Lethbridge Hurricanes,792,317,44.626,2368,2666,-298,46.628,22871,24897,-2026,9.165,0.901,99.18
16,Prince Albert Raiders,792,302,46.896,2278,2693,-415,49.298,24180,25401,-1221,9.252,0.898,99.038
17,Regina Pats,792,297,44.856,2225,2701,-476,45.347,22688,25266,-2578,10.282,0.897,99.938
18,Prince George Cougars,792,266,40.2,2154,2883,-729,47.07,22792,26095,-3303,8.384,0.89,97.323
19,Portland Winterhawks,288,189,61.665,1220,859,361,56.202,11146,9280,1866,10.86,0.912,102.102
20,Edmonton Oil Kings,432,188,59.092,1348,1342,6,55.57,13680,13195,485,10.192,0.912,101.42
21,Portland Winter Hawks,504,167,35.967,1242,1817,-575,43.221,14131,16446,-2315,8.112,0.89,97.199
22,Chilliwack Bruins,360,119,45.386,953,1240,-287,45.052,9769,11701,-1932,10.138,0.901,100.157
23,Victoria Royals,144,51,44.31,448,568,-120,47.07,4147,4665,-518,10.55,0.881,98.635
