,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
0,Nick Suzuki,C,OS/GUE/OS,17.6,238,134,99,65,233,298,950,13.775,0.565,0.42,0.28,0.98,1.258,4.043,30.195,0.51,27,128,20.028,28,135,18.932,79,687,11.302,1408,2722,51.732
1,Morgan Frost,C,SSM,17.841,247,103,124,67,227,294,619,15.392,0.438,0.522,0.277,0.958,1.24,2.625,18.748,0.318,24,78,27.922,17,77,22.865,62,464,11.808,1939,3796,50.61
2,Jason Robertson,RW,KGN/KGN/NIAG,17.652,237,140,88,60,228,288,955,15.0,0.595,0.382,0.255,0.98,1.232,4.003,32.3,0.542,26,122,20.675,32,175,19.122,82,658,12.86,9,28,34.642
3,Kyle Maksimovich,LW,ER/ER/OTT,19.018,252,108,99,71,207,278,654,16.412,0.438,0.395,0.285,0.83,1.115,2.612,20.002,0.318,19,89,19.678,31,110,26.08,58,455,12.775,145,355,43.0
4,Kevin Hancock,LW/C,OS/LDN/OS,19.04,243,108,105,55,213,268,894,11.692,0.455,0.448,0.225,0.903,1.128,3.77,23.988,0.4,24,90,26.917,26,124,20.712,58,680,8.188,1741,3231,53.678
5,Adam Mascherin,LW,KIT,54.832,197,110,100,57,210,267,792,41.82,1.6800000000000002,1.53,0.8699999999999999,3.19,4.07,12.07,96.37,1.47,17,83,60.83,14,116,36.089999999999996,79,593,40.510000000000005,44,115,120.36
6,Taylor Raddysh,RW,ER/SSM/ER,55.719,183,99,106,60,205,265,655,45.51,1.65,1.75,1.0,3.4000000000000004,4.3999999999999995,10.78,94.24000000000001,1.56,26,127,62.61,16,114,43.44,57,414,40.8,87,157,166.82999999999998
7,Jordan Kyrou,RW,SAR,55.095,187,86,95,73,181,254,558,47.0,1.41,1.55,1.2000000000000002,2.96,4.15,8.940000000000001,77.21000000000001,1.25,23,93,71.96000000000001,17,95,54.74,46,370,39.37,348,696,149.28
8,Matthew Strome,LW,HAM,18.191,248,113,75,50,188,238,637,17.37,0.452,0.308,0.205,0.76,0.965,2.568,24.173,0.388,54,159,33.772,21,118,16.945,38,360,10.19,290,648,42.325
9,Tye Felhaber,LW/RW,SAG/OTT/SAG/OTT/OTT,18.613,234,115,74,41,189,230,786,14.162,0.5,0.315,0.173,0.815,0.99,3.383,22.6,0.39,22,79,28.692,25,123,19.088,68,584,11.402,333,713,47.69
10,Alex DeBrincat,RW,ER,36.486000000000004,123,116,64,48,180,228,577,40.06,1.88,1.04,0.78,2.92,3.7,9.370000000000001,89.25999999999999,1.44,18,57,63.33,23,84,54.760000000000005,75,436,34.07,281,522,107.28999999999999
11,Aaron Luchuk,C,WSR/WSR/BAR,58.339,204,105,75,47,180,227,632,49.16,1.55,1.1,0.7,2.6399999999999997,3.34,9.29,87.83,1.2999999999999998,38,128,89.03999999999999,22,95,67.5,45,409,32.66,2152,4051,158.54
12,Owen Tippett,RW,MISS/SAG/MISS,18.079,199,123,56,43,179,222,874,14.248,0.612,0.278,0.22,0.888,1.11,4.398,24.77,0.497,29,89,33.125,26,130,21.8,68,655,9.89,72,157,46.592
13,Anthony Salinitri,LW,SAR/OSH/SAR,19.032,251,112,61,48,173,221,723,15.288,0.45,0.245,0.195,0.698,0.893,2.905,24.31,0.39,32,128,24.398,26,129,19.848,54,466,11.605,1013,2017,50.223
14,Dmitry Sokolov,RW,SBY/BAR/SBY,55.266999999999996,196,128,55,37,183,220,767,49.56,1.97,0.8500000000000001,0.5700000000000001,2.82,3.38,11.780000000000001,105.87,1.63,29,87,101.41,31,108,83.49000000000001,68,572,35.480000000000004,11,27,118.57
15,Austen Keating,C,OTT,18.027,237,77,82,58,159,217,522,15.155,0.32,0.348,0.245,0.672,0.918,2.162,19.102,0.315,23,113,19.678,21,102,20.845,33,307,11.335,653,1334,48.828
16,Brandon Saigeon,C,HAM/HAM/OSH,18.755,230,95,71,50,166,216,713,11.932,0.392,0.3,0.215,0.692,0.908,3.037,19.38,0.328,19,82,22.285,22,101,19.34,54,530,9.195,1824,3525,51.328
17,Ben Jones,C,NIAG,18.052,245,80,89,47,169,216,568,13.03,0.332,0.373,0.188,0.702,0.893,2.33,17.27,0.285,33,128,25.3,19,73,28.25,28,367,6.955,2081,3986,50.502
18,Justin Brazeau,RW,NB,19.117,254,115,69,31,184,215,731,14.515,0.47,0.28,0.13,0.752,0.88,2.938,23.172,0.372,32,122,19.32,29,137,21.972,54,472,10.567,48,133,30.212
19,Lucas Chiodo,LW,BAR/BAR/OTT,18.375,241,79,79,54,158,212,429,15.763,0.312,0.318,0.22,0.632,0.852,1.743,14.728,0.238,20,79,22.578,17,82,18.778,42,268,12.75,13,42,28.175
20,Jack Studnicka,C,OSH/NIAG/OSH,18.074,237,67,87,53,154,207,604,10.488,0.295,0.368,0.233,0.662,0.898,2.597,17.09,0.295,21,90,21.555,20,110,18.325,26,404,5.79,1862,3559,51.085
21,Kirill Maksimov,RW,SAG/SAG/NIAG/NIAG/NIAG,17.792,232,93,66,47,159,206,657,13.148,0.405,0.288,0.208,0.692,0.9,2.843,18.272,0.318,18,79,22.675,20,94,19.958,55,484,10.162,15,47,38.475
22,Akil Thomas,RW/C,NIAG,13.278,177,70,70,65,140,205,491,10.965,0.305,0.302,0.28,0.61,0.89,2.09,13.995,0.24,18,67,20.602,15,80,14.315,37,344,8.085,1076,2033,38.438
23,Cliff Pu,C,LDN/LDN/KGN,54.855999999999995,191,76,72,53,148,201,494,44.76,1.2,1.12,0.8400000000000001,2.3200000000000003,3.1500000000000004,7.74,73.95,1.15,20,111,53.440000000000005,24,98,71.68,32,285,32.78,1772,3023,174.69
24,Boris Katchouk,RW/LW,SSM,54.733000000000004,187,101,66,33,167,200,503,60.23,1.63,1.07,0.54,2.7,3.25,8.11,77.48,1.26,31,103,90.14,23,94,77.16999999999999,47,306,44.67,125,262,144.68
25,Ryan Moore,LW,FLNT/HAM/FLNT,58.306000000000004,199,82,68,48,150,198,594,41.45,1.23,1.02,0.73,2.25,2.9800000000000004,8.940000000000001,72.80000000000001,1.0899999999999999,15,81,51.82,25,90,80.95,42,423,28.8,1752,3464,151.77999999999997
26,Sasha Chmelevski,C,OTT/SAR/OTT/OTT/OTT,17.77,202,91,64,42,155,197,673,14.16,0.44,0.325,0.188,0.765,0.955,3.185,19.588,0.37,17,85,19.89,23,111,21.05,51,477,11.752,1600,2801,56.793
27,Domenico Commisso,C,OSH/GUE/OSH,19.07,245,68,76,51,144,195,534,12.565,0.272,0.302,0.21,0.575,0.782,2.172,16.545,0.265,20,84,26.502,19,90,22.09,29,360,7.745,1813,3359,54.092
28,Isaac Ratcliffe,LW,GUE,18.082,232,110,45,39,155,194,728,13.893,0.458,0.188,0.165,0.645,0.808,3.048,24.14,0.4,26,122,19.398,33,136,19.605,51,470,10.348,50,138,34.662
29,Joseph Garreffa,RW,KIT,17.603,231,59,66,69,125,194,441,12.567,0.242,0.278,0.277,0.522,0.8,1.872,11.955,0.202,14,62,16.697,11,61,14.55,34,318,11.62,304,594,61.988
30,Alan Lyszczarczyk,C/LW,SBY/OS/MISS/OS,19.076,238,77,68,43,145,188,697,10.708,0.335,0.29,0.185,0.63,0.808,2.998,20.025,0.345,27,125,23.0,10,102,10.265,40,470,7.922,89,213,43.668
31,Ivan Lodnia,RW,ER/NIAG,17.542,220,74,67,46,141,187,627,12.003,0.342,0.308,0.225,0.653,0.878,3.042,19.448,0.37,18,94,17.487,18,114,17.475,38,419,9.34,426,1061,41.258
32,Will Bitten,C,FLNT/HAM/HAM,54.553,194,73,70,43,143,186,479,46.34,1.12,1.08,0.6699999999999999,2.2199999999999998,2.88,7.43,68.77,1.06,21,96,67.46000000000001,21,90,70.47,31,293,32.32,673,1503,133.2
33,Dylan Strome,C,ER,38.052,91,59,80,47,139,186,372,31.54,1.29,1.79,1.04,3.08,4.12,8.18,54.37,1.19,14,55,49.86,15,83,35.76,30,234,25.78,1093,1778,122.14
34,Ryan McLeod,C,MISS/SAG/MISS,17.485,247,59,76,51,135,186,455,12.515,0.242,0.312,0.213,0.558,0.768,1.868,12.86,0.21,7,50,13.855,11,76,17.86,41,329,11.288,1894,3779,48.25
35,Evan Bouchard,D,LDN,17.406,209,46,77,60,123,183,612,6.712,0.21,0.38,0.277,0.592,0.87,2.95,10.378,0.198,6,21,30.77,3,23,5.77,37,568,6.067,0,0,0.0
36,Ryan Merkley,D,GUE/GUE/PBO,12.816,175,36,95,52,131,183,413,6.605,0.155,0.408,0.23,0.565,0.792,1.768,7.97,0.135,0,18,0.0,3,25,7.292,33,370,6.768,1,2,25.0
37,Nikita Korostelev,RW,SAR/PBO/SAR/PBO,58.800000000000004,172,82,72,27,154,181,557,44.5,1.43,1.23,0.45999999999999996,2.66,3.12,9.67,71.03,1.23,23,74,92.37,10,67,44.269999999999996,49,416,34.260000000000005,27,74,102.81
38,Kole Sherwood,RW,LDN/FLNT/KIT,58.939,180,75,63,41,138,179,651,33.58,1.27,1.06,0.68,2.32,3.01,10.93,75.05,1.27,15,67,62.24,23,115,54.36,37,469,22.490000000000002,128,268,136.27
