,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,G/GP,A1/GP,A2/GP,P1/GP,P/GP
761,Sondre Olden,LW,ER,19.045,48,11,14,7,25,32,0.23,0.29,0.15,0.52,0.67
762,Jared Walsh,D,MISS,17.83,119,8,15,9,23,32,0.07,0.12,0.075,0.19,0.265
763,Craig Moore,C,BRA,18.835,154,13,10,9,23,32,0.085,0.068,0.065,0.152,0.215
764,Harry Young,D,WSR,19.342,111,17,7,8,24,32,0.155,0.055,0.075,0.215,0.285
765,Mathew Maione,D,NIAG/GUE,18.318,119,4,18,10,22,32,0.04,0.165,0.085,0.2,0.285
766,Alex Dzielski,D,KIT/OSH,19.665,128,4,13,15,17,32,0.03,0.1,0.12,0.13,0.25
767,Mac McDonnell,RW,ER,18.515,124,15,11,5,26,31,0.12,0.085,0.04,0.21,0.25
768,Jeffrey Gilligan,C,OS,17.899,121,12,7,12,19,31,0.105,0.055,0.1,0.16,0.26
769,Liam Maaskant,D,ER/BAR/KIT,19.644,192,10,7,14,17,31,0.048,0.039,0.095,0.086,0.181
770,Ben Dubois,LW,WSR/OS/OTT,19.624,182,15,12,4,27,31,0.128,0.081,0.04,0.209,0.254
771,Alex Lepkowski,D,SAG/BAR/OSH,19.5,228,8,6,17,14,31,0.02,0.033,0.103,0.053,0.156
772,Tyler Cuma,D,OTT,19.156,73,6,14,11,20,31,0.075,0.205,0.145,0.28,0.425
773,Jonathan Duchesne,D,OTT/SBY,17.84,176,8,9,14,17,31,0.038,0.05,0.09,0.09,0.185
774,Troy Lajeunesse,C,SAR,17.323,64,12,13,6,25,31,0.19,0.2,0.09,0.39,0.48
775,Will Bitten,C,PLY,16.184,63,15,10,6,25,31,0.24,0.16,0.1,0.4,0.49
776,Matt Luff,RW,BELV,17.364,64,9,11,11,20,31,0.14,0.17,0.17,0.31,0.48
777,Stephen Desrocher,D,OSH,18.138,109,14,9,8,23,31,0.12,0.07,0.075,0.195,0.27
778,Josh Day,D,NIAG/BRA,20.455,50,4,12,14,16,30,0.08,0.24,0.28,0.32,0.6
779,Brad Albert,D,BRA,20.029,132,5,8,17,13,30,0.04,0.06,0.125,0.1,0.225
780,Markus Soberg,RW,WSR,19.401,61,13,14,3,27,30,0.21,0.23,0.05,0.44,0.49
781,Jarred Tinordi,D,LDN,19.068,111,3,12,15,15,30,0.03,0.12,0.13,0.145,0.275
782,Luke Gazdic,LW,ER,19.143,63,20,7,3,27,30,0.32,0.11,0.05,0.43,0.48
783,Matt Clarke,D,LDN,20.438,68,12,10,8,22,30,0.18,0.15,0.12,0.32,0.44
784,Jordan Auld,D,BRA,18.162,127,3,13,14,16,30,0.025,0.105,0.11,0.125,0.235
785,Tim Billingsley,D,MISS/NIAG,19.91,148,5,11,14,16,30,0.042,0.075,0.11,0.118,0.228
786,Tim Priamo,D,GUE,20.441,65,15,9,6,24,30,0.23,0.14,0.09,0.37,0.46
787,Kain Allicock,LW,SBY/SAG,19.04,110,18,7,5,25,30,0.17,0.065,0.045,0.235,0.28
788,Justice Dundas,RW,SAR/OSH,18.623,152,16,7,7,23,30,0.092,0.042,0.048,0.138,0.188
789,Nick Malysa,D,PLY,19.493,294,3,14,13,17,30,0.011,0.051,0.036,0.062,0.096
790,Daniel Lombardi,LW,SAR/SBY,20.012,48,15,10,5,25,30,0.36,0.24,0.12,0.6,0.715
791,Michael McLeod,C,MISS,16.614,63,12,10,7,22,29,0.19,0.16,0.11,0.35,0.46
792,Adam Mascherin,LW,KIT,16.277,62,12,11,6,23,29,0.19,0.18,0.1,0.37,0.47
793,Adam Bateman,D,WSR,17.944,163,7,8,14,15,29,0.038,0.062,0.08,0.103,0.182
794,Andrew Clouthier,LW,BAR/KGN/WSR,19.62,114,10,16,3,26,29,0.042,0.08,0.028,0.122,0.15
795,Matias Sointu,LW,OTT/SBY,19.595,51,8,13,8,21,29,0.16,0.25,0.16,0.41,0.57
796,Gregory Jambrosich,C,SBY/SSM/NIAG,18.218,183,12,9,8,21,29,0.028,0.035,0.021,0.064,0.085
797,C.J. Garcia,D,BAR/GUE,17.865,136,5,10,14,15,29,0.04,0.065,0.118,0.108,0.225
798,Cory Genovese,D,KIT/SBY/ER,19.046,236,6,5,18,11,29,0.04,0.032,0.089,0.072,0.162
799,Kaspars Daugavins,LW,MISS,20.329,30,11,8,9,19,28,0.37,0.27,0.3,0.63,0.93
800,Cullen Mercer,C,PLY,16.873,136,11,13,4,24,28,0.08,0.095,0.025,0.18,0.205
801,Keigan Goetz,RW,SSM,17.522,88,10,10,8,20,28,0.08,0.095,0.09,0.175,0.26
802,Paul Bezzo,D,OS/WSR/BELV,18.389,131,3,11,14,14,28,0.02,0.085,0.105,0.105,0.21
803,Jeremy Gottzmann,C,ER/PBO,17.704,139,7,13,8,20,28,0.03,0.075,0.055,0.105,0.165
804,Martin  Paryzek,LD,OTT,19.483,62,5,8,15,13,28,0.08,0.13,0.24,0.21,0.45
805,Mitchell Porowski,LW,BRA,19.735,65,17,6,5,23,28,0.26,0.09,0.08,0.35,0.43
806,Julian Luciani,D,BELV/OTT/SAR,18.718,168,6,11,11,17,28,0.03,0.065,0.042,0.099,0.145
807,David Mazurek,C,BAR/KGN,18.311,105,11,12,5,23,28,0.16,0.088,0.04,0.248,0.288
808,Jerry D'Amigo,LW,KIT,19.571,21,12,11,5,23,28,0.57,0.52,0.24,1.1,1.33
809,Brook Hiddink,RW,NIAG/PLY/SBY,17.868,104,7,14,7,21,28,0.09,0.075,0.04,0.167,0.205
810,Logan  Schmidt,D,KIT,17.864,76,2,18,8,20,28,0.015,0.175,0.105,0.195,0.3
811,Jack Kuzmyk,D,OS/SAR/ER,18.09,230,2,9,17,11,28,0.012,0.046,0.078,0.059,0.131
812,Peter Ceresnak,D,PBO,19.135,117,9,8,10,17,27,0.075,0.07,0.08,0.145,0.23
813,Taylor Raddysh,RW,ER,16.573,58,21,5,1,26,27,0.36,0.09,0.02,0.45,0.47
814,Nathan Martine,D,GUE,20.313,68,5,14,8,19,27,0.07,0.21,0.12,0.28,0.4
815,Andrew Eastman,D,BAR,19.749,67,2,15,10,17,27,0.03,0.22,0.15,0.25,0.4
816,Jesse Messier,RW,MISS,20.532,51,13,7,7,20,27,0.25,0.14,0.14,0.39,0.53
817,Mark Petaccio,RW,OSH/SSM/OTT,17.724,144,18,3,6,21,27,0.128,0.02,0.042,0.148,0.19
818,Christopher Breen,D,SAG/ER/PBO,19.714,130,4,9,14,13,27,0.03,0.07,0.11,0.1,0.21
819,Grant Webermin,D,WSR/SAG,17.807,141,4,7,16,11,27,0.03,0.05,0.158,0.082,0.235
820,Gerome Giudice,C,SBY,19.516,55,10,10,7,20,27,0.18,0.18,0.13,0.36,0.49
821,Colt Kennedy,RW,BAR/KGN,18.132,74,10,13,4,23,27,0.075,0.21,0.03,0.285,0.315
822,Vladimir Roth,D,LDN,18.226,59,9,9,9,18,27,0.15,0.15,0.15,0.31,0.46
823,Mike Vlajkov,D,OTT,18.74,125,9,8,10,17,27,0.144,0.019,0.306,0.162,0.47
824,Noah Bushnell,RW,SAR,16.796,114,16,5,6,21,27,0.145,0.045,0.06,0.19,0.25
825,Aleksandar Mikulovich,D,NIAG,17.708,115,11,8,8,19,27,0.095,0.07,0.07,0.165,0.235
826,Charley Graaskamp,C,SSM/SBY,18.124,71,7,8,12,15,27,0.095,0.14,0.21,0.235,0.45
827,Colton White,D,SSM,16.87,124,6,10,11,16,27,0.045,0.075,0.085,0.12,0.21
828,Garrett McFadden,D,GUE,16.568,98,3,8,15,11,26,0.03,0.07,0.15,0.105,0.255
829,Bjorn Krupp,LD,BELV,18.78,185,2,14,10,16,26,0.015,0.082,0.053,0.098,0.148
830,Chadd Bauman,D,GUE/BAR,18.356,177,9,9,8,18,26,0.05,0.052,0.06,0.1,0.16
831,Mitch Fillman,RW,SAG,19.53,130,5,12,9,17,26,0.02,0.048,0.038,0.068,0.105
832,Daniel Zweep,LW,OS,19.524,221,14,7,5,21,26,0.078,0.028,0.025,0.105,0.125
833,Maxim Kitsyn,LW,MISS,18.727,32,9,12,5,21,26,0.28,0.38,0.16,0.66,0.81
834,Connor Graham,LW,OTT,18.203,108,10,10,6,20,26,0.085,0.085,0.05,0.17,0.22
835,Brian  Hughes,C,OSH,19.616,165,13,9,4,22,26,0.088,0.048,0.01,0.135,0.148
836,Chase Hatcher,RW,LDN/PBO,18.812,127,8,12,6,20,26,0.07,0.073,0.065,0.138,0.208
837,Brandon Saigeon,C,BELV,16.255,62,8,12,6,20,26,0.13,0.19,0.1,0.32,0.42
838,Mason Marchment,LW,ER,19.245,54,8,13,5,21,26,0.15,0.24,0.09,0.39,0.48
839,Dominik Masin,D,PBO,18.621,48,7,5,14,12,26,0.15,0.1,0.29,0.25,0.54
840,Jorgen Karterud,RW,SSM,19.362,45,11,8,6,19,25,0.24,0.18,0.13,0.42,0.56
841,Adam Craievich,RW,GUE/OTT,16.853,109,12,7,6,19,25,0.12,0.055,0.055,0.175,0.23
842,Alex Peters,D,PLY,17.455,116,3,10,12,13,25,0.015,0.1,0.232,0.115,0.348
843,Curtis Crombeen,D,OS/PLY,18.714,127,4,11,10,15,25,0.016,0.142,0.075,0.159,0.236
844,Joshua Chapman,D,SAR,18.828,180,2,10,13,12,25,0.008,0.065,0.089,0.069,0.158
845,Brett Hargrave,C,SAR/OS,17.166,122,11,5,9,16,25,0.09,0.04,0.075,0.135,0.205
846,Garett Hunter,C,LDN,19.159,115,10,8,7,18,25,0.095,0.06,0.06,0.155,0.215
847,Dustin Ekelman,LW,MISS,19.966,119,11,8,6,19,25,0.09,0.065,0.05,0.155,0.21
848,Patrick Sanvido,D,WSR,17.466,183,4,8,13,12,25,0.03,0.038,0.08,0.068,0.15
849,Tim Gettinger,LW,SSM,16.422,54,10,5,10,15,25,0.19,0.09,0.19,0.28,0.46
850,Ryan Mantha,D,NIAG,18.243,52,10,9,6,19,25,0.19,0.17,0.12,0.37,0.48
851,Brian  Birkhoff,LD,OTT/PBO,17.82,98,1,12,11,13,24,0.01,0.125,0.115,0.135,0.245
852,Johnny Corneil,LW,NIAG,16.582,91,8,8,8,16,24,0.09,0.08,0.08,0.17,0.25
853,Zach Tatrn,LW,PBO,18.835,112,8,8,8,16,24,0.073,0.078,0.073,0.148,0.215
854,Kyle Maksimovich,LW,ER,16.518,56,6,12,6,18,24,0.11,0.21,0.11,0.32,0.43
855,Kris Grant,D,ER,17.809,108,4,10,10,14,24,0.035,0.095,0.09,0.13,0.22
856,Kris Bennett,C,SAG,17.942,71,8,9,7,17,24,0.065,0.075,0.055,0.14,0.195
857,Cameron Odam,D,SSM/KGN,19.473,151,5,11,8,16,24,0.04,0.065,0.053,0.105,0.158
858,Alex Racino,LW,SBY/SAG,17.782,70,15,5,4,20,24,0.215,0.08,0.045,0.295,0.34
859,Michael McGurk,D,MISS/OS,19.941,128,3,9,12,12,24,0.025,0.07,0.095,0.09,0.185
860,Victor Terreri,C,OSH/NIAG/LDN/BAR,19.062,149,10,7,7,17,24,0.09,0.056,0.041,0.152,0.196
861,Denis Hollenstein,LW,GUE,18.919,56,12,8,4,20,24,0.21,0.14,0.07,0.36,0.43
862,Micky Sartoretto,RW,KIT/SAG,18.778,150,12,8,4,20,24,0.068,0.048,0.025,0.12,0.145
863,Connor Sills,RW,PLY,18.572,165,13,8,3,21,24,0.082,0.052,0.015,0.135,0.148
864,Stephen Blunden,LW,OTT/BELV,19.447,63,8,12,3,20,23,0.13,0.19,0.05,0.32,0.37
865,Kyle Bochek,C,SAG/KGN,20.515,67,16,4,3,20,23,0.24,0.06,0.04,0.3,0.34
866,Matt Piva,C,NIAG,20.113,28,12,8,3,20,23,0.43,0.29,0.11,0.71,0.82
867,Derek Lanoue,RW,WSR,18.947,94,8,10,5,18,23,0.08,0.105,0.05,0.185,0.23
868,Reid McNeill,D,LDN/BAR,18.63,166,7,5,11,12,23,0.048,0.035,0.088,0.082,0.167
869,Scott  Teskey,RW,MISS/KIT,18.493,158,11,7,5,18,23,0.279,0.019,0.018,0.302,0.319
870,Ben Alavie,D,BRA,19.123,102,2,11,10,13,23,0.02,0.105,0.1,0.125,0.225
871,Tyler Boston,C,GUE,16.728,56,10,10,3,20,23,0.09,0.09,0.025,0.18,0.21
872,Aaron Luchuk,C,WSR,16.946,70,10,10,3,20,23,0.075,0.075,0.02,0.15,0.17
873,Victor Mete,D,LDN,16.274,58,7,11,5,18,23,0.12,0.19,0.09,0.31,0.4
874,Marcus Crawford,D,SAG,17.487,58,2,7,14,9,23,0.03,0.12,0.24,0.16,0.4
875,Kyle Neuber,RW,MISS/SAR,19.986,119,14,5,3,19,22,0.115,0.04,0.025,0.16,0.185
876,Tyler Mort,D,KGN/BAR/NIAG,19.168,186,2,8,12,10,22,0.008,0.06,0.145,0.064,0.209
877,Taylor Davis,D,OTT,18.564,117,5,7,10,12,22,0.038,0.062,0.09,0.1,0.19
878,Adam Bignell,D,BELV,19.542,264,1,13,8,14,22,0.015,0.056,0.034,0.072,0.1
879,Robert  Kousal,LW,OSH,17.942,62,8,7,7,15,22,0.13,0.11,0.11,0.24,0.35
880,Connor Jarvis,LW,BRA/NB,18.178,169,6,10,6,16,22,0.048,0.072,0.042,0.115,0.158
881,Devon Paliani,C,SAG/SBY,17.931,64,8,7,6,15,21,0.12,0.11,0.09,0.23,0.33
882,Marc Stevens,C,GUE,17.792,119,6,4,11,10,21,0.042,0.023,0.095,0.065,0.162
883,Travis Barron,LW,OTT,16.08,64,12,6,3,18,21,0.19,0.09,0.05,0.28,0.33
884,Jalen Chatfield,D,WSR,18.333,60,1,6,14,7,21,0.02,0.1,0.23,0.12,0.35
885,Patrick White,C,SAR,18.088,80,15,5,1,20,21,0.185,0.06,0.01,0.24,0.255
886,Marc Franchini,C,OS,18.571,48,8,8,5,16,21,0.17,0.17,0.1,0.33,0.44
887,Jonathan Johansson,C,BRA,19.212,46,7,10,4,17,21,0.15,0.22,0.09,0.37,0.46
888,Michael Neal,LW,BELV/SAR,19.453,66,9,6,6,15,21,0.14,0.09,0.09,0.23,0.32
889,Nick Trecapelli,D,SAG/SBY/PBO,18.222,151,3,7,11,10,21,0.012,0.048,0.058,0.06,0.115
890,Mackenzie Braid,D,BAR/SBY/SSM/WSR,18.913,133,6,8,7,14,21,0.045,0.103,0.053,0.15,0.198
891,Jacob  Graves,D,MISS/KGN,18.594,212,2,7,12,9,21,0.008,0.034,0.069,0.041,0.11
892,Michael  Hasson,C,NIAG/BRA/KIT,19.006,136,7,8,6,15,21,0.028,0.026,0.02,0.054,0.071
893,Nikita Yazkov,LW,WSR,18.05,68,6,8,7,14,21,0.045,0.06,0.055,0.105,0.16
894,Norm Ezekiel,RW,BAR,19.999,124,9,7,4,16,20,0.075,0.06,0.035,0.13,0.165
895,Daniel  Poliziani,D,GUE,18.84,116,3,11,6,14,20,0.025,0.095,0.055,0.12,0.17
896,Braeden Corbeth,C,BELV,18.504,111,8,6,6,14,20,0.035,0.025,0.028,0.06,0.088
897,Jordan Carroll,LW,SSM,17.847,107,15,4,1,19,20,0.135,0.035,0.01,0.175,0.185
898,Nick Pageau,D,BELV,20.688,61,3,8,9,11,20,0.05,0.13,0.15,0.18,0.33
899,Carlos Amestoy,C,SAG,19.978,39,10,6,4,16,20,0.255,0.195,0.17,0.45,0.62
900,Rudy Sulmonte,RW,SSM,18.577,49,12,3,5,15,20,0.24,0.06,0.1,0.31,0.41
901,Jonathan Ang,C,PBO,16.622,59,10,5,5,15,20,0.17,0.08,0.08,0.25,0.34
902,Chad Lowry,D,PBO/KIT,18.892,133,5,9,6,14,20,0.032,0.068,0.05,0.1,0.15
903,Steve Lock,C,KIT,18.766,57,6,8,6,14,20,0.11,0.14,0.11,0.25,0.35
904,Mack Lemmon,RW,BELV/NIAG/KGN,18.8,167,10,4,6,14,20,0.03,0.109,0.019,0.14,0.159
905,Gilbert Gabor,LW,OS,17.513,109,10,3,7,13,20,0.095,0.03,0.065,0.12,0.19
906,Nick Zottl,D,MISS,18.928,120,5,5,9,10,19,0.025,0.025,0.08,0.05,0.13
907,Andrew Ming,LW,BELV,17.757,110,5,10,4,15,19,0.045,0.09,0.04,0.135,0.175
908,Josh Wesley,D,PLY,17.934,131,6,6,7,12,19,0.045,0.045,0.05,0.095,0.145
909,Nathan Glass,D,ER/SAG,18.837,133,2,6,11,8,19,0.055,0.025,0.09,0.078,0.17
910,Patrik Andersson,D,KIT,19.467,55,0,8,11,8,19,0.0,0.15,0.2,0.15,0.35
911,Anthony Salinitri,LW,SSM/SAR,16.531,50,8,7,4,15,19,0.16,0.14,0.08,0.3,0.38
912,Givani Smith,RW,BAR/GUE,16.548,61,7,12,0,19,19,0.11,0.2,0.0,0.31,0.31
913,Luke Kirwan,LW,WSR,16.978,59,7,9,3,16,19,0.12,0.15,0.05,0.27,0.32
914,Eddy Leitans-Rinke,RW,SBY,18.141,55,9,2,8,11,19,0.16,0.04,0.15,0.2,0.35
915,Jacob Jammes,LW,LDN/MISS,17.294,69,4,7,8,11,19,0.06,0.12,0.125,0.18,0.3
916,Justin Brack,C,OS,18.112,124,7,8,4,15,19,0.06,0.065,0.03,0.125,0.16
917,Zachary Core,D,SAR,17.644,119,2,10,6,12,18,0.015,0.062,0.05,0.078,0.122
918,Tyler MacArthur,D,OS,16.81,120,1,6,11,7,18,0.01,0.05,0.09,0.06,0.15
919,Corbin Crawford,D,KGN,19.127,64,6,3,9,9,18,0.09,0.05,0.14,0.14,0.28
920,Ron Soucie,D,WSR/SAR,18.454,138,3,6,9,9,18,0.012,0.028,0.05,0.04,0.09
921,Daniel Pachis,LW,SAG/OSH,17.782,76,8,8,2,16,18,0.115,0.09,0.02,0.2,0.22
922,Roy Radke,RW,BAR,17.764,64,9,6,3,15,18,0.14,0.09,0.05,0.23,0.28
923,Jacob Lalonde,LW,WSR/KIT,20.688,66,7,7,4,14,18,0.11,0.11,0.06,0.21,0.27
924,Dylan Di Perna,D,KGN/KIT,17.638,156,6,10,2,16,18,0.045,0.068,0.015,0.105,0.12
925,Frank Schumacher,D,SAG/SBY/NIAG,18.051,87,6,3,9,9,18,0.124,0.016,0.339,0.141,0.48
926,Christian Stevens,D,KIT,17.53,99,2,9,6,11,17,0.02,0.09,0.065,0.11,0.175
927,Trevor Petersen,LW,NIAG,17.435,103,8,5,4,13,17,0.07,0.05,0.04,0.125,0.165
928,Anthony Cortellessa,LW,WSR/ER,17.831,96,8,4,5,12,17,0.048,0.015,0.053,0.062,0.112
929,Chad Thibodeau,LW,SSM/SBY,18.754,130,5,7,5,12,17,0.035,0.048,0.05,0.082,0.132
930,Robert Bortuzzo,D,KIT,19.497,23,1,10,6,11,17,0.04,0.43,0.26,0.48,0.74
931,Justin Rasmussen,C,MISS,18.77,80,8,3,6,11,17,0.045,0.025,0.022,0.07,0.092
932,Frankie Santini,D,OS/SBY,20.132,56,2,8,7,10,17,0.04,0.14,0.12,0.18,0.3
933,Branden Morris,D,KIT/BELV,18.584,108,2,5,10,7,17,0.01,0.04,0.073,0.05,0.122
934,Andreas Tsogkas,RW,BRA,17.59,96,3,8,6,11,17,0.03,0.085,0.065,0.11,0.17
935,Alex Carnevale,LW,BELV/SAR,17.92,140,6,6,5,12,17,0.038,0.038,0.032,0.075,0.112
936,Thomas Middup,LW,NIAG,18.568,56,9,5,3,14,17,0.16,0.09,0.05,0.25,0.3
937,Tucker Hunter,C,LDN,18.997,81,7,6,4,13,17,0.075,0.05,0.07,0.12,0.195
938,Josh Bemis,D,PLY,18.368,126,4,7,6,11,17,0.035,0.055,0.05,0.085,0.135
939,Ivan Kashtanov,LW,SBY,17.555,67,6,8,3,14,17,0.09,0.12,0.04,0.21,0.25
940,Ben Fanjoy,C,OTT,16.85,54,9,6,2,15,17,0.085,0.06,0.02,0.145,0.165
941,Chris  Martenet,D,LDN,17.972,64,7,1,8,8,16,0.11,0.02,0.12,0.12,0.25
942,Hampus Olsson,RW,NB,19.406,62,4,7,5,11,16,0.06,0.11,0.08,0.18,0.26
943,Brandon Crawley,D,LDN,17.616,64,3,8,5,11,16,0.05,0.12,0.08,0.17,0.25
944,Noah Carroll,D,GUE,16.786,62,2,8,6,10,16,0.03,0.13,0.1,0.16,0.26
945,Anthony Donati,D,PLY/SAR,18.49,64,6,6,4,12,16,0.09,0.095,0.055,0.185,0.24
946,Nick  Halagian,LW,SSM,17.115,108,9,4,3,13,16,0.075,0.035,0.025,0.11,0.135
