,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,FOW,FOT,FOW%
0,Philip-Michael Devos,C,GAT/VIC,20.389,68,47,36,31,83,114,192,24.48,0.69,0.53,0.46,1.22,1.68,2.82,964,1763,54.68
1,Gabriel Levesque,C,BAT,20.315,68,37,52,18,89,107,160,23.12,0.54,0.76,0.26,1.31,1.57,2.35,550,1154,47.66
2,Jonathan Huberdeau,LW,SNB,17.282,67,43,34,28,77,105,202,21.29,0.64,0.51,0.42,1.15,1.57,3.01,114,279,40.86
3,Sean Couturier,C,DRU,17.772,58,36,37,23,73,96,223,16.14,0.62,0.64,0.4,1.26,1.66,3.84,778,1430,54.41
4,Ondrej Palat,LW,DRU,19.469,61,39,33,24,72,96,263,14.83,0.64,0.54,0.39,1.18,1.57,4.31,17,48,35.42
5,Jonathan Audy-Marchessault,C,QUE,19.718,68,40,37,18,77,95,265,15.09,0.59,0.54,0.26,1.13,1.4,3.9,251,448,56.03
6,Zack Phillips,C,SNB,17.881,67,38,33,24,71,95,230,16.52,0.57,0.49,0.36,1.06,1.42,3.43,434,968,44.83
7,Alex Saulnier,C,MON,18.04,65,25,30,30,55,85,139,17.99,0.38,0.46,0.46,0.85,1.31,2.14,782,1481,52.8
8,Etienne Brodeur,LW,LEW,19.519,68,53,18,12,71,83,239,22.18,0.78,0.26,0.18,1.04,1.22,3.51,11,31,35.48
9,Jonathan Hazen,RW,VDO,20.244,62,41,23,19,64,83,214,19.16,0.66,0.37,0.31,1.03,1.34,3.45,34,107,31.78
10,Joel Champagne,C,QUE,20.641,68,24,32,26,56,82,197,12.18,0.35,0.47,0.38,0.82,1.21,2.9,878,1434,61.23
11,Michael Kirkpatrick,C,SNB,20.354,63,31,35,16,66,82,238,13.03,0.49,0.56,0.25,1.05,1.3,3.78,480,882,54.42
12,Guillaume Asselin,RW,CHI,18.015,66,35,28,19,63,82,162,21.6,0.53,0.42,0.29,0.95,1.24,2.45,3,10,30.0
13,Ben Duffy,C,PEI,18.536,68,37,24,20,61,81,190,19.47,0.54,0.35,0.29,0.9,1.19,2.79,374,790,47.34
14,Marek Hrivik,LW,MON,19.05,59,38,19,22,57,79,250,15.2,0.64,0.32,0.37,0.97,1.34,4.24,29,51,56.86
15,Jean-Gabriel Pageau,C,GAT,17.843,67,32,31,16,63,79,187,17.11,0.48,0.46,0.24,0.94,1.18,2.79,800,1431,55.9
16,Felix Lefrancois,C,RIM,20.178,65,26,28,21,54,75,218,11.93,0.4,0.43,0.32,0.83,1.15,3.35,581,1123,51.74
17,Dave Labrecque,C,SHA,20.633,58,27,25,23,52,75,205,13.17,0.47,0.43,0.4,0.9,1.29,3.53,626,1042,60.08
18,Benjamin Casavant,LW,SHA,19.65,68,31,24,18,55,73,193,16.06,0.46,0.35,0.26,0.81,1.07,2.84,10,30,33.33
19,Allain Saulnier,RW,MON,18.04,68,31,25,15,56,71,176,17.61,0.46,0.37,0.22,0.82,1.04,2.59,148,306,48.37
20,Ryan Kavanagh,D,SHA/RIM,19.59,68,17,30,23,47,70,209,8.13,0.25,0.44,0.34,0.69,1.03,3.07,1,2,50.0
21,Andrej Nestrasil,RW,PEI,19.562,58,19,29,22,48,70,160,11.88,0.33,0.5,0.38,0.83,1.21,2.76,3,11,27.27
22,Philippe Maillet,C,VIC,17.854,67,31,24,14,55,69,184,16.85,0.46,0.36,0.21,0.82,1.03,2.75,652,1382,47.18
23,Sebastien Trudeau,RW,BAT,19.146,68,33,21,15,54,69,185,17.84,0.49,0.31,0.22,0.79,1.01,2.72,7,34,20.59
24,Yanni Gourde,LW,VIC,18.752,68,26,21,21,47,68,182,14.29,0.38,0.31,0.31,0.69,1.0,2.68,78,246,31.71
25,Alex Belzile,RW,RIM,19.042,64,27,19,21,46,67,130,20.77,0.42,0.3,0.33,0.72,1.05,2.03,362,655,55.27
26,Brandon Hynes,RW,VIC,18.002,66,33,22,12,55,67,303,10.89,0.5,0.33,0.18,0.83,1.02,4.59,2,2,100.0
27,Phillip Danault,C,VIC,17.555,64,23,21,23,44,67,158,14.56,0.36,0.33,0.36,0.69,1.05,2.47,304,682,44.57
28,Jonathan Lessard,RW,BAT,19.562,62,37,14,15,51,66,198,18.69,0.6,0.23,0.24,0.82,1.06,3.19,33,80,41.25
29,Zach O'Brien,C,BAT,18.213,58,29,22,14,51,65,174,16.67,0.5,0.38,0.24,0.88,1.12,3.0,59,111,53.15
30,Stanislav Galiev,RW,SNB,18.662,64,37,16,12,53,65,214,17.29,0.58,0.25,0.19,0.83,1.02,3.34,11,27,40.74
31,Tye McGinn,LW,GAT,20.132,42,31,21,12,52,64,135,22.96,0.74,0.5,0.29,1.24,1.52,3.21,31,67,46.27
32,Michael Bournival,C,SHA,18.292,56,28,18,18,46,64,212,13.21,0.5,0.32,0.32,0.82,1.14,3.79,531,976,54.41
33,Trevor Parkes,RW,MTL,19.343,60,33,17,12,50,62,211,15.64,0.55,0.28,0.2,0.83,1.03,3.52,14,34,41.18
34,Charles Hudon,LW,CHI,16.23,63,23,24,13,47,60,160,14.37,0.37,0.38,0.21,0.75,0.95,2.54,34,71,47.89
35,David Rose,RW,MTL,19.089,62,22,19,19,41,60,161,13.66,0.35,0.31,0.31,0.66,0.97,2.6,20,43,46.51
36,Steven Anthony,LW,SNB,19.488,61,23,21,16,44,60,146,15.75,0.38,0.34,0.26,0.72,0.98,2.39,219,428,51.17
37,Ryan Bourque,LW,QUE,19.699,49,26,18,15,44,59,154,16.88,0.53,0.37,0.31,0.9,1.2,3.14,6,22,27.27
38,Michael Chaput,C,LEW,18.434,62,25,18,16,43,59,176,14.2,0.4,0.29,0.26,0.69,0.95,2.84,746,1324,56.34
39,Louis Leblanc,C,MTL,19.636,51,26,24,8,50,58,243,10.7,0.51,0.47,0.16,0.98,1.14,4.76,484,953,50.79
40,Frederick Roy,RW,QUE,19.551,65,26,20,12,46,58,131,19.85,0.4,0.31,0.18,0.71,0.89,2.02,238,479,49.69
41,Tomas Jurco,RW,SNB,17.714,60,31,13,12,44,56,179,17.32,0.52,0.22,0.2,0.73,0.93,2.98,6,10,60.0
42,Viktor Hertzberg,RW,MTL/CAP,19.398,48,24,19,13,43,56,160,15.0,0.5,0.4,0.27,0.9,1.17,3.33,12,29,41.38
43,Jerome Gauthier-Leduc,D,RIM,18.128,61,18,28,10,46,56,167,10.78,0.3,0.46,0.16,0.75,0.92,2.74,0,0,0.0
44,Tomas Filippi,RW,QUE,18.366,62,27,11,18,38,56,167,16.17,0.44,0.18,0.29,0.61,0.9,2.69,5,7,71.43
