,Name,GP,ROW,GF%,GF,GA,GD,SF%,SF,SA,SD,Sh%,Sv%,PDO
0,London Knights,1088,684,56.289,4431,3182,1249,49.755,37396,35520,1876,11.648,0.91,102.588
1,Kitchener Rangers,1088,599,52.015,3915,3365,550,50.208,38949,34865,4084,10.845,0.901,100.968
2,Sault Ste. Marie Greyhounds,1088,548,59.741,3867,3586,281,53.54,36003,34700,1303,12.166,0.905,102.662
3,Barrie Colts,1088,547,52.316,3920,3496,424,50.207,36795,36512,283,11.242,0.896,100.77
4,Windsor Spitfires,1088,534,51.151,3904,3729,175,49.122,37478,35362,2116,10.732,0.902,100.954
5,Guelph Storm,1088,518,44.481,3655,3584,71,46.834,35699,35767,-68,9.645,0.895,99.096
6,Owen Sound Attack,1088,514,55.383,3748,3599,149,56.796,39017,34885,4132,10.364,0.89,99.293
7,Ottawa 67's,1086,496,46.915,3846,3805,41,48.976,35654,37142,-1488,10.414,0.887,99.067
8,Oshawa Generals,1088,473,51.186,3744,3875,-131,49.727,36902,35896,1006,10.381,0.901,100.447
9,Erie Otters,1088,465,52.718,3769,4020,-251,52.755,35750,36078,-328,11.313,0.886,99.969
10,Sarnia Sting,1088,462,53.816,3694,3961,-267,48.683,35209,37299,-2090,12.058,0.904,102.376
11,Kingston Frontenacs,1088,454,52.463,3614,3955,-341,51.044,36664,37851,-1187,9.694,0.91,100.633
12,Plymouth Whalers,884,454,46.958,3097,2736,361,46.409,29045,30267,-1222,9.459,0.91,100.439
13,Peterborough Petes,1088,451,46.54,3475,4026,-551,46.817,35258,39206,-3948,10.217,0.897,99.888
14,Saginaw Spirit,1088,440,44.89,3499,3892,-393,49.2,35512,37724,-2212,8.977,0.892,98.116
15,Belleville Bulls,882,386,45.878,2704,2907,-203,47.651,28268,30812,-2544,8.751,0.906,99.316
16,Sudbury Wolves,1088,369,40.474,3216,4125,-909,45.009,33830,38581,-4751,9.364,0.889,98.18
17,Brampton Battalion,748,362,50.986,2370,2230,140,55.962,25475,22352,3123,8.137,0.902,98.269
18,Niagara IceDogs,748,340,49.003,2594,2523,71,48.843,25592,24710,882,9.875,0.902,100.1
19,Mississauga IceDogs,340,170,51.171,1149,1146,3,52.869,11874,11061,813,10.159,0.892,99.356
20,Mississauga Steelheads,408,157,49.428,1212,1425,-213,50.802,12746,13641,-895,10.087,0.895,99.518
21,Toronto St. Michael's Majors,340,154,44.514,1071,1206,-135,45.956,11057,12010,-953,9.961,0.895,99.424
22,North Bay Battalion,340,148,47.396,1086,1093,-7,50.913,11074,10024,1050,9.343,0.894,98.703
23,Mississauga St. Michael's Majors,272,127,50.076,837,832,5,49.318,8846,8629,217,9.358,0.908,100.195
24,Hamilton Bulldogs,204,95,51.17,681,685,-4,52.252,6546,6241,305,10.165,0.894,99.52
25,Flint Firebirds,204,65,41.052,600,828,-228,49.01,6542,6782,-240,8.725,0.879,96.512
26,Mississauga St. Michaels Majors,68,49,62.75,283,168,115,58.69,2543,1790,753,10.78,0.908,101.6
