"#","Name","Pos","Team","Age","GP","G","A1","A2","P1","P","Sh","Sh%","G/GP","A1/GP","A2/GP","P1/GP","P/GP","Sh/GP","xG","xG/GP","eTOI","eTOI/GP","eG/60","eA1/60","eA2/60","eP1/60","eP/60","eSh/60","exG/60","QoT TOI","QoC TOI","QoT GF%","QoC GF%","GF%Rel","GF%","GF","GA","HD G","HD Sh","HD Sh%","MD G","MD Sh","MD Sh%","LD G","LD Sh","LD Sh%","FOW","FOT","FOW%"
"","William Ennis","D","OSH","18.292","55","2","5","6","7","13","53","3.77","0.04","0.09","0.11","0.13","0.24","0.96","1.91","0.03","903.68","16.43","0.13","0.33","0.4","0.46","0.86","3.52","0.13","13.46","14.19","53.61","48.16","1.6","56.44","57","44","0","0","0.0","0","3","0.0","2","50","4.0","0","0","0.0"
"","Theo Calvas","D","NB/SAR","20.11","51","1","6","6","7","13","65","1.54","0.02","0.12","0.12","0.14","0.25","1.27","2.06","0.04","863.31","16.93","0.07","0.42","0.42","0.49","0.9","4.52","0.14","14.11","14.1","46.38","51.34","-2.78","46.24","43","50","0","0","0.0","0","0","0.0","1","65","1.54","0","0","0.0"
"","Johnathon Schaefer","D","NIAG","20.449","47","2","5","5","7","12","60","3.33","0.04","0.11","0.11","0.15","0.26","1.28","1.89","0.04","754.33","16.05","0.16","0.4","0.4","0.56","0.95","4.77","0.15","13.67","14.11","58.55","48.96","-4.61","57.89","44","32","0","1","0.0","0","1","0.0","2","58","3.45","1","2","50.0"
"","Alexey Lipanov","C","KIT","19.08","47","3","4","5","7","12","47","6.38","0.06","0.09","0.11","0.15","0.26","1.0","3.76","0.08","581.11","12.36","0.31","0.41","0.52","0.72","1.24","4.85","0.39","14.56","14.01","42.74","49.34","-9.06","35.38","23","42","0","3","0.0","1","9","11.11","2","35","5.71","201","420","47.86"
"","Isaac Langdon","C","KIT","16.318","53","3","4","4","7","11","39","7.69","0.06","0.08","0.08","0.13","0.21","0.74","2.84","0.05","542.75","10.24","0.33","0.44","0.44","0.77","1.22","4.31","0.31","14.1","13.97","40.43","51.25","-20.63","27.08","13","35","1","7","14.29","1","5","20.0","1","27","3.7","188","373","50.4"
"","Brett Jacklin","RW","SSM","18.566","43","3","4","3","7","10","38","7.89","0.07","0.09","0.07","0.16","0.23","0.88","3.42","0.08","406.28","9.45","0.44","0.59","0.44","1.03","1.48","5.61","0.5","13.71","13.57","53.13","49.77","-8.21","46.88","15","17","2","7","28.57","0","4","0.0","1","27","3.7","5","8","62.5"
"","Liam Stevens","LW","HAM","19.398","52","5","2","3","7","10","44","11.36","0.1","0.04","0.06","0.13","0.19","0.85","3.65","0.07","515.28","9.91","0.58","0.23","0.35","0.82","1.16","5.12","0.43","13.4","14.03","41.52","50.1","-2.87","40.91","18","26","0","4","0.0","2","9","22.22","3","31","9.68","8","12","66.67"
"","Luke Drewitt","LW","KGN","16.967","40","1","6","2","7","9","20","5.0","0.03","0.15","0.05","0.17","0.23","0.5","2.04","0.05","432.4","10.81","0.14","0.83","0.28","0.97","1.25","2.78","0.28","13.46","13.93","34.0","52.83","-9.42","24.39","10","31","0","3","0.0","0","4","0.0","1","13","7.69","90","165","54.55"
"","Jackson Doherty","LW","OS","18.065","53","4","3","2","7","9","48","8.33","0.08","0.06","0.04","0.13","0.17","0.91","4.43","0.08","576.77","10.88","0.42","0.31","0.21","0.73","0.94","4.99","0.46","13.89","14.04","46.22","52.11","-7.54","39.29","22","34","1","6","16.67","2","6","33.33","1","36","2.78","1","6","16.67"
"","Lucas Rowe","RW","FLNT/KGN/LDN","17.09","44","2","5","2","7","9","42","4.76","0.05","0.11","0.05","0.16","0.2","0.95","3.25","0.07","541.76","12.31","0.22","0.55","0.22","0.78","1.0","4.65","0.36","13.35","13.83","31.62","54.85","-19.29","17.46","11","52","0","6","0.0","0","6","0.0","2","30","6.67","92","251","36.65"
"","Zachary Jackson","LW","HAM","19.677","39","2","5","1","7","8","42","4.76","0.05","0.13","0.03","0.18","0.21","1.08","4.01","0.1","397.95","10.2","0.3","0.75","0.15","1.06","1.21","6.33","0.6","13.3","14.01","42.26","52.06","-10.94","34.38","11","21","1","8","12.5","1","9","11.11","0","25","0.0","120","278","43.17"
"","Jack Phibbs","LW","FLNT","19.532","51","3","4","1","7","8","52","5.77","0.06","0.08","0.02","0.14","0.16","1.02","4.25","0.08","510.14","10.0","0.35","0.47","0.12","0.82","0.94","6.12","0.5","14.25","13.87","38.73","52.75","-18.37","26.53","13","36","0","11","0.0","1","5","20.0","2","36","5.56","111","280","39.64"
"","Anthony Tabak","LW","SAR/SBY","16.775","48","1","6","1","7","8","44","2.27","0.02","0.12","0.02","0.15","0.17","0.92","2.97","0.06","479.7","9.99","0.13","0.75","0.13","0.88","1.0","5.5","0.37","12.98","13.86","52.98","49.46","-3.65","48.84","21","22","0","5","0.0","0","7","0.0","1","32","3.12","124","282","43.97"
"","Sahil Panwar","C","LDN","16.636","25","4","3","0","7","7","25","16.0","0.16","0.12","0.0","0.28","0.28","1.0","1.78","0.07","227.02","9.08","1.06","0.79","0.0","1.85","1.85","6.61","0.47","13.14","13.49","56.04","47.64","-3.3","52.63","10","9","0","2","0.0","2","5","40.0","2","18","11.11","8","19","42.11"
"","Nico Gross","D","OSH","18.637","45","2","4","9","6","15","39","5.13","0.04","0.09","0.2","0.13","0.33","0.87","2.12","0.05","657.14","14.6","0.18","0.37","0.82","0.55","1.37","3.56","0.19","13.48","14.2","53.43","48.4","2.02","57.58","38","28","1","2","50.0","0","1","0.0","1","36","2.78","0","0","0.0"
"","Vladislav Kolyachonok","D","FLNT/LDN","17.306","42","2","4","9","6","15","61","3.28","0.05","0.1","0.21","0.14","0.36","1.45","3.24","0.08","747.12","17.79","0.16","0.32","0.72","0.48","1.2","4.9","0.26","13.97","14.11","41.54","52.66","5.76","45.36","44","53","1","4","25.0","0","7","0.0","1","50","2.0","0","0","0.0"
