,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP
836,Judd Peterson,RW,ROC,24.967,2,1,0,0,1,1,1,100.0,0.5,0.0,0.0,0.5,0.5,0.5
837,Jared VanWormer,RW,COL/MIL,26.021,5,0,1,0,1,1,3,0.0,0.0,0.2,0.0,0.2,0.2,0.6
838,Vladislav Kamenev,C,COL,22.092,2,0,0,1,0,1,3,0.0,0.0,0.0,0.5,0.0,0.5,1.5
839,Dennis Everberg,RW,MB,26.708,11,0,0,1,0,1,11,0.0,0.0,0.0,0.09,0.0,0.09,1.0
840,Mason Mitchell,LW,HER,24.258,11,0,0,1,0,1,7,0.0,0.0,0.0,0.09,0.0,0.09,0.64
841,Adam Plant,D,LAV,23.354,14,0,0,1,0,1,12,0.0,0.0,0.0,0.07,0.0,0.07,0.86
842,Justin Wade,D,CLE,24.425,8,0,0,1,0,1,4,0.0,0.0,0.0,0.12,0.0,0.12,0.5
843,Logan Pyett,D,HER,30.306,10,0,0,1,0,1,7,0.0,0.0,0.0,0.1,0.0,0.1,0.7
844,Gustav Olofsson,D,LAV,23.79,2,0,0,1,0,1,1,0.0,0.0,0.0,0.5,0.0,0.5,0.5
845,Matthew Spencer,D,SYR,21.479,9,0,0,1,0,1,5,0.0,0.0,0.0,0.11,0.0,0.11,0.56
846,Ondrej Vala,D,TEX,20.425,9,0,0,1,0,1,7,0.0,0.0,0.0,0.11,0.0,0.11,0.78
847,Nate Prosser,D,IA,32.359,10,0,0,1,0,1,10,0.0,0.0,0.0,0.1,0.0,0.1,1.0
848,Olivier Galipeau,D,PRO,21.372,5,0,0,1,0,1,5,0.0,0.0,0.0,0.2,0.0,0.2,1.0
849,Matt Hunwick,D,ROC,33.32,2,0,0,1,0,1,3,0.0,0.0,0.0,0.5,0.0,0.5,1.5
850,Gustav Bouramman,D,IA,21.64,19,0,0,1,0,1,12,0.0,0.0,0.0,0.05,0.0,0.05,0.63
851,Darik Angeli,F,TUC,27.929,4,0,0,1,0,1,3,0.0,0.0,0.0,0.25,0.0,0.25,0.75
852,Steve Johnson,D,HER,24.22,9,0,0,1,0,1,11,0.0,0.0,0.0,0.11,0.0,0.11,1.22
853,Derek Sheppard,D,CHA,24.318,6,0,0,1,0,1,9,0.0,0.0,0.0,0.17,0.0,0.17,1.5
854,Slater Koekkoek,D,SYR,24.573,5,0,0,1,0,1,10,0.0,0.0,0.0,0.2,0.0,0.2,2.0
855,Maxime Lajoie,D,BEL,20.86,1,0,0,1,0,1,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
856,Conor Riley,F,BNG,25.936,2,1,0,0,1,1,3,33.33,0.5,0.0,0.0,0.5,0.5,1.5
857,Tim Clifton,C,SJ,26.317,7,0,1,0,1,1,5,0.0,0.0,0.14,0.0,0.14,0.14,0.71
858,Steve McParland,LW,SD,27.587,5,1,0,0,1,1,4,25.0,0.2,0.0,0.0,0.2,0.2,0.8
859,J.J. Piccinich,RW,TOR,22.259,6,0,1,0,1,1,4,0.0,0.0,0.17,0.0,0.17,0.17,0.67
860,Stephen Perfetto,C,SA,27.124,14,1,0,0,1,1,14,7.14,0.07,0.0,0.0,0.07,0.07,1.0
861,Elgin Pearce,C,TEX,26.604,5,1,0,0,1,1,8,12.5,0.2,0.0,0.0,0.2,0.2,1.6
862,Brett Gallant,LW,CLE,29.715,19,1,0,0,1,1,11,9.09,0.05,0.0,0.0,0.05,0.05,0.58
863,Kevin Klima,C,TUC,21.279,4,0,1,0,1,1,2,0.0,0.0,0.25,0.0,0.25,0.25,0.5
864,Andrew O'Brien,D,STK,25.816,9,1,0,0,1,1,14,7.14,0.11,0.0,0.0,0.11,0.11,1.56
865,Matt Finn,D,HFD/GR,24.556,8,1,0,0,1,1,6,16.67,0.12,0.0,0.0,0.12,0.12,0.75
866,Petrus Palmu,F,UTI,21.167,12,0,1,0,1,1,13,0.0,0.0,0.08,0.0,0.08,0.08,1.08
867,Jagger Dirk,D,UTI,25.367,9,0,1,0,1,1,4,0.0,0.0,0.11,0.0,0.11,0.11,0.44
868,Emerson Etem,RW,ONT,26.248,9,1,0,0,1,1,11,9.09,0.11,0.0,0.0,0.11,0.11,1.22
869,Kevin Gravel,D,BAK,26.528,5,0,1,0,1,1,8,0.0,0.0,0.2,0.0,0.2,0.2,1.6
870,Alex Gallant,LW,CHI,25.769,28,1,0,0,1,1,15,6.67,0.04,0.0,0.0,0.04,0.04,0.54
871,Emerson Clark,LW,TOR,25.745,6,1,0,0,1,1,4,25.0,0.17,0.0,0.0,0.17,0.17,0.67
872,Calvin Thurkauf,C,CLE,21.219,18,1,0,0,1,1,17,5.88,0.06,0.0,0.0,0.06,0.06,0.94
873,Tobias Geisser,D,HER,19.59,32,0,1,0,1,1,14,0.0,0.0,0.03,0.0,0.03,0.03,0.44
874,Danick Martel,LW,SYR,23.76,4,0,1,0,1,1,8,0.0,0.0,0.25,0.0,0.25,0.25,2.0
875,Oleg Sosunov,D,SYR,20.425,9,1,0,0,1,1,6,16.67,0.11,0.0,0.0,0.11,0.11,0.67
876,Dylan Sadowy,LW,GR,22.454,13,1,0,0,1,1,18,5.56,0.08,0.0,0.0,0.08,0.08,1.38
877,Gabe Vilardi,F,ONT,19.083,4,0,1,0,1,1,6,0.0,0.0,0.25,0.0,0.25,0.25,1.5
878,Nolan Vesey,C,BAK,23.469,6,0,1,0,1,1,6,0.0,0.0,0.17,0.0,0.17,0.17,1.0
879,Travis Boyd,C,HER,25.003,2,0,1,0,1,1,1,0.0,0.0,0.5,0.0,0.5,0.5,0.5
880,Nic Kerdiles,LW,MB,24.677,3,0,1,0,1,1,4,0.0,0.0,0.33,0.0,0.33,0.33,1.33
881,Morgan Adams-Moisan,RW,LAV,21.528,7,1,0,0,1,1,3,33.33,0.14,0.0,0.0,0.14,0.14,0.43
882,Austin Carroll,RW,MB,24.474,7,1,0,0,1,1,6,16.67,0.14,0.0,0.0,0.14,0.14,0.86
883,Jake Linhart,D,HER,22.662,5,0,1,0,1,1,1,0.0,0.0,0.2,0.0,0.2,0.2,0.2
884,Grant Besse,RW,HER,24.173,7,1,0,0,1,1,14,7.14,0.14,0.0,0.0,0.14,0.14,2.0
885,Justin Woods,D,MB,24.589,9,0,1,0,1,1,4,0.0,0.0,0.11,0.0,0.11,0.11,0.44
886,Scott Moldenhauer,D,SD,24.354,9,0,1,0,1,1,2,0.0,0.0,0.11,0.0,0.11,0.11,0.22
887,Ryan Culkin,D,LAV,24.751,6,1,0,0,1,1,9,11.11,0.17,0.0,0.0,0.17,0.17,1.5
888,Giorgio Estephan,RW,TOR,21.613,3,0,1,0,1,1,3,0.0,0.0,0.33,0.0,0.33,0.33,1.0
889,Kevin Ekman-Larsson,D,TUC,23.636,15,0,1,0,1,1,3,0.0,0.0,0.07,0.0,0.07,0.07,0.2
890,Maxime Comtois,LW,SD,19.686,4,1,0,0,1,1,3,33.33,0.25,0.0,0.0,0.25,0.25,0.75
891,Richard Clune,LW,TOR,31.393,10,1,0,0,1,1,2,50.0,0.1,0.0,0.0,0.1,0.1,0.2
892,Nolan De Jong,D,SJ/COL/STK,23.393,3,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0
893,Kevin Spinozzi,D,WBS,22.314,5,0,0,0,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,1.6
