,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
0,Alex DeBrincat,RW,ER,18.744,63.0,65.0,36.0,26.0,101.0,127.0,308.0,21.1,1.03,0.57,0.41,1.6,2.02,4.89,54.91,0.87,9.0,30.0,30.0,11.0,42.0,26.19,45.0,236.0,19.07,184.0,339.0,54.28
1,Taylor Raddysh,RW,ER,18.574,58.0,42.0,37.0,30.0,79.0,109.0,218.0,19.27,0.72,0.64,0.52,1.36,1.88,3.76,31.85,0.55,11.0,39.0,28.21,5.0,31.0,16.13,26.0,148.0,17.57,3.0,6.0,50.0
2,Adam Mascherin,LW,KIT,18.278,65.0,35.0,37.0,28.0,72.0,100.0,280.0,12.5,0.54,0.57,0.43,1.11,1.54,4.31,34.56,0.53,8.0,29.0,27.59,4.0,32.0,12.5,23.0,219.0,10.5,17.0,56.0,30.36
3,Petrus Palmu,RW,OS,19.168,62.0,40.0,38.0,20.0,78.0,98.0,278.0,14.39,0.65,0.61,0.32,1.26,1.58,4.48,29.87,0.48,6.0,18.0,33.33,5.0,22.0,22.73,29.0,238.0,12.18,24.0,41.0,58.54
4,Nick Suzuki,C,OS,17.101,65.0,45.0,31.0,20.0,76.0,96.0,261.0,17.24,0.69,0.48,0.31,1.17,1.48,4.02,36.07,0.55,9.0,36.0,25.0,5.0,34.0,14.71,31.0,191.0,16.23,394.0,773.0,50.97
5,Jordan Kyrou,RW,SAR,18.366,66.0,30.0,35.0,29.0,65.0,94.0,223.0,13.45,0.45,0.53,0.44,0.98,1.42,3.38,30.85,0.47,11.0,32.0,34.38,7.0,43.0,16.28,12.0,148.0,8.11,169.0,336.0,50.3
6,Ryan Moore,LW,FLNT,19.436,68.0,39.0,36.0,15.0,75.0,90.0,268.0,14.55,0.57,0.53,0.22,1.1,1.32,3.94,34.02,0.5,3.0,24.0,12.5,13.0,42.0,30.95,23.0,202.0,11.39,679.0,1350.0,50.3
7,Cliff Pu,C,LDN,18.286,63.0,35.0,22.0,29.0,57.0,86.0,186.0,18.82,0.56,0.35,0.46,0.9,1.37,2.95,26.02,0.41,10.0,36.0,27.78,8.0,33.0,24.24,17.0,117.0,14.53,744.0,1231.0,60.44
8,Kole Sherwood,RW,FLNT,19.647,60.0,33.0,26.0,26.0,59.0,85.0,292.0,11.3,0.55,0.43,0.43,0.98,1.42,4.87,29.13,0.49,7.0,27.0,25.93,11.0,49.0,22.45,15.0,216.0,6.94,14.0,36.0,38.89
9,Artur Tyanulin,RW,OTT,19.653,67.0,24.0,45.0,16.0,69.0,85.0,177.0,13.56,0.36,0.67,0.24,1.03,1.27,2.64,25.97,0.39,6.0,31.0,19.35,8.0,35.0,22.86,10.0,111.0,9.01,1.0,8.0,12.5
