,Name,GP,ROW,GF%,GF,GA,GD,SF%,SF,SA,SD,Sh%,Sv%,PDO,xGF%,xGF,xGA,xGD,xSh%,xSv%,xPDO,GFAX,GFAX/30,GSAX,GSAX/30,HD GF,HD GA,HD GD,HD GF%,HD SF,HD SA,HD SD,HD SF%,HD Sh%,HD Sv%,MD GF,MD GA,MD GD,MD GF%,MD SF,MD SA,MD SD,MD SF%,MD Sh%,MD Sv%,LD GF,LD GA,LD GD,LD GF%,LD SF,LD SA,LD SD,LD SF%,LD Sh%,LD Sv%
0,Rouyn-Noranda Huskies,68,53,62.71,301,179,122,56.57,2324,1784,540,12.5,0.901,102.57,59.21,262.28,180.71,81.57,11.34,0.899,101.2,26.721,0.347,3.713,0.063,77,56,21,57.89,227,199,28,53.29,33.33,0.719,86,45,41,65.65,334,195,139,63.14,25.53,0.769,138,78,60,63.89,1763,1390,373,55.92,7.35,0.945
1,Val-d'Or Foreurs,68,49,59.92,293,196,97,53.75,2299,1978,321,12.4,0.902,102.58,57.52,260.14,192.13,68.01,11.36,0.903,101.64,23.863,0.313,-1.872,-0.028,81,46,35,63.78,269,174,95,60.72,29.59,0.736,60,52,8,53.57,275,254,21,51.98,21.82,0.798,152,98,54,60.8,1755,1550,205,53.1,8.3,0.937
2,Gatineau Olympiques,68,44,59.05,248,172,76,56.6,2216,1699,517,10.99,0.901,101.13,57.31,290.18,216.15,74.04,13.12,0.872,100.36,-47.183,-0.64,49.147,0.87,65,55,10,54.17,293,223,70,56.78,21.92,0.753,57,42,15,57.58,338,260,78,56.52,16.86,0.842,126,75,51,62.69,1585,1216,369,56.59,7.72,0.941
3,Shawinigan Cataractes,68,40,55.85,277,219,58,52.73,2247,2014,233,11.82,0.894,101.21,56.78,266.77,203.05,63.72,11.94,0.899,101.83,-2.77,-0.037,-9.953,-0.149,76,55,21,58.02,303,190,113,61.46,24.58,0.714,60,48,12,55.56,296,236,60,55.64,20.0,0.797,141,116,25,54.86,1648,1588,60,50.93,8.0,0.93
4,Saint John Sea Dogs,68,38,53.36,254,222,32,51.46,2315,2184,131,10.78,0.9,100.78,50.76,256.35,248.64,7.71,11.1,0.886,99.69,-7.35,-0.095,30.642,0.422,71,62,9,53.38,323,313,10,50.79,21.74,0.804,66,46,20,58.93,277,250,27,52.56,23.83,0.816,117,114,3,50.65,1715,1621,94,51.41,6.6,0.931
5,Cape Breton Screaming Eagles,68,37,54.7,285,236,49,53.55,2253,1954,299,12.18,0.883,100.47,56.06,298.19,233.7,64.5,13.31,0.88,101.3,-25.191,-0.337,5.696,0.088,76,79,-3,49.03,321,264,57,54.87,23.2,0.701,64,62,2,50.79,320,272,48,54.05,19.75,0.772,145,95,50,60.42,1612,1418,194,53.2,8.48,0.938
6,Moncton Wildcats,68,34,51.75,266,248,18,52.42,2223,2018,205,11.61,0.881,99.67,50.87,264.14,255.07,9.06,11.93,0.873,99.24,-7.136,-0.097,15.073,0.225,67,71,-4,48.55,269,314,-45,46.14,24.91,0.781,62,74,-12,45.59,302,353,-51,46.11,20.27,0.795,137,103,34,57.08,1652,1351,301,55.01,7.85,0.926
7,Charlottetown Islanders,68,33,49.45,225,230,-5,48.92,2214,2312,-98,9.96,0.903,100.28,48.42,235.5,250.88,-15.38,10.66,0.891,99.78,-15.5,-0.21,27.877,0.363,76,73,3,51.01,277,275,2,50.18,27.17,0.737,58,53,5,52.25,303,310,-7,49.43,19.14,0.829,91,104,-13,46.67,1634,1727,-93,48.62,5.34,0.943
8,Victoriaville Tigres,68,33,50.1,246,245,1,47.59,1936,2132,-196,12.39,0.888,101.23,44.74,193.35,238.82,-45.47,10.02,0.888,98.78,45.653,0.71,1.819,0.026,62,75,-13,45.26,202,274,-72,42.44,30.35,0.726,62,51,11,54.87,245,247,-2,49.8,25.31,0.797,122,119,3,50.62,1489,1611,-122,48.03,7.82,0.93
9,Rimouski Oceanic,68,31,50.25,203,201,2,50.15,2046,2034,12,9.52,0.904,99.91,46.27,199.05,231.12,-32.07,9.77,0.886,98.38,-5.051,-0.074,36.122,0.534,38,58,-20,39.58,195,310,-115,38.61,19.07,0.816,42,52,-10,44.68,256,233,23,52.35,16.08,0.777,123,91,32,57.48,1595,1491,104,51.69,7.3,0.942
