,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
0,Kevin  Labanc,RW,BAR,19.759,65,39,61,27,100,127,253,15.42,0.6,0.94,0.42,1.54,1.95,3.89,33.38,0.51,12,33,36.36,10,44,22.73,17,176,9.66,14,38,36.84
1,Christian  Dvorak,C,LDN,19.617,59,52,34,35,86,121,192,27.08,0.88,0.58,0.59,1.46,2.05,3.25,37.09,0.63,20,51,39.22,6,52,11.54,26,89,29.21,806,1335,60.37
2,Mitchell Marner,RW,LDN,18.363,57,39,51,26,90,116,227,17.18,0.68,0.89,0.46,1.58,2.04,3.98,32.99,0.58,5,28,17.86,8,39,20.51,26,160,16.25,106,213,49.77
3,Dylan Strome,C,ER,18.525,56,37,46,28,83,111,229,16.16,0.66,0.82,0.5,1.48,1.98,4.09,33.26,0.59,9,32,28.12,10,54,18.52,18,143,12.59,713,1141,62.49
4,Matthew Tkachuk,LW,LDN,17.761,57,30,36,41,66,107,191,15.71,0.53,0.63,0.72,1.16,1.88,3.35,30.04,0.53,9,46,19.57,7,39,17.95,14,106,13.21,38,74,51.35
5,Andrew Mangiapane,LW,BAR,19.447,59,51,38,17,89,106,213,23.94,0.86,0.64,0.29,1.51,1.8,3.61,35.98,0.61,9,36,25.0,15,57,26.32,27,120,22.5,63,138,45.65
6,Alex DeBrincat,RW,ER,17.742,60,51,28,22,79,101,269,18.96,0.85,0.47,0.37,1.32,1.68,4.48,34.35,0.57,9,27,33.33,12,42,28.57,30,200,15.0,97,183,53.01
7,Travis Konecny,RW,OTT/SAR,18.514,60,30,44,27,74,101,241,12.45,0.5,0.73,0.45,1.23,1.68,4.02,24.99,0.42,3,18,16.67,2,27,7.41,25,196,12.76,73,159,45.91
8,Mike Amadio,C,NB,19.341,68,50,35,13,85,98,249,20.08,0.74,0.51,0.19,1.25,1.44,3.66,34.33,0.5,7,31,22.58,15,46,32.61,28,172,16.28,855,1673,51.11
9,Christian  Fischer,RW,WSR,18.418,66,40,32,18,72,90,266,15.04,0.61,0.48,0.27,1.09,1.36,4.03,32.74,0.5,10,44,22.73,4,37,10.81,26,185,14.05,15,48,31.25
10,Spencer Watson,RW,KGN,19.39,64,43,31,15,74,89,353,12.18,0.67,0.48,0.23,1.16,1.39,5.52,41.06,0.64,13,61,21.31,7,40,17.5,23,252,9.13,5,9,55.56
11,Hunter Garlent,C,PBO,20.611,68,40,28,19,68,87,269,14.87,0.59,0.41,0.28,1.0,1.28,3.96,31.08,0.46,6,33,18.18,6,33,18.18,28,203,13.79,732,1331,55.0
12,Eric  Cornel,RW,PBO,19.428,68,27,36,20,63,83,238,11.34,0.4,0.53,0.29,0.93,1.22,3.5,26.96,0.4,6,41,14.63,4,37,10.81,17,160,10.62,33,77,42.86
13,Dante Salituro,RW,OTT,18.831,65,38,24,21,62,83,245,15.51,0.58,0.37,0.32,0.95,1.28,3.77,34.56,0.53,6,29,20.69,9,56,16.07,23,160,14.37,282,578,48.79
