"#","Name","Pos","Team","Age","GP","G","A1","A2","P1","P","Sh","Sh%","G/GP","A1/GP","A2/GP","P1/GP","P/GP","Sh/GP","xG","xG/GP","HD G","HD Sh","HD Sh%","MD G","MD Sh","MD Sh%","LD G","LD Sh","LD Sh%","FOW","FOT","FOW%"
"","Mason Howard","D","NIAG","17.613","41","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0.0","0","0","0.0","0","0","0.0","0","0","0.0"
"","Lleyton Moore","D","NIAG","16.548","28","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0.0","0","0","0.0","0","0","0.0","0","0","0.0"
"","Oliver Castleman","LW","NIAG","19.001","47","0","0","0","0","0","4","0.0","0.0","0.0","0.0","0.0","0.0","0.09","0.34","0.01","0","0","0.0","0","0","0.0","0","4","0.0","2","3","66.67"
"","Matthew Philip","LW","NIAG","19.294","53","0","0","0","0","0","1","0.0","0.0","0.0","0.0","0.0","0.0","0.02","0.11","0.0","0","0","0.0","0","0","0.0","0","1","0.0","4","5","80.0"
"","Andrew Bruder","C","NIAG","18.081","41","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0.0","0","0","0.0","0","0","0.0","0","2","0.0"
"","Akil Thomas","C","NIAG","18.703","48","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0.0","0","0","0.0","0","0","0.0","2","7","28.57"
"","Kyen Sopa","RW","NIAG","17.958","44","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0.0","0","0","0.0","0","0","0.0","0","0","0.0"
"","Bradey Johnson","RW","NIAG","18.727","53","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0.0","0","0","0.0","0","0","0.0","1","3","33.33"
"","Jake Uberti","C","NIAG","16.526","48","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0.0","0","0","0.0","0","0","0.0","0","0","0.0"
"","Daniel Bukac","D","NIAG","19.382","39","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0.0","0","0","0.0","0","0","0.0","0","0","0.0"
"","Travis Mailhot","D","NB","18.662","3","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0.0","0","0","0.0","0","0","0.0","0","0","0.0"
"","Kurtis Evans","RW","NB","17.402","21","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0.0","0","0","0.0","0","0","0.0","0","0","0.0"
"","Semyon Der-Arguchintsev","C","PBO","17.999","48","0","0","0","0","0","3","0.0","0.0","0.0","0.0","0.0","0.0","0.06","0.32","0.01","0","0","0.0","0","0","0.0","0","3","0.0","7","21","33.33"
"","Jonah De Simone","RW","NIAG","16.556","43","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0.0","0","0","0.0","0","0","0.0","0","0","0.0"
"","Jordan Frasca","LW","WSR","17.197","48","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0.0","0","0","0.0","0","0","0.0","2","3","66.67"
