,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
0,Nick Suzuki,C,OS/GUE,18.35,188.0,121.0,99.0,69.0,220.0,289.0,818.0,14.208,0.628,0.542,0.382,1.165,1.55,4.442,34.992,0.567,23.0,105.0,20.355,27.0,121.0,20.385,71.0,592.0,11.782,1231.0,2326.0,53.338
1,Jason Robertson,RW,KGN/NIAG,18.402,198.0,131.0,90.0,64.0,221.0,285.0,905.0,14.925,0.69,0.51,0.358,1.208,1.562,4.625,40.442,0.622,25.0,110.0,22.618,30.0,175.0,16.198,76.0,620.0,13.22,7.0,27.0,26.135
2,Morgan Frost,C,SSM,18.591,192.0,99.0,120.0,64.0,219.0,283.0,585.0,16.385,0.552,0.69,0.345,1.242,1.59,3.373,25.715,0.422,26.0,75.0,33.46,13.0,68.0,14.535,60.0,442.0,13.358,1847.0,3564.0,51.67
3,Kevin Hancock,LW/C,OS/LDN,19.79,191.0,106.0,102.0,51.0,208.0,259.0,799.0,13.688,0.592,0.532,0.258,1.132,1.388,4.332,30.005,0.462,21.0,78.0,29.152,23.0,118.0,19.098,62.0,603.0,10.822,1579.0,2856.0,55.605
4,Akil Thomas,RW/C,NIAG,17.954,192.0,81.0,82.0,69.0,163.0,232.0,548.0,15.688,0.465,0.468,0.375,0.94,1.31,2.945,22.642,0.352,20.0,77.0,27.228,18.0,89.0,21.08,43.0,382.0,11.79,1185.0,2211.0,52.543
5,Ben Jones,C,NIAG,18.802,199.0,85.0,97.0,47.0,182.0,229.0,568.0,15.29,0.473,0.53,0.222,1.0,1.222,2.963,26.242,0.39,34.0,136.0,23.968,22.0,81.0,27.04,29.0,351.0,8.96,2076.0,3949.0,52.468
6,Justin Brazeau,RW,NB,19.867,203.0,122.0,71.0,32.0,193.0,225.0,745.0,16.708,0.675,0.385,0.182,1.062,1.242,3.905,34.05,0.5,36.0,134.0,26.022,30.0,136.0,24.088,56.0,475.0,12.135,47.0,131.0,33.005
7,Owen Tippett,RW,MISS/SAG,18.83,165.0,113.0,66.0,45.0,179.0,224.0,825.0,13.35,0.665,0.408,0.292,1.072,1.365,4.995,31.295,0.572,25.0,85.0,26.798,24.0,121.0,21.123,64.0,619.0,10.132,71.0,162.0,40.392
8,Joseph Garreffa,RW,KIT,18.352,204.0,69.0,68.0,75.0,137.0,212.0,454.0,14.97,0.372,0.35,0.377,0.722,1.1,2.488,17.628,0.258,19.0,62.0,29.78,14.0,66.0,21.765,36.0,326.0,11.035,357.0,714.0,49.062
9,Kyle Maksimovich,LW,ER/OTT,19.769,196.0,82.0,76.0,53.0,158.0,211.0,527.0,16.062,0.442,0.382,0.28,0.83,1.11,2.718,21.358,0.322,10.0,60.0,17.702,27.0,93.0,28.785,45.0,374.0,12.475,138.0,338.0,40.468
