,Name,GP,ROW,GF%,GF,GA,GD,SF%,SF,SA,SD,Sh%,Sv%,PDO
0,Moncton Wildcats,70,52,65.59,345,181,164,60.14,2728,1808,920,12.45,0.902,102.64
1,Quebec Remparts,70,49,61.13,346,220,126,57.1,2767,2079,688,12.38,0.896,101.97
2,Chicoutimi Sagueneens,70,48,63.47,318,183,135,53.54,2316,2010,306,13.43,0.909,104.33
3,Rouyn-Noranda Huskies,70,41,54.2,303,256,47,53.0,2485,2204,281,12.02,0.886,100.6
4,Acadie-Bathurst Titan,70,38,56.75,286,218,68,55.05,2502,2043,459,11.18,0.894,100.56
5,Cape Breton Screaming Eagles,70,37,53.56,233,202,31,50.05,2364,2359,5,9.63,0.917,101.34
6,Drummondville Voltigeurs,70,37,51.8,273,254,19,56.42,2469,1907,562,10.99,0.87,98.03
7,Gatineau Olympiques,70,35,54.7,256,212,44,52.17,2313,2121,192,10.84,0.9,100.88
8,Lewiston MAINEiacs,70,35,54.57,239,199,40,55.45,2571,2066,505,8.98,0.905,99.52
9,Shawinigan Cataractes,70,34,50.54,282,276,6,48.18,2199,2365,-166,12.47,0.884,100.87
10,Halifax Mooseheads,70,30,48.39,241,257,-16,49.85,2323,2337,-14,9.95,0.892,99.18
11,Baie-Comeau Drakkar,70,29,46.53,248,285,-37,48.12,2212,2385,-173,10.93,0.884,99.35
12,St. John's Fog Devils,70,26,43.0,215,285,-70,46.89,2223,2518,-295,9.51,0.889,98.4
13,Val-d'Or Foreurs,70,25,44.88,241,296,-55,48.89,2278,2381,-103,10.38,0.879,98.32
14,Victoriaville Tigres,70,23,42.56,223,301,-78,44.22,2100,2649,-549,10.45,0.889,99.39
15,PEI Rocket,70,21,41.89,217,301,-84,41.13,1856,2657,-801,11.5,0.891,100.64
16,Saint John Sea Dogs,70,13,35.03,172,319,-147,41.67,1975,2765,-790,8.57,0.887,97.26
17,Rimouski Oceanic,70,9,32.74,183,376,-193,39.6,1955,2982,-1027,9.22,0.875,96.76
