,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,G/GP,A1/GP,A2/GP,P1/GP,P/GP
968,Devin Wilson,D,EVT,20.674,57,1,3,6,4,10,0.02,0.05,0.11,0.07,0.18
969,Jonathan Milhouse,C,EVT/POR,18.374,51,3,5,2,8,10,0.09,0.145,0.06,0.235,0.295
970,Connor Redmond,LW,RDR/R.D,15.869,58,4,2,4,6,10,0.035,0.02,0.355,0.055,0.41
971,Taylor Peters,C,POR,16.143,75,6,2,2,8,10,0.23,0.015,0.015,0.245,0.255
972,Dylen McKinlay,RW,CWK,16.406,55,3,6,1,9,10,0.05,0.11,0.02,0.16,0.18
973,Garrett Taylor,LW,LET,17.345,45,4,2,4,6,10,0.09,0.04,0.09,0.13,0.22
974,Mike Cann,D,BRN/LET/RDR,17.278,107,2,5,3,7,10,0.009,0.048,0.065,0.055,0.12
975,Partik Bhungal,RW,CWK,19.833,158,5,2,2,7,9,0.03,0.01,0.01,0.042,0.053
976,Josh Gionfriddo,LW,RDR/LET/KTN,17.724,98,4,2,3,6,9,0.035,0.015,0.02,0.05,0.073
977,David Murray,LW,LET/S.C,18.158,53,3,4,2,7,9,0.06,0.08,0.04,0.13,0.17
978,Brody Sutter,RW,LET/SAS,16.972,48,4,3,2,7,9,0.08,0.06,0.04,0.15,0.19
979,Colin  Haas,C,P.G/SEA,18.946,82,3,4,2,7,9,0.025,0.055,0.015,0.075,0.09
980,Austin Madaisky,D,CAL,16.627,48,2,4,3,6,9,0.04,0.08,0.06,0.12,0.19
981,Matt MacKay,C,M.J,17.802,31,6,2,1,8,9,0.19,0.06,0.03,0.26,0.29
982,Joey Frazer,RW,M.H,18.33,61,3,4,2,7,9,0.05,0.07,0.03,0.11,0.15
983,Adam  Kambeitz,C,R.D,16.23,70,3,2,4,5,9,0.04,0.03,0.06,0.07,0.13
984,Brenden Kichton,D,SPO,16.244,57,1,3,5,4,9,0.02,0.05,0.09,0.07,0.16
985,Brandon Tidball,LW,SAS/S.C,20.277,70,6,3,0,9,9,0.09,0.04,0.0,0.13,0.13
986,Lance Redden,D,P.G,17.566,52,2,4,3,6,9,0.04,0.08,0.06,0.12,0.17
987,Michael Szczachor,LW,S.C,18.122,104,4,3,2,7,9,0.035,0.025,0.02,0.07,0.09
988,Jordan Kochan,C,P.A,16.846,68,5,1,3,6,9,0.035,0.005,0.02,0.045,0.065
989,Tayler Jordan,LW,POR,17.85,109,4,3,2,7,9,0.03,0.03,0.02,0.06,0.08
990,Kyle Nason,RW,REG,17.991,91,3,4,2,7,9,0.035,0.06,0.025,0.095,0.12
991,David Jacobson,C,REG/EVT/CGY/VAN,18.662,77,3,0,6,3,9,0.04,0.0,0.095,0.04,0.13
992,Adam Lukacovic,D,P.A/P.G,18.418,48,3,4,2,7,9,0.06,0.08,0.04,0.15,0.19
993,Petr Jelinek,C,P.G,20.241,22,3,4,2,7,9,0.14,0.18,0.09,0.32,0.41
994,Isaac Reid,LW,CGY/LET,16.58,83,3,2,4,5,9,0.045,0.02,0.045,0.065,0.105
995,Ben Van Lare,LW,SAS/P.A,16.964,98,8,1,0,9,9,0.202,0.005,0.0,0.208,0.208
996,Paul MacDonald,D,KTN/LET,18.69,123,1,3,5,4,9,0.008,0.03,0.048,0.038,0.092
997,Jonathan Webb,D,BRN,18.9,120,0,4,5,4,9,0.0,0.035,0.045,0.035,0.08
998,Jason Gardiner,C,TRI/T.C,16.184,51,1,6,2,7,9,0.045,0.118,0.015,0.162,0.178
999,Joel Rogers,D,S.C,16.794,103,2,4,2,6,8,0.02,0.035,0.02,0.055,0.075
1000,Cason Machacek,D,KTN,17.142,68,1,1,6,2,8,0.01,0.01,0.09,0.03,0.12
1001,Bronson Maschmeyer,D,VAN,17.383,48,2,4,2,6,8,0.04,0.08,0.04,0.12,0.17
1002,Christian Magnus,RW,S.C/KTN,15.989,64,3,4,1,7,8,0.025,0.035,0.01,0.06,0.07
1003,Josh Koper,RW,M.H,17.483,55,4,3,1,7,8,0.045,0.055,0.01,0.1,0.11
1004,Henrik Tervonen,D,EDM,17.117,67,1,2,5,3,8,0.01,0.015,0.04,0.025,0.065
1005,Nathan  MacMaster,LW,M.J,15.71,59,2,5,1,7,8,0.02,0.045,0.01,0.065,0.075
1006,Tyler Feakes,C,EVT/P.G/S.C,17.599,60,3,4,1,7,8,0.025,0.035,0.01,0.06,0.07
1007,Shawn Mezei,D,LET,19.65,55,1,3,4,4,8,0.005,0.015,0.022,0.022,0.042
1008,Lenny Thunderchild,D,LET/POR,16.763,103,2,2,4,4,8,0.025,0.02,0.035,0.045,0.075
1009,Luke Betts,LW,RDR/SPO,17.562,90,5,2,1,7,8,0.073,0.045,0.005,0.118,0.122
1010,Ryan Kowalski,RW,P.G/P.A,16.526,120,2,5,1,7,8,0.02,0.045,0.01,0.055,0.065
1011,Jock Sutter,D,M.J,18.909,58,2,4,2,6,8,0.01,0.042,0.01,0.052,0.065
1012,Mark Vodden,D,M.H,19.384,50,2,1,5,3,8,0.04,0.02,0.1,0.06,0.16
1013,Gary Sylvester,RW,TRI/KEL/REG,18.769,62,4,3,1,7,8,0.018,0.012,0.005,0.03,0.035
1014,Kevin Kraus,D,KAM/TRI,17.526,57,1,2,5,3,8,0.025,0.05,0.09,0.07,0.16
1015,Aki Kangasmaki,C,CWK,17.312,60,4,2,2,6,8,0.07,0.03,0.03,0.1,0.13
1016,Garth Collins,D,P.A/POR,17.52,126,1,0,7,1,8,0.01,0.0,0.042,0.01,0.053
1017,Mike Scarborough,D,RDR/REG,17.7,129,1,3,4,4,8,0.005,0.018,0.03,0.022,0.053
1018,Kirk Belyk,RW,SAS,17.669,60,4,3,1,7,8,0.085,0.03,0.01,0.115,0.125
