,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,eTOI,eTOI/GP,eG/60,eA1/60,eA2/60,eP1/60,eP/60,eSh/60,exG/60,QoT TOI,QoC TOI,QoT GF%,QoC GF%,GF%Rel,GF%,GF,GA,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
0,Alexis Lafreniere,LW,RIM,16.928,53,34,38,22,72,94,174,19.54,0.64,0.72,0.42,1.36,1.77,3.28,23.08,0.44,1072.11,20.23,1.9,2.13,1.23,4.03,5.26,9.74,1.29,19.57,18.13,65.09,47.05,35.91,82.61,114,24,9,35,25.71,7,28,25.0,18,111,16.22,19,47,40.43
1,Peter Abbandonato,C,ROU,20.477,59,26,40,27,66,93,202,12.87,0.44,0.68,0.46,1.12,1.58,3.42,21.64,0.37,1244.68,21.1,1.25,1.93,1.3,3.18,4.48,9.74,1.04,18.81,17.86,69.43,48.56,13.86,76.61,131,40,6,30,20.0,11,35,31.43,9,137,6.57,584,1107,52.76
2,Joseph Veleno,C,DRU,18.673,49,39,34,20,73,93,217,17.97,0.8,0.69,0.41,1.49,1.9,4.43,18.99,0.39,1011.09,20.63,2.31,2.02,1.19,4.33,5.52,12.88,1.13,18.44,17.94,65.94,48.41,11.87,74.83,113,38,11,35,31.43,11,31,35.48,17,151,11.26,430,824,52.18
3,Ivan Chekhovich,LW,BAC,19.697,56,38,33,22,71,93,246,15.45,0.68,0.59,0.39,1.27,1.66,4.39,26.28,0.47,1117.0,19.95,2.04,1.77,1.18,3.81,5.0,13.21,1.41,18.41,17.54,64.42,46.57,17.95,74.17,112,39,13,43,30.23,11,51,21.57,14,152,9.21,1,4,25.0
4,Jeremy McKenna,RW,MON,19.406,59,40,28,17,68,85,326,12.27,0.68,0.47,0.29,1.15,1.44,5.53,36.14,0.61,1330.41,22.55,1.8,1.26,0.77,3.07,3.83,14.7,1.63,19.41,18.05,58.3,49.14,18.75,64.2,113,63,9,39,23.08,9,50,18.0,22,237,9.28,77,145,53.1
5,Jimmy Huntington,C,RIM,19.825,58,37,31,12,68,80,164,22.56,0.64,0.53,0.21,1.17,1.38,2.83,21.64,0.37,1188.99,20.5,1.87,1.56,0.61,3.43,4.04,8.28,1.09,19.64,18.13,66.38,49.08,15.98,71.15,111,45,13,41,31.71,9,35,25.71,15,88,17.05,751,1348,55.71
6,Nicolas Guay,RW,DRU,19.245,54,36,29,14,65,79,198,18.18,0.67,0.54,0.26,1.2,1.46,3.67,24.76,0.46,1014.49,18.79,2.13,1.72,0.83,3.84,4.67,11.71,1.46,18.09,17.79,66.54,48.68,5.21,70.0,105,45,11,38,28.95,12,50,24.0,13,110,11.82,317,581,54.56
7,Samuel Asselin,C,BAT/HAL,20.208,59,44,20,15,64,79,173,25.43,0.75,0.34,0.25,1.08,1.34,2.93,25.09,0.43,1201.01,20.36,2.2,1.0,0.75,3.2,3.95,8.64,1.25,18.04,17.63,66.86,48.39,12.78,73.05,122,45,26,68,38.24,9,33,27.27,9,72,12.5,592,1089,54.36
8,Gregor MacLeod,C,DRU,20.274,55,33,29,17,62,79,190,17.37,0.6,0.53,0.31,1.13,1.44,3.45,17.65,0.32,1010.73,18.38,1.96,1.72,1.01,3.68,4.69,11.28,1.05,18.28,17.69,65.6,47.48,11.54,74.13,106,37,10,24,41.67,8,36,22.22,15,130,11.54,10,22,45.45
9,Jakob Pelletier,LW,MON,17.525,56,34,22,21,56,77,195,17.44,0.61,0.39,0.38,1.0,1.38,3.48,30.03,0.54,1136.98,20.3,1.79,1.16,1.11,2.96,4.06,10.29,1.58,20.06,18.14,57.55,49.0,21.45,66.67,104,52,18,65,27.69,4,39,10.26,12,91,13.19,26,57,45.61
10,Nathan Legare,RW,BAC,17.676,58,39,19,16,58,74,234,16.67,0.67,0.33,0.28,1.0,1.28,4.03,18.74,0.32,1084.37,18.7,2.16,1.05,0.89,3.21,4.09,12.95,1.04,18.4,17.68,63.91,47.48,18.06,74.1,103,36,12,33,36.36,6,27,22.22,21,174,12.07,124,272,45.59
11,Rafael Harvey-Pinard,LW,ROU,19.691,59,33,23,18,56,74,237,13.92,0.56,0.39,0.31,0.95,1.25,4.02,28.57,0.48,1119.37,18.97,1.77,1.23,0.96,3.0,3.97,12.7,1.53,19.08,17.94,69.3,49.74,-2.59,67.41,91,44,14,56,25.0,12,44,27.27,7,137,5.11,5,12,41.67
