,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
0,Morgan Frost,C,SSM,18.841,114,76,82,43,158,201,403,18.875,0.675,0.73,0.375,1.405,1.78,3.655,24.955,0.45,18,50,35.74,9,44,17.755,49,309,15.85,1232,2409,51.005
1,Jason Robertson,RW,KGN/KGN/NIAG,18.652,115,80,59,36,139,175,542,14.99,0.715,0.54,0.315,1.26,1.575,4.755,36.785,0.645,14,64,21.765,18,101,16.905,48,377,13.23,5,19,26.785
2,Justin Brazeau,RW,NB,20.117,122,87,55,23,142,165,506,17.32,0.73,0.455,0.2,1.19,1.385,4.18,34.415,0.565,27,94,29.025,20,94,22.405,40,318,12.725,39,100,32.54
3,Nick Suzuki,C,OS/GUE/OS,18.6,109,69,54,39,123,162,498,13.695,0.63,0.485,0.355,1.115,1.47,4.605,31.85,0.585,12,63,17.79,20,79,24.61,37,356,10.59,695,1308,53.15
4,Tye Felhaber,LW/RW,OTT,19.613,121,80,51,29,131,160,476,17.04,0.69,0.43,0.24,1.12,1.365,3.97,28.31,0.47,15,55,27.665,21,77,28.75,44,344,12.865,71,142,49.195
5,Akil Thomas,RW/C,NIAG,18.203,116,49,57,51,106,157,345,14.74,0.44,0.5,0.445,0.94,1.385,2.985,20.69,0.36,12,50,23.56,8,54,15.17,29,241,12.285,1006,1884,53.385
6,Ben Jones,C,NIAG,19.051,121,62,64,31,126,157,389,16.13,0.52,0.545,0.25,1.065,1.315,3.225,25.7,0.43,27,94,28.91,14,53,26.5,21,242,9.13,1317,2422,54.29
7,Kevin Hancock,LW/C,OS/LDN/OS,20.04,108,65,64,25,129,154,510,12.635,0.6,0.59,0.235,1.195,1.425,4.72,25.825,0.48,16,45,34.82,14,61,23.01,35,404,8.55,944,1657,57.055
8,Brandon Saigeon,C,HAM/HAM/OSH,19.755,120,70,50,33,120,153,468,14.96,0.59,0.425,0.285,1.01,1.295,3.92,26.115,0.435,14,49,29.57,18,62,30.68,38,357,10.615,1249,2392,51.79
9,Kirill Maksimov,RW,NIAG,18.792,112,66,45,36,111,147,425,15.57,0.595,0.4,0.32,0.995,1.315,3.81,24.535,0.44,10,47,21.975,11,52,21.405,45,326,13.895,7,29,30.52
