,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP
0,Chris Bourque,LW,HER,30.128,148,48,55,37,103,140,428,11.315,0.33,0.375,0.255,0.7,0.95,2.895
1,Kenny Agostino,LW,STK/CHI,23.877,130,47,53,40,100,140,343,13.725,0.36,0.405,0.31,0.77,1.08,2.635
2,T.J. Brennan,D,TOR/LV,26.952,145,46,41,41,87,128,383,12.3,0.32,0.285,0.28,0.605,0.89,2.635
3,Chris Mueller,C,SD/TUC,30.029,131,39,56,29,95,124,282,14.12,0.3,0.43,0.22,0.725,0.945,2.17
4,Seth Griffith,RW,PRO/TOR,23.196,95,34,46,41,80,121,214,15.3,0.34,0.485,0.425,0.825,1.255,2.205
5,Andy Miele,C,GR/LV,27.918,140,31,44,44,75,119,269,11.45,0.22,0.315,0.32,0.535,0.855,1.915
6,Cole Schneider,LW,RCH/BNG,25.556,144,45,46,28,91,119,393,11.66,0.315,0.32,0.195,0.63,0.83,2.725
7,Travis Boyd,C,HER,22.503,152,37,47,32,84,116,229,16.13,0.245,0.31,0.21,0.55,0.765,1.51
8,Chris Conner,LW,LV,32.231,128,38,50,23,88,111,238,16.01,0.295,0.395,0.18,0.695,0.875,1.88
9,Matt Lorito,LW,ALB/GR,25.704,132,40,49,21,89,110,272,14.68,0.305,0.37,0.155,0.68,0.84,2.075
10,Travis Morin,C,TEX,32.184,135,36,49,24,85,109,284,12.62,0.265,0.365,0.18,0.625,0.81,2.105
11,Tom Kostopoulos,RW,WBS,37.142,149,43,41,22,84,106,318,13.475,0.285,0.275,0.15,0.56,0.71,2.135
12,Phil Varone,C,RCH/BNG,25.282,130,34,47,25,81,106,273,12.41,0.26,0.36,0.19,0.625,0.815,2.1
13,Brendan Leipsic,LW,TOR,21.827,114,38,38,29,76,105,315,12.08,0.34,0.335,0.265,0.67,0.935,2.79
14,Bracken Kearns,C,BRI,34.845,147,46,28,30,74,104,290,15.9,0.315,0.19,0.205,0.5,0.71,1.97
